Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u1	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u2	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u3	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u4	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u5	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u6	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u7	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u8	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u9	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u10	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
ParlaMint-FI-en_2019-04-24-ps-1	ParlaMint-FI_2019-04-24-ps-1.u11	Minutes of the Finnish Parliament's plenary session 1/2019, 2019-04-24	2019-04-24	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 1	2019-04-24	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	ErkkiTuomioja	Tuomioja, Erkki	M	1946	
