ParlaMint-NO_2016-11-30.ana.ud343e28	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2016-11-30.ana.ud343e36	I would like to make a proposal on behalf of the Greens/Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European
ParlaMint-NO_2016-11-30.ana.ud343e41	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2016-11-30.ana.ud343e57	The Stortinget received on Monday a message from the Prime Minister's office that the Councils of State Bent Höie, Anders Anundsen and Linda C. Hofstad Helleland will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We'll start with the first main questions, from the representative of Torgeir Micaelsen.
ParlaMint-NO_2016-11-30.ana.ud343e66	The municipalities are the most important supplier of security in our country. They build and run schools to prepare the youngest in the population, and they have the primary responsibility for all those who need health and care services outside hospitals. This applies not least to care for the elderly, where we are completely dependent on good and warm care being organised in the municipalities. It is then essential that these municipalities be able to carry out the task we have jointly given them. Unfortunately, we have experienced on a number of occasions during this magnification period that the Right-Fremskrit Party government has chosen completely different main stakes than this. It's enough to mention that the taxes are now cut by almost 25 billion. kr. But this budget harvest has become even more serious. Not only is the government over three billion. behind what we in the Workers' Party have managed to prioritise in our alternative budget to the municipalities, among others. to care for the elderly. Just three weeks before Christmas, the municipalities do not know what to do with these important issues. It is, as everyone knows, total budget chaos on the civil side. And that's not all of the issues patients, users and municipalities don't know how to deal with them. Let me give you two concrete examples: has the government proposed for so-called resource-intensive services to users with high needs for assistance in municipalities? Should the municipalities be required to apply for physical therapy, as proposed by the government in the State budget? These are matters that are serious enough in themselves. The problem is that we do not know, now just three weeks before Christmas, what the municipalities are planning for. I say as Jonas Gahr Støre said yesterday: This is not how you rule a country. I want to hear the comments of the Minister of Health and Care and the Vice-President of the Right to this unsustainable situation the government has now put its municipalities in.
ParlaMint-NO_2016-11-30.ana.ud343e73	Firstly, government parties are working hard to find a solution to the budgetary situation. The size has set out its programme related to it, and this will mean that the financial situation is up to discussion on Monday, as planned. Then, too, after the financial position is finished, it's like the usual committees that decide and end up with some of these questions. But we see that the municipalities treat their budgets as normal. So I do not agree with the presentation that the representative gives in relation to what this government has prioritised. On the contrary, if you look at what the government has really used the big economic space for, it's two main purposes. One is to strengthen well-being through a strengthened community economy and through a strengthened hospital economy, and the other is to invest for the future by investing not least in infrastructure, transport – on building the country. That's where the really big money and the action space are spent by this government. Then I have a great hope that the government parties and the cooperation parties will also find solutions in the budget this year.
ParlaMint-NO_2016-11-30.ana.ud343e78	Yes, I hear that there are several members of the government who still say they have a great hope of agreeing. We've heard that for weeks now, and we're now in overtime. I have given several examples of very specific issues that the municipalities of the country, on behalf of the patients and users who need to clarify these important questions, have still not received an answer. To put it a little simplified: the government now, with the Minister of Health and Health as a member, had eleven months to prepare the country's budget next year, while the most common budget date in the municipalities is December 8th, next week. So if we adopt the frameworks, maybe, on Monday, December 5 here in Stortinget, the municipalities will have a couple of days to talk about important areas where you don't know the questions. I say again that I think this is weak. I believe that the government must now show leadership and get out of the situation that it is now facing, not least on behalf of the patients for whom the Minister of Health and Health is responsible.
ParlaMint-NO_2016-11-30.ana.ud343e87	I can reassure the representative that the government parties in Stortinget and the government are constantly working on finding good solutions. It is true that there is no new situation either that there are overtime negotiations in the State budget. We have had a long tradition in Norway with minority governments who have been addicted to negotiating the budget in Stortinget. That's also the situation now. We have a great hope and, of course, want to find solutions to this until the financial debate on Monday.
ParlaMint-NO_2016-11-30.ana.ud343e92	There will be follow-up questions – first Tryful Battle Violence Vedum.
ParlaMint-NO_2016-11-30.ana.ud343e97	It is not surprising that it is chaos when the Council of State does not recognize that it is chaos and a problem, and when the Council of State of the United Kingdom claims that all deadlines have now been met and that systematic work is now being done in the four parties. It is quite clear in Storting’s Rules of Procedure that ‘by 20 November at the latest, the Financial Committee shall give its opinion’. The reason why the Committee on Budgets has not given its opinion is that the Right, the Progress Party and the two supporting parties have asked for a deadline to be postponed once in a while, and now we are in a budgetary crisis. Does the Council of State Höie see that this puts local people elected throughout Norway in a very difficult position – that the government has not shown leadership, so that those who are going to make decisions locally do not know what framework they have to deal with?
ParlaMint-NO_2016-11-30.ana.ud343e106	That there are deadlines that have been exceeded, I have not disputed in any way. What I've said is that we're working to find a solution. The day of Storting's decision on the framework is set to Monday, December 5, and that's what a worker is after. It is quite obvious to everyone, and not least to the government parties and the cooperation parties, that we should be able to find solutions in the past, but that is difficult. That's why we're still working on finding solutions to this. It is also the case that municipalities start their budgetary processes a long time before the Stortinget deals with the state budget. That's what one of them does. in the light of the Community proposal, adopted in May, precisely in order to give municipalities better conditions for planning. The municipalities also do not know exactly what the result is, until the financial situation is adopted, and before the Committee has finished its work before Christmas. Therefore, the municipalities have budgetary processes that take this into account.
ParlaMint-NO_2016-11-30.ana.ud343e115	Ketil Kjeseth - for follow-up questions.
