ParlaMint-NO_2016-04-27.ana.ud1895e26	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2016-04-27.ana.ud1895e29	On behalf of Bård Vegar Solhjell, Audun Lysbakken, Snorre Serigstad Valen and myself, I would like to make a proposal to repeal Section 184(a) of the Penal Code concerning violations of representatives of other states.
ParlaMint-NO_2016-04-27.ana.ud1895e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2016-04-27.ana.ud1895e46	On Monday the Stortingen received a message from the Prime Minister's office that Foreign Minister Børge Brende and the Councils of State Elisabeth Aspaker and Torbjørn Røe Isaksen will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Trond Giske.
ParlaMint-NO_2016-04-27.ana.ud1895e53	My question goes to the Minister of Knowledge. Since the Right and Advance Party joined the government in 2013, unemployment in Norway has increased dramatically, by 50 pst. more available. 134 000 Nordics are now out of work. That's the highest number in 23 years. Youth is hit hardest, youth unemployment is increasing most — young people who face adult life without the opportunity to get a job, income and manage themselves. Nearly half of those who were unemployed last year had only primary school as the highest completed education. At the same time, every four young people leave school without completing high school. There are 15 000 new young people for each coal at the back of the unemployment line. Strong efforts and innovation are needed to ensure that many more can succeed in school and gain the skills needed in a very tough labour market. In this situation, the Minister of Knowledge goes out and says that the time for the major reforms is over. Despite the fact that the Right Party and the Advance Party spend more oil money than any government before them, they cannot afford to bet, according to Red Isaac. The working party strongly disagrees. Unfortunately, the Right Party and the Progress Party are being given a majority in this Chamber to stop our proposals for new reforms. When we proposed 33 measures to reform vocational training and give more apprenticeships, the Right and the Advance Party voted it down. When we proposed to earmark support for the school health service, increase efforts against bullying and make all students safe, the Right and Advance Party voted it down. When we propose a new major reform with early school effort, a reading, writing and calculating guarantee, so that everyone starts school well, the Right Party and the Advance Party vote it down. What is the reason why the Red Isaac and the Right are opposed to these new, big initiatives and reforms that can help students finish school?
ParlaMint-NO_2016-04-27.ana.ud1895e68	In all areas such as the representative Geske mentions, the government and the cooperation parties deliver. Among other things, we deliver to close the gap between adult and youth law, which is a hole that has been there for a very long time — totally incomprehensible. We have increased the apprenticeship grant, which stood still almost all the years under the previous government. Now it's increased. The learning clause to push companies to have apprentices on projects when they sell to the public is being tightened up now. All this comes under this government. Efforts at school skills, at skilled teachers, are now coming. With the cooperation parties, efforts are also being made to increase the number of teachers between 1 and 4. steps. So the representative raises a very important question, and that's: do we have to do more when we see that unemployment is increasing and we know that youth is being hit hardest by increased unemployment? My answer to that is: Yes. We also have to do more. Because there is a crisis in the areas where unemployment is increasing, and there is a crisis for those affected. Then we have to see if we're going to make it even easier for companies to keep apprentices in tougher periods, we have to continue a big investment in knowledge, innovation and research that this government and the cooperation parties have stood for, we have to look at our innovation tools, and we have to make our system more flexible. There's a big message for treatment in Stortinget now, about lifelong learning and alienation, which is really about the issues that many of those who are now losing their jobs and want to increase their skills, are in the middle of it, so it's a good opportunity for the Stortinget to deal with it. In the end, I know that the representative Giske has had a lot of other things to do in the last few weeks and may not have read the newspapers as well as he does, because I have not said that the time for the major reforms is over, but that I believe the time for the major cost-intensive reforms that give more to everyone is over.
ParlaMint-NO_2016-04-27.ana.ud1895e79	It is absolutely right that I am very concerned about children and young people's growth and conditions. [[Laughter]] We cannot afford costly reforms, says Red Isaac of the Evening Post. That's right. But that's not quite true, because one very costly reform can afford the Right and Advance Party, and it's tax cuts for the most prosperous in Norway in almost 20 billion. kr. In fact, the one bet that the Stortinget has unanimously adopted with the Right and the Advance Party is a commitment to further training for teachers. But it's ten days' tax cuts. That's the difference between school spending and tax cuts. This year, the tax cuts were 40 times what Røe Isaksen got to primary school and secondary school. Last year, 100 times more went to tax cuts than extra to primary and secondary school. Before the 2013 elections, Erna Solberg said that tax cuts did not take precedence over other bets. Does Røe Isaksen agree that with 100 times more tax cuts than for school, tax cuts may seem to prevail anyway?
ParlaMint-NO_2016-04-27.ana.ud1895e88	Let's use 1 billion. kr on continuing education in the year. How the representative Giske can make it ten days' tax cuts is out of my mind. Now I'm not the steadyest in mathematics, but that's how I manage to see through-- that 1 billion. kr is not 10 days in tax cuts. Then there was a bet that was necessary precisely because the previous government had not prioritised the biggest and most important things in school. They had no prioritized competence, no prioritized continuing education, no prioritized early efforts. Of course, as a member of the government, I also believe that part of the conversion package is that it will be more profitable to operate, own and maintain jobs in Norway. If you think that the companies that are now struggling will be less laboured by the increase in tax billing, I am very interested to hear what support you have – from economists or others – to increase taxes in times of decline, as unemployment increases, is a good contribution to job security.
ParlaMint-NO_2016-04-27.ana.ud1895e97	It opens up for follow-up questions – first Marianne Aasen.
ParlaMint-NO_2016-04-27.ana.ud1895e100	Increased implementation in higher education and in universities and higher education may be the most important measure to prepare people for a rather demanding labour market. Early effort, the ability of all children and young people to read, calculate and write when they leave school, may be the most important measure to prevent apostasy. In Prime Minister Erna Solberg's speech at the Right Country Meeting not long ago, early efforts were the big thing to solve the challenges in school. What we all remember was the election campaign in 2013. Then she talked about asking for confidence in creating a new and effective government. Where are the measures that the government intends to take in order to make early school interventions? And what are you going to do more than just come up with big words?
ParlaMint-NO_2016-04-27.ana.ud1895e107	We intend to follow up on the budgets, and we intend to follow up on a big message. Because there has been no disagreement, there has been no difference in rhetoric at least, when it comes to investing in early efforts. The question is what do you actually put on when you have the chance. The previous government made an admirable effort in the youth. It was very good with that. I think that the most important bet should be early, an early start, precisely because we know that if we manage to catch up with the students who don't learn to read, write and calculate, early in school, it will also help improve high school performance. What have we already done? For example, taking skills seriously throughout the school cycle through skills requirements, which fortunately the Labour Party is also in favour – they will be here in 10 years, but it is now another matter. It's important. There is also further training, where several of the offers are directly eaten in order to make teachers even more experts – to put it that way – at early work, and not least bets with the Christian People's Party and the Left on several teachers at 1–4th stage.
ParlaMint-NO_2016-04-27.ana.ud1895e114	Anders Tyvand – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e117	There is a broad consensus that early effort is the key to solving the challenges we have in school today. But for us to succeed with early efforts, it is absolutely essential that there are enough teaching resources available in the school. That is why I am pleased with the efforts we have made in the negotiations with the Government Parties and the Left, on more teachers of the youngest students. We used to have a class division in Norwegian school. I don't think anyone wants to have that back. However, when the Storting decided to remove the rating numbers in 2013, the majority was also clear that this should not be a saving measure. The old class breakdown shall remain at a minimum level for the allocation of resources to the school. This was also confirmed by the Minister of Knowledge in May 2014, but the Council of State could not respond to this or not being complied with in Norwegian schools and Norwegian municipalities. My question is whether the Council of State can today give some answer as to whether the Ministry has an overview of how this legislation is followed in Norwegian school.
ParlaMint-NO_2016-04-27.ana.ud1895e125	We have an overview of the development of both the number of students and the number of teachers, and therefore also the relationship between how many teachers you have and how many students you have — in general. And the big picture is that no less resources are being used in Norwegian school now than has been done in the past, and that there have not been fewer teachers in Norwegian school per student – it has remained relatively stable. Then it's quite right, as the representative says, that the cooperation parties have agreed that we need to focus more on more teaching positions in the first to fourth level. class. I think it's a good bet. The disagreement is whether we should link this effort to a kind of national norm. And just briefly: why am I not a member of it, why is the government not a member of it? In Oslo, there are, among others: with Christian People's Party in City Council, invested in several hours in school, several hours in school in Norwegian, mathematics – the kind of thing. I believe that it is a choice the municipalities should have, although it can then be at the expense of other important investments.
ParlaMint-NO_2016-04-27.ana.ud1895e130	Anne Tingelstad Wøien – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e133	In the speech to the national meeting, the Prime Minister said that — there was something new — an obligation is to be imposed on schools for the specific follow-up of students who are being followed. Early efforts are agreed that is incredibly important, and it is also important in terms of ‘drop-out’ later. I think it's good that the Council of State costs itself to say that the efforts of the red-green government towards high school were good, and I also hope that the Council of State will continue to retain the number of teaching positions that were increased there. So this government has increased the number of teachers at the nursery. But what I'm wondering -- I didn't get it all with me -- is, what's new, what's going to be in this duty for the schools to follow separately the students who're going to be hanging after? In the training law proposed by the red-green government in 2009, there is already an early commitment. It was added there in 2009, and even that it should be followed up with an increased number of teachers. So I wonder what's new in this duty.
ParlaMint-NO_2016-04-27.ana.ud1895e140	The details will come in the big message that we are going to present to Stortinget. It is true that the law says that you should have extra resources for the youngest, and that there is a general obligation to follow up all students. The control question we have to ask is: is this done in all municipalities and in all schools today? My answer to that is no. I believe that it is — the figures also suggest — that too many children and young people go through the first few years and already fall from there, which we cannot follow. The Prime Minister, in this context the Right-leader, announced at the National Council of the Right, was that one of the measures to strengthen early efforts would be to strengthen the law and make it even more clear that municipalities and schools also have a follow-up obligation. This can be done, for example: in a non-bureaucratic way through intensive training in small groups during periods, but I think it is a good idea that the decision on how to do so is at school. So it's natural to think that it can follow resources with it.
ParlaMint-NO_2016-04-27.ana.ud1895e147	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e150	At the national meeting two weeks ago – at Left – we adopted the programme on children, young people and growing up that I have here, which was stamped by Arne Holthe of the Institute of Public Health as one of the best things for the children if this was adopted. We've already done a lot of good with the government, such as. introduced free core time in kindergarten for all children, and one of the proposals in this document is free SFO for children from low-income families. 25 pst. Of the children in Norway, SFO is not using today, and we know that there is a lot of learning to get from the SFO. We in the Left also propose in this document a complete reform of the SFO, so that all children can have equal opportunities for quality time there, including art, culture, sport and not least skilled homework. My question to the Council of State is: Will he look at the possibility of implementing such a reform of the SFO? Clearly it will be expensive, but it will certainly be for the benefit of the children.
ParlaMint-NO_2016-04-27.ana.ud1895e159	I agree that we have achieved a lot of good, and among those things there is also, after the budget conciliation last, some means in place to look at the school leisure system, for which the Left was a proponent. But then you ask what I want to take the initiative for. It is important that the school leisure system is as good as possible. Today, there's a very big difference between the municipalities on what they put in it. I believe, however, that there are still so many unsolved tasks in school – early work, teachers who will be refilled, develop better teaching practices, more sharing culture, not to talk about new teacher training – that it will be my main priority in the future. So if I have to choose and choose – and I have to – I would rather use our resources to strengthen e.g.. Early intervention, ensuring that no children fall out of school in the first years of their life, but having a new, major reform of the school leisure system.
ParlaMint-NO_2016-04-27.ana.ud1895e166	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e169	Once upon a time, the Right was known to talk about tax and school. Now you talk about school, but you do tax – it's a very clear division of labour: you talk about one thing, and then you do something completely different. The lack of willingness to invest resources in schools and kindergartens is one of the reasons why there is an increasing level of conflict between those working in the sector and this government. Other reasons are the divorce decision, on which the minister of knowledge finally stood, and the resistance to doing what teachers say is the most important thing for quality in school: a standard of teachers so that we can increase teacher density in primary school, and the kindergarten plans, where new framework plans are now being created without including the professional community itself, for the first time. It is in this sector that every time the Right takes power, the conflict level increases because the Right does not listen to those who work in the sector. Why is the Minister of Knowledge so poor at listening to teachers and kindergarten teachers?
ParlaMint-NO_2016-04-27.ana.ud1895e176	I do what I can to listen, I'm a lot out in the sector, have regular meetings with trusted people, but that doesn't mean that we always agree on things. You can put the question back to SV. One of the things that the Federation of Education, the second largest trade union of teachers, warns against, is all-day school. They warn against a full-time school because they believe that there will be a diffuse distinction between school and leisure, that resources will be used on something that is a kind of half-way school, without a direct quote. It is allowed for SV to have that position, even though not the teachers' organisations end up doing so. Listening is about having a starting point. Sometimes you have to compromise, get input from the sector, but that doesn't mean that the government's or the Right's school policy will at any time be exactly what the teacher's or others have on their agenda, but basically – both on five-year master's education and further education – we have teachers in our backs.
ParlaMint-NO_2016-04-27.ana.ud1895e183	Let's move on to the next main question.
ParlaMint-NO_2016-04-27.ana.ud1895e187	My question goes to the Minister for Foreign Affairs. We have previously discussed in this Chamber how Palestinian self-government authorities reward those who commit terrorism against Israel. Barth Eide, the predecessor of Brende, took this up with the Palestinian self-government authorities and demanded that the scheme be terminated – something that was also promised. That's not a small sum we're talking about here. So hundreds of millions of dollars a year go to people who have committed terrorism in Israel. And the more serious the terrorist attack has been, the more pay you have. If you go through it a little systematically, it is also hailed by people and groups that are very close to self-government, and you encourage schools and other organisations to call football tournaments, basketball tournaments and whatever it should be, in the name of terrorists. We're familiar with this. What has been done by the Palestinians? Well, you've just turned down a sign with the "Ministry," and then you've screwed up another one with the "Funcommission" -- but it's the same money that goes to exactly the same people, and in the opinion of my Christian People's Party, it undermines what is going to build peace between Israel and Palestine. So my question is: what do the Foreign Minister think this must have for the Norwegian aid to the Palestinian self-government authorities?
ParlaMint-NO_2016-04-27.ana.ud1895e200	Thank you to the representative Syversen for addressing an important issue, which also gives the opportunity to put it into a slightly wider context. First, I have to say that the Palestinian self-government authorities, starting with Ramallah, are doing an incredibly important work on behalf of the Palestinians, who are under pressure. They do not dispose of their own territory. We know that there is a lot of injustice committed against the Palestinians in general, and it has been an important task for Norway, together with many other European countries and the United States, to support self-government – not least their work in health and education and to build the necessary state bodies, including in Ramallah. There are many Palestinians who are actually imprisoned in Israeli prisons for no reason, and where there are great questions about legal certainty. These funds to which the representative Syversen refers also go to these groupings. But, of course, for Norway, Norwegian aid should go to the families of those who have committed criminal acts against Israelis, i.e. Palestinians in Israeli prisons. That's totally out of the question. Last week I received a confirmation from Finance Minister Bishara that this is not happening. Then you have to be aware that the Palestinian self-government has tax revenues. They have their own income, they receive reimbursement of income from Israel as well, so that they have their own income that they can use for different purposes. I have not heard that neither the EU, the United States nor anyone else, nor the Israelis, are going to stop the transfer of legitimate tax revenue to the Palestinians because they have such a system. But I promise that I will take this up again and increase the pressure on the Palestinians, because this is not something that serves the Palestinian self-government authorities.
ParlaMint-NO_2016-04-27.ana.ud1895e211	It is safe to say that it does not serve them, because what is happening is that you are countering what is actually the goal of Norwegian aid money as well. The paradox is — the Minister for Foreign Affairs points out that money should go to health and education — that fewer funds go to just health and education because money is spent on these activities. You could call it what you want, but it's just an intermediate station that's now called the Commission prisoner. The money has increased to the same extent as it was within the ministry, the exact same amount of money goes on. The comparison with Israel just doesn't go away. It is under the Oslo Agreement, and it is the Palestinians' own resources. They'll do whatever they want. We have a responsibility that the money that Norway gives should go to completely different things than subsidising terrorism. So my question is, how will the Foreign Minister now follow up, or is it just saying that you don't like it, and then you're done with it?
ParlaMint-NO_2016-04-27.ana.ud1895e218	I have determined that this is an unacceptable practice on the part of the Palestinian authorities. In a letter to Norway in 2013, we were assured that Norwegian funds will not be used for the arrangements established by the Palestinians for Palestinians in Israeli prisons. I brought this up again last week, very clear, crystal clear, with Minister of Finance Bishara, and he said that there is not one penny of Norwegian aid for this. But I added that I also think they should end up with that scheme. The next week, it has been suggested that I should meet with President Abbas, and I will promise the representative of the Syversen that not only shall I again receive the guarantees that Norwegian aid money does not go to this – which they do not – but I will also take the opportunity to say to President Abbas, with all the challenges facing the Palestinians now, not least because of the lack of opportunity for development on the West Bank, that they are very well served to abolish this scheme for their own legitimacy.
ParlaMint-NO_2016-04-27.ana.ud1895e225	There will be follow-up questions – first Astrid Aarhus Byrknes.
ParlaMint-NO_2016-04-27.ana.ud1895e228	It is very good that this issue will be brought up with President Abbas. At all times, the main objective of Norwegian aid is development and poverty reduction. On the other hand, the aid to the Palestinian territories has had a different political base, to build up the work of peaceful conflict settlements based on Israel and Palestine living together as good neighbours. Then it's very sad to hear about these money rewards to prison terrorists, convicted terrorists who get payments higher than government officials. They will be honoured – at sports tournaments, at youth gatherings – and Fatah is actively using both Facebook and Twitter accounts in this area. Then I wonder: Does the Minister for Foreign Affairs think that this was the case with the main objective of Norwegian Palestine aid, which is to work for mutual trust and the basis for a peace process with Israel?
ParlaMint-NO_2016-04-27.ana.ud1895e233	Now it is the case that Norway has a good relationship with both Israel and the Palestinians. When I'm in contact with Israeli authorities, there are many questions we have to address, not least the lack of a two-state solution. The increasing Israeli settlements on the West Bank also create a climate in Ramallah on the West Bank that is very demanding. But there is no excuse for setting up a system in which money is given to imprisoned Palestinians in Israeli prisons that also includes those who have committed criminal acts. The Palestinians should stop that now – we have asked for that. But what is absolutely crucial is that Norwegian aid money should not go there. Then, of course, you can think loudly about whether because of the existence of this scheme, and not for Norwegian money to go there, you should stop giving assistance to Palestine and the Palestinians at all. If we are going to start in such a direction, I think we will see that there are quite a number of aid countries that have different arrangements that we do not agree with. So it's going to be a very demanding operation, which I think we're going to think carefully through, and which neither the United States nor Israel themselves have raised.
ParlaMint-NO_2016-04-27.ana.ud1895e240	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e243	I would like to express my support for the work of the Minister of Foreign Affairs to strengthen the Palestinian self-government authorities, but also for the demands that the Minister of Foreign Affairs makes quite clear to the Palestinians. What is now a danger is that much of the responsibility of the Palestinian self-government authorities for schooling and health care is under strong pressure. There are often other countries in the Middle East now receiving funding from the West. At the same time, we see that there is a great and extensive work that needs to be done in Gaza to provide people with proper health care and education, and that in itself helps to prevent extremism. What will the Minister of Foreign Affairs do to strengthen the Palestinian welfare offer?
ParlaMint-NO_2016-04-27.ana.ud1895e248	It was a question with a different starting point. Now, the Palestinian authorities are one of the largest beneficiaries of Norwegian aid, but what we are providing is, above all, concrete health and education projects aimed at rebuilding damaged areas in Gaza. I fully agree with Mr Huitfeldt's representative, we should not underestimate the danger of increased violent extremism and radicalisation if it is not a political horizon and a political hope for the establishment of a two-state solution. If it continues to evolve in such a difficult humanitarian direction as we now see in Gaza, it's not just a workhouse, but a powder keg that can explode at any time, and we've seen in this region that we've underestimated the danger associated with vulnerable states.
ParlaMint-NO_2016-04-27.ana.ud1895e253	Let's move on to the next main question.
ParlaMint-NO_2016-04-27.ana.ud1895e257	Think of the scenario that France has been given a new government, and then the new French EU Minister at his first meeting in Brussels is going to be a little excited, goes in, meets the European Commissioner and starts by saying, ‘Pardon, excuse!’ Sorry, that the previous French government stood up for the French food industry, French agriculture, French jobs. It's an unimaginable scenario that a French government would ever do something like this. But when the Right-State Council Vidar Helgesen traveled to Brussels in the autumn of 2013, the first thing he did was meet with his opponents there, saying, "I'm sorry, I'm sorry!" The previous Norwegian government stood up for Norwegian agriculture, for Norwegian food industry, for Norwegian jobs. They shouldn't have done that! Fortunately, however, a large number of people here stood up and said no to Norway flagging out industry and jobs to the EU. And now we are embarking on a new customs negotiation between Norway and the EU. So my question to the new European Minister is: will she break the line from the predecessor, or will she – as he – wish to give major concessions, so that Norwegian jobs and the Norwegian food industry have to fly out?
ParlaMint-NO_2016-04-27.ana.ud1895e266	It is the government's starting point that we are going to have a viable agriculture in Norway. We are going to have a policy that helps us create new jobs, but at the same time we are going to have a policy that enables us to contribute and be part of a large community of interests in Europe. The EEA Agreement is Norway’s main anchor fasteners, which is our main market – 80 pst. Norwegian exports go to Europe – and it is crucial for us that we have an EEA agreement that is being complied with and that helps us to have as much competitive conditions as possible, that we can help ensure that the economic growth to take place in Norway can also be achieved with the help of the large market in Europe. Then it is that EEA Agreement has been negotiated with some commitments for Norway, where Article 19 requires us to negotiate the gradual liberalisation of agricultural products. It has several governments before us. It has also been done by the government of which Mr Vedum was a member in the previous growing-up period, and that is the commitment that the Norwegian Government is now following up. So we're complying with what's important for two parties: it's important to us that we fulfil the obligations we have under the EEA Agreement, but it's of course that we want to find good, balanced solutions that also take care of the business and agriculture we have in Norway.
ParlaMint-NO_2016-04-27.ana.ud1895e277	I notice to the Council of State that she does not want to be clear that she will stand up for Norwegian interests in the negotiations that are now with the EU. There is no doubt that if you look at the trade statistics between Norway and the EU, the EU has been the great winner of food exports in recent years. It has doubled since 1995. The agreement states that it shall be «on a mutually beneficial basis» and shall be within the framework of the agricultural and food policy of the country concerned. When we made improvements in the autumn of 2012, we got massive criticism of it, but the criticism was stronger from the Right than it was from the EU. For example, Erna Solberg said that this was taken as a very negative signal, Jan Tore Sanner said that they would be gone with a new government, and Svein Fleet said that they would remove the improvements before he had ‘hanged off the coat’. So then my question is to the Council of State: Is it such that the Council of State feels a pressure internally in the government to give away as many jobs as possible, weakening Norwegian positions as possible, as the Right meant in the fall of 2012?
ParlaMint-NO_2016-04-27.ana.ud1895e286	I will protest at the presentation by Schlagsvold Vedum that today's government does not stand up for Norwegian interests. We do, but we have an international agreement that we also have obligations to stand up for. But let there be no doubt: it is not that we are sitting at the negotiating table and want to give up as much as possible. But I also think Battle Violence Vedum must take on board that it did not exactly create a good negotiating environment for future Article 19 negotiations, the changes that were made during the previous government. So we probably have a more demanding starting point, but I can assure the representative that we will stand up for Norwegian interests in those negotiations.
ParlaMint-NO_2016-04-27.ana.ud1895e291	It opens for follow-up questions – first Liv Signe Navarsette.
ParlaMint-NO_2016-04-27.ana.ud1895e294	As the representative, Mr Vedum, said, the EU has multiplied its exports to Norway. Norway’s exports to the EU have also seen strong growth – then in fisheries, but not in agriculture. We've had a very good development and a growth of 150 pst. on fish. Several of the representatives of the Right have linked fish to agriculture. The Minister said in the European Commission on 14 March that the government has ‘an overall consideration to take by having many other important issues in which we want to achieve results in the EU, so that there is also a totality that needs to be assessed’, on questions of precisely Article 19 and the position of the government. Today, unemployment in the West is rising, and industrial and industrial workplaces are at risk. From what other point of view is the government willing to sacrifice Norwegian jobs in agriculture and the food industry? And do the Council of State think that the developments we see today in exports and imports of agricultural products are balanced and mutually beneficial?
ParlaMint-NO_2016-04-27.ana.ud1895e308	There has never been a balance between imports and exports of agricultural products. It hasn't been in the past, and it's hardly going to be in the future either. But I would like to emphasise once again: we are negotiating with one of the best interests of Norway. In the meeting of the European Committee of Great Britain to which reference is made, I did not have the link between agriculture and fish, for the new fisheries agreement negotiated, negotiated last year, in parallel with the EEA funds. However, it is all the other major areas in Europe that it is important for Norway to have an impact. That is in the overall picture we also need to see the negotiations that we now have on Article 19. It is important for us to come up with good, agreed results in order to also preserve goodwill and have impact in other areas.
ParlaMint-NO_2016-04-27.ana.ud1895e315	Terje Aasland – for follow-up questions.
ParlaMint-NO_2016-04-27.ana.ud1895e318	From the situation we are now in, I think the main question is timely. It is also right, I think, to demand a relatively clear response from the European Minister. Firstly, there is no doubt that imports from Europe of food products, or foodstuffs, are growing significantly. It has doubled since the 1990s, and all indications suggest that it will increase in the future. It is then important to clarify which position the government actually chooses to take on behalf of Norwegian jobs and on behalf of the Norwegian food industry. There is no doubt that with the reaction of the Stortinget after Helgesen was going to wind up the ostetoll, there was really a broad agreement in the Stortinget that one should use import protection to ensure that Norwegian food production and a viable agriculture are seen in a context. Then there is reason to ask the question again: How will the government's position on the Norwegian food industry be in the negotiations in the future?
ParlaMint-NO_2016-04-27.ana.ud1895e325	We've had laps where we've been recorded, and where we've listened to the advice that came from, among other things. the food industry in this field. Then I – I think you fully understand – can't go into what are the Norwegian positions in what's going on. When it is said that imports into Norway have increased: yes, this is also because under the previous government the cheese quota was increased by 2 700 tonnes, the meat quota by 2 700 tonnes. So it is clear that it is a result of the Article 19 negotiations that have been going on over the years that imports into Norway are increasing. It's also part of the commitments, or the EEA Agreement, to which we have actually committed ourselves, and to which the Storting has joined. So it should not come as a surprise that when we have such a commitment, it also means that imports into Norway are increasing. But we also look at the possibilities of whether there are goods in Norway that can also go the other way more.
