ParlaMint-NO_2016-11-16.ana.ud119e28	The called alternate of the Nordland County, Anette Kristine Davidsen, now takes the seat.
ParlaMint-NO_2016-11-16.ana.ud119e47	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2016-11-16.ana.ud119e54	From both sides of the Atlantic we now experience unrest among people, and an important explanation of that is social unrest. People experience job insecurity, but they also experience job insecurity – often of temporaryity, social dumping and crime in several industries. And we have the impressions and protests of the U.S. voters in fresh memory. In the United States, unemployment is low, but the quality of jobs created is poor. Many people have to have both two and three jobs in order to get along, and there is pressure on the safety of work. Fortunately, in Norway we are not there, but we are not protected. The government itself says that the crime of working life has become more extensive, more serious and more complex. It's a very serious diagnosis. In Norway, we have met in the past such developments with active policies, great efforts from the trade union movement and the mobilisation of tripartite cooperation. And in our time in government, we launched three action plans against social dumping: we made sure that vulnerable workers were given stronger rights, such as joint responsibility for pay and holiday pay, we strengthened the first-line defence, among other things. by raising the trade union deduction and providing trusted access rights, more organised, and we started to coordinate police, tax and labour supervision to combat crime. In many cities where the Workers' Party is now responsible, we have called for apprentices, professional skills and our own employees in public projects. In our alternative budget, there is a targeted effort for increased organisation, stronger labour supervision, strengthening of ecocrime, a new work crisis centre, etc. Overtime, there is now a serious register on the stairs – as the construction industry has asked for for a long time. Nevertheless, I believe that the space for action which is necessary to exploit this development is not being used. My question to the Prime Minister is: When the government says that the crime of working life is extensive, how does the Prime Minister think of mobilising an effort that is proportionate to the task of securing Norwegian working life and people at work?
ParlaMint-NO_2016-11-16.ana.ud119e63	I agree with the head of the Labour Party that ensuring orderly conditions in the labour market is one of the most important things we do – also in order to ensure fundamental well-being. There are several important strategies for it. The most important is found in the Action Plan on Labour Crime presented by the government, which we have developed in cooperation with the NHO, LO and the social partners. We're now following it up, and we're seeing clear results. We see that through the increase in efforts we have had, there are several issues being investigated, there are several issues being solved, and there are several issues that contribute to more tidy relationships. Therefore, we systematically follow up this work at a much higher rate than it was done in the years before. That is why we have several joint cooperation offices, and that is why this is a higher priority than it has been in the past. Another important part of this work is to make sure that we don't have many who live illegally in our country. The people who are most vulnerable to gross exploitation in a labour market are those who do not have the right to be there. That is why we need to see a strict immigration policy and a strict practice of sending people out without a legal stay in the context of having serious conditions on the labour market. The government has also increased its efforts in this area.
ParlaMint-NO_2016-11-16.ana.ud119e72	The Riksrevision has now given a slightly different assessment of the implementation of this work. They have criticized the government for not following it up well enough. Let me ask you a little more specific question. In our third action plan on social dumping, we proposed to exploit the possibility of demanding Norwegian shipping wages and working conditions for offshore farming out of the Norwegian coast. It has refused to follow up. I believe this is a question it is important to clarify. When, in the years that come, we're going to bet more on the ocean -- I think the Prime Minister and I agree -- we need to create safe jobs, we need to motivate young people to choose subjects related to the sea and the ships. The majority of the committee appointed by the government, the Committee on the Navigation Area, and several rapporteurs along the coast have so called for this. Related countries, such as Canada and Australia, look at how they can introduce this in line with international legislation. Nevertheless, the government has chosen to sit with its hands in prison, and in my opinion, it seems to me to be a fear of gaining knowledge. The question is: is the Prime Minister open to conduct an investigation into how this can be done, and then, if necessary, discuss with the parties how it can be implemented, so that we get proper working conditions on Norwegian vessels along the Norwegian coast?
ParlaMint-NO_2016-11-16.ana.ud119e79	In the Maritime Committee, the balance between providing competitive Norwegian companies and a competitive Norwegian maritime cluster was taken into account, and we see that the results of this, for example. is that we are now flagging considerably more ships under Norwegian flag. It's of great importance, because that means that our strength in, for example, international climate negotiations are increasing in the negotiations that take place through the international maritime organisation. There actually counts tons and deadweight, i.e. ship size and how much you dispose of, as an important piece of negotiation. That is why we have considered it important that we actually have a policy where we have good arrangements to get more Norwegians on boats that go both along the coast and otherwise – we have done so by ensuring that the compensation schemes are still in place on pay terms – and at the same time in some areas make changes that help us actually get more ships.
ParlaMint-NO_2016-11-16.ana.ud119e84	There will be follow-up questions – first Day Terje Andersen.
ParlaMint-NO_2016-11-16.ana.ud119e89	The Prime Minister mentioned in his first reply the strategy against labour-related crime. We have asked the government in connection with the state budget what efforts are being made to follow that strategy. In the first line of the government's response, the draft government budget does not include any new, specific initiatives. Does the Prime Minister think it bears witness to the power of action?
ParlaMint-NO_2016-11-16.ana.ud119e96	It is such that action is shown not only through appropriations in a budget. We have now built up a new structure where we have several common workplaces around the country. They use the resources in the agencies themselves, in the Labour Inspectorate, in the police and in the foreign administration where necessary to deal with this. What we see is powerful implementation in these areas. In these days, there is a major legal case relating to precisely these issues, such as: has come up because we have had good cooperation between these agencies. That shows that we're getting results. We have also followed the social partners directly at the top level to ensure that the action plan measures are followed up. We've seen the results, and we see that it works. The answer is not a token in the budget every time. The answer is actually action out. I want to take advantage of the opportunity to praise both the Labour Inspectorate, the police and others for the priority they are currently taking of these kinds of matters.
ParlaMint-NO_2016-11-16.ana.ud119e105	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e110	The fight against crime at work and the job of ensuring serious business players is very important. I agree with the Prime Minister that a lot has been done, but a lot remains. This week the Evening Post could tell us that the state company New Vegar AS has awarded contracts to companies that are now aimed at serious crime and corruption. To the newspaper it was also told that the former director of New Vegar ended the day with a warning to the government to ensure the anti-corruption work. This shall have been done in the final question of internal business ethics, which should have been lemped in several rounds. It is important that the state, with its projects, is able to set the gold standard in Norwegian working life. The question is, how can we ensure that?
ParlaMint-NO_2016-11-16.ana.ud119e118	Through the qualification that is being done, it is quite clear that all contractors are required to work. Both requirements and requirements related to this shall be set. It's about social responsibility and health, about the environment, and it's about safety. Everyone who gets prequalified has to satisfy all of the shell requirements, and here we're actually talking about over a hundred shell requirements to be met. Some of these requirements are subject to duty and to the right of rejection. The obligation of rejection is linked, for example, to: judicial judge against corruption and organised crime. In that case, New Wegener, the contracting entity, has the right to reject any tenders that come from companies or not to pre-qualify them. None of those who are now prequalified have a verdict against them. If you were to go so far as to say that only you are being targeted in a case, you should be rejected, it would actually do something about the legal certainty for many.
ParlaMint-NO_2016-11-16.ana.ud119e123	Hans Fredrik Gruvan – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e129	In the report mentioned in the Evening Post on New Roads on Monday this week, a letter from the former HMSK Director of New Roads was sent to the Prime Minister. In her letter she strongly encouraged the government to take the anti-corruption work seriously and protect the alerts. According to the Prime Minister that alerts have a good enough protection in Norwegian legislation, or could have been protected by e.g. an alert agent?
ParlaMint-NO_2016-11-16.ana.ud119e134	On Friday, the government reduced a sample to go through alert protection in Norway. The government would not have done that if we were sure everything was perfect – then we had not spent time and work on it. We are open to making changes that mean a strengthening of protection. Whether it means an agent, or whether it means other, clearer, legal rules, we have to wait until the sample comes with something. The government takes this seriously, and we are concerned that we should have a good protection of alerts. But the important thing is actually when the notice comes, that you handle it in the line that's responsible for correcting what's being warned about, so that it has an effect outwards. It's one of the important things we have to do in every single line of work – to make sure that you have clear lines in how to handle a warning, and how to follow up and correct it as it's announced.
ParlaMint-NO_2016-11-16.ana.ud119e139	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e144	New Roads have changed their business ethics requirements from the first project, Tvedestrand-Arendal, to the next, Ruggtvedt-Dørdal, and to the last, which went from Colomen to Moelv. There have been weakened claims for business ethics, and that is regrettable. The responsible director of Nye Veier resigned his position during the day and sent a letter to the Minister of Industry asking why New Veier would not comply with the ISO 37001 standard of anti-corruption in his work, and, in the case of public procurement, why not extend the strict requirements of the prequalification to parent companies, subsidiaries and owners. Too often the drug is washed cleanly through a white company, while the rest of the group operates across legislation.
