ParlaMint-NO_2016-10-01.ana.ud379e26	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2016-10-01.ana.ud379e35	The President-in-Office of the Council will ask the secretary of the last big man, Jette F. Christensen, to act temporarily as a secretary.
ParlaMint-NO_2016-10-01.ana.ud379e48	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: from the Workers' Party Group on the leave of the representative Jens Stoltenberg for the period from 1 October to 30 September 2017 due to the position of the Secretary-General of NATO from representatives Jorodd Asphjell, Heikki Eidsvoll Holmås, Ingvild Kjerkol, Kari Kjønaas Kjos, Siri A. Meling and Helge The place of leave from 1 October to 14 October – all to attend the 71st General Assembly of the United Nations in New York from the representatives of Regina Alexandrova, André N. Skjelstad and Bente Thorsen on leave from 1 October to 4 November in order to take part in a master's course at the Defence College from the Right-wing Group on the leave of the representative of Gunnar Gundersen for the period from 1 October to 8 October to take part in the meetings of the EFTA Parliamentary Committees of Manila and Hanoi from the Workers' Group on sick leave for the representative Eva Kristin Hansen from 1 October until further notice from the representative of Ms Lene Vågslid on parental leave for the period from 1 October to 16 October from the representative of Kjell Ingolf Ropstad on care leave for the period from 1 October to 7 October by Mr Nikolai Astrup, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on Saturday 1 October These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. Mr Gunn Elin Flakne, the first deputy representative of the South-Trøndelag County, has received an application for an exemption from meeting under the leave of the representative Jorod Asphjell, from 10 October to 13 October, for reasons of well-being. On a proposal from the President, it was decided unanimously: The application shall be examined immediately and accepted. The following alternates are invited to meet during the leave period: For East Agder County: Terje Østebø Eikin 1–7. October For Akershus County: Camilla Mollatt 1-13. October For the state of Hedmark: Rangdi Krogstad 1.–6. October For the Mora and Romesdal counties: Arnulf Goksøir 1–13. October For Oslo: Truls Wickholm 1 October 2016-30. September 2017, Frode Helgerud 1 October and Ingunn Gjerstad 1–13. October For the county of Rogaland: Sissel Knutsen Hegdal 1-13. ==References====External links== October For Telemark County: Lise Wiik 1-13. October For Troms County: Kristian Støback Wilhelmsen 1 October–4. November For Nord-Trøndelag counties: Jorid Holstad Nordmelan 1–13. ==References====External links== October For South Trondelag County: Audun Otterstad from 1 October until further notice, Gunn Elin Flakne 1–6. ==References====External links== October
ParlaMint-NO_2016-10-01.ana.ud379e219	Terje Østebø Eikin, Camilla Mollatt, Rangdi Krogstad, Arnulf Goksøyr, Truls Wickholm, Frode Helgerud, Ingunn Gjerstad, Sissel Knutsen Hegdal, Kari Raustein, Lise Wiik, Kristian Støback Wilhelmsen, Jorid Holstad Nordmelan, Iren Opdahl, Audun Otterstad and Gunn Elin Flakne are present and will take the seat.
ParlaMint-NO_2016-10-01.ana.ud379e226	The Presidents and Secretaries shall then be elected. The elections will be held in line with the Rules of Procedure of the Grand Duchy of Luxembourg, Section 6, second and third paragraphs. The President-in-Office will then propose that we vote in the usual way, without the use of ballots. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2016-10-01.ana.ud379e237	I propose the Olemic Thommess.
ParlaMint-NO_2016-10-01.ana.ud379e245	Olemic Thommessen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e255	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2016-10-01.ana.ud379e260	It's an honor for me to propose Marit Nybakk.
ParlaMint-NO_2016-10-01.ana.ud379e268	Marit Nybakk has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e278	The President then asks for proposals on the second vice-president of Stortinget.
ParlaMint-NO_2016-10-01.ana.ud379e284	I have the pleasure of proposing Kenneth Svendsen.
ParlaMint-NO_2016-10-01.ana.ud379e292	Kenneth Svendsen has been proposed to the second vice president of Stortinget. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e302	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2016-10-01.ana.ud379e307	It's an honor for me to propose Svein Roald Hansen.
ParlaMint-NO_2016-10-01.ana.ud379e315	Mr. Svein Roald Hansen has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e325	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2016-10-01.ana.ud379e330	I have the joy of proposing Injerd Schou.
ParlaMint-NO_2016-10-01.ana.ud379e338	The Ingerd Schou has been proposed to the Fourth Vice-President of the Storting. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e349	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2016-10-01.ana.ud379e354	It's a pleasure to propose Line Henriette Heimdal.
ParlaMint-NO_2016-10-01.ana.ud379e362	Line Henriette Hemdal has been proposed to the Fifth Vice President of the Storting. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e372	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2016-10-01.ana.ud379e377	It's an honor to propose Jette F. Christensen.
ParlaMint-NO_2016-10-01.ana.ud379e385	Jette F. Christensen has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e395	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2016-10-01.ana.ud379e400	It's a pleasure to propose Sylvi Graham.
ParlaMint-NO_2016-10-01.ana.ud379e408	Sylvi Graham has been proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2016-10-01.ana.ud379e419	The 161st of Norway can thus be declared as legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government, so that he may obtain the King's decree on the time of the opening of the Great. – It shall be deemed to have been adopted. The time will be published later. The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom has been delivered, give the customary wish to the King and the country of origin – and consider this authority to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting. – This authorisation is also deemed to be granted. As a deputation, the representatives Kristin Örmen Johnsen, leader, Per Olaf Lundteigen, Helga Pedersen, Frank Bakke-Jensen, Kåre Simensen, Jan-Henrik Fredriksen and Kirsti Bergstø are appointed. In response to the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to the service in Oslo Domkirke on Monday 3 October, at 4 p.m. 5:00. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
