ParlaMint-NO_2016-10-19.ana.ud107e28	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2016-10-19.ana.ud107e33	On behalf of the representatives of Jenny Klinge, Kjersti Toppe and myself, I am delighted to propose a ban on the import of street dogs into Norway.
ParlaMint-NO_2016-10-19.ana.ud107e38	The representative, Anne Tingelstad Wøien, will put forward a proposal for a representative.
ParlaMint-NO_2016-10-19.ana.ud107e43	On behalf of the representatives of Kjersti Toppe, Liv Signe Navarsete, Marit Arnstad and myself, I would like to make a proposal to wind up Norwegian participation in the PISA study.
ParlaMint-NO_2016-10-19.ana.ud107e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2016-10-19.ana.ud107e64	On Monday the Stortingen received a message from the Prime Minister's office that the Councils of State, Siv Jensen, Elisabeth Vik Aspaker and Anniken Hauglie will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Marianne Marthinsen.
ParlaMint-NO_2016-10-19.ana.ud107e73	My question goes to the Minister of Finance. This spring we had a debate in Stortingen about increasing differences. The Minister for Finance then said: ‘First, there are no increasing differences in Norway. I just want to refute that claim." However, after asking written questions about the Minister of Finance's statements, she had to admit that the differences are increasing. This week, the SSB presented a report showing both an increase in income differences, an increase in the proportion of low income and an increase in the proportion of persistent low income. So there's going to be bigger differences between people and more poor people. The main economic distinction goes between those inside and those outside the labour market. Now the employment rate is the lowest in 20 years, and almost no jobs are created in the private sector. It contributes to increased differences. Another redistributive instrument is tax. In four budgets, the government has cut taxes by almost 25 billion. kr and increased the fees by 3,3 billion. kr. Last Friday, TV 2 was able to reveal the distribution profile after three years with the Right Party government: while the country's wealthiest gets $1,800 a day in tax cuts, most people get a few headsets. It also contributes to increasing differences. Then we have a third redistributive instrument, and that's the device on the state budget. Here the government has, among other things, the reduction in the child allowance for the disabled, the motor vehicle scheme for the disabled, the introduction of tax on termination benefits and the removal of the holiday allowance for the unemployed. Next year, the government is proposing cutbacks in support of multi-disabled, disabled and chronically ill people. It also contributes to increasing differences. My question is, is the Minister of Finance concerned about a development where the differences are increasing? And in that case, why has the government over the entire period led a policy that helps to increase the differences?
ParlaMint-NO_2016-10-19.ana.ud107e94	Let me start by saying that we're going to be very happy that we live in one of the few countries in the world with as little differences between people as it actually is in Norway. That being said, I agree that we should constantly strive to reduce the differences even more, for the more people who manage themselves, the better it is for a society. That is why I agree with the representative Marthinsen that one of the main reasons for differences between people is the distinction between those who are in work and those who are out of work. That is why it has been incredibly important for this government, when we have encountered this very difficult situation with a historic oil price drop, to reinforce the measures both in the short and long term to meet the short-term challenges and at the same time contribute to the long-term and very demanding transformation of the Norwegian economy. The government has met with measures on the expenditure side, and we have met with measures on the tax side. This is a government where the two government parties have gone to the elections to reduce taxes in Norway, and we have delivered on that. I want to remind the representative Marthinen that 75 pst. of the tax reductions we have actually given, have gone to ordinary people, to pensioners, to social security, to businesses and to reduce other types of taxes, while only 25 pst. tax reductions have led to a reduction in taxes on wealth. But we have also chosen to do something about it, simply because we believe it is wrong to have more taxes on Norwegian ownership in Norway than on foreign ownership in Norway.
ParlaMint-NO_2016-10-19.ana.ud107e102	Then I disagree with the representative Marthinsen that the government is pursuing an unsocial policy. On the contrary, I believe that the budget for next year also shows that we are strengthening the social profile of the budget by strengthening mechanisms that will benefit people with different challenges.
ParlaMint-NO_2016-10-19.ana.ud107e105	I have to say I'm starting to wonder if the Minister of Finance has at all got the report that the SSB has presented, and the conclusions of it, and it might not be so strange if she doesn't have it, or is concerned about it. Before the election, the Minister of Finance went out in the Evening Post and defended increased differences and said: It is no public task to smooth out differences due to the fact that someone earns more and inherits more and owns more than others. Those opinions appear to be representative of the government. The tax havens have been targeted at those groups with the highest wealth. And then the finance minister is busy with percentages in his answer to me, and we can talk about percentages, because the government's own tables show that it's not just in dollars that the richest get the most. Also, the percentage reduction in taxes increases with increased income. At the same time, the Minister of Finance has increased the fees by 3.3 billion. kr. So what is the Minister of Finance's reason that she's given them with the highest incomes bigger tax cuts, both in dollars and in percent?
ParlaMint-NO_2016-10-19.ana.ud107e114	I have the SSB report with me, but I might be able to inform Marianne Marthinsen about a little detail in the SSB report, namely that the data base for it extends to the end of 2014. Then this government had started so far. So the background material for the inequality calculations contained in the SSB report extends to the functioning of the previous government. So it was under the previous government that the differences increased, and maybe it should bring Marianne Marthinsen before she attacks this government to increase the differences. On the contrary, this government is committed to reducing differences in Norway. Some of the most important tools we can use to achieve this are through the education system on the one hand, and it's by making sure that more people get into work, and not least that we have good health services. That is why this government has strengthened the health system, which is why this government has strengthened school effort, and therefore this government continues to reduce taxes.
