ParlaMint-NO_2016-04-06.ana.ud272e31	The representative of Sveinung Rotevatn will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e34	On behalf of Iselin Nybø, Ola Elvestuen and myself, I am delighted to present a proposal for a representative on the right of access to the royal house.
ParlaMint-NO_2016-04-06.ana.ud272e39	The representative of Trygve Schlagsvold Vedum will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e42	On behalf of Knut Storberget, Karin Andersen and myself, I have the honour of promoting a proposal for a representative on the safe storage of patient information.
ParlaMint-NO_2016-04-06.ana.ud272e47	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2016-04-06.ana.ud272e59	On Monday, the Stortinge received notice from the Prime Minister's office that the Councils of State Jan Tore Sanner, Monica Mæland and Anniken Hauglie will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first question, from the representative Dag Terje Andersen.
ParlaMint-NO_2016-04-06.ana.ud272e66	My question goes to the Minister of Labour, who is cordially welcome to the Stortinget. The Minister of Labour has been long-awaited, because full employment is the most important issue in society – in the view of the Labour Party – and a major challenge, which we now have in common. The main government measures so far have been tax-free, mostly to the richest, 18.5 billion. SEK – 50 million. kr every day of the year – which we miss out on tax revenue. The unemployed have been cut off in their economy. Nearer 2 billion. The unemployed are expected to contribute to the state register – or to receive less from the state register. Since the government took over, there have been 45 people who have lost their jobs every day. It's made us have a historically high leave. The latest figures from the Central Statistical Office show 134 000 unemployed in Norway, 4.8 p.m. While unemployment goes down in other countries, it goes up in Norway. When we can establish that the government's policy so far has not worked, what will the Council of State now do to reduce unemployment?
ParlaMint-NO_2016-04-06.ana.ud272e77	There is no doubt that from the very day one, the government has been working to secure competitiveness and new jobs in more industries than in oil-related industries – to give us more legs to stand on. We see that there are many sparkles out there. Oil and gas work, especially along the coast, but we also see that there are many industries and industries that now have better days, for example. because of a different dollar rate. We see that the measures work. It's companies that are now getting contracts. Several companies are going to get contracts in the future. Companies make bio-funds change to a new era, and we see that every day jobs are created out there. The measures are working. What are we going to do in the future? The action package will now begin to work. In these days, we are working on revised national budgets. We are also working with the state budget for 2017. What measures and measures should we present there, we almost have to wait to say something about until that day when we are going to present the budgets. For my own part, I just want to mention that of course we are constantly working on measures to improve the situation. I have encouraged Stortinget several proposals to improve the day-to-day arrangements in order to make it easier for those who are now losing their jobs, to combine day-to-day pay with, among other things. education and with the possibility of setting up a business of your own. Now it's not just our country and businesses that are going to transform into large companies, but also individuals that have to be prepared to look for new jobs in new businesses and new industries. We're constantly working on this. We work purposefully and systematically. We will present new measures in the budgets when that time comes.
ParlaMint-NO_2016-04-06.ana.ud272e92	I look forward to new measures, because it is obvious from the unemployment figures that the policies that the government has pursued to date do not work – at least if the objective is to reduce unemployment. A very good example of that is that instead of giving large tax credits, we can create activity in the industries that are now tightening. For example, we're losing 50 million. kr in tax revenue each day. One could just drop that tax haven between three and four days, then one would actually have the money for a new gas ferry, which would create activity for those who have little to do. This is just a picture of how wrong it is to use tax credits as the main instrument in the current unemployment situation. Therefore, I ask the Council of State: can the Council of State make visible how much use of 18.5 billion. have given rise to employment growth?
ParlaMint-NO_2016-04-06.ana.ud272e97	After all, tax credits for businesses and people are about securing jobs. It is not like the companies you are visiting now are asking for increased costs. On the contrary, they are asking for a policy that ensures their competitiveness. The tax havens are involved in contributing to it. The second thing they're concerned about is infrastructure. There is also the background that this government has a historic investment in infrastructure, on the road and track, because that is what businesses need now. In the State budget, we have presented a number of measures to improve the situation. We have short-term measures to keep the wheels running in the short term, here and now, the rehabilitation of public construction, road and rail – that type of action – and BIO means. The most important thing now is to convert our country in the long term. We need to find a completely new normal one because we have an oil industry going down. We're still going to live off it, but it's going down. Then it's important that we find new businesses, new industries to live off. This is precisely where industrial research and innovation, fiscal policy, infrastructure – what will create long-term migration – are what it is important to focus on now.
ParlaMint-NO_2016-04-06.ana.ud272e108	There will be follow-up questions – first Fredric Holen Bjørdal.
