ParlaMint-NO_2016-05-11.ana.ud122e26	The representative, Tove Karoline Knutsen, will present a proposal for a representative.
ParlaMint-NO_2016-05-11.ana.ud122e29	On behalf of the representatives of Torgeir Micaelsen, Ingvild Kjerkol, Ruth Grung, Freddy de Ruiter, Christian Tynning Bjørnø and myself, I am delighted to make a proposal for the gradual introduction of an hour's physical activity in school.
ParlaMint-NO_2016-05-11.ana.ud122e34	The representative, Mrs Skei Grande, will put forward two proposals for representatives.
ParlaMint-NO_2016-05-11.ana.ud122e37	On behalf of the representative Iselin Nybø and myself, I would like to make a proposal for a representative to set up a Data Protection Commission for the Justice sector. And on behalf of the representative André N. Skkelstad and myself, I would like to propose new and more accurate methods for the ageing of children seeking asylum.
ParlaMint-NO_2016-05-11.ana.ud122e44	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will state that, at the end of the meeting, after regular Question Time, there will be a call for a referendum for the Unit.
ParlaMint-NO_2016-05-11.ana.ud122e58	The Stortinget received on Monday's notice from the Prime Minister's office that the Councils of State Anders Anundsen, Ine M. Eriksen Soreide and Per Sandberg will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Anniken Huitfeldt.
ParlaMint-NO_2016-05-11.ana.ud122e65	My question goes to the Minister of Defence: The defence capacity of Norway deteriorated from 2014 to 2015. Unfortunately, the head of defence could conclude in his annual report. There was something entirely different today's Minister of Defense promised before the elections: 'In total, our proposals will provide the defence with a greater operational capability than the government's proposal,' said Eriksen Soreide before the elections, when she presented the Hierre's long-term plan for the period 2013–2016. It was also going to increase activity, we heard. The right order was so good, and I quote the Minister of Defense from the time she sat on the Stortinget: it was to be ‘flightd more, sailed more and practiced more’. The reality is unfortunately the opposite: the marine defense sailed less in 2015 than what was planned. It was a minus of 115 sailing days. The Air Force practiced less in 2015, and the Army trained less in 2015 than in 2014. Many thought that the Minister of Defense would solve the problem of more money, as she had promised. Instead, investigations, group of experts, long processes came about the chief of defence's professional military council, and never before has a government spent longer time on a long-term plan. Through numerous and lengthy investigations and criticisms of her predecessors, the Minister of Defense is trying to get the attention away from her failure to deliver. A lot was investigated, long, thorough and good. My question is about a concrete promise the Minister of Defence came along. She said she wanted a massive increase in rural military capability if she became Minister of Defense. My question is, what has the Minister of Defense done to live up to the promise of a massive increase in our country military capability?
ParlaMint-NO_2016-05-11.ana.ud122e78	It is right, as Huitfeldt's representative says, that the head of defence, when he presented his annual report, pointed out some things that had made the operational capability in some areas weaker. One of the most important things he pointed out was the crack formations we had on the F-16 planes. This meant that they had to be put on the ground and repaired. We have experienced two rounds of crack formations on F-16. It's an ageing aircraft, and it's also a good picture of why we now depend on buying new planes and looking forward to them. I don't think Huitfeldt's representative read or listened to the entire defense chief's reasoning. What he said was: ‘The parts of the Defence that are used continuously in operations and operations at home and abroad are, in some cases, highly qualified and deliverable. However, ageing materials and wear provide high spare part and maintenance costs, challenging the ability to produce operational capability.» We've been open all along. It's one of the biggest challenges in Defence today: the great aftermath. I have stressed this – and the Prime Minister last week – that not only because of the last government, but governments of different colors and composition over the last 20–25 years, who have not prioritised it high enough. Now we're giving a significant increase in the budgets, and we've strengthened both the Maritime Defense, the Army, the Air Force, the HV and the Intelligence Service beyond what was foreseen in the long-term plan, because there it was as well-known not provided that the Defense would get one fresh crown. We've done something about that. Nevertheless, many of the challenges will take time to deal with, and that is why, in the new long-term plan, we will primarily be investing in operations, making what we have, working and strengthening preparedness stocks. This is also one of the reasons why we have prioritised the maintenance of the Naval Defence vessel with more than 300 million. kr in 2016, precisely because it is absolutely necessary for us to be able to produce operational capability.
ParlaMint-NO_2016-05-11.ana.ud122e92	All the challenges were known to the Minister of Defence before the elections, but she did not refuse to make high promises of increased operational capability. I want to repeat my question, because I got absolutely no answer to that. She said that with Right Defense it will mean a massive increase in country military capability. It's not small things! So I repeat my question: what has the Minister of Defense done with the promise of a massive increase in country military capabilities? Are there any further investigations to be carried out? What is concrete delivery?
ParlaMint-NO_2016-05-11.ana.ud122e97	I will first correct one point that Huitfeldt's representative raised, namely that I should have been familiar with all the challenges in advance. Yes, we have pointed out shortcomings and challenges over a long time, but the picture was even worse than we actually thought, and therefore we have spent the necessary time going into all the assessments that have to be made. We're looking at the defence as a whole, not just piecely and divided, as has been done in the previous long-term plans, and that means that the analyses we're now basing on, both in terms of long-term economic sustainability, operational capacity, operation and investment, are going to be overdue. As far as the country's military capabilities are concerned, we have assumed that precisely because the escalation in Afghanistan went faster than planned, we were able to transfer more of the funds faster to the Army and to the Home Office. It has been important to maintain the level of activity, and it is also done in 2016; the high level of activity in the Army and the Home Office is maintained in 2016. In addition, I think it is important to stress that when we now go into the discussion after a new long-term plan has been presented, we need to look at the defence as a whole, and look at how the individual parts fit well together, in order to provide the best operational capability.
ParlaMint-NO_2016-05-11.ana.ud122e104	There will be follow-up questions – first Sverre Myrli.
ParlaMint-NO_2016-05-11.ana.ud122e107	It was not just in some areas that the head of defence pointed out shortcomings in his 2015 report. Among other things, he said: that the Naval Defense sailed less in 2015 than in 2014, the Air Force exercised less in 2015 than in 2014, and the Army exercised less in 2015 than in 2014. It's almost four years since we had a long and - I'll say - intense debate here on the long-term plan of defence. The Minister of Defence, who was then the head of the Foreign and Defence Committee, went very high. If I am not mistaken, she said something such as that there is a fundamental difference initially on how to deal with the defence's further business, and that the Right has a willingness to pay. Now we can let history be history and focus on the present situation. Will there be more flight in 2016, more sailing and more practice, as promised?
ParlaMint-NO_2016-05-11.ana.ud122e116	I understand that the representative Sverre Myrli will let history be history, for the truth of the eight years of his party put with government power, is that the defense together for the eight years was to be met by 800 million. kroner, and I remind you that in the 2016 budget we have increased it by 9.4 pst. It's been a change of pace. We've started the absolutely necessary reverse operation. This is not only about appropriations each year, it is also about long-term economic sustainability, which has been absent in the previous long-term plans. But yes, when it comes to the issue of 2016, we have both given money and started more sailing because, among other things, we did. station a submarine on Ramsund. We're flying more with our Orion planes and flying longer paces -- we've also funded that. We have started to maintain maritime defence vessels just to enable them to carry out their maintained activity, and not least, as the head of defence also said when he presented his annual report, we have strengthened the sailing in the north by 40 p.m. in 2015. It's important, and these are things that have to go on in order for us to have the right operational ability.
ParlaMint-NO_2016-05-11.ana.ud122e123	Astrid Aarhus Byrknes - to follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e126	A lot of people are waiting on the long-term plan and have expectations for him. For the Christian People's Party, it is important that there is a balance between maritime, air and land power. Then there's to be more interaction. After all, the various defence sectors are contributing to our defence, so that both the army and the protection of our homes must interact. Home security plays an important role. They include: object security, and they have local knowledge, both in readiness, in crisis and in war. There is concern about how resources and resources should be distributed in the future. So if we look forward a little bit, how does the Minister of Defense think that this balance should be maintained, and what role does the Minister of Defence think that the Home Security should play in future defence?
ParlaMint-NO_2016-05-11.ana.ud122e134	The representative of Aarhus Byrknes is absolutely right that there must be a balance in the defense. Now it's like this in Defense that the balance isn't always about a millimetre balance between the defenses, it's about a balance that gives the best operational ability in the end. In this picture, the Home Office also plays an important role. That's one of the reasons we got an investment project last year on new field cars for the Home Protection Agency to approx. 520 million. kr. It is a necessary modernisation. In these days, the Home Guards are getting new weapons, and it's also an important part of equipping and modernizing Home Protection. An additional emphasis has also been placed on the input strengths by the government in order to increase the training of selected forces in the effort forces. It's also because they're a support for civil society, not just to solve military tasks. They represent, among other things: important support to the police in given situations. So the Home Guard is an important part of a defence structure in Norway. It will continue to be in the future as well.
ParlaMint-NO_2016-05-11.ana.ud122e143	Jenny Følling – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e146	The Prime Minister presented defence policy as a key element of his national meeting. It gave many hopes that the government would present a new long-term defence plan with a significant strengthening of Norway’s defence capabilities. In recent times, the same number of people have lost faith in this. On Thursday 21 April, today's Business could reveal that one did not even plan to meet the Defence Manager's recommendations for a sober minimum defense, but on the contrary, plan to put down the 2nd Battalion at Skold and through this, liquidate Norway's last remaining brigade. Lieutenant Colonel and Chief of Trust in Norway's Officers' Federation Bjørn Tore Woll reacted strongly to this, and encouraged popular reaction. He summarizes the problem in a clear way in an interview with the NRK on Thursday 21 April: "It looks like we're going to have a defense without people," he said. How does the Council of State think that one can maintain a shrewd country power and defense and, as she promised, a massive increase in rural militarism?
ParlaMint-NO_2016-05-11.ana.ud122e151	Of course, I can't comment on speculation, but as always with speculation, I think those who read them, do the wise thing to breathe through the nose sometimes and wait for the long-term plan to come, and then you'll see the whole and the result there. The government has always been clear that there is a need to do at least three things in the new long-term plan. One is that we're going to spend the money the defense has, in the most reasonable way possible. This means, for example: the need to shift resources from the operation of many bases to the operational capability – to practice, fly and sail, as we are now doing. The second is that we must create a sustainable defence economy over time. It doesn't help to make big investments in the short term if you can't afford to run in the long run, and that's the history of defence planning in the last 25 years. The third is that the defence capacity, and therefore the defence budgets as well, must be considerably strengthened. We're going to spend the money well and more efficiently, but we're going to spend a lot of money on the defense. There is a need for — after many years when that priority has not been there.
ParlaMint-NO_2016-05-11.ana.ud122e158	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e161	The left, like many here, is concerned about the position of the Army and the Home Office, and looks forward with anticipation to the long-term plan, where there must be some major strategic choices and priorities. Now I am so pleased that the Minister of Defense says that she should be investing in operations in the years to come, but, as she said, in the role of the Army, it has been freed by the fact that there is a reduction in activity faster in Afghanistan. Nevertheless, there are expectations that we will stay longer in Afghanistan, we have new assignments in Iraq, we have the last in Jordan. Because of the situation in Ukraine, NATO is expecting more participation in Europe, and we need presence in the north. Then my question becomes to the Council of State: does she see any need to strengthen the Army and the Home Office, and how can we do so, not in the long term, but in the short term? Because that's now you need the increased ability -- not just think about what we need in eight and ten years.
ParlaMint-NO_2016-05-11.ana.ud122e166	That is a very good and meaningful question from the representative Elvesuen. The new tasks that we have undertaken internationally, both in Iraq and now in Jordan, are being further financed, so it does not go beyond the operational budgets of the defence sectors in any way. Then we have also had significant contributions from the Army, particularly in the sedative measures we are implementing in NATO, and it has been important operational for us, but also important for the alliance solidarity in NATO. One of the most important things I think we can do in the short term is rebuilding emergency stocks and operations. It means everything from ammunition storage to other preparedness, which it's been eating very hard for many years. It has been partly because the security policy situation has been able to allow it, but it has also been a balancing item when money is needed for other things. That means that when we add the long-term plan, the short-term perspective is also very important to us, and what we're going to spend on in the first few years.
ParlaMint-NO_2016-05-11.ana.ud122e175	Board Vegar Solhjell – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e178	Since the introduction of the long-term system, the long-term plan has been submitted to Stortinget in time for him to be treated before the summer. The reason why this is important is that it can then be brought into effect from the following year, and the final result of the examination may be taken into account in the budget adopted for the following year. If not completed before summer, full implementation may be delayed for one year. The more conspiratory could then suspect – and I stress that I am not one of them – that a push of an invoice would take place until 2018, the year after the election. It is such that this is one of the biggest cases the Stortinget will have to deal with in our – if not the largest – so it takes good time for defensive treatment. Can the Minister of Defence assure us that she will present the long-term plan so that there is ample time for defence proceedings and decisions before the summer?
ParlaMint-NO_2016-05-11.ana.ud122e185	As the representative, Mr Solhjell, correctly points out: this is perhaps the biggest issue we are presenting, at least to the Ministry of Defence. It also means that a lot of work is required on it. We have seen the whole defence sector in a way that has not been done in previous long-term plans. It takes a lot of time. We have been concerned that it is more important to present a good and well-worked long-term plan than that it necessarily needs to be submitted early enough for it to be dealt with in the spring session. The reason why I say that is the following: When we present a long-term plan in the spring session, of course, it is well synchronised with the budgetary processes. All the measures we propose in the long-term plan have been taken into account in the budget. The budget shall normally be adopted in November/December with effect from 1 January of the following year. It's going to happen this time as well. The long-term plan will take effect from 1 January 2017, just as planned. The important thing for us has been that when these processes are well synchronised, it is also the main guarantee that we take into account that what we present in the long-term plan will be financed from 1 January 2017.
ParlaMint-NO_2016-05-11.ana.ud122e192	We're going to go to the next main question.
ParlaMint-NO_2016-05-11.ana.ud122e196	We write May month, and the tradition faith is Russian times well in progress. And even though you see a lot of tired faces for the time being, there's still a week left by the Russians. For most people, rushing time is fun, fun – a lot of fun that happens – but unfortunately it is not for everyone. Last year it was the first time that Kripos categorized rape reports related to Russian times. It resulted in eleven reviews in the Russetida itself and some in retrospect. Kripos says that half of these limits to assaults, and of the eleven rapes, there were three who had more than one perpetrator. In addition to the eleven rapes, we know that there's great darkness. Too many people experience unpleasant episodes, assaults or rapes during their days. It doesn't just ruin the Russian celebration, it destroys and can have serious consequences for the rest of your life. Also this year we received a message about Russians who have been raped. About 1,000 rapes are reported every year. As mentioned above, there is great darkness. For many, it's a big step to report. The investigation can be an unpleasant and difficult – and perhaps new – burden on the victims. Therefore, it is very serious that the percentage of clarification in the last few years is only 18–25, i.e. approximately 80 pst. of all the reports of rape. This allows perpetrators to go free and repeat the action, resulting in an additional burden on victims. My question goes to the Minister of Justice. I wonder what he's doing to make sure that the police are competent, have enough resources and prioritize the investigation of rapes.
ParlaMint-NO_2016-05-11.ana.ud122e207	Let me first thank the representative Robstad for addressing a very serious and very important issue. As Ropstad himself initiates, we are now in a month when too many young lives are destroyed because of rape. One is that the lives of the victims get the enormous burden, but also the perpetrator destroys his life. Therefore, it has been important in this context to be very clear on what we can do for prevention. The police have, among others: through Kripos’ campaign ‘kernel’, attended many of the Russian events, in many of the places where Russians are gathered, to help create good and proper attitudes in the relationship between Russians. It is totally unacceptable that almost every May we experience that Russians are ruining each other's lives by the rape of women, especially women. That is why I have been concerned that we should ensure the necessary preventive action. The police have made a good effort this year. Nevertheless, we see that these abuses happen. Then it is important that the victims feel that when they report this, they are accepted in a proper way. Unfortunately, the notification threshold is very high, and we have to have an auxiliary device outside that helps to get more people in a review. We are therefore now taking a number of measures through the close police reform, where we need to strengthen the professional environment in order to ensure better research capacity and quality. We have the investigation promise, where this is one of the issues that is being raised. We are now also going through victim care to ensure that those who take the step of reporting are not left standing alone through a tough and difficult process, which does not end with the notification but will continue through judicial and appeal proceedings. That's why it's important, I think, to look at this in an overall perspective, where one uses whole-scale tools to reduce this problem as much as possible.
ParlaMint-NO_2016-05-11.ana.ud122e220	Thanks for the answer. Of course, I fully agree that it is important to think broadly. Prevention is the most important thing to avoid rape, but at the same time we need to do more with the rate of accommodation. The Council of State referred to as ‘Cores’. The Russian runs his own projects, and if you look carefully at the Russian's trousers, you see that it says 'No is no', to tell you that sex should be voluntary. And if it's not voluntary, it's rape. ‘No is no’ on the Russian pants is clear, but the same cannot really be said about the actual violent text of the penal code. We have received criticism internationally, but not least from some Norwegian organisations. Amnesty runs a very clear campaign because they want it to be concrete in the legal text that lack of consent should also be part of the definition of what rape is. So my question is, what does the Council of State think about sharpening the legal text to give a better signal effect, that also lack of consent should be part of the paragraph?
ParlaMint-NO_2016-05-11.ana.ud122e231	Let me first search the question of investigation and clarification, because these are issues that are very often difficult to solve. Often there have been only two present, and sometimes the reports occur so late that it is difficult to secure technical tracks. Therefore, it is important in these situations that a person be notified as soon as possible. It is also a bit related to the next part of the question, namely whether one of the law should have a separate provision that says that one should have a specific consent. It creates some challenging legal issues that are very complex. In such situations, however, most acts will be affected by the criminal law, but not by the law of violence. In the department we have, among other things: Following Amnesty International's input, we went through the consequences and possibilities of changing the law on rape – because on the other hand, we do not have to face a situation where we impose the reverse burden of proof. It is also a fundamental and fundamental principle of Norwegian criminal law. So it's a complicated question that we've addressed, but we haven't concluded that we're proposing to change the provision.
ParlaMint-NO_2016-05-11.ana.ud122e240	It opens up for follow-up questions – first Line Henriette Hemdal.
