ParlaMint-NO_2016-06-07.ana.ud158e111	The representative, Helga Pedersen, will present a proposal for a representative.
ParlaMint-NO_2016-06-07.ana.ud158e114	On behalf of the representative Odd Omland and myself, I would like to make a proposal to transfer the management of the investment fund of North-West Russia to Kirkenes.
ParlaMint-NO_2016-06-07.ana.ud158e119	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2016-06-07.ana.ud158e125	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Hans Andreas Limi. – Other proposals are not available, and Hans Andreas Limi is unanimously elected president of today’s meeting. Before the matters on today's map are dealt with, the President will state that today's meeting will continue beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e143	The background to this case is the evaluation of the corruption prevention work carried out by the Council of Europe’s corruption prevention body, GRECO. The comments made by GRECO were assessed by a sample set up by the Presidency, where all parties were invited to participate, all except the Centre Party and the Green Party. The workgroup's opinions have been reviewed by the administration and the Presidency and have led to the suspension of the day. In addition, the Presidency proposes some amendments aimed at clarifying and improving some of the provisions of the Regulation. In addition, the Presidency follows up the decision of the Grand Duchy of Luxembourg of 12 April of this year, where the Presidency was asked to take the initiative to amend the rules governing the economic register, so that company interests held by the representatives must be listed here, irrespective of their value. This means removing the threshold to register company interests in § 9 of 1 pst. of the capital of the company or 1G in value. You have to register the company interests, whether there are one or a thousand shares, to put it that way. In addition, the name of the company in which they are interested must be entered in the register. The Presidency proposes that it should also be included in the provision that the form of liability of the company should be stated. There is information that helps to inform about financial responsibilities and risks associated with the investment and can therefore also give an indication of the degree of association with the company. The Presidency considers the proposal to comply with GRECO’s recommendation that the registry provide more information on financial commitments. It is then proposed to establish current practice in the second paragraph of Section 9, as follows: Shares held indirectly through a company that is intended to invest in, for example: shares, other securities, commercial property or, where appropriate, shipping shall not be disclosed. It is sufficient to state that shares of the named investment company are held and that this company is intended to invest in other companies. This obligation to register indirect ownership of company interests was introduced in the 2012 Regulations of the Register. The presidency then saw it as natural to limit disclosure. The Presidency said in the Innst. 21 S for 2012–2013: ‘But no detailed explanation may be required in several paragraphs. For example, a reference to a company investing in shares, other securities and/or property in other companies would be sufficient. If the public wants supplementary information, such information could be obtained from other public sources.» This opinion, on the basis of current practice, is also quoted in today’s vote. The reason why the disclosure obligation is intended to be limited to underlying corporate interests owned by an investment company is, of course, not that one would conceal the interests, but that one would avoid excessive and unmanageable registration obligations. The inclusion of the investment company in the register makes it apparent that the company is engaged in investment activities. This is the important information, because it is possible to go to the Register of Accounts — Brønnøysund’s Registers — and get information about the interests of the company that it owns, as it appears from quarterly reports and annual accounts, which must be submitted by obliged undertakings. However, this information is not regularly updated. In addition, such information is available on several of the investment companies’ websites. There are also searchable databases, such as: proff.no, which discloses information about company interests on the basis of information contained in public registers. The majority decided in June 2015 to ask the government to submit proposals for a Norwegian public ownership register. When such a register is in place, real ownership information could be made even more accessible to the public. So those who think it's possible to hide their interests behind an investment company will be taken into account. Then why not require each representative to include this information in the register? Because there will be a requirement that can be very difficult to keep up to date for each representative. It may be about investment portfolios that change frequently, perhaps from day to day, whose investment in shares and securities is part of the company's objective. In addition, it will not provide further information on the interests of the representative than is already available. This will, in fact, be a double registration. It is also companies that have portfolios of shares on the stock exchange and that are indirectly owned to hold shares in that company. It could be a production holding. The same problem will arise here if registration is to be required in several paragraphs. It will simply be information that changes rapidly and that may be difficult for indirect ownership. There are also pension-saving schemes that are a mixture of banking and equity saving – there is also an example of an indirect interest that it would not be practicable to explain in the second subparagraph. Section 8 proposes that property in industry, owned by a company in which a representative owns or is a joint owner, should be reported to the register. The same company will also be subject to registration under Section 9 on company interests. This becomes an unnecessary double registration and it should be sufficient to make visible the economic interest by registering the interest in the company. Therefore, the obligation to register the property in question under Section 8 is proposed. However, non-residential or joint-owned commercial property will continue to be subject to registration under Section 8. The Presidency proposes that the form of ownership be specified also by registration under Section 8. Under the rules in force, interests shall not be entered in the register of amounts, values or quantities. Following on from the recommendation of GRECO to list several of the matters subject to registration with amounts, the Presidency proposes that remuneration for autonomous tasks above NOK 50000 be declared by the amount. The same applies to financial assistance which a representative may receive in addition to his remuneration, provided that the aid exceeds DKK 50000 per year. Furthermore, it is proposed to include remuneration as an economic benefit subject to registration in Section 7. This applies primarily to remuneration received in connection with the transfer of an establishment and paid over several years depending on the performance of the establishment. Certain benefits from former employers are subject to registration under Section 5. It shall now be explicitly mentioned in the provision that this includes loans. The Presidency proposes that attention and anniversary gifts from its own batch or batch group should not be subject to registration. Since suggestions have been made on the contrary, I would like to remind you that the point of the register is to be open about matters that might create suspicions of bonds that might affect the representative's work on matters. We assume that gifts from our own group or party organisation hardly fall into this category. The connection to donors should be transparent and without potential for conflict of interest. It is therefore proposed that attention and anniversary gifts from its own party organisation be exempted from the registration requirement for gifts in Section 11, but of course it is not prohibited to mention whether you follow it most safely. The obligation to register duties and financial interests is the same for representatives and alternates. The Presidency, however, proposes that alternate representatives be exempted from the obligation to specify autonomous, revenue-bearing tasks above NOK 50000. Any self-contained revenue-bearing activity alongside the pooling yard is assumed to be an adjunct that a permanent meeting representative may choose to perform, while for an alternate there will probably be a principal source of income, which cannot be eliminated. With this, I recommend the presidency's setting.
ParlaMint-NO_2016-06-07.ana.ud158e182	It is good that the presidency now follows up the so-called GRECO recommendations, which it has been working on over some time, but where one has also very quickly followed up the decision that the Storting made on 12 April of this year, which reads: ‘The majority requests the Presidency to take the initiative in amending the Rules of Procedure on the register of the duties and financial interests of the EEAS, so that all company interests, irrespective of their value, are entered in that register.’;» I think the presidency has made an unwise assessment when they have proposed in Section 9 the exemption for investment companies that they have made, as a result of a practice that has been followed since 2012. The central reason for this is that investment companies are a very common way of organising a portfolio of shares today. Especially if you have a significant portfolio of shares, it is common. One then risks being in the situation that the most significant ownership interests and portfolios will not be in Storting’s register, while the smaller – and perhaps less interesting – privately owned portfolios will be there. As I said, many people use investment companies. It's a common approach, partly because it can make it easier to organise a significant portfolio, but also because it can have tax advantages, which the presidency is probably familiar with. It is also the case, as Dagbladet has written, that even in Stortinget – naturally, I would say – representatives do it that way. I do not suspect in any way – as the representative did not – that there is a proposal to hide a portfolio. But I think it would be unwise because the leftover impression may still be that some stock portfolios – and then most of them – will not be in the register. I believe that there is no doubt a breach of the intention of the decision taken on 12 April. I am aware that it follows the practice that has been in place since 2012, but the decision taken in April of this year came after it in time and may be difficult to understand in a different way than to expect that it would apply to different types of investment, saying, ‘so that all company interests, regardless of their value, are listed in this register’. In the light of this, we propose a different wording in Section 9 which also includes investment companies, of course not about one, for example. has unit trusts or other types of funds, but the type of company which is a normal way of organising just such interests as were the subject of the decision of 12 April. If they think it is foolish to adopt a different wording from that of the presidency, we also make a subsidiary proposal, which reads: ‘The vote will ask the Presidency to come back with proposals for amendments to the Rules of Procedure on the register of the duties and financial interests of the EEAS, ensuring that all company interests, irrespective of their value, are entered in this register.’ In that case, it will give you an opportunity to look at the wording that best takes care of it. Then we also propose a different amount limit in the proposals for amendments to the third paragraph of Section 3 and Section 7. Paragraph 3 applies to fees that we accept, and Section 7 applies to different types of assistance from organisations, companies or others. The setting controls whether the limits are set to NOK 50000 - from one dealer. That's a pretty big amount. This means, for example: one can receive very large fees, each of which is less than NOK 50000. If I can use myself as an example, since I have a column in a newspaper that – if I have counted correctly – I can get just under $50,000 for this year: I don't want to see it's untimely if there's a requirement that I should give up that I'm a splitter in the paper. Or if a person is thinking of a different type of assistance – let’s say that a large Norwegian employee organisation, for example, would provide substantial support for various types of help to political work: I would not see that it would be unreasonable to give up – if it were just under $50,000. It's also so that the sums we talk about there can be big. So we're going to suggest that we also use a limit of NOK 2,000, which is the gift limit that we use when it comes to giving things up in the Stortinges register. When it comes to the question of registration obligations for gifts from the party organisation, I would like to express my full agreement with the representative Hansen. It may hardly be about bonds that create problematic loyalty – perhaps one might rather say the opposite, that it may be positive for partial loyalty to have a new gift. But maybe that illustrates the difference in the thinking. We think that it is wise to have openness, unless there are particular arguments against openness, i.e. the principle on which the public law of Norway is based. ‘More publicity’ is the principle that usually has a lot of support in this room, but here it is perhaps – I get the impression – based on a opposite principle, that we do not need openness in this, unless someone has specifically demonstrated that there is a problem. I don't think it'll cause much fear if we have to give it up. I myself have in some contexts taken gifts from the party organisation, in special settings. I have no great fear of having to give up. That's my starting point. However, I would say that there is a relatively insignificant question in this context, which more illustrates a different set of thoughts. On the other hand, what is not a minor question is whether a very common way of organising a portfolio of shares, namely in an investment company, shall be part of the rules or be kept out of it. I'm taking up the suggestions that SV is behind.
ParlaMint-NO_2016-06-07.ana.ud158e218	The representative Burd Vegar Solhjell has taken up the suggestions he referred to.
ParlaMint-NO_2016-06-07.ana.ud158e221	Transparency: It's a group that makes jokes a finder on the web called Black Humor, who has a very funny sequence where they've interviewed people on the west side, first about what they're going to vote on the autumn elections, which nobody will answer, because it's a private decision. Then they come to Greenland, where I live, and interview people, and everyone tells me what to vote for. Then they ask the same people on the west side about pretty private, intimate things about their sexual lives, as they like to tell, but as people in Greenland get really provoked by that they actually ask about. So openness is slightly different in different cultures, and seafaring in this city -- just a few kilometers away -- is perceived to be very different. But in this room we should have clear rules on where transparency really lies, and the principle of more openness should be the fundamental principle also in this part. Transparency related to the economic interests of politicians is one of the cornerstones of confidence in any democracy. The fact that it should not be possible to hide things and that it should be «openness» is very important principles in order to gain confidence among citizens as well. That's why I support all that Board Vegar Solhjell said in his post. I'm a little scared that you think investment companies can be a way to hide ownership that can really be quite active and close. It's not exactly a fundraiser – then you have a rather distant relationship with it – but in an investment company you can have a quite active relationship with your own ownership. We're sceptical that it might be used to hide where you have an ongoing active ownership. Then I have to admit that we got a little late, because we really wanted to provide an alternative to the SV's proposal on the 2 000-kroner limit. We would rather make it a $6,000 limit, because that's what the taxpayer is, and then the tax regulations would have gone into the same place as the Stortingen's information regulations, and I think that would have been wise. Because we didn't get it, in a little stressful everyday, we're going to vote for the $20,000 rule of SV, but we really think that here one should have a principle that this followed that one should state it to the tax authorities, and that one should state it to the authorities of Storting, also according to the same rule. We are going to vote in favour of all the proposals that SV has put forward in the Chamber today.
ParlaMint-NO_2016-06-07.ana.ud158e232	Let me first say that I think it is important that, as one discussed in April, it is followed up by the recommendation of the presidency today. The centre party is uncertain whether one has found the balance point that would make sense at some points. We see the arguments put forward by the representative Hansen about Section 9 on investment companies. It may be complicated, and there may be changes that happen quite quickly within such a company, which may make it complicated and time consuming to be able to state interests correctly at any time. On the other hand, it is also a little strange if direct company interests are to be declared, but not investment companies, if the investment company is such that there is a very close link between the person holding the investment company and how active it is in the investment company. Then it seems a little remarkable if one has to state one, but not the other. So the fact that you're going to state the investment company, but not the interests of the investment company, can in some context be perceived as biased, and one should probably have fallen at a slightly different point in the opinion of the Center Party than one here has done. So I agree that in the case of unit trusts, unit trusts and such things, which are a completely neutral ownership without any personal ties, that's fine. But for investment companies, the Center Party is uncertain whether one has found the right balance. So I have a question that concerns the $50,000 limit on remuneration. What is the reason for choosing NOK 50000, and how does it stand, for example? the rules for the election campaign contributions to the parties and the manner in which they are declared? What is the conformity with that legislation? There is also uncertainty about the central party in Section 7 as to whether it is the right limit to deal with. We would have preferred this to have been subjected to and reviewed in the context of the legislation that will otherwise be reviewed at the moment, but if it is not possible to obtain a majority in favour of this today, we will vote in favour of the proposals submitted by SV in the case.
ParlaMint-NO_2016-06-07.ana.ud158e245	A brief remark from the Christian People's Party: After a closer review and in line with the comments I had signed in the vote that we discussed on 12 April on the rules for the economic register for us big-time representatives, the Christian People's Party will vote in favour of proposal No. 3, promoted by Torgair Knag Fylkesnes on behalf of SV. We believe that this is in line with the position that we have dealt with before and that we are completing in today's position.
ParlaMint-NO_2016-06-07.ana.ud158e250	I'm not going to repeat what I said in my first post, but first to what Marit Arnstad said about postponement. What would be unfortunate by pushing on it, is that the feedback to GRECO is already a little overtime. The primary thing is to get it signed out. A committee is about to be set up to review the rules of procedure that we do at any time. There, the parties will be invited to appoint representatives, and it is obvious that the parties are free to bring questions about changes to this in that work. That possibility is there, and I wonder if it is not such a good working method in the future. I feel that we all agree that we should have transparency about financial interests that some might suspect can give bonds and affect our work here. The question is then: how many terms are required to be recorded in the Stortingen register of things registered in other public registers? It sounds like one thinks first of all of the situations in which the representative himself establishes an investment company to manage a wealth, but there are a large number of investment companies in which one can hold shares, and it complicates the requirement for information in the second paragraph, in addition to the fact that it is stated that investment companies like that invest in it – whether it is property, shares or whatever it may be. We are really discussing a form of demarcation, which Marit Arnstad was also involved in, which is practical, and which gives us an opportunity to register what is requested, without having to come into a situation where you have a continuous update – in principle from day to day if there are shares you invest in, and if you are engaged in ‘day trading’. I think that will be quite impracticable. So the question is, why $50,000? We don't have any scientific basis for that. The idea was that it should be of some extent. I guess that's about 0.5G. So here you can pick a number. I don't know if the splitist incomes of Solhjell are the best example, because it's a pretty open activity that's being conducted. The idea is more to assure us that no one has any bonds in the form of remuneration or services that are not transparent. That's the most important thing about the determination. You go too far down and you're in a situation where you've given a talk or done a job for which you might get a little more than a simple wine bottle – is it a salary you're going to register, or is it a gift? This can certainly be tedious and discussed in the future, but my recommendation is that we adopt this today, get the feedback to GRECO, and then the committee that is going to go through the Rules of Procedure can, of course, also address the questions that the parties have to bring in.
