ParlaMint-NO_2016-12-17.ana.ud83e67	The representative Trond Giske, who has been licensed, has again taken the seat.
ParlaMint-NO_2016-12-17.ana.ud83e81	Before the matters on today's map are dealt with, the President will state that today's meeting continues, if necessary, beyond 1 p.m. 16th@item: inlistbox Furthermore, the President will propose that the Storting depart from the provision of the first paragraph of Section 59 of the Rules of Procedure and vote after the completion of cases 1 and 2 and then total voting after cases 3 to 9 at the end of today’s meeting. So there's going to be voting during the day. No objections have been raised against the president's proposal? – It shall be deemed to have been adopted. At the request of the Financial Committee, the President will propose that matters 1 and 2 be dealt with together. – It shall be deemed to have been adopted.
ParlaMint-NO_2016-12-17.ana.ud83e112	At the request of the Financial Committee, the President will propose that the debate be limited to 1 hour and 10 minutes and that the speaking time be allocated as follows: Working Party 20 minutes, Right 15 minutes, Advance Party 10 minutes, Christian People's Party 5 minutes, Center Party 5 minutes, Left 5 minutes, Socialist Left Party 5 minutes, Environmental Party Green 5 minutes. Furthermore, the President will propose that, within the allocated speaking time, there be up to four lines with replies from the main speakers of the parties and up to six lines with replies from the member of the government. Furthermore, it is proposed that those on the list of speakers, in addition to the allocated speaking time, should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2016-12-17.ana.ud83e125	I would like to thank the members of the Financial Committee for their cooperation on the tax and tax arrangements for the 2017 State Budget, and I believe that the various parties themselves present their own proposals. Tax is not an objective in itself, but a means of financing different common tasks and well-being. However, taxes affect the way people and businesses behave, and that means that both taxes and taxes can stimulate behaviour in the desired direction. This is not least the case in the green shift, where governments and cooperation parties want to stimulate a more environmentally friendly and climate-friendly behaviour. Choice of environmentally friendly solutions, not least in the transport sector, shall be worthwhile. The right is pleased that the government is following up the broad tax settlement from spring 2016. We want to strengthen private ownership, and it's going to pay off more to work, save and invest. Tax policy should also contribute to social mobility, but the greatest difference between people in Norway is between those who have a job and those who are out of work. This is why job creation and securing existing jobs are one of the most important things we can do to prevent inequality. The company tax is reduced to 24 pst. and will continue down to 23 pst. by 2018. This is an important step towards harmonising the level of taxation between Norway and our neighbouring countries, and it is also important to stimulate business activity. The reduction in corporate tax is probably one of the most important things we can do in this respect. The government also follows up work on the halting of the years of fiscal favorisation of property investments. Our goal is to stimulate increased investment in industry and other economic activity, and it is therefore good that we now have a change and a reduction in the wealth tax on working capital, i.e. shares and operating resources. In reality, property tax is an additional tax on Norwegian ownership of Norwegian jobs, and these changes contribute to a reduction in the damage caused by this tax. We have to set up a stock-saving account system that makes it easier for individuals to invest in shares and increase the ownership of small companies in Norwegian companies. In addition, we follow up the agreement of the tax settlement to keep the level of dividend tax almost unchanged when we see corporation tax and dividend tax in the context. In addition, it is important to mention that the screening rate is also increased and that this could provide further incentives for investment in jobs and economic activity. The government is following up the desire of a total increase to impose on the financial industry a separate financial tax as a result of the fact that the industry is currently exempt from VAT. A tax is introduced on the basis of earnings in the financial sector. In addition, the surplus tax in the sector is continued at the 2016 level. Thus, the two elements constituting the added value created in the industry are taxed. In particular the alignment with 5 pst. the taxation of the salary base has been re-disputed in the fear that jobs will be laid down or moved. The financial industry, and especially the banks throughout the country, has been changing for many years, and even before the financial tax became applicable, many local offices have been shut down, and employees have lost their jobs. Last week we could also read about a new bank robot that could apparently replace up to 40 employees. So there's no doubt that the industry has been and is in a continuous process of change. I am pleased that a Joint Committee supports the wish to re-evaluate the establishment of the financial tax after the work committee chaired by Professor Hjelmeng has issued its report on 1 January 2018. This sample shall include, inter alia: assess how public and private financial institutions can be more equal in tax matters. In this context, an overall committee wants one to look at the relative share taxed on wages and profits, with a view to adding a greater share of the tax on profits. It is important to protect the tax base and therefore also to ask for a review and assessment of both the potential for profit movements and other tax conditions specific to the financial industry. Finally, I would like to inform you that the Right Party and the Advance Party join the proposal on tax incentives for investment in start-up companies. This is part of the order from the tax settlement, which the government has informed about in this state budget and even suggested that one should continue to work on. It is important to develop different, concrete models of how this can be done, and it is therefore natural that government parties join this proposal. The government has provided a tax package that strengthens the growth capacity of the economy, facilitates the transition and creates new jobs.
ParlaMint-NO_2016-12-17.ana.ud83e153	It's going to be line change.
ParlaMint-NO_2016-12-17.ana.ud83e158	The right went to the choice to cut the tax and tax levels and make the Norwegian economy less oil dependent. The loss of income would be financed by cutting red tape, more private jobs and so-called dynamic effects of tax cuts. Three years later, taxes have been cut, but charges have increased, and the deficit has increased dramatically. Bureaucracy shoots in the weather, unemployment has reached its highest level in 20 years, and no more private jobs are created. Nor has the economy been more oil dependent. While the government has had zero control over expenditure growth, the blind belief in dynamic tax policies has contributed to a significant decline in revenue. The result is that the differences are increasing, and that we are on our way to drain the oil fund in a few years. What does the representative Meling think about the Right's economic policy until those degrees have failed?
ParlaMint-NO_2016-12-17.ana.ud83e167	This government, and the Right, took over a Norway in the headwind. Unfortunately, the previous government has not used the large space for action – the high oil price and the growth engine in the Norwegian economy – in a way that would make Norway and our business more robust in the transition we are now experiencing because the oil price has fallen so considerably over the past few years. I'm glad that we have a government that takes it to secure jobs and create jobs seriously, which provides for business and growth in the private sector. It is important that we now focus on transport, that we focus on knowledge, and that we provide tax reductions to stimulate increased activity and to create and secure jobs in the future.
ParlaMint-NO_2016-12-17.ana.ud83e174	The main instrument for Norwegian business in recent years has been the krona, which Højres leader, Erna Solberg, actively argued that the euro should be replaced in 2005. So at least it must be good for the Right that the Right has not got through that area. My line is about commuting. Over the three years, the Right has ruled, one who commutes six miles, gets NOK 3 206 more in taxes – one who commutes six miles every day. Before the budget was presented, there was a great deal to say that now the commuting allowance would be improved, and then 80 kroner of the 3,200 kroner that were initially taken back. Does the representative, Meling, think there's a stake in the commuters?
ParlaMint-NO_2016-12-17.ana.ud83e179	I am pleased that this government has had a historic commitment to culture. One of the most important things for those who commute is that we have effective and safe roads, and that we have a collective system that allows them to get back and forth effectively and make it possible to live in, for example, work. on the outskirts of large galleys. I think that's the most important thing for the commuters. Then we've also made considerable tax relief for most people. It also means a lot in relation to the economic situation and the commuting. Then we have also focused on fuel taxes. They have been increased somewhat, and it has to be seen in the context of the green shift.
ParlaMint-NO_2016-12-17.ana.ud83e186	As the main figure for the two government parties: Is the representative Meling satisfied that one in one year has managed to increase fuel taxes more than one could in eight red-green years?
ParlaMint-NO_2016-12-17.ana.ud83e191	I am pleased that we have a government that takes the climate challenge seriously. It is actually the biggest challenge we are facing in the future, and it is clear that in this picture the transport sector, as part of the non-quota sector, must also take a large part of the reductions to come. In the large picture, fuel taxes will also be an important element, but at the same time it is important for car owners to see the whole picture, namely that the large reductions we have made in one-off taxes, etc., framework conditions for electric cars, make car users really come out very well when you see these things together.
