ParlaMint-NO_2016-02-17.ana.ud2568e26	The representative of Kjell Ingolf Roppstad will present a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e29	On behalf of the representatives of Olaug V. Bollestad, Geir Jørgen Bekkevold and myself, I am delighted to present a proposal for a representative on the treatment of children and young people who commit an assault.
ParlaMint-NO_2016-02-17.ana.ud2568e34	The representative, Anne Tingelstad Wøien, will put forward a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e37	I am pleased to make a proposal on behalf of the representatives Trygve Schlagsvold Vedum, Kjersti Toppe, Geir Pollestad and myself on VAT compensation for boarding schools.
ParlaMint-NO_2016-02-17.ana.ud2568e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2016-02-17.ana.ud2568e54	On Monday, the Stortingen received notice from the Prime Minister's office that the Councils of State would meet Vidar Helgesen, Sylvi Listhaug and Per Sandberg for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Helga Pedersen.
ParlaMint-NO_2016-02-17.ana.ud2568e61	Last year more than 30 000 asylum seekers arrived in Norway. The majority of these are likely to stay in Norway. This means that it is a great task to ensure that they can learn Norwegian and become contributors to our society as soon as possible. The welfare and the social security network are built on our work. That is why it is so important that we succeed in the integration policy and the goal of everyone's involvement. There is hardly any other country that has better prospects for success than Norway. We have a good economy and a lot of resources, we have a way of organising society that is about giving opportunities to everyone, regardless of the starting point, and in the international context, Norway has achieved good results in integration policy. So the starting point is good. Nevertheless, there is a great job ahead of us, both because this year we are going to live around twice as many as before, and because we have to succeed better in getting all the groups of immigrants to work. Last weekend the media wrote that four out of ten Somalis are on social assistance. It's a problem. The Prime Minister stated that this could mean higher taxes. I believe that Norwegian society cannot accept that people who can contribute to the work life live on social assistance instead of wages. That is why we need an active integration policy, and I miss today's government. We need more and better Norwegian training, more homes and higher ambitions for immigrant women, and we need to equip the municipalities for the job they are going to do. The government's answer is to cut Norwegian training in reception, reduce the frames of the House Bank and maintain cash support, despite the fact that four out of ten cash beneficiaries have a migrant background. In addition, the local economy is weakened. The integration agreement contains six pages of measures that the Storting has ordered the government to follow up. I'm asking what the government is doing. We don't have a day to lose. Lack of action from the Right and the Advance Party may lead to more people becoming social clients instead of workers.
ParlaMint-NO_2016-02-17.ana.ud2568e76	The President assumes that the question is to the Council of State Sylvi Listhaug.
ParlaMint-NO_2016-02-17.ana.ud2568e79	There is no doubt that we are facing major integration challenges. In practice, we've never faced a task as big as what we're doing now. The reason for this is that Norway’s influx has been record high. Therefore, if this continues to happen, I think everyone will see that the Norwegian welfare model can come under very strong pressure. It was also party leader Jonas Gahr Støre at the cartel conference, who warned against threatening the Norwegian model of asylum and migration flows. That is why I fully agree with Mr Pedersen that we need to do more to succeed in good integration. That is why we are now working on providing an integration message for Stortinget. If we look at the outcome of the integration, 70 is pst. by men who have completed the introduction programme, either at work or during training. Unfortunately, the figure for women is lower. If we look at the differences between municipalities, they're also big. What we have to succeed in is lifting up the municipalities that don't get the good results – promise them good – so that together we get far better. I think this is much about our ability to see the individual human being, see what resources they have with them, and set up a race that is far more custom-made than what you might have done so far. In the introduction system, illiterates and people without work experience are placed in many places together with those with higher education and with long work experience into the same track. I don't think that's the way to go. Therefore, this is one of many issues that the government is going to address in the Communication on Integration. We strengthen the integration grant for municipalities, so that the economy is far better now than it has been for a long time.
ParlaMint-NO_2016-02-17.ana.ud2568e92	There are many measures we need to consider, and I am pleased that the Minister for Immigration and Integration says she will. But it is also the case that the Storting has reached an agreement, where there are many detailed measures – over six pages – that the government can only go ahead with; there is no need to wait for the integration message. This week the municipalities are assembled for county councils in Kristiansand, and the KS leader has said that requirement no. one from the municipalities of the government is that the municipalities must be financially able to receive refugees. Last year, we first felt that the Minister of Finance called on the municipalities not to settle refugees. Then the government invited them to do their best to settle refugees, and when you invite them to do their job, it's a good thing to meet yourself. Can local politicians now expect the government to join, and when can we expect the municipalities to have the financial clarifications imposed by the Stortinge government through the integration agreement?
ParlaMint-NO_2016-02-17.ana.ud2568e101	So in the last three years, if we're counting on this year, we've been living more refugees than we've been doing in very many years, if ever, in Norway. We have set a new record every year, and this year Norwegian municipalities have agreed to settle for more than 15 000 people. I think that's incredibly good, and it shows that you want to be on this duel. So it's like, when it comes to the economy of the municipalities, we're going through it now. We have a computational sample that goes through the numbers, and there's the municipalities, and there's also the state. And we're going to talk to KS in the future to see what the economy is and what it needs. So it's like some municipalities do the integration shop, some municipalities are left with money on the bottom line because they're doing a fantastic job. Other municipalities are struggling, they are not succeeding, so this expenditure is going to be. What must be our goal is to make sure to raise those who are struggling, so that this becomes a store for more people.
