ParlaMint-NO_2016-03-30.ana.ud2203e22	The representative, Ruth Grung, will put forward a proposal for a representative.
ParlaMint-NO_2016-03-30.ana.ud2203e25	On behalf of Torgeir Micaelsen, Ingvild Kjerkol, Freddy de Ruiter, Tove Karoline Knutsen, Marianne Aasen, Kari Henriksen and myself, I promote a proposal for a representative to improve access to specialist nurses.
ParlaMint-NO_2016-03-30.ana.ud2203e30	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2016-03-30.ana.ud2203e42	The Stortinget received on Monday a message from the Prime Minister's office that the Councils of State will meet Siv Jensen, Bent Höie and Tord Lien for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Marianne Marthinsen.
ParlaMint-NO_2016-03-30.ana.ud2203e49	My question goes to the Minister of Finance. From this pulpit it has repeatedly been called for more action by the government in meeting with increased unemployment and weaker job growth, and today there is no exception. So far, the government has cut the taxes by nearly 20 billion. kr – mostly for those who have the most history – and the government has justified the priority of increasing value creation and employment. On Wednesday before Easter, the Labour Party pointed out that the government has spent 50 million kroner. NOK a day in tax cuts since they took up the government offices, while there have been 45 new unemployed every day. And while most of us have been on Easter break, there have been new messages about cancellations. On 22 March the message came that Maersk had to cancel 70 riggers, and yesterday the message came that the shipping companies believe that 1,200 shipowners will disappear during 2016. The Labour Party believes that a stronger commitment to competence and infrastructure would be far more important for the economy in the longer term than the government's tax cuts, and we also believe – there should not be any surprise for the Minister of Finance – that more targeted, powerful measures to remedy the situation in the South West need to be implemented immediately. Before Easter, the representative Gahr Støre asked Prime Minister Erna Solberg for an estimate of the employment effects of the government's tax cuts. That question was not answered. That is why I address the same question to the Minister of Finance: what is the employment effect of the tax cuts that the government has carried out so far?
ParlaMint-NO_2016-03-30.ana.ud2203e62	There is no doubt that the impact of increasing unemployment, particularly in the South and West, is demanding for the individual family affected, and for the individual enterprise challenged by it, and that is precisely why it has been so important for the government to take action on a broad scale. But I disagree with the Workers' Party about the view of taxes. The level of taxation is linked to competitiveness. Nor do Norwegian companies have the ability to employ more people if they do not have the capacity to compete. Therefore, it has been crucial for the government to present a tax reform, simply because we need to have a tax level that is in line with the level of the countries with which we normally compete. In addition to being concerned with reducing corporate tax, which is the main element of the tax reform that we presented to the Storting before Christmas, the government has also reduced the wealth tax. I want to clarify: When the representative Marthinsen claims that we have spent most of our time giving tax credits to those who have the most of them, it is wrong. Only 4 pst. of the increased scope of action that the government has had over these years has gone to reduce the taxes on wealth. 96 pst. have gone to all other purposes, including tax relief, increased infrastructure investment and school and education, to mention something. But that is absolutely crucial. When I travel around and meet businesses – private Norwegian-owned enterprises – that are now facing challenges, all call for even greater relief in property taxes and taxes on working capital. It could be tempting to ask Marianne Marthinsen back: Is the Workers' Party interested in a scheme where we contribute to better competitiveness and tax conditions for private Norwegian ownership in Norway, rather than just focusing on state ownership or foreign ownership?
ParlaMint-NO_2016-03-30.ana.ud2203e71	Of course, the Minister of Finance is fully aware that negotiations are taking place on the Stortinget with a view to obtaining a tax system that makes it more profitable to invest in jobs in Norway. That's a consensus. So I have to remind the finance minister that of these tax cuts that have been carried out, over 50 pst. of them went to the 5 pst. richest in Norway. And my question was not about whether the Minister of Finance is too tax cut – we already know that. The question was about the employment impact of these cuts. Any economist would agree that direct use of over-budget money would give faster and stronger results in terms of increased activity, employment, than tax relief when there is no capacity in the economy. We have e.g. SSB calculations showing that the employment effect of tax cuts is only a small fraction of the effect of e.g. public investment or production. Does the Minister of Finance recognise that by changing the way money is used, would it be possible to achieve much higher activity and employment effects without having to start draining the oil fund?
ParlaMint-NO_2016-03-30.ana.ud2203e80	Here comes a lot of claims at once. First of all, the government does not bottle up the oil fund. The oil fund spends every year. We're doing what's been the assumption all the way, that's using the annual rate of return. I think maybe I should remind Marianne Marthinsen of what her own government wrote then St.meld. No 29 for 2000–2001 was presented in 2001, which was the introduction of the action rule. Then the then Labour Party government wrote: ‘An economic policy should not be based on an increase in the level of taxation. Rather, some of the increased space for action should increase the phase-in of oil money, go to ‘reducing taxes and taxes’.’ So it was a recommendation from the Stoltenberg government, which the Stoltenberg government itself never followed up. So it was a prerequisite that we should use the increased scope of action to reduce taxes, to increase investment in infrastructure, to invest in research and education, which we know are the three areas that provide the greatest basis for economic growth. That's what this government is doing, and that's what we're going to do.
ParlaMint-NO_2016-03-30.ana.ud2203e94	Follow-up questions will be raised – first Day Terje Andersen.
ParlaMint-NO_2016-03-30.ana.ud2203e97	It is particularly important that the Council of State takes the opportunity to ask questions to a representative who has no opportunity to reply, but the Council of State should be given an answer. For them, they vote the quotations of the previous government in terms of economics. That's why the previous government put down corporate tax, for example, that's why the previous government put forward the most offensive national transport plan of the time, which is the same as the government now boasts of implementing. The question that Marianne Marthinsen asked was, can the Council of State make it clear that the huge tax reliefs on wealth to the richest actually give some employment effect? I understand that we're not going to get any answers to that, because it doesn't have that effect. It shows the government's own calculations. We have the experience of Reagan in the United States – his voodoo economy. It didn't work. We have from Thatcher in England, which led to an economy that led to more unemployment and greater differences. And we've seen it in Sweden in recent years. Why should an economy that only leads to increased unemployment and greater differences for people appear differently in Norway than in those countries that have tried it before and failed?
ParlaMint-NO_2016-03-30.ana.ud2203e108	I understand that the Workers' Party is against reducing the taxes on wealth. It's an honest thing. I believe it is important in the situation we are in now, actually to listen to those who know where the shoe is printing – those who own the businesses that now have to undergo a demanding conversion. All of the managers and many of their employees ask that we continue to work to reduce the tax burden. They ask us to ensure that we have a competitive tax level of ownership in Norway. This must apply to all ownership in Norway, not only foreign ownership in Norway, but also Norwegian ownership in Norway. That's why it's important to be able to do more things at once, just like this government is doing. We have record investments in infrastructure. We reduce taxes and taxes because this is necessary for competitiveness. We are focusing massively on both research and knowledge, which we know will increase employment over time. But there is no doubt that the Norwegian economy is now going through a difficult transition. We will solve it both with short-term measures and with long-term structural measures.
ParlaMint-NO_2016-03-30.ana.ud2203e117	Kjell Ingolf Roppstad – for follow-up questions.
