Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e29	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e54	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e146	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e151	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e156	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e161	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JSN	Nordås, Janne Sjelmo	F	1964	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e167	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e183	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.MUK	Kapur, Mudassar	M	1976	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e194	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e251	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e261	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-10-13	ParlaMint-NO_2016-10-13.ana.ud133e284	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2016-10-13	2016-10-13	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2016-10-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
