Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΚΑΡΡΑΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ-ΔΗΜΗΤΡΙΟΣ	Karras, Geōrgios Dīmītrios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΚΟΥΚΟΥΤΣΗΣ_ΝΙΚΟΛΑΟΥ_ΔΗΜΗΤΡΙΟΣ	Koykoytsīs, Dīmītrios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΠΑΠΑΝΑΤΣΙΟΥ_ΣΤΕΡΓΙΟΥ_ΑΙΚΑΤΕΡΙΝΗ	Papanatsioy, Aikaterinī	F	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΚΟΥΚΟΥΤΣΗΣ_ΝΙΚΟΛΑΟΥ_ΔΗΜΗΤΡΙΟΣ	Koykoytsīs, Dīmītrios	M	-	
ParlaMint-GR-en_2017-08-28-S1-commons	ParlaMint-GR_2017-08-28-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 168, 2017-08-28	2017-08-28	Unicameralism	17	2	-	168	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
