Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7908	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7910	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BogićevićBogić	Bogićević, Bogić	M	1953	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7911	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7912	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	BrkaOsman	Brka, Osman	M	1942	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7913	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7914	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	BilbijaŽeljko	Bilbija, Željko	M	1964	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7915	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7916	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	BilbijaŽeljko	Bilbija, Željko	M	1964	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7917	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7918	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MikerevićDragan	Mikerević, Dragan	U	-	
ParlaMint-BA-en_2002-10-01-0	ParlaMint-BA_2002-10-01-0.u7919	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 32	2002-10-01	Unicameralism	3. mandat	-	Sjednica 32	2002-10-01	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	LjubićMariofil	Ljubić, Mariofil	M	1957	
