Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e534	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e568	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e696	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e720	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e763	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e790	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01226	Molterer, Wilhelm	M	1955	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e886	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e907	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_02873	Einem, Caspar	M	1948	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e974	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e996	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_01604	Scheibner, Herbert	M	1963	
ParlaMint-AT-en_2005-04-07-022-XXII-NRSITZ-00105	ParlaMint-AT_2005-04-07-022-XXII-NRSITZ-00105_d7e1162	Sitting Number 105, Legislative period XXII, Thursday, 7. April 2005	2005-04-07	Lower house	Legislative period XXII	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
