ParlaMint-NO_2013-10-23.ana.ud1862e15	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-10-23.ana.ud1862e18	On behalf of Bård Vegar Solhjell and myself, I would like to make proposals on safe and secure care through long-term agreements with non-profit actors.
ParlaMint-NO_2013-10-23.ana.ud1862e23	The proposal will be dealt with in a regulatory manner. Treatment was continued for the following reasons:
ParlaMint-NO_2013-10-23.ana.ud1862e49	The President proposes that in today's debate there should be a correction of the number of lines on the Prime Minister, proposing to extend this to 13 lines. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-10-23.ana.ud1862e52	The voters gave a historically large majority to the Left, Christian People's Party, Right and Advance Party on 9 September. Together, we have signed a historic cooperation agreement where we clearly say that we should manage the majority jointly to improve Norway. The right-wing Party government has presented an ambitious political platform: the Sundvolden Declaration. Last Friday, October 18th, we made an equally ambitious government statement here in Stortinget focusing on the values we're going to work on. Today, I want to draw attention to some particularly important tasks that we are going to tackle: to realise the knowledge society, to strengthen the competitiveness of Norwegian jobs, and not least to improve our social security network. We all agree that Norway is a good country to live in, and that is for the vast majority, but not for all. This recognition must be shared by every politician in Norway, that although most of us are doing well, not everyone has it as well. We have low unemployment, we have a well-developed welfare society for most, and we have many skilled and committed employees in the public and private sectors who each day contribute to the future of this country. And we have a voluntary sector with great competence, great activity and of which there is great respect, and which is helping to make Norway a society that builds us together as people. But it is very important that politicians always have the basis that success today is not a guarantee of success in the future. It is important that we have a recognition that the Norwegian welfare, which finances much of what we see today, is based on a combination of rich, non-renewable natural resources and competences linked to further processing them. That's why competence is so incredibly important. We still have a lot of natural resources in our society, but realising the knowledge society is really the recipe for ensuring success in the future. The government has taken on great knowledge ambitions. We're going to develop world-leading university environments. We must become one of Europe's most innovative countries. These are not ambitions that are fulfilled overnight; we have these ambitions because we have a generation perspective on what we are doing in this government. The steps we take during this four-year period will also deliver results from a generation perspective — a more robust welfare society. The work of realising the knowledge society starts at school. Several must acquire basic literacy and reading skills. Several have to qualify for both engineering and real science, but also for other higher education competences, and then we have to invest in the most important resource we have to make this promise, the teacher. This government has said that we should invest massively in the continuing training of teachers. A lot of teachers are very good, but a lot of teachers also say that they need more stuff to get even better and to achieve the goal of each student meeting a dream teacher in the classroom. That is why the government is going to put a massive effort on the continuing training of teachers, and in the long term we are going to make this a right and a duty. I am recording that Jens Stoltenberg concluded yesterday that the Workers' Party is firmly committed to its promise to double the efforts on the continuing training of teachers. But even though it was said in the election campaign, we haven't seen any sign of this in the last eight years, nor in the budget that the outgoing government put forward too soon. The level of 1,850 teachers and 400 principals continues. So if we're going to start a discussion about who's going away from the election vows, maybe the Workers' Party can start there. If anyone is in doubt, the Right Party government has far greater ambitions for continuing education, for teachers and for the knowledge effort. We're going to convert the teacher's education into a five-year master's degree. Together with the social partners, we will develop new career paths in the classroom with increased pay and status, and it is important to ensure the recruitment of the best pupils for the teaching profession in the future. The job continues to strengthen the focus on research, innovation and commercialisation of research results – yes, so that we build future new jobs. One of the main steps to be taken by the government to strengthen research is to increase the yield of the Eco-Technology Fund for climate and environmental purposes. It is stated in the cooperation agreement with the Christian People's Party and the Left that the precautionary principle is underpinned. We're going to leave the globe in better condition for our descendants than the one we ourselves received, and if we're going to get it, we're going to have to bet on climate and the environment. Therefore, the government will come back to Stortinget with a plan for how we can jointly strengthen the climate agreement. I see that the climate issue has triggered several proposals for voting later in this debate, and that the SV's newfound freedom makes them want a big message on this before the summer. We're going to work as hard and as good as we can, but the most important thing now is not to produce a big message, but to make sure that the results are further built. I remember that even though Stortinget decided that the first deal would be followed up with a concrete news of climate change in 2010, it did not come until 2012. So even if you're eager and you've got new freedom, you might want to think about having a thoroughness in this work. The second big task I want to talk about today is to strengthen competitiveness. The right-wing Party government will use the large values that have come to our society from the petroleum industry to build Norway for the future. We need to be able to use this unique opportunity to create lasting values for our society and for future generations. An important area of activity for this government will be strengthening the competitiveness of Norwegian jobs and creating more secure jobs. Having a job gives personal development, a social community and security to the families, yes, it actually gives more than just the money you get. For the country, safe jobs provide the opportunity to further develop our welfare society. It is important that the values are created before they can be shared. The security of good welfare systems does not come from oil wealth; the security of good welfare schemes comes from the sum of the labour force of each of us. This is why it is an important objective that as much work as possible is being done. It gives great cause for concern to see the strong two-part division we have in the Norwegian economy. Where the oil and gas industry and its supply industries generate high values through a high oil price, traditional industries are struggling with weaker demand from Europe and in periods of high prices. Norway can do little to create new growth in the European countries affected by the debt crisis, but the government can strengthen the competitiveness of the Norwegian companies to compete, both in the European market and internationally. I would like to point out some contributions that are particularly important. We will invest more in growth-enhancing tax incentives, infrastructure, knowledge and environmental technologies to strengthen the competitiveness of jobs in mainland Norway. Compared to the size of the Norwegian economy, investment in mainland industry is at a low level. It reinforces the need to trigger what makes you want to invest more, including: to reduce the extraordinary taxes on wealth. If the owners of Norwegian jobs can leave more money in the company, it can be invested in new machinery, new equipment and new jobs. Lower taxes on Norwegian jobs will therefore strengthen competitiveness. Lowering taxes is in line with our election promises. Of course, the number fixation comes in the individual budgets. It is also in line with what was our election promise. Tax has no priority over the other important investments in competitiveness, but it is a necessary part to strengthen competitiveness, together with infrastructure, knowledge and to ensure that we have a much better focus on research in the years to come. Another important contribution is, as I said, building the country with infrastructure. Norway is a long-distance country, and we rely on a well-developed road network. Yes, in fact, we cannot talk about rural policy in Norway without focusing on infrastructure and the road network. Oil revenues give us a unique opportunity to invest and invest in modern and efficient roads for the future. That's why the government will be investing more in transportation. Better roads also make it safer to travel in traffic. Better road and track also makes it faster and therefore also more reasonable to send goods into, out of and across the country. A strong collective effort is needed to keep the large cities growing and living, and to reduce greenhouse gas emissions. Better infrastructure will strengthen Norwegian competitiveness, and when competitiveness is strengthened, we also ensure well-being and will have the opportunity to further develop it. In order to improve Norway, the Right-Fremskritsparte government will increasingly base its policies on confidence in individuals, families, entrepreneurs and volunteering. We believe that Norway is getting better by using all the good forces. We're a small country, but we're a lot of people who can contribute if we use all the good cancers. I would like to stress again what we said in the government statement: ‘Many forces and large resources will go to play if we make policy a struggle between the public, voluntary and private sectors, where only one can win.’ Everyone should contribute. The government has as its priority the objective of strengthening the social security network. I've talked a lot about sealing the holes for vulnerable groups. It is equally important to ensure that health cows decline and the quality of health services provided. Therefore, we need to use free capacity at private and non-profit institutions, to bring down health cows and to introduce free treatment choices. We start with drugs and mental health protection. We do that in order to reduce the waiting time for a patient group, because waiting at the treatment site may mean that the motivation for getting well disappears. It's a bad effort from our society. It is now time to give priority to drugs and mental health in the healthcare system. Psychiatric health disorders are one of the most important causes of illness and absence at work. Therefore, we need to make it easier to combine work with the need for treatment in periods of minor or major mental illness. Different mental disorders require different follow-up. Some people need peace, rest and health care. For others, going sick can make things worse. This flexibility we have to work to get into our entire working and social life. Only then will we be able to take good action to improve mental health. The government will work to organise healthcare better. The work shall be carried out gradually and the employees shall be involved in the process. The last point I want to raise today is the government's cooperation with Stortinget. The Government shall manage the political majority jointly with the Christian People's Party and the Left. We're going to have close contact with our big groups. The government also wants constructive cooperation with the opposition. I am therefore very pleased that, during this debate, very many opposition politicians have declared that they should be constructive. It's important for the Norwegian community. Major reforms have been made on a broad basis. Then they become permanent and better. This is why the government is prepared to bring open questions and discussions to the Storing in order to find out the good processes and to get through the important, large and forward-looking reforms. Therefore, it is also important that the good ideas and suggestions from other parties should be seriously assessed and given good feedback. From time to time, constructive proposals will also be adopted, because we jointly have a responsibility to manage Norway in the future – whether in position or opposition. We look forward to a period when the Stortinget is strengthened as a political workshop, and we look forward to the changes of words that follow. Then we expect to do what you say: vote for what you are for and be careful to be in good dialogue that there will be not only political games, but that the work that the government and the Storing will do together over the next four years will actually be the best for the inhabitants of Norway.
ParlaMint-NO_2013-10-23.ana.ud1862e122	It's going to be line change.
ParlaMint-NO_2013-10-23.ana.ud1862e125	I'm aware that we've gone from the sixth largest party of the Storting to the fourth largest party of the Storing, but I'd like to go further up the list. Of course, on behalf of the Christian People's Party, I would like to begin by congratulating Erna Solberg as the country's new Prime Minister. We are also pleased with the cooperation agreement underpinning the government, which the Prime Minister stressed in his statement. «there must be government with the Storthinget», said Johan Sverdrup. [[...]] Unfortunately, he did not succeed in doing so himself, but we assume that this is also the government's position – that you should rule with the Stortinget. I want to face a personal challenge. The Prime Minister has a long political work behind him, so my question is, What is the Prime Minister's motivation and motivation? What will she achieve for the country, now that she gets this important job as the country's prime minister?
ParlaMint-NO_2013-10-23.ana.ud1862e136	It's an exciting question to be challenged with. I think a lot of that drive is in some of the things I initially talked about: I've been concerned with all my political life that the knowledge society and knowledge are the most important way you can lift the individual. The way the individual manages to lift himself is to provide good knowledge and competence. Therefore, raising the whole of Norway is a question of the sum of lifting each individual. That's why I'm dedicated to realising the knowledge society. I think education is our best social policy. I think education is our best knowledge policy. I think education is our best and environmental and industrial policy. Creating social mobility is closely linked, among other things. education. The other important thing is to make sure that those who fall outside are always given a new chance. It's about the commitment to drugs and mental health. If you start falling out of our very streamlined society, where you're really going one race from the first day of school and beyond, it's hard to come back again. Creating opportunities to come back, whether back into the education system or back into work — getting the help you need — is one of my strongest motivational factors.
ParlaMint-NO_2013-10-23.ana.ud1862e145	I think we can agree with a lot of what the Prime Minister has just done. That is why I have a very concrete call to the Prime Minister: She now spoke of those who fall outside. The Bondevik II government — where the Prime Minister was also an important participant — put the fight against bullying high on the agenda by engaging the Prime Minister himself. Researchers later concluded that the strong national focus had a significant impact on bullying in Norway. Since 2004, bullying has increased again. 5-7 pst. by school students today experience bullying. It equals 40,000-50,000 children. I would like to challenge the Prime Minister personally to put a strong national focus on the fight against bullying in school, in working life and on digital media. Will the Prime Minister do that?
ParlaMint-NO_2013-10-23.ana.ud1862e154	The simple answer to that is yes. I believe that giving a safe childhood, giving a safe upbringing, in fact, is the most important prevention measure we have against problems in almost every field. In our commitment to mental health and to raising the educational community, it's important to remember that if a child sits with lumps in his stomach, fear of free minutes, fear of the school road or of what can happen, yes, the learning effect won't be very great, and what you experience there can give scars for the rest of your life. Therefore, it is incredibly important that we make an effort — to ensure at all that the rest of the policy works — on the basis that each child should have the best possible growth. It's about fighting bullying. It's about teaching our children decent behavior towards others. It is about teaching all children in Norway the understanding of empathy. It is the responsibility of parents. It's about helping the kids who are being bullied, and making sure that the school community knocks it down right away.
ParlaMint-NO_2013-10-23.ana.ud1862e159	The next representative is Jens Stoltenberg. Some may have wondered why not Stoltenberg was the first replicant. The background to that, I think, is due to technological developments since the last time Stoltenberg was in the hall. [[Laughter]]
