ParlaMint-NO_2013-04-10.ana.ud394e26	The representative, Dagrun Eriksen, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e29	I am pleased to promote a proposal by the representatives of Kjell Ingolf Ropstad, Øyvind Hope and signed a valuelift in school.
ParlaMint-NO_2013-04-10.ana.ud394e34	The representative, Morten Ørsal Johansen, wants to make a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e37	On behalf of the representatives of Siv Jensen, Per Sandberg, Gjermund Hagesetter, Åge Starheim and myself, I am delighted to make suggestions not to allow the use of burka, niqab or other lucky garments in the public room.
ParlaMint-NO_2013-04-10.ana.ud394e42	The representative, Mr Gjermund Hagesetter, wishes to make a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e45	On behalf of the representatives of Morten Ørsal Johansen, Åge Starheim and myself, I am delighted to promote a proposal for a representative on the conversion of the financing of the municipal sector and the need-driven state funding of basic welfare services.
ParlaMint-NO_2013-04-10.ana.ud394e50	The representative Per Roar Bredvold wishes to make a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e53	I have, on behalf of the representatives of Harald T. Nesvik, Torgeir Tåldal, Bård Hoksrud and myself, the pleasure of promoting representative proposals on framework conditions for Norwegian forestry and the woodworking industry.
ParlaMint-NO_2013-04-10.ana.ud394e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2013-04-10.ana.ud394e71	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Siv Jensen.
ParlaMint-NO_2013-04-10.ana.ud394e78	A number of recent entries have focused on the situation at Norwegian emergency services. Only in 2013 has the Health Authority established three supervisory cases following notification of concerns by employees. It has been concluded that the service in Stavanger is irresponsible, while the other two cases are not yet settled. But this situation is not new. As early as 2008, health surveillance warned against the situation at the country’s emergency reception centre, and their main conclusions included: that patients with unexplained conditions had to wait several hours before being examined by a doctor, that many emergency services did not have an equal perception of the situations in which extra resources were to be allocated, and that concerns were simply expressed as to whether it was professionally sound during busy periods at many of the country’s emergency facilities. The current Minister of Health, Brustad, clearly stated and announced new measures, but nothing has happened. When Minister of Health Gahr Støre was challenged about this, he met these very serious warnings from employees in the sector, even with claims of black paint. It is a well-known technique to accuse a political opposition of blackmailing a situation that does not even agree, but when the Council of State then goes into conflict with the superiors and employees in the sector who warn against a situation, I think it is much more serious. Therefore, I would like the Prime Minister to explain what he thinks is proper staffing at Norwegian emergency reception, and how the government intends to resolve the situation that has now arisen.
