ParlaMint-NO_2013-04-03.ana.ud482e22	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e25	On behalf of the representatives of Jan-Henrik Fredriksen, Inbjørg Vokskesen, Arne Sortevik and myself, I am delighted to make suggestions to obtain the maintenance kit run on the national and county roads.
ParlaMint-NO_2013-04-03.ana.ud482e30	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e33	On behalf of the representatives of Bård Hoksrud, Inbjørg Godskesen, Jan-Henrik Fredriksen, Gjermund Hagesetter and myself, I have the pleasure of presenting proposals for full government funding for the continuation of the Bergen programme for transport, urban development and the environment.
ParlaMint-NO_2013-04-03.ana.ud482e38	The representative, Siv Jensen, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e41	On behalf of the representatives of Bård Hoksrud, Arne Sortevik, Åse Michaelsen, Solveig Horne, Gjermund Hagesetter, Åge Starheim, Harald T. Nesvik, Per Sandberg and myself, I am delighted to present representative proposals on the construction of the ferry-free E39 based on project financing and project organisation.
ParlaMint-NO_2013-04-03.ana.ud482e46	The representative, Mr Øyvind Håbrek, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e49	On behalf of the representatives of Laila Davøy, Geir Jørgen Bekkevold, Kjell Ingolf Ropstad and myself, I am pleased to present a proposal for a representative on an action plan for full foster home coverage and a stability reform in child protection.
ParlaMint-NO_2013-04-03.ana.ud482e55	The representative of Svein Harberg will present a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e58	On behalf of the representatives of Elisabeth Aspaker, Henning Warloe, Ine M. Eriksen Soreide and myself, I would like to put forward a proposal for a representative on a strategy for university environments at the top of the world.
ParlaMint-NO_2013-04-03.ana.ud482e63	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2013-04-03.ana.ud482e75	On Wednesday 27 March, the Stortinge received notice from the Prime Minister's office that the Councils of State Sigbjørn Johnsen, Jonas Gahr Støre and Ola Borten Moe will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Ketil Solvik-Olsen.
ParlaMint-NO_2013-04-03.ana.ud482e82	The markets in Europe are deteriorating. The economic situation is difficult and the financial crisis does not escape the roof. The government and the opposition all see that this puts Norwegian companies in a challenging situation. Many Norwegian companies have Europe as their leading market, and when markets shrink, competition becomes even stronger. The competition situation for Norwegian business is not as good as it should have been, both because there are some strange, strict framework conditions at home, and also because the pay level at home is very high. When you haven't had an increase in productivity, when you actually have a governor who says that today per capita we don't produce more than what we did five years ago, the situation hasn't evolved in the right direction. Over the last few years, the Progress Party has proposed a number of measures that would improve the framework conditions for Norwegian business, which would improve the competitive situation, thus making Norwegian business better equipped for the situation they are currently in. Then, unfortunately, we have not received a majority. Now we're facing a paycheck, which we do every year. Then our question is, what can the government contribute to this time to give us a more moderate wage settlement and thus avoid getting the same growth and difference in salary levels in Norway as in other countries? The real wage in Norway is approx. 61 pst. higher than our trading partners in the EU. This makes it difficult to compete for contracts that are labour-intensive. So the development of productivity has stood still, and we will be very vulnerable if we get an oil price drop, which has been the driving force for growth in the Norwegian economy. The government often talks about tripartite cooperation. When we addressed this in a written question to the finance minister a month ago, he referred only to the two-party cooperation. At that time, the role of the state in the wage settlement was completely removed. So the question is, will the government contribute anything into this year's wage settlement?
