ParlaMint-NO_2013-02-06.ana.ud977e26	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2013-02-06.ana.ud977e29	On behalf of the representative Borghild Tenden and myself, I have delighted to make proposals for the permanent protection of the marine areas outside the Lofoten, the Western Seabed and Senja.
ParlaMint-NO_2013-02-06.ana.ud977e34	The representative, Mr Gjermund Hagesetter, will make a proposal for a representative.
ParlaMint-NO_2013-02-06.ana.ud977e37	On behalf of Morten Ørsal Johansen, Åge Starheim and myself, I am delighted to promote a proposal for a representative to strengthen Norwegian language in public services.
ParlaMint-NO_2013-02-06.ana.ud977e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2013-02-06.ana.ud977e54	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Siv Jensen.
ParlaMint-NO_2013-02-06.ana.ud977e61	The emergency number 110 is a number that we call when the seriousness arises — acute illness, accidents — and it is a service that the population is totally dependent on working well. It is also a service that has high confidence in the population. Now the situation is that the Directorate for Social Security and Preparedness has proposed a whole new structure for the 110 Centrals. That proposal comes at the same time as a Drammen pilot project on a common emergency number. So this is a project that has not yet been evaluated. It is in my opinion unfortunate to start that kind of reorganisation before you have seen all the needs of the emergency services together. The government has announced a performance reform for the police to look at structural interventions there. Then the government has notified an emergency message, which is exposed. My question is: Is it not natural to see the overall preparedness together, and also to take into account the evaluation and evaluation of the Dramen pilot project, before the possible conclusion is reached on the implementation of a major reorganization of the 110 centre? It is also a fact that the debate around the AMK centres creates a lot of discussion, not least in health-care environments that are concerned that this service must offer the same confidence in the future as it does today, and there are strong professional objections from several health services to the consequences of a possible merger. I would like to ask the Prime Minister to reflect a little bit about what it is the government is now really looking at relating to these issues, all the time there are announced a number of different issues and at the same time embarking on a number of projects that seem to have conflicting interests in them.
ParlaMint-NO_2013-02-06.ana.ud977e72	First, I would like to thank you for the question. It is very important that we have full attention to preparedness, and it is not that we – although it is now beginning to be a while since July 22, 2011 – reduce our attention to preparedness and how we can strengthen and improve it. We are then faced with at least one challenge and one dilemma, and it is true that there are many processes, evaluations and forecasting messages that are being carried out, that are being notified and that are coming. But at the same time, it is important that we do not stop all the measures pending these processes. We believe that it is important that we act in the areas on which it is based. For this reason, it is already before, for example. The July 22 Commission presented its report, implemented significant actions. Significant actions have been implemented in the budget for this year in areas where we are confident that it is right to carry out reinforcements, regardless of the evaluations and the whole process. So we can't wait with actions until all evaluations, grossing-up messages and processes have been completed. It is now the case that the Directorate for Social Security and Preparedness has sent out a proposal at the hearing. It has its reason that July 22nd showed us that we need more robust centers and a review of how they work. It is the Ministry of Justice and Defence that is the appeal body, so that if there is a great deal of disagreement or protest against any of those proposals, we will be able to get them dealt with. But I think it's a little too early to say that we're not going to make any changes, even though we also have whole processes and come up with big messages.
ParlaMint-NO_2013-02-06.ana.ud977e81	The last thing I agree with the Prime Minister. Wherever it is right, necessary and natural to make changes, they should come, and preferably as quickly as possible. But in the case of a possible conversion of the 110-centrals, people in everyday life are not primarily concerned with major terrorist attacks. It's about people's everyday lives. This is about the safety of getting the fastest and best follow-up available, with possible pre-medical follow-up, etc. in the event of a traffic accident or acute illness. What creates uncertainty, far into the medical disciplines, is that the Directorate for Social Security and Preparedness sends this out before the results of the pilot project that is now under way in Drammen. That trial project alone creates a lot of debate, because many are opposed to the aggregation of emergency numbers.
ParlaMint-NO_2013-02-06.ana.ud977e88	We're talking about at least two things now. One thing we're talking about is the question of whether to merge the emergency numbers into one emergency number. There I have recorded that there are very strong opinions. Some people think that we should do as other countries do, for example. USA, and have one emergency number, whether it's fire, health or police. It's easier to remember a number. Others believe that this will weaken preparedness. I listen in and out to both professional environments, who have very different opinions about whether we should have one or more emergency numbers. Then we've decided to do an experiment in the Drammen, and we should do it before we conclude on whether to have one or three emergency numbers. The second question we're discussing is whether there should be fewer 110 centers. So there it is that the Directorate of Social Security and Preparedness has authority, authority, to determine the number of centres. Many believe that it is necessary to reduce the number of centres to increase robust and better manned centres. Others think that a lot of centers are important. There's the situation where the director can make his decisions. If you disagree, you can appeal to the department, and then the department must assess it.
ParlaMint-NO_2013-02-06.ana.ud977e95	Three follow-up questions will be raised – first by Bård Hoksrud.
