ParlaMint-NO_2013-11-20.ana.ud2544e26	The called alternate of the Eastfold County, Wenche Olsen, has taken the seat.
ParlaMint-NO_2013-11-20.ana.ud2544e37	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-11-20.ana.ud2544e40	On behalf of the representative Mr. Bård Vegar Solhjell and myself, I am delighted to present a proposal for a representative for a Commission to examine and assess the overall monitoring to which Norwegian citizens are subject.
ParlaMint-NO_2013-11-20.ana.ud2544e45	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2013-11-20.ana.ud2544e57	The Stortinget received on Monday's notice from the Prime Minister's office that the Council of State Ketil Solvik-Olsen, Minister of Foreign Affairs Børge Brende and the Council of State Anders Anundsen will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. The first main question is from the representative of Hadia Tajik.
ParlaMint-NO_2013-11-20.ana.ud2544e64	My question goes to the Minister of Justice and Defence. The importance of good preparedness has been our experience in the profoundly painful way. Some of the learning points relate to how a person gets well prepared are closely related to training, competence and cooperation. Then there are several measures that need to be taken. One of the measures taken by the previous government was to establish a new emergency centre at Alnabru, Oslo. This government has begun its work of looking for alternative locations for such a center. Their grounds are land and building size, but these conditions are well known and discussed carefully. Therefore, I wonder why the Council of State has reopened the whole discussion about the location of a new emergency centre.
ParlaMint-NO_2013-11-20.ana.ud2544e71	There is probably something to be clarified in the question of the representative of Tajik. First of all, we haven't reopened the process. We have the ambition to realize the emergency centre at Alnabru. The challenge has been that the previous government has had too little overview of the development of the project. It started with an extension of 18000 m2, now it's 32,000 m2, and it's likely to get even larger. The plot area that we've got at Alnabru is approximately. 30 targets. That means it's going to be very crowded, it's going to be expensive and it's going to be harder to realize than what was the starting point. But the government – and I – have a dialogue with the Ministry of Transport to expand the land area of Alnabru. There is a dialogue that we are in the process of doing, which is very fruitful and good, and which I am absolutely sure will produce good results. If we get any larger areas available at Alnabru, Alnabru is the preferred option. But in order not to waste time if this does not resolve on Alnabru, it is important for this government that we have not locked ourselves so that we spend more time than necessary. Therefore, we will consider realistic alternatives if we do not land in Alnabru against assumption – against assumption.
ParlaMint-NO_2013-11-20.ana.ud2544e82	The moments that state councils here point out in their assessment of Alnabru in Oslo, are moments that are known, that have been discussed. In the proposition made under the previous government, it is repressive in the reference to the work done by State Building that State Building has assessed alternative locations for a new police emergency centre, which has been decided to be located in Alnabru in Oslo – i.e. State Building has done the job that the State Council now says he will start. What I need to know, then, is: What new information does the Council of State think he has about the planned emergency centre at Alnabru, which was not aware of the change of government?
ParlaMint-NO_2013-11-20.ana.ud2544e87	Some of that was in my previous answer. In addition, as the representative Tajik says, it is correct that there has been a review of many other alternatives – 17 in the number, in fact – and many of them have been rejected. The background to some of them having been rejected is that there has been a demand from the previous government that it be within the borders of the Oslo Police District. That's a requirement that we basically support. The challenge is that if we don't manage to get a larger plot area on Alnabru, the construction costs will be much higher, we'll get less security at the emergency centre, and we can't solve the co-location in the way we originally hoped. That is why I believe that both the representative Tajik and the government agree that it is important that we get to an emergency centre with the functions originally planned and preferably at Alnabru. But this government won't lock itself in a situation where we can't realize what's the main goal, that's a real emergency centre.
ParlaMint-NO_2013-11-20.ana.ud2544e92	The President will open up three follow-up questions – first from Lene Vågslid.
ParlaMint-NO_2013-11-20.ana.ud2544e95	Some of the most important things we learned after 22 July were the need for more training and more competence. The Minister of Justice and Security now says that he should look at other alternatives in parallel with the Alnabru process. It is difficult to see how this could be done in a faster way. If a counter-suspect, as the Minister for Justice and Security says, lands on another option, would it not be possible for one to start on scratch with planning and design, and thus could risk delaying a very important process? If the answer is no to that question, will the Minister for Justice and Security guarantee that any other options will not lead to a delay in the new Emergency Response Centre?
