ParlaMint-NO_2013-04-24.ana.ud852e26	The representative, Robert Eriksson, will put forward two proposals for representatives.
ParlaMint-NO_2013-04-24.ana.ud852e29	I have first been delighted on behalf of the representative Ketil Solvik-Olsen and myself to present a proposal for a representative on VAT compensation for individuals in the construction of nursing homes for their own children. Then I am also delighted to present a proposal for a representative on behalf of the representatives Laila Marie Reiertsen, Vigdis Giltun and myself on a more comprehensive, efficient and user-friendly hub.
ParlaMint-NO_2013-04-24.ana.ud852e36	The representative of Laila Davøy will present a proposal for a representative.
ParlaMint-NO_2013-04-24.ana.ud852e39	On behalf of the representatives Line Henriette Hemdal, Kjell Ingolf Ropstad and myself, I am delighted to make a proposal on the right to interpret and accompany deaf blind people in leisure activities.
ParlaMint-NO_2013-04-24.ana.ud852e44	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2013-04-24.ana.ud852e47	On behalf of the representatives Bård Hoksrud, Jan-Henrik Fredriksen, Inbjørg Götskesen, Gjermund Hagesetter and myself, I have the pleasure of proposing immediate measures to implement the necessary racial protection on the E16 between Bergen and Voss.
ParlaMint-NO_2013-04-24.ana.ud852e52	The representative, Mr Kjønaas Kjos, will present a proposal for a representative.
ParlaMint-NO_2013-04-24.ana.ud852e55	On behalf of the representatives of Anders Anundsen, Jon Jäger Gåsvatn, Per Arne Olsen and myself, I propose to strengthen patient rights for vulnerable patient groups.
ParlaMint-NO_2013-04-24.ana.ud852e61	The representative Siri A. Meling will put forward a proposal for a representative.
ParlaMint-NO_2013-04-24.ana.ud852e64	On behalf of Henning Skumsvoll, Kjell Ingolf Ropstad, Borghild Tenden and myself, I am delighted to make suggestions to give the communities concerned a greater share of the value creation from wind power generation.
ParlaMint-NO_2013-04-24.ana.ud852e69	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2013-04-24.ana.ud852e72	On behalf of the representatives of Siv Jensen, Kari Kjønaas Kjos and myself, I would like to promote a proposal by a representative on a strengthened provision of activity and public health for people with mental developmental disabilities.
ParlaMint-NO_2013-04-24.ana.ud852e77	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2013-04-24.ana.ud852e89	The Stortinget received on Monday's notice from the Prime Minister's office that the Councils of State Grete Faremo, Anne-Grete Stroem-Erichsen and Heikki Eidsvoll Holmås will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Per Sandberg.
ParlaMint-NO_2013-04-24.ana.ud852e96	My question goes to the Minister of Justice – if anyone wondered! We have a situation where the capacity in Norwegian prisons is detonated. In the wake of that, we get alarming messages from various prisons. There's a warning about dangerous prisons. Some claim that it's being gambled with security. The situation is that prisons are also being filled with more and more foreign criminals. Prison cows are not unknown to us. After all, the Great Mountain tried in its time to remove the prison queues by making open atonement and penalty rebates. Today’s Minister of Justice also reduces queues, or tries to reduce queues, through electronic accomplices and open accomplices. Still, we have prison cows. You have maximum capacity utilisation. A letter has been sent to the Minister of Justice from 72 employees in Bodø prison, and I quote from this letter: ‘The lack of money prevents us from doing this work in prison. We're in front of drastic downsizing. We're afraid of life and health for cops and inmates. If anything goes wrong, we hold the Director of KSF Marianne Vollan and Minister of Justice Grete Faremo personally responsible." In view of the answer given by the Minister of Justice to the representative Jan Arild Ellingsen on 22 April of this year, where the Minister of Justice answers that assurances have been received that the situation at Bodø prison and other prisons is sound for both employees and prisoners, my question to the Council of State is: Who has a true sense of reality?
ParlaMint-NO_2013-04-24.ana.ud852e112	The reality is that, unfortunately, there has been an over-exploitation of funds in the North Region and that in that situation it is imperative that the KSF follow up on the region with a view to regaining control of the economy. In the current situation, it is absolutely necessary that all prisons in the region be sound, both for prisoners and for employees. Security must be safeguarded, and of course we are in a situation where no one is to be cancelled either. But it's a dilemma when you don't control resource use, to act in such a way that you reward an additional consumption with new, fresh resources. It is true that the government has put a lot of effort into reducing the pay queues, and fortunately we have done well. It is also true that we have taken a number of measures to increase capacity and have succeeded in doing so. In Northern Ireland, 16 new sites with electronic control will be used in the current year, so that there will also be an extension of capacity there, which is important in terms of the situation we now have, not least in Bodø. I can assure the representative Sandberg that we are following this situation closely. It is important for us to take care of the employees, not least the safety of the employees, in the situation we are in.
ParlaMint-NO_2013-04-24.ana.ud852e123	I am a little surprised when the Minister of Justice points out that the queue has been reduced. Yes, it is easy to reduce the queue when you release the criminals and give them a penalty discount, because then there will be free capacity to fill up with new ones. It is also worrying that the Minister of Justice points to increased capacity in the northern region because of the opening up of electronic housing. There is not an increase in capacity in prison institutions; there is only an increase in capacity by increasing the number of criminals out on open ground. The situation in prison is becoming serious. It is pointed out that protective vests and shields need to be used much more widely in everyday life. There are more weapons in prisons than there are at home. The situation is serious. So my last question to the minister is, will the minister now guarantee that there will be no unfortunate incidents due to depopulation in Norwegian prisons?
ParlaMint-NO_2013-04-24.ana.ud852e132	We have a situation where we have significantly increased capacity, and we have a situation where the number of people trained in criminal matters is also significantly higher than in the past. Criminal services do a very good job every day in the different institutions. One of the measures now being implemented in the North Region in the context of a difficult situation is a concrete risk assessment of tour users. It is imperative for us to ensure safety at the workplace. Electronic control increases capacity. It is a reconciliation option that works well for the group that can implement such a reconciliation. The figures also show few fractures and lower relapses.
ParlaMint-NO_2013-04-24.ana.ud852e137	Åse Michaelsen – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e140	It is important to see the whole here, because we are aware that the number of criminals released from custody is increasing, the number of days spent on smooth cells is increasing, the number of unskilled in prisons is increasing, the number of criminals in rescue queues is increasing, the number of foreign criminals in prison is increasing, the number of criminals released prematurely is increasing, the violence and threats in prisons are increasing, the number of illegal asylum seekers is increasing. Isn't there something sinking? Well, the number of police per thousand is falling, the chance of being taken is falling, the security of prisons is falling. I could actually have even further on this list. There have been eight years of majority government. I just have a simple question: who hasn't done their job?
ParlaMint-NO_2013-04-24.ana.ud852e147	There is a broad consensus in Norway on the instruments of criminal justice, and we discussed yesterday’s interview on effective penalties — in the wake of the announcement made to the Stortinget in 2008. There's a number of things that work. In fact, crime is sinking in a number of areas. Developments in the first quarter of this year are remarkable in several areas, looking up to the first quarter of last year. The relapse is also falling. The use of electronic control shows that here we have a penalty method that further reduces relapses and also leads to fewer crimes during acquittal. I'm going to be the last one to say, though, that there are not a number of challenges in the field of criminal care that we're going to address.
ParlaMint-NO_2013-04-24.ana.ud852e152	Anders B. Werp – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e155	There is no doubt that the capacity of criminal services is under a strong pressure, as the representative Sandberg pointed out. The pressure also increases by many prisons experiencing uncertainty. The last time I looked at it, it was probably 29 of the country's prisons that were on a list of the criminal services with the threat of decommissioning. In such a situation, it is important that the Storting should be presented with a capacity plan that reveals the ambitions of the government and invites a political debate and effort to take long-term action to increase capacity, reduce uncertainty and, at the same time, improve the quality of both housing and rehabilitation. The right has called for such a capacity plan for Stortinget to achieve a broad political effort and strong political ownership of the outcome. What does the Council of State think about that?
ParlaMint-NO_2013-04-24.ana.ud852e165	I fully agree with Mr Werp that the capacity of criminal services is under strong pressure. I would therefore like to bring forward the job done in criminal care with both reducing cows and ensuring that we have a high level of capacity utilisation. We have a pressure on not least the car parks, and we are therefore working on concrete projects that are in the quality assurance process, among other things. in the Agder counties, Vestfold, Buskerud and Telemark. I think it's necessary to get concrete projects up. At the same time, we see that the capacity plan we now have for treatment in the department provides us with valuable information about both the status of today and how we are going to work targeted to ensure new capacity. [[President clubs]] It will be the ordinary budgetary processes that...
ParlaMint-NO_2013-04-24.ana.ud852e170	We're going to have to get back to that. Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e175	I think I'm going to help the Council of State get back to it. I have to say that I am a little stunned when the Council of State began to respond. She said it was a regrettable fact that there had been an over-consumption in the police in the north. Then I kind of got the picture that the target management is such that they have imprisoned too many people in the north lately in relation to the target figures. Or what's in that council that said? She can answer that. In addition, I have just heard a talk from the police chief in Oslo. From there, custody services must now be transported to other parts of the country and spent a lot of resources on it — or you have to release it. My specific question is – for Oslo’s part, which was not mentioned in the Council’s response: Do you have any short-term and/or long-term plans to ensure sufficient capacity for custody detention in the Oslo area?
ParlaMint-NO_2013-04-24.ana.ud852e184	I referred to an excess of money. When too much money is spent, and more than you have, you have to make changes that make it possible to get the economy under control. However, the challenges are many, and ensuring – as I said – both new capacity and a variety of alternatives, so that we also make it possible to get back to a criminalised existence in the best possible way, is important. When we include: investigating new capacity in specific parts of the country, there is also a recognition that transport is a significant resource consumer in the criminal justice system and in the police. With adequate capacity it will also be possible to reduce this consumption.
ParlaMint-NO_2013-04-24.ana.ud852e191	Then we go to the next main question.
