Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e33	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e41	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e79	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e100	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e128	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e170	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.ALYS	Lysbakken, Audun	M	1977	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e219	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.LAPB	Brekk, Lars Peder	M	1955	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e266	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.HOSY	Syversen, Hans Olav	M	1966	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e335	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e370	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2013-06-11	ParlaMint-NO_2013-06-11.ana.ud1066e438	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-06-11	2013-06-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-06-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
