ParlaMint-NO_2013-12-13.ana.ud258e36	The representative Morten Wold, who has been licensed, has again taken the seat.
ParlaMint-NO_2013-12-13.ana.ud258e53	At the request of the Financial Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. In addition, the President will propose that there be no loopholes, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-12-13.ana.ud258e60	Thank you for that, on this traditional Lucia day. It's important to think about traditions in our day. It is only a follow-up to the financial position reflected in this position. Therefore, I will limit myself and just say a few words related to the setting. As a result of the majority decisions in the financial position, there will be some changes in the framework areas we are dealing with here today, including: on the dividend side and the transfers related to State pension funds abroad. In addition to that, we will say from the Christian People's Party that the Cultural Memory Fund, for which we have been a champion, is something we still want to see in the future. That is why it is mentioned from our side in the setting. As is also evident from the suspension, there is a slight disagreement with the Directorate for Economic Management and the efficiency process to be followed. Finally, there is a unanimous vote on the power to raise sovereign loans. As you know, it is not as problem-free in all other countries. So briefly I do it and recommend it with that committee's attitude.
ParlaMint-NO_2013-12-13.ana.ud258e77	I'm not going to hold on up here for too long either. Besides, it has its natural constraint, since it's a five-minute post. There are two aspects I want to highlight in this debate. First, I would like to express my joy at the fact that an overall opposition stops the government's plans to centralize the Directorate of Economic Management, DFØ. As we refer to in our remarks, this is a directorate where the service is largely space-dependent and thus suitable to be located in different parts of the country, as today. But the government ignores the consequences of regional policy if a significant number of government jobs are moved. We also want the efficiency of the directorate, but this must be possible without going into the well-established decentralised office structure. The Right Party and the Advance Party are eager to remove these state jobs in District Norway, but now the government must take the clear signal that the majority of the population gives in the vote and this debate, with regard to the establishment of the government that comes to the Grand Duchy in the context of the revised national budget. The second thing I want to comment on on this occasion is the increased use of oil money by the government, with the support of the Christian People's Party and the Left, adding up, and that can affect Norwegian jobs. I allow myself in this context to make some quotations: ‘The high level of costs and vulnerability to a fall in the oil price indicate caution in increasing the use of oil revenues. Since February, the crown has weakened. [[...]] The exchange rate is unstable, and the moods in the foreign exchange markets can change rapidly. If one made a clear change of pace in the use of money over the state budget, there would be a danger that the crown will strengthen again." The quotation is drawn from the additional proposal of the Right-wing-Fremskritsparte-Registration and entered in the pen by the Minister of Finance, Siv Jensen. Thus, the same government managed to increase its oil money use in the 2014 budget. Another quote: ‘The Stockholm Committee proposes to limit the oil activity and the use of oil money in order to mitigate the vulnerability of the Norwegian economy to oil dependence. These proposals must be taken seriously.’ And on the other hand, «The transition to a less oil-dependent economy will be more difficult to deal with if the phase-in of oil money into the economy is too high now.» These words belong to the chairman of the finance committee, Hans Olav Syversen, and were uttered just about a week ago. Today he is voting for increased use of oil money. My last quote here today: ‘It is good that the government takes the two-way economy seriously and will make Norway less oil dependent.’ However, the left is critical that government action is not taken immediately. This was Terje Breivik's comment when the government of Stoltenberg II presented its growth package to the mainland industry in May this year. Today he is also voting for increased use of oil money. In short, honor the Christian People's Party and the Left so that they, together with us red-greens, put their feet down and prevent the centralization of the government from DFOE. I hope and believe that this is not the last time we agree to stop blue-blue politics. This promises well. The seven initially said something about the importance of traditions, and I have no objection to this being a tradition. But I'm less impressed with the Christian People's Party and the Left, which despite statements in the very opposite direction, supports the Solberg government in making Norway more oil dependent than ever before.
ParlaMint-NO_2013-12-13.ana.ud258e125	The Ministry of Finance, with its underlying offices, is responsible for contributing to the professionally sound basis for decision-making in economic policy and budgetary matters. The proposal shows that, in particular, priority tasks in 2014 will be: work on national pension funds legislative work in the financial market area to protect the tax base for sustainable development and climate These priorities are supported by the right. The purpose of the State pension fund abroad is to support government saving for the financing of pension expenditure of the population and to support long-term considerations in the use of State petroleum revenues. Long-term and sound management of the Fund helps to ensure that the petroleum industry can benefit both current and future generations. The value of the State pension fund abroad is now estimated at 4 863 billion in the supplementary proposal. kr at the end of 2013 and SEK 5 340 billion. kr at the end of 2014. In other words, there are great values, and that means that there is a great responsibility for managing them. The state pension fund abroad means a lot to the future well-being. Much is happening in the financial market area. On the one hand, this is a follow-up to EEA obligations, and on the other hand, it is a work to modernise legislation. The work is divided between the Ministry of Finance, the Financial Supervisory Authority and the Bank of Norway and forms an important framework for the financial industry. The financial industry framework in Norway is important because both the industry itself and the operators it serves. The financial industry has approximately 40,000 employees, 5 000 billion. kr in government, and it is indeed the largest taxpayer in mainland Norway. I also record that yesterday the Minister of Finance announced that she required the banks to build up a so-called countercyclical capital buffer of 1 pst. This is in line with the recommendations of the Bank of Norway, and it should make banks more robust. Taxes largely finance Velferds-Norway, and therefore it is important to protect the tax base. Tax evasion, on the other hand, would weaken the basis of the welfare state. It is likely that if a society experiences extensive tax evasion, it also weakens the trust and loyalty of the tax system. It is therefore good that the Tax Administration has worked to detect tax evasion as one of its main areas. The approach taken to limit interest rebates for companies in a community of interests is part of this work. This should prevent multinational groups from moving profits out of the country and thereby undermining the tax base in Norway. The last priority area notified is sustainable development and climate work. The government’s economic policy is based on the principle of sustainable development. The Ministry of Finance is responsible for the regulation of environmental policy charges and analyses economic aspects of environmental policy. This important work is supported by the right.
ParlaMint-NO_2013-12-13.ana.ud258e168	The matter of random expenditure and revenue may not be the case that creates the most interest outside the Financial Committee. For me, it becomes interesting when I read the government platform, where it among other things. read: ‘The government will base its policy on the objective of making the most efficient use of Community resources. Society must be less bureaucratic. [[...]] More power and authority must be left to the community. The Government will counter waste through public funds and give high priority to increased efficiency.’ With that as a hindrance, the matter immediately becomes more interesting, and not least when I read the last year's budget proposal, where it is among other things. read: «Public expenditure represents a significantly higher share of GDP in Norway than in the euro area.» This development has continued over time and was reinforced under the red-green government. It is a development which is not sustainable in the long term and which does not provide an efficient use of Community funds in a good way. Our mandate as representatives in this Chamber is precisely to obtain maximum well-being out of each krona. Tess founder Erik Jølberg said in a comment to Technik Ukeblad: «Documentation, project management and financial management occupy the time of engineers.» And on the other hand, ‘Jølberg believes that as much as 24 per cent efficiency should be achievable. But only by increasing the efficiency of five per cent of the total of 200,000 engineers and civil engineers in Norway will 10 000 engineers be released.’ This alone shows that opportunities are enormous when it comes to improving the country’s efficiency. That is why I am very glad that some work has been started in the red tape of Norway. DFØ is an example of a significant savings potential, with estimates of between 20 and 30 million. kr per year. In a transitional phase, this could cost some money, but if you choose to look at it in the longer term, the potential and savings possibilities are great if you continue the course that the new government has taken. The budgetary agreement between the Right, the Advance Party, the Christian People's Party and the Left involves increased dividends from state companies, but we have chosen to shield Avinor from increased dividends. This is completely conscious of our side. We regard air traffic as part of Norwegian public transport and our infrastructure. Avinor is facing major investments, including: The Gardermoen – with Terminal 2 – and in Flesland. Furthermore, money shall be used for the design of the expansion of the runway at the airports of Finnmark and Nordland, respectively, a country with a long distance and where one depends on a well-functioning and good route offer. Infrastructure in a modern society is a prerequisite for achieving the necessary efficiency and further development of the country. Norwegian airports have an important role in this way. Then I just have to take a short walk into the posts of the representative Tore Hagebakken. I hope his disappointment doesn't get too big during the day, but he can wait in suspense.
ParlaMint-NO_2013-12-13.ana.ud258e200	It is not this attitude that has created the most debate in the Committee, but it is interesting to read in the supplementary proposal from the Ministry of Finance. Everyone who joined the media when it was presented will remember that Minister of Finance, Siv Jensen, was very busy saying that there had been such a short time – an incredibly short time – to make changes. The second excuse was that you only had 16.3 pst. in digestion. That was the explanation of what had been done. Then it's interesting for us who have been sitting and making the draft budget, to see what you had time for, and not least what the government had time to do in that transition. For example, the Minister of Finance and the Advancement Party had: time to look at what the SSB should do. It's very strange that you got time for it; that you should say no, savings bank statistics, you shouldn't do that. But some of us who were part of the previous government, remember that there were some people in the Ministry of Finance who thought it was unwise then, too, and they've used the opportunity, once there was a new regime, to bring up again the bargains they had. They have been brought through with the new regime, and the government has been given control. The same applies to the discussion about DFØ, which suddenly appeared just after the previous government went off. Then that report came, and within a few days it was possible to conclude on what kind of office structure to have. I don't think there was any heavy political initiative, either the small curiosity on the SSB case or on the DFØ. There was a little room. The government used that space and took control of the political leadership. You can actually find a lot of examples of that if you go through this. It's quite funny reading to go through what was of a kind under the previous government, what it was different offices wanted to have in, and how to use the dirt hole between one government and another to get in different kepphesters – big and small. You had time for that, for some reason. I think, among other things: on the SSB statistics. I don't think it was any big progress party initially to be very opposed to conducting statistics on savings banks. Enough about that. In this setting we have had a round that has been very interesting. This concerns the Progress Party and the Right's desire to centralise state jobs – the Directorate for Economic Management – mainly to growth cities like Oslo and Stavanger from small places in Finnmark, Kristiansand and from my own hometown, near my own hometown, Hamar. The majority of the Committee – the Labour Party, the Centre Party, SV, the Christian People's Party and the Left – has wanted to spend some time on this. When a report is received at the very end of October, and the government concludes a week later, it is appropriate to look at the societal implications of such centralisation. Is it possible to streamline the Directorate of Economic Management without cutting down jobs where it has the greatest possible ring-effects? Five additional jobs in a small Finnmark town have quite different ring-effects than five additional jobs in Oslo. That is why we believe it was hasty for the government to use a little over a week to conclude on such a matter, and there are no savings in the proposition on that measure this year. But there has obviously been a willingness of some in the system to go through this as quickly as possible, and before you have had time to take a proper political assessment of the consequences of it. It was therefore a pleasure in the committee that the traditional counter-cultural parties – the Christian People's Party, the Centre Party and the Left – were united, and that the Workers' Party and the SV also saw the same thing. It has been a proud centre tradition that you have dared to think both city and country, centre and periphery, and not always give in to what is the inherent power of the system: centralisation of the most jobs to the least possible places, and believe that it will also be as effective as possible. Politics is all about thinking. Me and the Center Party are absolutely sure that it's wise to have, for example, five State jobs in a small Finnish town, as there are so many other ring-effects to be added to Oslo or other major growth cities than all possible jobs. Unfortunately, the Right Party and the Advance Party have taken up something else. That story has also been nice. Right-wing representatives have repeatedly been out there and they have said that they should put more jobs, for example. To Hamar, they said that the government was stopped, and today it seems again that what was a majority to think of as a whole, has become a majority to think about, and that it is abandoned. I think it's sad if the Left actually turns around, because they have a proud tradition as part of a countercultural movement that thinks whole, and not part.
ParlaMint-NO_2013-12-13.ana.ud258e215	The party in this room has agreed that Norway has great industrial potential to invest in climate technologies, renewable energy and renewable energy operators, not least yesterday’s debate. At the same time, there is little doubt that different instruments, such as the Enova and the SkattenFUNN schemes and other measures, are close enough to exploit the potential neither in the existing industry nor to scale up exciting research results and technology from the laboratory stage to industrial products. We have e.g. the secret research environment in the city with big B for me, Bergen, which has developed methods that can make hydrogen produced by electrolysis, competitive, but we lack tools to test this out in an almost full-scale production environment. If the electrolysis process is powered by renewable energy, the finished product is literally chemically free of emissions at all. Electrolysis-produced hydrogen can be the energy carrier that gets the ‘world wide’ CO2-free — in that case a decisive contribution to expanding the use of renewable energy in a field where fossil energy is one-off today, and which can contribute heavily to Norway’s continuing to be a large E energy nation, including in the renewable age. This is how I could continue with other forms of energy and technologies. However, the example illustrates the potential of Norway, suggesting that we have a framework that allows several pilot projects to develop into a commercial product. In order to supplement and expand today's toolkit, the Left has proposed the creation of a new State investment company with 3 billion equity items, under 90 items, Chapter 2425, Item 91. kr: Norsk Renewbar AS. As the Left envisages the facilities of Renewable AS, the company will primarily invest in renewable energy scale-up projects and renewable energy carriers – investments that hope to provide future returns in terms of both value creation and heavy contributions to solving the climate problem. We have no illusion of getting a plurality for the establishment of the company today. I still allow myself to hope for success when we bring matters up again at later times. With regard to item 4.7, Chapter 1605, the Directorate for Economic Management, the Left was in doubt when the Committee was to come up with the vote. Having gained new and expanded knowledge from the department, we find that postponing a final decision by five to six months is not the best solution. This is not something that I say with triumph in the voice, or with great bravour, but it means that the left is going to voice against XI in the setting. When the Left now supports the government in the modernisation work of state budgets, even when it means strengthening in the big cities, we have argued that the government is busy and preferably better, the regional balance over time. The left, therefore, expects the Minister to confirm to this day how the government follows such ambition and what plans the government has for the relocation of state institutions from the press area, not least when it has open savings opportunities. Finally, I take up the suggestions on the left in the setting that we are currently dealing with.
ParlaMint-NO_2013-12-13.ana.ud258e231	The representative Terje Breivik then addressed the proposals he referred to.
ParlaMint-NO_2013-12-13.ana.ud258e234	Let me first, on behalf of the Workers' Party, the Centre Party and SV, take up the suggestions we are behind in the setting, and it is done. It is important to make visible through our policies that we want to use the whole country, as the Center Party tends to say. There are a whole range of jobs in the state that can be located anywhere other than in the capital. Where the previous Right-Registration deserves some brilliance for moving out state jobs, this government deserves a little bit of taste, because it makes no sense to centralize the Directorate of Economic Management, for example. These jobs need not be located in a large city. It is a bit revealing that the government believes that skills jobs cannot be located outside the centres. It is an immature and out-of-date view of the competence and organisation of the public sector, and it is a warning of what is coming. Should we believe, for example. The right's own alternative state budget from the previous period, in the next state budget, we can expect a fairly large redistribution from the districts to the centres – not only in terms of how the public sector is organised, but also through the tax policy mechanism, but there is another debate. The increased use of oil money to which the Left and Christian People's Party subscribes does not have a background in professional advice. There are no prospects in the Norwegian economy that suggest that more oil money should be brought into our economy – not now, on the contrary, there are good times. The Left and Christian People's Party had the opportunity to show that they were serious when they talked about reducing oil dependence. The use of oil money to finance tax cuts that have little or no effect on the economy must be the very definition of oil dependence, and there are costs that the majority will have to bear throughout the period. The central parties could have provided a majority for a more responsible line which would also reduce our dependence on the oil sector and which would benefit the mainland economy and industry. Finally, I intend to be a little heretical. I'm going to think out loud from the Great Council. Norway's oil policy has given us tremendous wealth, and the way resources under the seabed have been managed has benefited everyone. It's a model of succession for very many of the world's countries. The oil fund provides us with security, and is well managed. Government pension funds abroad will grow larger and larger. We already own more than 1 pst. of all listed means of production worldwide. There are tens of thousands of thousands of jobs, jobs that ordinary people go to a country all over the world. With ethical guidelines and, hopefully, an even better ethical and sustainable mandate in the future, we thus make a contribution to the world. But morally, what does it really mean when we, five million people, own such a large part of the world? Where are we going with that? Is the idea that we should own more and more? Are there contradictions that we, as a small country, should use capitalism to own the work of so many people in so many other countries? What kind of power does it really give us? How should that power be distributed? How should it be managed? How are we going to manage that power? These are questions I've never heard in Stortinget, and there's an idea discussion that should be the basis for our entire policy with the State pension fund abroad. We should take the time to discuss these things, so I'm just going to notify the finance minister immediately that over Christmas there is an interpellation for the slightly larger thoughts on the way.
ParlaMint-NO_2013-12-13.ana.ud258e245	The representative Snorre Serigstad Valen has taken up the suggestions he referred to.
