ParlaMint-NO_2013-11-08.ana.ud198e22	The representative, Mr Jørgen Bekkewold, will put forward a proposal for a representative.
ParlaMint-NO_2013-11-08.ana.ud198e25	I have the pleasure on behalf of the representatives Knut Arild Hareide, Olaug V. Bollestad, Rigmor Andersen Eide and myself to promote a proposal for a representative to set up a professional selection for the literature industry.
ParlaMint-NO_2013-11-08.ana.ud198e30	The representative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2013-11-08.ana.ud198e47	The voters have given a clear mission to the new bulk. It is about prioritising the most important thing, about facilitating growth and increased well-being, both for today's generation and for future generations. Norway is dependent on policies that promote growth. It will provide a more robust economic foundation for our welfare society. The well-being of the future depends on growth and good use of resources in the mainland economy. It is in this way that we can best build the country further. It is in this way that we can provide enough nursing homes, good enough schools, more safe workplaces and a good safety net for those outside. The voters have clearly stated that they want new policies, not just new governments. With this supplementary proposition, we're taking the first steps for a new and better direction. In the proposition we find clear footprints that point towards more freedom, greater security and a simpler everyday life for people most and for businesses. The new government has only had a few weeks to change a red-green budget. We have made important changes in a short time. We propose – in line with the Health Declaration – growth-enhancing tax incentives that will make it more profitable to work and invest a boost in knowledge and research more to health and care increased commitment to transport a strengthened policy on asylum and justice We're going to do this without increasing public expenditure. We give priority to areas that are important to most people, not just more to everything. We give priority to areas that can provide growth and competitive jobs. Let me stress that there is a lot that is good in Norway. There is also a lot in the red-green budget that the Right-Fremskritsparte government agrees with. Nevertheless, there are areas that need to be improved and concrete measures are promoted in this proposition. In the government platform, the right-hand side and the front-hand side have flashed out eight main bet areas. We deliver concrete measures to everyone. With this additional proposition, we are starting to turn the Norwegian economy in a better direction, recognizing that values must be created before they can be shared – a direction in which we invest more in the future. It is important that we draw a clear distinction between consumption and investment to a greater extent than in recent years. Investing more of Community resources in infrastructure, knowledge and growth-promoting tax incentives will help to strengthen and ensure future well-being. The government's aim is to give priority to the most important thing. This will require the creation of a ground for future growth and well-being. Then it must be invested for the future. It is not only a question of how much money is spent, but also of how the money is spent. The government believes that it is possible to streamline and red tape. The aim is to increase growth and competitiveness, reduce red tape and make more responsible use of taxpayers’ money. It will provide a simpler everyday life for most people. The proposals the government promotes are clear steps in such a direction, in line with both the Health Declaration and the Cooperation Agreement with the Christian People's Party and the Left. In the Sundvolden Declaration, we stressed that the use of oil money should be adapted to the economic situation within the framework of the Code of Action. Growth in the mainland economy seems to have slowed down in the last few years. It may be transitory, but it may also be because growth is now slowed by the high level of costs and high levels of household debt. The establishment of the State budget and increasing demand from the oil industry are expected to contribute to a growth in the mainland economy near the normal next year. Unemployment is expected to remain at today’s level in 2014, a level that is low in both Norwegian and international contexts. Fund capital is now growing very rapidly, interest rates are low, and capacity utilisation in the Norwegian economy is close to normal. It would be far too expansive if we now increased the use of oil revenues up to the expected fund return – the so-called 4 pst. path. It would undermine the growth capacity and stability of the mainland economy. At the same time, we need to use the economic space in Norway to invest in the future – in growth-enhancing measures. Work is clearly our most important resource. 80 pst. of our net national wealth per capita is the present value of future labour input. The State pension fund and the remaining petroleum assets on the continental shelf account for only 8 pst. It will therefore strengthen our prosperity if we use oil money to stimulate more people to work. The same applies when we prioritise investments that can increase the value of what we produce, even more. In this additional proposal, we propose concrete measures to this end, in particular through the tax regime. How oil money is used is absolutely central. When the Storting joined the action rule, it was emphasised that the increase in the use of oil revenues should be directed towards measures that could increase productivity, and thus growth capacity, in the rest of the economy. A unanimous financial committee pointed out that fiscal policy and investment in infrastructure, education and research are important in order to improve the functioning of the economy. Wide tax relief can stimulate saving and higher labour supply. Tax relief thus affects not only total demand but also production capacity in the economy. The Norwegian economy grew very strongly in the years ahead of the financial crisis and recovered rapidly after the crisis. At the same time, we are facing challenges that need to be addressed in economic policy. The first is our high cost level. Ten years of high oil prices have raised total demand, both from the private sector and from public budgets. Capacity utilisation is high and unemployment is low. Cost growth has come out of line with the development of our trading partners. Good prices of Norwegian products have helped to safeguard the profitability of the private sector. Nevertheless, Norwegian companies are now very vulnerable, not least in the case of oil prices. In the future, growth in costs in Norway must be more in line with developments in countries around us. The government will cooperate with the social partners to get this done. Strong growth in real wages and low interest rates has made it tempting for many households to buy new dwellings, financed by borrowing. Debts and housing prices have risen at high levels. The high housing prices and the large debt of households pose risks of a significant adjustment in the housing market. This can lead to a marked setback in the Norwegian economy and threaten financial stability. Financial stability considerations require that decisions on increased capital requirements vis-à-vis banks be followed up. In the long term, welfare development in Norway is primarily determined by the growth capacity of the mainland economy. Then productivity is crucial. Growth in productivity continued well over the 1990s and up to 2005. Important structural reforms were carried out during that period. In recent years, productivity growth has been weak and clearly weaker than real wage growth. The gap between real wage growth and productivity weakens the competitiveness of Norwegian enterprises and makes Norwegian jobs less secure. In the supplementary proposal, we propose several measures that can correct this. Investments in the mainland economy have been low in recent years. This has probably contributed to the weak development of productivity. Now the government is proposing tax reliefs that will make investing more profitable. We are proposing a boost to innovation and knowledge, which can also help productivity growth. The government’s efforts to increase competition, deregulation and red tape will also stimulate productivity growth. The government will bring down a productivity commission to seek advice on how to increase productivity growth again. The new government will replace eight years of reform drought with new and better solutions where necessary. Economic growth also depends on our total labour input. We have a high level of employment, while the average working time is below many of our trading partners. The labour input per capita is therefore no higher than the average among EU countries. At the same time, we have many in social security. The proportion of out of work due to illness and disability is higher in Norway than in many other countries. Reducing this proportion is a demanding but central challenge. Ageing of the population will greatly increase public expenditure on pensions, health and care. Only a small part of this can be financed by the income from the pension fund. Reforms and structural changes are therefore required to ensure future well-being. The government will create a generational perspective on economic policy, including: using a greater share of the government budget for growth-promoting investments. Budgetary policy and monetary policy must work together to contribute to a stable development in demand and production. Money policy is our first line of defence against fluctuations in production and employment. The Government considers an increased use of oil revenues from 2013 to 2014 corresponding to 0,5 pst. of the GDP of mainland Norway, is well adapted to the situation in the Norwegian economy. Priority has been given to measures to stimulate value creation and promote growth, including tax havens. The previous government was only concerned with the demand side of the economy when assessing the use of oil money. We are also concerned about the offer page, and how the money is used. Measures that stimulate more people to work will increase their growth capacity and reduce cost pressures. The use of oil revenue is increasing by 3.9 billion. from the proposal to the Government of Stoltenberg II. Measured against the share capital, the use of oil income is estimated to be 2,9 p.m., the same as in the Stoltenberg Government’s proposal. This is how we take care of the generation perspective. This is how we ensure freedom of action to face future financial setbacks. This is how we ensure that budgetary policy is robust if the fund's return is to be lower than the expected 4-percent. And that's how we take care of businesses that fight hard in tough international competition. The Norwegian tax system brings in billions of dollars. kr. Tax revenue is the main source of funding for public expenditure, which amounts to 57-58 pst. by the value creation in mainland Norway. It is a very high level of expenditure compared to most OECD countries. Tax is not an objective but a means of ensuring common resources, social mobility and better resource use and providing good framework conditions for Norwegian business. While the previous government increased tax and tax burden, this government will reduce total taxes and taxes, both for businesses and for people the most. Tax bill is not something we give, it's taxes and taxes we don't want to take. We do that in order to spread power, increase value creation and to give families and individuals greater freedom over their own lives and income. The government wants to streamline the Norwegian economy. That means that we need to get more out of the resources we use, and make sure that we have more value creation. It's about managing the people's money with care and respect. The tax system plays a crucial role in achieving these objectives. The tax system can be improved to provide a basis for more secure jobs, growth and increased well-being. Changes in the tax system should make saving, investing and working more profitable. If we get to this, we will succeed in creating increased growth in the future. That is precisely why, in the proposal for an additional proposal, we have priority reliefs that contribute to growth. This is based on knowledge of how different taxes affect resource use and economic growth. We will also work to red tape and simplify the Norwegian economy. We want a simpler everyday life, including: by simplifying current tax rules and being critical of the introduction of new, complex rules. The biggest and most important tax approach now being taken is to reduce the general income tax rate for all from 28 to 27 p.m. – also for employees. The previous government proposed such a reduction only for companies. Reducing the rate of corporation tax is a wise change. It is right to strengthen the competitiveness of Norwegian industry. However, it is unwise to reduce corporation tax without reducing the tax on other income accordingly. The government is proposing to correct this bias. This means that we remove a room for customization. At the same time, the tax burden on ordinary employees is reduced. Lower pay taxes are also about increasing individual freedom. Being able to determine more about your own income is a matter of value. Lower wage taxes are thus a tax-economic pushover: more freedom for ordinary employees, increased growth for the Norwegian economy and increased labour supply for Norwegian enterprises. The sum of these becomes a tax change that is correct and important to do. Therefore, this tax change should be implemented. The government is concerned that broad groups will benefit from tax relief. We are proposing a greater increase in the rates of the minimum deductions than the previous government proposed in its draft budget. An increase in the tax on electricity, as proposed by the Stoltenberg government, is, in our view, an unsocial policy that affects those who serve the least. We therefore propose to reduce the electricity charge compared to the Stoltenberg administration. The government draws the previous government's proposal to change the rules on living time in the income tax on housing. That proposal appears to be a complex piece of legislation. The government is concerned about young first-time start-ups trying to get into the housing market. The government therefore proposes to increase the annual savings amount of the BSU scheme to NOK 25 000 and to raise the ceiling to NOK 200000. It will be a loving contribution for young people who want to establish themselves with owner-occupied housing. The government will stimulate more environmentally friendly behaviour. Therefore, the government maintains the previous government’s proposal to increase greenhouse gas charges. That's not all we can do in a few weeks' time in government. It is all the more joy for me to convey that the government proposes to remove the inheritance fee from 1 January 2014. The inheritance tax is an unfair and unnecessary tax. It affects family-run businesses, but also, to the most extent, ordinary people who inherit their parents. Many adapt to the inheritance fee. Therefore, the inheritance tax is distorted. The removal of the inheritance tax is a wise way to ensure that ordinary people respect the tax policy in Norway. The right-hand party government is engaged in the competitiveness of Norwegian business. This is important for Norwegian ownership, Norwegian workplaces and Norwegian welfare. We therefore propose several improvements for Norwegian companies in the 2014 tax regime. Lower taxes on profits in companies are mentioned. The property tax rate is reduced by 0,1 percentage point. It stimulates saving and investment and is good for private Norwegian ownership. The Government maintains the proposal to introduce initial write-offs for machinery and other equipment in balancing group d. At the same time, we are embarking on work to assess the depreciation rules in the light of impairment of operating resources. We also strengthen our commitment to research and development. The TAX FUNN scheme is extended. The Government maintains essentially the government's proposal to limit the deduction of interest between related companies. The proposal is necessary to close tax gaps and to protect the Norwegian tax base. In addition, it will make it easier for businesses operating only in Norway to compete with multinational companies that have so far had great opportunities to exploit differences in tax rules between Norway and other countries. We have faith in growth-enhancing tax incentives to strengthen and streamline the Norwegian economy. In particular, this tax scheme reduces the tax rate on general income and wealth, as well as the removal of the inheritance tax, which will contribute to it. Lower tax rates on labour, saving and investment can have significant dynamic effects. Thus, we get some of the tax relief back from higher growth giving greater tax input. It's uncertain how strong this effect is. Based on various research work based on Norwegian and international data, a sober estimate is that between 10 and 30 pst. the tax relief over time will find the way back as increased revenue for the public. In this proposal, we are providing a new direction in fiscal policy. This will be noticed by the vast majority of taxpayers already in 2014. The proposal facilitates both people and businesses. About half of the personal tax relief goes to those who have revenues between 350 000 and 1 million. kr. This is where most employees are located. This is a group that has received little tax relief in recent years. A normal family with two employees who have an average salary and an average loan will receive income tax relief of up to NOK 3000 with the government's proposal. In this tax system, the government shows that we use the tax system to stimulate growth, greater freedom and better framework conditions for business. It's a line this government will follow in the future as well. The Scheel Committee has been set up to assess corporate tax in the light of international developments. The sample shall emphasise that the proposals contribute to the efficient use of resources and the best investment opportunities for enterprises. It will make the tax system more growth-enhancing. The current mandate of the selection board is assumed to be neutral in terms of proceeds. As this government will reduce the level of taxation, the Ministry of Finance will also consider proposals that, overall, provide net tax relief. Moreover, as far as the countries around us have gone to reduce the corporate tax rate, it is more realistic that a follow-up in Norway will require relief. The government has great ambitions for the transport sector. Effective communication provides the basis for increased value creation and exports. Effective solutions for public transport make everyday life easier for people most, and less central areas can become good residential areas, reducing the pressure on the housing market. And, not least, the productivity of business is increasing with more efficient traffic management. In the Health Declaration, we give direction for important changes in the way we plan and implement the infrastructure effort. Effective implementation of planning processes and the creation of a development company for the efficient development of selected road projects, with which we are now starting work, will be enhanced. A separate road carrier and an infrastructure fund are structural interventions that are expected to have a significant impact in the coming years. Parts of the Ministry of Fisheries and Coastal Affairs are transferred to the Ministry of Transport. This brings together all modes of transport. It will contribute to better coordination of actions and facilitate conditions for more freight transport by sea. The Government is increasing the proposal to grant national road and rail routes by nearly 1450 million. kr. The Government establishes its own infrastructure fund. It will contribute to a promise in the years to come. The fund will be allocated to 20 billion. kr in 2014. The government has great ambitions when it comes to investing in infrastructure. Targeted securing work in existing tunnels is important in order to increase road safety. The government proposes a significant strengthening of this work. In addition, the government's proposal provides room for up to 100 km more roads to be repatriated. Increased maintenance of the railway is also proposed. The county roads are given a significant lift. We do this both through increased transfers to county councils and through the continuation of the interest compensation scheme. This will contribute to better maintenance and increased renewal of the county roads. The government is adding up to increased activity in the planning of new transportation projects. Good planning is necessary to prevent exceedances of costs and to ensure rapid implementation. Traffic security measures and public transport are strengthened through increased funding proposals for the programme areas. In the Sundvolden Declaration, we presented an ambition to reduce the share of tolls in new projects. In line with this, the government proposes that E134 Seljord–Amot should be built without tolls. The challenge of public transport is high, especially in the major cities. The government is therefore committed to ensuring an offensive expansion of the collective offer. In summary, there is no doubt that the Right-Fremskritsparti-government in the supplementaryproposition provides for a more offensive Norwegian infrastructure policy. And we did this in a few weeks. Good welfare services are fundamental to providing people with security and opportunities. A well-funded, diverse and publicly funded health service is a pillar of the welfare society. With its changes in the 2014 government budget, the government shows that we give priority to health and care, through both increased resource use and improved solutions. We strengthen the social security network by helping those who need it the most. We increase the quality and capacity so that patients get better help faster. This is a budget that goes in the right direction for patients, for employees and for relatives in the Norwegian health system. Waiting times are shorter and health cows are reduced compared with the Stoltenberg government proposal a few weeks ago. The government will increase the activity of the specialist health service. We are therefore increasing the subsidy to the health regions in comparison with the government's proposal. In total, the subsidy to health enterprises will increase by 2.7 billion. kr from 2013 to 2014. In the past, healthcare companies have never received funding for such a large growth in patient treatment. Compared to the Stoltenberg government, we propose an increase of 300 million. kr to the specialist health service. Of this, 255 million is going to be. kr to increase purchases from private and non-profit institutions active in the field of mental health protection, alcohol and rehabilitation. The remainder is intended to increase the purchase of radiological services from private individuals. The share of input-driven financing increases from 40 to 50 pst. in 2014. It gives incentives for increased patient treatment. The Government will launch work to introduce neutral VAT into the State sector. Neutral value added tax will make health businesses freer to choose the most effective way to operate and not have to opt out of private solutions. The government will strengthen the supply of drugs and psychiatry. The subsidies to the health regions will create a good room for this. Health business mission documents will require that treatment in the field of drug and mental health should have an annual growth rate higher than that of somatic care. The government will reintroduce earmarked funds to ensure that municipalities have good remedies. With the government's proposal, the care of the elderly in the municipalities will be strengthened. We improve the grant scheme for municipalities that build nursing homes and homes. The State shall cover a greater share of the costs and the maximum cost of construction in press areas shall be increased. An increase of 500 places from the Stoltenberg Government’s proposal shall be promised. The elders shall not dwell in double rooms against their will. Older people who have to do so will have to pay a reduced price in 2014. Thus, municipalities are stimulated to provide individual rooms for all. Individual security is a high priority of the Right Party Government. Visible and present police are important for the security of society. That's why the government proposes to grant 100 million. kr in addition to that proposed by the Stoltenberg Government. This frees up to 90 years' worth of work on the police’s core tasks. The government is working towards a target of two officials per 1000 inhabitants in 2020. For the government it is of great importance that there is a balance in the criminal justice chain. Manning in the courts is proposed to be increased so that they can keep the proceedings down even after the police activity has increased. The boning capacity is proposed to be increased by 70 enclosed spaces. This reduces the pay queue, and this allows us to make enough custody places available to the police. The government is also proposing to increase emergency personnel to ensure robustness in the sharp area of the police. The government strengthens civil defence with additional funds for investment in necessary equipment. These are important measures in the right direction to create a safer everyday life for most people in Norway. Several foreign nationals without a residence permit in Norway are to be sent out. The government will increase the number of forced returns by 1,800 in addition to the available targets of 4,900. This will facilitate more return of asylum seekers with final rejections, asylum seekers in Dublin procedure, and those who are absent and expelled. The government is also concerned that the processing time in the foreign administration should become more effective and that the processing time should be reduced. It is important for the government to practice a strict line towards people who do not have legal residence in Norway, while facilitating the integration and inclusion of law-abiding people with the right of residence. This draft budget shows the action needed to achieve these objectives. The government's policy is based on respect for knowledge. Knowledge creates social mobility and increased opportunities for individuals. When we focus on knowledge and competence, we also make jobs safer and ensure long-term well-being. The labour force is our most important resource. We have to use it well. It requires knowledge and competence. The Government proposes a number of measures to increase efforts for knowledge, research and innovation. Good teachers give good students. The Government proposes to strengthen measures for the further training of teachers. The rate of cover for temporary staff costs in the case of continuing training is increased and the State is required to pay a higher proportion of the expenditure. A new grant scheme shall be established for teachers who undertake further training on their own. Universities and higher education institutions shall be allocated resources to expand the provision of continuing education for teachers. In addition, online training solutions for teachers shall be developed. The Government proposes several measures to improve vocational and vocational training. Most important are those who allow more to complete upper secondary education. The apprenticeship grant will be increased and a new grant scheme will be established to stimulate more enterprises to take in apprentices. In addition, the government proposes the means to correct the common subjects professionally, so that teaching becomes more practical and relevant. The government proposes to increase the results-based funding of universities and higher education institutions. It is proposed to upgrade laboratories and modernise the equipment park. Training aid in the 2014-2015 educational year is proposed to be increased by 3.65 pst. This increases purchasing power and improves students' opportunities for full-time studies. The government prioritises this rather than eleven months of study support, which would only have had an impact in the 2015 government budget. The government proposes that public research and development efforts increase by 1.7 pst. compared to the proposal of the Stoltenberg Government. More attention shall be paid to research in nanotechnologies, biotechnology and ICT. In addition, increased appropriations for petroleum research and marine research are proposed. More is proposed for the User-Directed Innovation Arena of the Research Council, measures for increased participation in European research cooperation, for the Food and Drug Administration. A PhD scheme for the public sector is also to be established. In order to stimulate research and development in industry, the TaxFUNN scheme is also strengthened. The government proposes £29.5 billion. SEK for research and development in 2014. This is 2.1 billion. kr more than in 2013 and corresponds to a real growth of 4,1 pst. There have been some intense weeks when the new government has put clear traces on the budget that the previous government has promoted for the Storting. The government has turned the budget in a new and better direction. These are the first steps, and we have plans for much more in the years to come. The proposal for an additional proposition is amendments that benefit many, regardless of whether they voted in the government parties or other parties at the elections. This government is not a special interest agency, but a government that wants to take Norway in a better direction for everyone. We are committed to strengthening well-being, improving school life, cutting health cows, increasing freedom for people most, investing more in infrastructure and ensuring a safer everyday life by strengthening police, security and preparedness. We have to prioritize. It requires that we look critically at how the money is used today. It is the task of the government and the Storting to ensure that people's money is managed in the best possible way. That is why we need to dry up reform, streamline, ensure quality and modernise the public sector. Only in this way can we meet the future challenges in a good way. Only in this way can we ensure greater well-being, greater growth and more freedom and security for most people. There are major tasks ahead of government and magnification. The aim of this government is not to spend as much money as possible on public consumption. The ambition is to get the best possible services and well-being for every penny we spend on people's money. That is why this is not a competition against the red-green budgets. We cut where we can and should cut, and we strengthen the areas that need to be strengthened. Overall, this government's policy is to achieve results that are marked by people in everyday life, and not the greatest possible expenditure in budgets. Eight years of reform drought have led to less growth and more expensive Norway. The next few years will be marked by new solutions where necessary. I look forward to constructive debates and negotiations in Stortinget. Good ideas from Stortinget will not be automatically countered and ignored by the government. On the contrary, we will listen to recordings and come up with good solutions in common for the country. That's what politics is about, regardless of batch color. In the supplementaryproposition, the Right-wing Party Government has proposed important re-priorities that will take several steps in the right direction in Norway. This proposal prioritises growth, well-being and action for an even better Norway. Good luck with good negotiations in the Great Britain.
ParlaMint-NO_2013-11-08.ana.ud198e241	The President will propose that a comment round be opened now, in line with what is also the practice of the financial languages, but the contributions from each party group will be limited to 3 minutes this time. After each post from the opposition parties, the Minister of Finance will have up to 2 minutes to comment/answer on questions. Thereafter, the representatives of the opposition parties shall be given the opportunity to comment on a final opinion of up to 2 minutes each. Furthermore, it is proposed that a comment by the Minister of Finance or the Prime Minister be opened up to 3 minutes at the end of the debate. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-11-08.ana.ud198e250	Congratulations to the Minister of Finance. This finance minister came to the best-secured table some finance ministers have come into existence in recent times: a country with an economy order, many in work, low unemployment, sound government finances and innovative businesses. I think any finance minister in the world would gladly trade with her. The finance minister says she's had a short time with this budget. No, she's had eight years. There are alternative budgets in the Grand Duchy, and electoral elections are held in the memory of voters. Measured against these promises is what we have been presented this morning, characterized by retreats, lifting breaks and a silent nodding to the main thrust of the budget of the Stoltenberg government. The first thing that meets us in this proposal is that the government parties, which a few weeks ago thought Norway was using seven out of ten crowns of oil wrong, are choosing to increase the use of oil money. It is difficult to see the Right parliamentary leader said a few weeks ago: that it was natural to re-prioritize at least 30 billion. kr, move around the budget. The Minister of Finance says that we can experience a slowdown in the economy, and is alarmed at a high cost level – and then she increases the use of oil money. It is common for Stortinget to base the Ministry of Finance's estimate, but I note that the blue-blue government is using more oil money to meet expensive election promises. There is a high game in the situation of Norwegian business today, with low interest rates and low interest rates. We're going to meet this budget with an open mind and read the documents carefully. Where there are good suggestions – and I have heard someone – we shall be in favour. But we already see the contours of an alternative direction that we think is wrong – a direction for increasing differences between people. The government believes that fair distribution is not a goal in itself. The tax bills they propose – as I have read the supplementary proposal – give a few hundred copies to people with ordinary incomes and about NOK 40,000 to those with incomes above 2 million. kr – a clear direction, a direction for increased differences between cities and districts by cutting it off into key regional policy instruments. We started the escalation towards two kindergarten admissions this year. This government is dropping it. It's poor well-being, and it's bad for the line of work. There is also the proposal for cuts in permitting schemes and cuts in action sites. We suggested that the students receive student support for eleven months, this government is dropping the target. We fulfilled the cultural promise, this government is reducing its ambition. This government weakens the ambition of climate policy, reverses the proposal for increased CO2 tax on high-emission cars, they cut the climate forest rate and the test centre at Mongstad. A red thread in this is a breach of promise. Where there is a change in course, it is in the wrong direction. In addition to that, we shall study the supplementary proposition carefully and be for what we are for, and contribute to good work in the intensive work of the Financial Committee in the week to come.
ParlaMint-NO_2013-11-08.ana.ud198e274	Thank you for the good words of Gahr Støre. I look forward to discussing the state budget with the Labour Party in opposition. I might think that this first comment was marked by the fact that you had decided in advance what to say, and maybe not had listened as carefully to what the government was actually proposing. I understand that it is important for the Workers' Party to establish a story that the new government has inherited a good living. Much is good in Norway, but the government has also inherited many unpaid bills. We have inherited significant challenges that now become our job to clean up. An example of this is the large remains we see in the field of refugee and asylum. There are many people in reception waiting to be outsourced in Norwegian municipalities, and there are many people in reception waiting to be transported – in addition to all those we do not know where. It's part of the legacy of the Stoltenberg government that this government has to clean up. I think maybe when you're going to present a story, it should be a little bit more nuanced. I recognise that a lot is going well in Norway. The new government will take care of that. We see a growth for the next year around in line with the impact of the Stoltenberg government. We're also worried about some of the trends we see. Therefore, it is essential that we pursue a responsible economic policy that distorts money use so that we can stimulate more growth, more value creation and more productive and profitable investments – and this government has done so.
ParlaMint-NO_2013-11-08.ana.ud198e285	I was asked by a journalist about how Siv Jensen would respond to this proposal if it had been the other government that had submitted it. To get a guide, I read part of Siv Jensen's comments on the former government budget and thought that this might have been my template. I let it go, because I found out that it would be to shoot completely on the outside. Now it's like my short-term memory still works well. You just need the short-term memory to remember the election campaign. Short-term memory is needed to remember the proposals of the Progress Party for an alternative national transport plan. You just need the short-term memory to remember the tax promises. It's up to this we have to keep this budget. It's wrong that you've had a short time, you've had eight years. Now you have had the world's best offices to help you for three weeks – and then we get this result. Let me say it this way: there are things in this post that I support, in the field of drugs, psychiatry, the care of the elderly. Had the Stoltenberg government had 4 billion. extra tax dollars to consider using, I think we could suggest a good part of it. Now we're going to consider it very carefully, but that's how the picture the Council of State draws is, in my opinion, wrong in relation to the promises she's made to the voters, and what she's said in this room. So she mentions refugee and asylum policy, an important field, but that it should be the great legacy after the Stoltenberg government when we discuss economic policy, I have difficulties to see. But since she mentions this, I would say that I think it's a thought-provoking sign that in the time and the world we live in, the government chooses to halve the number of Syrian refugees Norway will receive. Looking at our neighbouring country Sweden, what they have received from refugees from Syria – the world’s largest humanitarian disaster in recent times – is the signal from Norway that we should halve the extremely cautious additional proposal we delivered. I think it's a bad sign, which means that we're not just increasing the differences in Norway, but we're sending the impression that we're also increasing the differences between Norway and the rest of the world – a bad signal from the world's richest country.
ParlaMint-NO_2013-11-08.ana.ud198e296	Let me first congratulate the government and the Minister of Finance on a good budget. My short-term memory may be even more weakened than the representative Gahr Støres, but what I remember at least is that inside and outside this room there has been no lack of warnings that a budget and economic governance from the Right and the Progress Party would mean an irresponsible economy, a rage of the Norwegian community economy – not to mention that agricultural policy and Norwegian agriculture and districts would be destroyed. On the contrary, we have received a budget in which one dares to give priority. It is necessary, for the covered table, which the Workers' Party leader is talking about, to consist of some shortcomings. It consists of having a significantly weakened productivity in this country, it consists of having a high cost level, the two-tiered Norwegian economy is problematic for very many mainland companies, and not least we need to take into account the future ageing of the population in the generation perspective, which is of course a particular concern. That is why we are giving priority to growth-promoting re-priorities in this budget. This, together with reductions in taxes and taxes, will mean that we can take care of the welfare society we have. Taking care of it means strengthening Norwegian jobs, that means strengthening Norwegian investment made by investors in this country, and strengthening savings. The moderate use of oil money in addition, for which the representative Gahr Støre is concerned, represents the continued sending of strong signals of discipline in the use of oil money. This is what is important in terms of the currency, to which Norwegian export companies are particularly vulnerable. There's nothing else in this oil money usage. On the contrary, oil money is used differently from that of the previous government. Let me conclude by saying that a large majority in this Chamber, i.e. the cooperation parties, agreed on a number of projects and initiatives that have just been mentioned and dealt with in individual cases in this budget: creating the values before they are shared, upgrading the infrastructure in Norway strongly, focusing on innovation, research and development, strengthening Norwegian business and, not least, facilitating more private Norwegian ownership. This budget is an excellent start to the work that Stortinget is now going to do, and we look forward to it.
ParlaMint-NO_2013-11-08.ana.ud198e309	The President then gives the floor to the Siv Jensen Council. The President notes that the two government parties are not given the opportunity given to the opposition parties, and may still have seen Svein Fleet as the opposition representative. [[Laughter]]
ParlaMint-NO_2013-11-08.ana.ud198e314	Today is a great day for the Progress Party. The presentation of the supplementary proposal for the 2014 State Budget means that the Right-front party government, together with our friends in the Christian People's Party and the Left, is now pointing out a new course for Norway. The economic situation in the world is very uncertain and insecure, and in Norway, too, unemployment is increasing. In recent years, Norwegian competitiveness has steadily weakened. Today, the first step is taken to correct this. Investments in road and rail next year are record high. This will lead to lower transport costs for both businesses and individuals. The tax and tax burden in Norway is today higher than it was eight years ago. Today, these developments are reversed and tax pressures are reduced. It will secure Norwegian jobs and provide more well-being to the individual. The government also gives clear leadership when it comes to red tape and simplification. It's important. The big money will now be spent on the important tasks, not on bureaucracy and detail management. In the last eight years, health cows have also increased. This budget means more money for health and also increases input-driven funding – from 40 to 50 pst. – which in turn means that it will pay to treat more people, and that more people will also receive treatment at the right time. Increasing crime has become a bigger and bigger problem. This budget means more money for the fight against crime. In areas by region the government delivers here, in spite of the short time that has passed. This is a budget that points out a new direction where not only four years ahead of time, but one generation ahead of time. Of course, it takes time to reverse Norway and correct everything we think should change, but this budget shows the government's action to ensure freedom and security. This is the first step to create a simpler everyday life for most people. The government and the Ministry of Finance have done a fantastic job here. This is particularly impressive when you consider the short time they've been wearing. I am therefore of the opinion that this budget is now as good as it can be, but we are nevertheless humble that the Christian People's Party and the Left in some areas may be of a different opinion. We'll talk more about that on Monday. Nevertheless, I am convinced that Norway and the Norwegian people will still be the great winner, even after those negotiations.
