ParlaMint-NO_2013-05-22.ana.ud309e26	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2013-05-22.ana.ud309e29	On behalf of the representatives of Gjermund Hagesetter, Åge Starheim and myself, I am delighted to present proposals on immigration policy guidelines and amendments to the law on the access of foreigners to the kingdom and their residence here.
ParlaMint-NO_2013-05-22.ana.ud309e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2013-05-22.ana.ud309e46	On Thursday 16 May, the Storting received a notice from the Prime Minister's office that the Councils of State, Mr Vegar Solhjell, Mr Sigbjørn Johnsen and Mr Borten Moe will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Ketil Solvik-Olsen.
ParlaMint-NO_2013-05-22.ana.ud309e53	Growth and value creation are important to ensure the prosperity of our society – and in addition to the state’s income. One from the Progress Party has long pointed out that a good framework for Norwegian business and Norwegian industry is needed to create values in Norway — especially in competition with the rest of the world, where the level of taxation and wages is often slightly lower. It is then necessary to ensure that Norwegian industry is competitive. We were therefore very pleased when the government during another party's national meeting found it important to say that they would come up with a package to stimulate business to invest more, to do more research and to secure profits through lower taxation. Unfortunately, it turned out that this was not something that was going to be followed up in the revised budget, which the Storting is about to deal with. This will only be implemented under a new government for the 2014 budget. Then I get a little thought, because if one already sees that the situation in Norwegian business is unfair or unlucky because business loses competitiveness, I would think the sensible thing was to implement measures now when you have occasion, and not to push the solutions for half a year in time – as the government unfortunately does. It is often that when politicians are able to define a problem, the means of solving the problem come in a little too late. Here the Storting could actually make decisions that led to a solving the problems faster than the government puts up. Now we have revised the budget for consideration. Then we can change the framework conditions, we can make changes to the tax system, we can make changes to the research effort, and we can make changes that stimulate more investment – in line with what the government itself has claimed is needed in this country. Then my question is: would the Minister of Finance be satisfied, and would he encourage the majority of people to make changes already in the revised budget – in line with what he says the Norwegian economy needs?
ParlaMint-NO_2013-05-22.ana.ud309e66	Ensuring good framework conditions for value creation and safe jobs is one of the most important tasks of this government. It is also the background to the growth package presented in the context of the revised budget. What is the point and point one — which is most important and which has been the most important thing all along — is to pursue a predictable and sensible economic policy at large. Adherence to the framework conditions that lie around the governance of the Norwegian economy is quite essential for us to be able to maintain well-being and jobs in Norway. Why did we notify this now? – This is the question raised by the representative of Solvik-Olsen. The reason is that at the hearing we have sent a proposal to tighten the interest rate deduction in groups. It gives us our best estimate of approx. Three billion. I'm sorry. This publishing house is now being consulted, and it can only be operational from 1 January 2014 – provided that the Stortinget joins the proposals we are promoting, later this year. The government thought it was important that we were clear on what we were going to use those revenues for. The government chose to say that we want to use the revenues to reduce the tax on companies and personal business by one percentage point, including from 1 January 2014. At the same time, we are proposing a certain adjustment to the oil tax, so this is part of a totality that both points forward and takes up the growing bi-dividualism of the Norwegian economy. Or to put it this way: there were measures at the right time, there were proper measures, and there was the right dosage.
ParlaMint-NO_2013-05-22.ana.ud309e77	The last thing was just a tumultuous fog talk – when one knows that one defines a problem that must apply from now on, but the solution will not come until six months under a new government. Here is a description of how the government is to make changes to the internal tax or internal calculation of companies, and then obtains a freed money that can be used for tax relief. I thought it was the situation for Norwegian industry that was important, not that one should always balance the government's budgets, and that if one can then release any money, one can use them – and vice versa. The question remains: when one sees that there is an increasing division of the Norwegian economy, why will one not make changes already in the revised budget? Amendments to the R & D Regulations are foreseen to bring forward the SkattenFUNN. You can already make changes to the depreciation policy now. No investigation is required – to wait until next year. The government would be pleased if the Storting proposed good changes, for example: better depreciation rules, already in the revised budget?
ParlaMint-NO_2013-05-22.ana.ud309e86	First of all, I would like to reserve myself against the concept of ‘mist talk’. It is a concept which at least the signed Council of State does not use. I try to be honest both in the intentions we have in the proposals we make and in what are our objectives and our purpose in the policy. - Let it go. The second is that one has to do both. When presenting proposals to point forward, as this does, it is important to make it clear at the same time how to cover those proposals – as opposed to, among other things. The Progress Party does: promise enormous tax relief without explaining how to cover it. We keep order in the Norwegian economy, we keep order both on the debit side and on the credit side, and that is important in politics.
ParlaMint-NO_2013-05-22.ana.ud309e93	Four follow-up questions are raised – first Christian Tybring-Gjedde.
ParlaMint-NO_2013-05-22.ana.ud309e96	In any case, the comments of the Council of State on the policy of the Party of Advancement were misguided by a mischievous prince. In October we asked the department if it was possible and sensible to change the depreciation rates. Then we got the following answer: ‘The Ministry is not aware of new empirical evidence which suggests that depreciation rates should be increased.’ Alternatively, the State budget says that this has been found by them for the last two to three months — that they should actually be increased because one has discovered that there is a two-way split in the Norwegian economy. Can the Council of State specifically point to what has happened in the last three months, so that we can understand where this empire comes from?
ParlaMint-NO_2013-05-22.ana.ud309e110	Yes, it is true that the Progress Party made a proposal to increase the depreciation rates both in what we call balancing group d, which concerns machines, etc., and for ships. It was a very far-reaching measure with a proceeds effect above 2 billion. kr. We rejected that proposal. When we got new quarterly accounts figures, which we got in connection with the revised national budget, it turned out that investment in mainland Norway actually shows a negative trend. Therefore, it is important to indicate that we will use a measure that we also used in 2009 in the context of the financial crisis, namely to increase depreciation in the first year – so-called start-up write-offs – to ensure that a firm is clearly informed that there will be opportunities for companies to invest against a larger depreciation in the first year, i.e. a measure that we, among others, have. used in 2009.
