ParlaMint-NO_2013-03-07.ana.ud1208e36	The representative, Kari Henriksen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2013-03-07.ana.ud1208e53	At the request of the Committee on Family Affairs and Culture, the President will propose that the debate be limited to 1 hour and that the speaking time be allocated to the groups as follows: 25 minutes, 15 minutes, 10 minutes, 5 minutes, 5 minutes, 5 minutes, 5 minutes of the Central Party, 5 minutes of the Christian People's Party, 5 minutes of the Christian People's Party and 5 minutes of the Left. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to six lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-03-07.ana.ud1208e62	Nordics practice more than ever — yes, more than ever. It trains more often, harder and more. In fact, the physical activity of the Nordics in the form of training and exercise activities is very much above the average in Europe. At the same time, the overall daily physical everyday activity is significantly reduced. Still jobs, increased car use and media and communication use have given us completely different assumptions for physical activity than the generations before us. These changes are so striking that although the training activity is at a historically high level, the total physical activity has nevertheless been reduced. A 15-year-old spends more time on silent activities than a 70-year-old, according to the report. It gives important associations to the rapporteur, who has a son who turned 15 last week, and a 70-year-old to father, who two weeks ago took part in the World Championship on skates. I would like to say that there is reason to rejoice over the broad political consensus that the vote shows on the main lines of sports policy and the objectives in this area. There is disagreement at individual points, which emerges from part of the proposals in the setting, but overall there is a happy consensus on the long lines of sports policy. The reasons for state sports policy have varied throughout history. Originally, the defence capacity of the country was based on a prominent justification. Later, the health significance became stronger. Since the 1970s, sport has been defined as a natural part of cultural policy, and there is a turn from the instrumental dimension of sport, such as defence and health gains, to the social and meaningful function of sport. In the future, on the basis of a more physically inactive population and strong growth in lifestyle diseases, we will see a turn towards the return of sport becoming more important to public health, but at the same time the social and meaningful role of sport is fully emphasised. The treatment of the notification shows broad agreement to strengthen the effort for sport. There is a broad consensus about changing the key, and there is no doubt that the change that will now take place will give a formidable growth for Norwegian sport. The Communication refers to sport as training and competition in the organised sport. At the same time, the Committee considers that sport is more than that of organised sport. A lot of competitive preparation training takes the form of self-organised activity, either in forest and land, in commercial training centres or in sports facilities. Competitions may also vary in levels of play, organisation and formality. It is a good thing for Norwegian sport to have Norway’s sports federation as a collective player and representative of a wide range of sports. However, there should not be any similarity between sport and Norway’s sports federations. As developments in which self-organised physical activity has become increasingly important, it is important that authorities can create broad alliances with all actors who contribute and have an interest in contributing to physical activity, whether in training centres, the insurance industry, public health organisations, other voluntary actors and others. The Government proposes in the Communication that the grant to ordinary community facilities be combined with the grant to ordinary sports facilities in the municipalities. Here the opposition disagrees and believes that the scheme is important and should be maintained. Here we have received very clear feedback from a lot of hearings. The Committee further points out that sport is the country's largest voluntary movement. Norway’s sports federation is the country’s largest voluntary children’s and youth organisation, and sport is carried out to a large extent by just voluntary efforts. The Committee also emphasises that sport and local sport cannot be expected or required by the State to assume responsibility in addition to its primary tasks, but that sport policy must support and stimulate growth and development in sport on its own premises. There has been a lot of bad news in the last year that challenges the credibility of sport, mainly in the international arena, but also here at home. That's why I want to finish the article by stressing that sport is based on the idea of equality, fair play and honesty. It is therefore important for the Committee to state that the fight against doping in sport must be strengthened. The Committee also stresses that it is positive that the Norwegian authorities, together with sport, will have an increased focus on fighting fixation in the future, not only as a contributor to this work at European level, but also in a national perspective. I take up the suggestions that the Christian People's Party is behind in the vote, and I expect the opposition to take up its proposals.
ParlaMint-NO_2013-03-07.ana.ud1208e92	The representative of Øyvind Hope has taken up the suggestions he referred to.
ParlaMint-NO_2013-03-07.ana.ud1208e95	A little quiz as a start to my post: what is behind the three numbers 8–5–6, and what do they have to do with today's sports message? Some people definitely connect them – and to the others, I would say that behind the numbers it hides a very important part of Norwegian sport. From this pulpit I would like to greet – and congratulate – everyone who participated and contributed to this year's Ski World Cup giving us eight gold, five silver and six bronzes. Then we must not forget similar good performances in both ski shooters and alpine world championships. That's how we can keep listing good sports performances of Norwegian practitioners in incredibly many different sports. There is good reason to be proud of our top athletes for the effort they make to achieve the best possible results in their sport. They are an inspiration to all of us – it creates pride and coherence when we hear the national anthem being played in honor of the one at the top of the pole. But it also contributes to something else that is not least as important: through the top sport, we recruit new people into the sport. Curling, ticking and not least freestyle are examples of good practice that have helped get many young people out of the high school and away from computer games. Even in the 1960s, I had ambitions to become a new Wirkola. The only thing I achieved was to jump after him – and many might think that it was an achievement in itself. In the sports message that we are dealing with today, both the top and the top sport has its own self-evident and important place. The government will facilitate both of these to obtain the best possible framework conditions in today’s way of financing sport. The decision to change the key so that 64 pst. of the profits of Norwegian Tipping used for sport is such a measure. The decision means a raise of more than half a billion dollars to Norwegian sport, if today's Norwegian Tipping forecast is kept by layer. Then the government has adopted both the VAT compensation scheme, the grassroots scheme and local means of activity, which means that three-digit million amounts are channelled to Voluntary Norway — where sport has its central place. We are quite sure that that money will not be put on the book – most of it will be used to maintain and not least create new arenas to create new activity in the whole country. The lag on the plant side is large, we have a lot to take back – we just have to admit – and it will take years before we are where we should be. I don't think I'm wrong that there will be enough discussions about the introduction of more funds for sport in the years that come after this. And just for the rest of the way by to have mentioned it: when any OL in Oslo will cost 35 billion. kr, and when it is expected that sport and the state will make a significant contribution, I suggest carefully that we will have some interesting debates about what the sport is going to spend on. But the time, the sorrow. I must admit that the large ski championships that have been sent on TV have contributed to my daily dose of at least 30 minutes of activity being minimal. I've probably become what we define as "inactive." The theme 'inactive' has been given a great deal of space in the communication — and then seen from a public health perspective, as the rapporteur pointed out. So I'm not going to say so much more about it, except that inactivity leads to a societal task, a job that we all have to take seriously. There we all have a considerable responsibility, and we will not get away with that. When we read that six-year-olds sit six and a half hours still per day, it tells us that we have challenges in these problem areas. A lot of people have to go around doing something about this. There is no doubt that we are dependent on sport, and here the sport has so far really set up. From my own hometown, Alta, it's an exciting project going on. Alta IF has created a sports SFO. And during a visit to the Groruddalen we got to participate in many exciting projects where sports not only contributed to the activity of the kids, but where the sports arena was an important arena to confirm to the participants and suggested that we all play on the same team, regardless of ethnicity and skin color. There is a lot you could focus on through such a debate, for example. the importance of major sporting events and for the places and regions where they are organised. One example is the Finnmark race, which has evolved from 20 participants to 130 international participants, and which has literally become a Finnland event where both industry, sport and culture meet – which in turn creates good spin-off effects for the community and the regional level. I will end by thanking very much all the thousands of volunteers who in their everyday lives contribute to Norwegian sport being the diversity in which we are all so happy.
ParlaMint-NO_2013-03-07.ana.ud1208e123	The last speaker started by hailing our athletes. So do I, but first of all, I want to pay tribute to all the volunteers who spend thousands of unpaid hours to make arrangements for new and upcoming athletes. The job done around the country in the different arenas, I think, is absolutely invaluable. That's where the coming ski stars and the sports stars are created. Many thanks to them – and at the same time thanks to the rapporteur for doing a good job of obtaining this option. What has remained largely during the treatment of this sports communication is the economic challenges facing sport, especially on the construction side in terms of funds for initial investment, and also in terms of rehabilitation. It's a fact that under this government has been dragging on the tippers increased considerably, and it doesn't seem that one is about to make any special grips to get it down. We had a great expectation that when the Workers' Party and other parties at their national meetings decided to change the key, it would become a reality, and that it would be phased in quickly. Unfortunately, that has not happened. It goes very slowly forward, and if you kept that pace within the sport, it would have been guaranteed the last place in every exercise. The Progress Party has made a number of proposals to change the key to 64 pst. Every time we've been voted down, and it's not the Progress Party that's the loser here: it's Norwegian youth, it's Norwegian sports movement, which is the big loser. We think that's sad. Providing a good economy is one of the most important steps we can take. The Progress Party has proposed that non-resident gambling companies be allowed to establish themselves in Norway through a licensing scheme and that part of the turnover be attributed to Norwegian sport, as is the case with the distribution of the key. That would mean about 7 billion. kr would be returned to Norway. It would be a formidable boost for Norwegian sport. So that is not the political will in this Chamber. No other party supports it, and once again it's the big loser sport in that way. We think that's sad. We're recording that this is the case, but we're not going to give up for that reason. We expect, hope and believe that the other political parties in this room will see the light in that way sometime. The second theme that has gone on again is that of physical activity — especially for children. Yesterday, it was found that one in five children has weight problems, and one in three children drop out of high school. There are serious signals, and then you have to do something about the failure of children you see in sports. There are a lot of people who are active in early childhood, and then you fall off pretty fast. The progress party probably doesn't have a total solution to this, but one of the suggestions we've made in this room applies to one hour of physical activity every day in primary school. That was the vote of the other parties in the Stortinget last autumn. International surveys conducted show that it is highly recommended. It is also recommended by the Marit Breivik Committee, the Legemide Association and the Health Directorate and others. There have been some pilot schemes. They've turned off very positively. Not at any of the places where experimental schemes have been launched has it been reversed – in other words, one has seen an effect, both in terms of well-being at school and in terms of reducing bullying, as the youth bigotry, which ended here on Tuesday, was very concerned. So there's really only good arguments to do something like that, but unfortunately: it's the political majority here in this room voted down earlier. Finally, I would like to address the proposals in the vote on the Progress Party alone, and those that we are with the Right.
ParlaMint-NO_2013-03-07.ana.ud1208e142	The representative of Øyvind Korsberg has taken up the suggestions to which he referred.
ParlaMint-NO_2013-03-07.ana.ud1208e145	All mothers and fathers, all grandparents and all volunteers who participate in the grassroots movement of sport are the driving force of Norwegian sport and Norwegian volunteering. It is also the essential force that is involved in organizing the local, good communities around the municipality of Norway. Right will take care of the democratic power of sport and volunteering. Then we have to maintain the integrity and independence of sport, and we need more neutral instruments that strengthen sport and volunteer, and then we have to maintain the principle of spreading power that ensures that sport is built from below and up. For the Right, the communities between people who are free and willing to make an effort for each other are the most important. They're at the heart of volunteering. We want a strong civil society that balances the power of the state. Sport must retain the freedom to exist under its conditions and not be reduced to an instrument known as State sports policy. As politicians, we must provide good framework conditions, and sport itself must be able to find the right solutions. Now it is also the turn of sport, the Minister of Culture promised in 2011. Last year, the government promised to increase the surplus of the drugs to 64 pst. to sport for more than three years. Right takes the promises of sport seriously. Let's do what we say for sport. So we increased the key fraction by 6.2 pst. already this year. Unfortunately, the government said no to that. We still hear that the sport notes the disappointment – at the latest at the hearing here in the house – that the government has not followed up its promises. Better framework conditions for the voluntary sector should be a basic principle as red-greens presented the voluntary service in 2007. Six years ago, the government promised to simplify reporting requirements and assess project support in state sport policy. They considered strengthening the Free Fund scheme and adapting grants to new organisational structures. After almost six years, the government is only as far off as the mapping is concerned. Volunteering has repeatedly wondered where it was of the red-green implementation force, when you look at everything they promised to volunteer. At the hearing of the Right, volunteering and sport highlighted the importance of giving room for confidence and the excruciatingness of the demands for administration and form fields. We had hoped that there would be changes for volunteering and sport in this message, but unfortunately it was missing. The right will make use of the opportunities for cooperation between private, voluntary and ideal forces. We value commitment and commitment, no matter who will contribute. We must combine the good community of values of sport with the creation of values in the private and voluntary sectors. We have to get the potential to encourage all good forces to get to it. In the 2013 state budget, the right and the citizens took joint concrete action for sport: We want the sport to keep more of the gifts they get by increasing the tax credit. We take concrete steps that reduce administration and form fields. We want to take a power cap for sports facilities by increasing the VAT compensation by 100 million. kr. The sport itself wants an overall site plan — a national transport plan for sports facilities. On the right, it is smart that sport and government together find solutions to coordinate national and regional plans for the construction of facilities, because we need better coordination. Today, non-current assets are allocated to 19 different counties without full coordination. Norway can no longer organise international handball championships, because we do not have a national handball facility approved for international championships. But great championships provide important inspiration that strengthens the breadth of sport, because top and top sports live in mutual interaction. Therefore, the Right believes that Norway should regularly be a host nation for major international championships. Right wants to support sport in keeping the earmarked grants for community facilities that the government will remove. Sports and outdoor activities provide training and recreation. Tour traditions are important in Norwegian cultural heritage and provide great natural experiences. We need low-threshold services for inactive adults. It should also be easier for the local sports team to operate sports facilities. Sorry, governments say no. Before the rules became more stringent, the municipality of Bærum could finance the construction of the Gjønneshallen and allow sports to run halls with profits. Such solutions that exist there will have more of them on the right. We see that sport in Norway needs several different solutions for organisation and operation. With simpler and more flexible rules, we can have lower costs for municipalities, new income opportunities for sport and volunteering and better use of hall capacity. The Sports Association has worked for good cooperation models for sport and public health. Active in Daytime provides organized physical activity for all adults receiving social benefits. Participants say that training and association with positive people provide social cohesion that builds up and improves physical and mental health. These are examples of giving people in a difficult situation good quality in everyday life. We also need close cooperation and good dialogue between sport and school. We have to give a seamless offer to the children who need it most. More positive focus on physical activity in school has very many good effects. Then sports facilities and the school must also cooperate to capture those who often fall outside. Then we have to get the good sports arrangements for lending equipment and selling used goods in several places, so that the children can be involved independently of what Mom and Dad serve. The right believes that sport must have the freedom to make good and inclusive offers on its own premises. Volunteers in sport add value to diversity work that the country can never achieve. Unfortunately, the Sports Communication has few concrete measures to stop the dropout. The longer children and young people continue in sport, the more they continue in student sports, enterprise sports and as active parents and grandparents. It's important for public health. It may be one of the most important things for good health and for a good quality of life. Sport offers many different social and cultural communities that evolve and include us all when we participate. It is our most important role to facilitate that sport should continue to have the opportunity and predictability to do just that. We need all parents who set up. There has been a recent debate on parents in the coaching role. We must remember that the parenting stuff in the field of training is absolutely crucial to the existence of sport. At the same time, we need increased training skills when our children are getting better. Voluntary trainers need to be given skills enhancement and follow-up so that they are safe on the job and can make the best possible effort to train. Here the sport itself has developed Trennerlöpa – a programme that provides both sport, pedagogical and organisational empowerment. We need to ensure that the sport itself is given the freedom and the ability to facilitate precisely the community of good communities. At that time, we need to give the sport confidence and opportunity to influence and to find the best local responses and initiatives. Then it is our role as politicians to facilitate that sport itself will have the opportunity to develop further – to the best of all.
ParlaMint-NO_2013-03-07.ana.ud1208e195	Sport covers almost everyone. We have children's sports, youth sports, sports, individual sports – the possibility of the race or the ski tour on organized runs, or on scaled paths for that matter – top sports, sofa sports, yes, those who enthusiastically follow top athletes on the screen and the more general: physical activity. The term ‘physical activity’ is a broad term. This includes, for example: Work, exercise, outdoor life, play, exercise and trim – and of course the different sports I have already talked about, yes, maybe except for sofa sports, then. Before going further, I would also like to support the homage of volunteering, fires, outdoor organisations and the Sports Association. For SV, it is important to highlight the parallel sport and prevention of health that sport or physical activity can provide, inter alia. through well-organised outdoor activities and measures that can reach the inactive. That's why I'm celebrating the post for just this. The message responds well and the main intention is that everyone should be able to participate in sport and physical activity. We are unlikely to be lucky in Norway. We have a fantastic nature, and most of us have unique opportunities to be active in beautiful surroundings in the community. In addition, we have the opportunity and political will to spend a lot of money on organising organised and self-organised sports. The back of the medal is that everyday activity has decreased, and more and more people are becoming inactive. These include: that we have more stationary work and easy access to the car. Purchases and movements at even small distances are often made by car. And how many people don't drive a car one mile to train at the gym? According to Sintef, 95 000 Nordics could be defined as completely inactive in 2010. When we know that inactivity is a major health challenge, it is important to take this seriously. Then it is important and right that the government emphasises that the work for increased activity in the population is an important part of the overall public health work. Research shows that early established behaviour is important for its choices. If you have an increase in a lot of activity, you're less likely to become an inactive adult. Here we can help to facilitate a good culture of activity and movement. My granddaughter is today a year old. I envy her the energy and the activity she has. I hope she meets a kindergarten that contributes to the maintenance of and increased desire for activity, and that she gets the opportunity to go to school, and that she meets a day-to-day school where physical activity is a natural part of good cooperation between the SFO and sport, and that well-organised neighbourhoods for self-organised activity, trips in green areas, for example. grandmother or organized activity arouses her curiosity and interest. If she is to experience this, we must continue the offensive interest we have in sports and outdoors today. This requires, inter alia: support for sport, for outdoor life and a commitment to help maintain outdoor areas near where people live. We then provide a good basis to prevent today's active children from becoming tomorrow's inactive adults. Activity is good prevention in both physical and mental health. But physical activity is also good repairing work. I have a mentally ill partner. Part of the treatment for him is movement, both through exercises to strengthen balance and body control, but also through, simple and straightforward, walking tours. When he gets healthier than he is today, maybe Active in the daytime can be a good offer – an organized offer of physical activity in the daytime for those who receive some form of social welfare or social welfare. These are usually cooperation solutions between public and sports, and good benefits can be reported for participants, and they come in a better form and are satisfied with themselves. This is in many ways a both repairing and prevention concept, which can help to get out of the group inactive. There's a lot to enjoy in the sports message. I will present my enthusiasm for bet on inactive. Lowthreshold services in nature and the community are most likely to appeal to this group. Outdoors are becoming even more important over the years to come, and this part of sport policy should receive increased attention and frames in the future, as it emerges from the message. I am pleased that the focus is on varied and targeted use of instruments to reach more inactive ones, and that the focus on outdoor activities is strengthened, and that the Ministry of Culture will give priority to self-organised activities. One might say that physical activity is a personal matter, but fortunately we live in a society where there is a broad consensus that we should facilitate everyone’s participation – it is the competitive person, the one-year-old who stands in the start-up pit or the cohabiter who needs help to get back to being an active user of the outdoors.
ParlaMint-NO_2013-03-07.ana.ud1208e218	The sport is a people's island in Norway. Almost everyone has a relationship with the organized sport. We practice more than ever, and we experience that large sections of the population are joint owners when we have big events. The Norwegian sport model is about participation, volunteering and inclusion. We're going to rehabilitate and strengthen that model in the Center Party. The sports message is involved. We are proud to be part of the presentation of a sports message that we experience that sports Norway is well pleased with, even though we just heard from this pulpit that the Right is not satisfied. We believe that it is primarily the local sports laws that will be strengthened in the forthcoming sports campaign. Several sports facilities are to be built throughout the country and local resources for activity are to be increased. We also need to ensure good geographical distribution through the criteria for the distribution of funds. Large population density, but also long travel distances, are both emphasised in this context. There is a great need to build more sports facilities in this country to allow more people to engage in sports and to improve teams’ capacity for their activities. But there is a huge gap between the need for sports facilities and the available games. Therefore, there is a need to strengthen the sports area by changing the key, and it has been taken up by the government. We in the Center Party are impatient in this way, and will work to increase the sport's share of the tipping money sharply over the next two years, so that one comes up to 64 pst. in 2015, as we promised. This increase must trigger clear requirements. We want more transparency about how public money is spent by reporting on site development, top-notch sports and activities for children and young people — and not least the distribution between these areas. We will focus on simplification and red tape. As much as possible shall be addressed to the administration both centrally and locally. Norwegian society is facing many challenges despite our oil wealth. One of the biggest is, as many have mentioned here, that people move too little – this despite the fact that many practice often and much. The daily activity of people has fallen considerably, and a large proportion of the population is inactive. It's a threat to public health. Sport and physical activity are important contributions to the same public health. Both cultural policy and health policy instruments need to be used to maximise their activity. When everyday activity declines, organised sports activity becomes even more important in preventive health work. The most important thing that public can contribute is the development of sports facilities and the safeguarding of areas where activity can take place. This is important for the active ones, and also for inactive ones, the development of installations will be important, precisely to have them activated. I know that many people believe that public health has nothing to do with sports policy. I think that is completely wrong. I am sure that the sport itself sees the potential of getting a maximum share of the Norwegian people in activity. We know that lifestyle is largely transferred to the next generation. That is why it is a great potential for sports around. The more active young people are, the more likely they are to become active when they grow up, and there is a greater chance that they and their young people will become active in sports around them. This is a win-win situation for sport, for public health and for society. One of the results of the notified key change will be the strengthening of outdoor activities through self-organised activities. These facilities have a high potential for use and will contribute to achieving target groups that do not find an offer in organised sport. We are also pleased that the Mountain Outdoor Facilities Scheme and the Youth Outdoor Action Scheme continue, and not least that the Communication calls for the extension of the Outdoor Action Grant Scheme to include inactive adults, but nevertheless for young people to continue to have first priority. We in the Center Party are concerned with the spirit of hard work and that the voluntary effort that is being put into sports throughout the country should have good framework conditions. Therefore, it has been important for us to put in place good support schemes for the construction of sports facilities for both sport and sport. Sport Norway can feel confident that we in the Center Party will continue to work to improve their framework conditions.
ParlaMint-NO_2013-03-07.ana.ud1208e244	Sports policy embraces a lot – top sport and child and youth sports, sport and the self-organized physical activity of many, and not least, I think, the great joy of many of us being spectators at sports events. There's something more and more Northmen think it's funny to do. It's also part of our sport. Today, I want to raise two perspectives that I think are important: the public health perspective and the voluntary perspective. It is important to look at sport and voluntary activity not only as a means of solving societal challenges but also as a driving force. We must never reduce this activity to an instrument for the authorities to achieve anything else. We're going to be concerned with the joy of volunteering, and the joy of the drive to do something, just because it's fun. Sport should primarily be rooted in the desire of each person to contribute, to have physical activity and to have fun with the activities chosen. I am therefore pleased with the remark in the position that the Advance Party, the Right Party and the Christian People's Party have, where they address just this. We need more simplification and better organisation for voluntary activity in the future through reporting requirements, simplifications and issues related to volunteer registers listed here a number of times. I also think it is important to stress what more people have said before, that we have many volunteers who are now trainers, and that it is an important part of the identity of Norwegian sports that this is not only professionalised, but is also a voluntary activity. I think it helps to develop the sport positively and keep the width. At the same time, when we talk about quality time between parents and children, there are a lot of parents and children who have the quality time together in voluntary activities, and that it actually has a self-esteem that mothers and dads, uncles and aunts are involved and contribute to the leisure activities that kids have. That means we also get more interaction between ourselves. So I want to comment on the economy within this field. I believe we should have had a system that had stimulated much better that private people could contribute to volunteering in this field as well. We should have systems that stimulate gifts, a stronger increase in tax deductions, and we should raise the limit of pay and duties and employers' duty to make this easier. It would both be anti-bureaucratic and give them opportunities for other sources of income. I believe that the proposal to grant a manless inheritance would have been a good contribution here to give something back to communities that could experience such an inheritance. So to the games, we probably have a slightly different perspective on the games than the government games. This is largely about the view of Norwegian Typing. We believe that more people should have been released on the game market, for example. through a licensing system that would have provided more money for voluntary activity. We want more people to be able to contribute more income to culture, to sport and to the voluntary sector. I would also like to repeat, on behalf of us, the criticism of the other opposition parties about the grass root fraction. There was a project that we were very sceptical about, also in this room. Now we see – if it is not misused – that at least it does not lead to anything near what was said in the banquet halls from this hall that it was to be achieved. With regard to the plant situation, we want a much more flexible regulatory framework specifically related to VAT compensation for sports facilities. I think it's great that sports teams and the like. can operate a hall or facility owned in principle by a municipality. It must not stop legislation, it must encourage it. There is a lot of good news in the message about aesthetics and durability related to installations, but in the case of doll and bubble systems – e.g. in the case of tennis, I think today’s legislation is being too strictly enforced. I strongly urge the Council of State to stress this problem and to ensure that we get tennis bubbles that can also be entitled to both tipping agents and VAT compensation. Then we would have had a big boost in the field of outdoors, because that's exactly what will mobilize those parts of the people who wouldn't otherwise have had the opportunity to use the sports facilities we have today. Can I say a little about voting – very short?
