ParlaMint-NO_2013-12-18.ana.ud2341e26	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2013-12-18.ana.ud2341e29	On behalf of the representatives Hans Olav Syversen, Ketil Kjenseth, Trine Skei Grande and myself, I will present a proposal for a representative on external expert assessment and the presentation of a plan for the further conversion of the capital process in Health South-East.
ParlaMint-NO_2013-12-18.ana.ud2341e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2013-12-18.ana.ud2341e46	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2013-12-18.ana.ud2341e53	Since this is the last questioning session before Christmas, I would like to take the opportunity to wish Prime Minister Erna Solberg and the government a really good Christmas. I hope they get a nice vacation and lots of nice gifts. The government has been sitting for two months, and we all understand that that's not all it's done, but in some areas it still has the right to change the course – shift the course in a different direction from that of the previous government. One of those areas is kindergarten policy. In these days we all receive many Christmas cards. Parents with children in kindergarten also receive notice that the nursery price will rise by about 500 kroner next year. It may not be a very dramatic amount, but it's still the first time in very many years that the nursery price is going up and not down. From 2005 to 2013, there was a significant decrease in the real price. Now the kindergarten prices go up for the first time in many years, so it's a new course. More seriously, it may be that the sum of the fact that there will be no more admissions into kindergartens, and of the fact that having children in kindergarten is more expensive, is that the government itself estimates that there will be 7 000 fewer children in kindergarten compared to that of the previous government, and that the number of children in kindergarten, for the first time in very many years, goes down from one year to another. We believe that kindergartens are good for the children, good for equality, good for integration and not least for those who are struggling to learn Norwegian, to have a good foundation before they start school. Fewer and more expensive kindergartens are not something that comes just by chance. It's a result of political choices this government is making. My question to the Prime Minister is: is she satisfied that there are now 7 000 fewer children in kindergarten, and that child care prices, for the first time in very many years, are rising?
ParlaMint-NO_2013-12-18.ana.ud2341e66	I am pleased that this government has made clear and clear priorities, including: with regard to children. Making sure that children get the best start in knowledge they can, is about prioritising money to school. Now, for many years, we have prioritised a lot of money for kindergartens. This government prioritises investing in more knowledge in school, and making sure that all children get the best ballast to master life in the future, that's important. That is why we have made some clear priorities in terms of knowledge efforts in this budget, and that means there are other areas for which we do not give much priority. In addition, we're making sure that the quality of kindergartens in the years to come, because it's not just a question of keeping children, it's also a question of raising the quality of the offer that children get when they go to kindergarten. It's also going to be prioritised by this government in the future. There will be other bets from our government, the Right Party government in cooperation with the Christian People's Party and the Left, than it was under the Red-Green government. And perhaps just in the field of knowledge – what we think is most important that Norwegian children experience – there is a difference. We're doing what we've been saying for years. So now the knowledge, the teacher, has to be in focus, not all other things. That means that there will be areas that are being down-prioritized. The second thing we do, as we have also said, is contribute to freedom of choice for families. This means that we are making changes, including: in cooperation with parties on the Stortinget, in the case of cash support. It has the effect that it is estimated that there will be slightly fewer kindergartens, or that there will be children's playgrounds, because more families make a choice of values, where they want one in the family to be fully or partly at home, because they get more economical business. I believe that our society can afford that. I believe that our society also serves to allow families to make the values they think fit their family.
ParlaMint-NO_2013-12-18.ana.ud2341e75	I noticed that the Prime Minister did not answer the question, namely whether she was satisfied that there are now 7 000 fewer children in kindergarten, and that all parents have to pay more to have children in kindergarten. I mean it weakens the knowledge of society. It weakens the quality of society that 7,000 children, perhaps the children who need kindergarten the most, are now not going to go to kindergarten. It gives them a poorer basis for going to school. The government makes one clear prioritisation in the budget, and that's spending 4 billion. More oil crowns – 4 billion kr more on tax cuts. That is the most obvious priority in the budget. It would have been entirely possible to finance both cheaper kindergartens and more kindergartens if you had not given up many billions to lower taxes. Kinderhagen quality: We increased that effort from 10 million. NOK 160 million. kr. The number of employees with education has increased significantly in kindergartens, so quality has been put on. But it makes no sense to set up a contrast between investing in quality and the number of children in kindergarten. I repeat, is the Prime Minister satisfied that there will be 7 000 fewer children in kindergartens?
ParlaMint-NO_2013-12-18.ana.ud2341e86	I'm here to expand more kindergartens. I am for families to have a real choice to give priority even if they want kindergarten, or if they want to stay a little longer at home and have the possibility of a closer family follow-up of the children. I see that as a choice of values that I think it's up to every family to take. One of the reasons for this change is that in the budget there is simply an estimate made in the light of the changes we are making, where there will actually be a little more children staying at home because the family can afford to be at home. In politics, all are priorities. It's not possible to separate out and talk just about kindergartens. We've done some priorities, and our priorities are in the field of knowledge, it's bringing down health cows, it's making sure to build more roads, and it's making sure to get more competitiveness. It also involves making changes within the tax regime. Let's do what we promised. We follow our priorities. Yes, they are different from the priorities of the previous government.
ParlaMint-NO_2013-12-18.ana.ud2341e93	First follow-up questions are from Rigmor Aasrud.
ParlaMint-NO_2013-12-18.ana.ud2341e96	The Prime Minister said in his reply that the government parties are doing what they have promised. Although neither the Right, the Left or the Christian People's Party was behind the kindergarten agreement in 2002, it provided the basis for a massive expansion of kindergartens and the introduction of a maximum price that many parents have appreciated. Now it breaks the agreement, and the prices are increasing. The tax that a normal family now receives covers just for the increased kindergarten price that the government of Solberg has adopted, while one of 2 million. kr in income receives the entire child care bill covered by the tax bill. Where is the social profile in this?
ParlaMint-NO_2013-12-18.ana.ud2341e103	The History Generation of the Working Party may be a bit wrong. The SV and the Progress Party took the initiative in a kindergarten conciliation. The nursery agreement was finally negotiated, and all the parties on the Stortinget were behind it. The Workers' Party was not the initiator of a kindergarten settlement. They were there when everyone else went into the discussion about how we should get it done. We didn't have a discussion if we were going to have full babysitting. Everyone agreed. That decision is actually taken in Stortinget before I got here, and it's starting to be a long time ago. In the spring of 1989 there was agreement in Stortinget on full child care coverage. What was the discussion was whether we should prioritize lower kindergarten prices before we had full kindergarten coverage. But then it's like we've done some other priorities, and what's really social in our budget, is we're increasing the capacity for drug treatment. We ensure that the most vulnerable children feel that their parents are being treated, and that they thus have a safer childhood. That's what I think is a real, good priority – then we hit the most vulnerable children.
