ParlaMint-NO_2013-04-17.ana.ud827e26	The representative of Laila Davøy will present a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e29	I am delighted to promote a proposal for a representative on behalf of the representatives of Øyvind Håbreek, Hans Olav Syversen and myself on the action plan for better parental cooperation after a break in life.
ParlaMint-NO_2013-04-17.ana.ud827e34	So the representative, Dagrun Eriksen, wants to put forward a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e37	It is an honour to make a proposal on behalf of the depositors Hans Olav Syversen, Line Henriette Hämdal, Geir Jørgen Bekkewold and myself to introduce a binding shareholder vote on directors' salaries in limited liability companies.
ParlaMint-NO_2013-04-17.ana.ud827e42	The representative, Robert Eriksson, wants to put forward a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e45	I am delighted, on behalf of the representatives of Gjermund Hagesetter, Per Sandberg, Jan Arild Ellingsen and myself, to put forward a proposal for the creation of a new war pension scheme for veterans who have participated in international operations.
ParlaMint-NO_2013-04-17.ana.ud827e50	So the representative Gjermund Hagesetter wants to put forward a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e53	On behalf of Per Sandberg, Åge Starheim, Morten Ørsal Johansen and myself, I am delighted to make proposals for representatives on measures to improve the infrastructure before drinking water supply and sewerage.
ParlaMint-NO_2013-04-17.ana.ud827e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2013-04-17.ana.ud827e71	On Monday the Stortinge received a message from the Prime Minister's office that the Councils of State will meet Anniken Huitfeldt, Rigmor Aasrud and Marit Arnstad for oral Question Time. The state councils advertised are present, and we're ready to start the oral question procedure. We start with the first main questions, from the representative, Bård Hoksrsud.
ParlaMint-NO_2013-04-17.ana.ud827e78	I guess it's not very hard to see who I'm going to ask questions about – it's for Minister of Transport Marit Arnstad. The Government presented its proposal for a national transport plan on Friday. All the government's startled ran around the cities and the towns and built and bragged homelessly about how well this was going to be. But many are going to be disappointed in the coming years, especially all those who run around the 44,000 kilometers of county roads we have every day. Much of the road network is about to rot. The asphalt is crumbling. It's a lot of holes. Bridges and tunnels must be repaired and upgraded. The maturity has now reached a staggering figure – a place between 45 billion. kr and 75 brd. kr. It's also almost 4,700 km of county road that lacks solid cover or asphalt. It corresponds to the route Kristiansand-Churches return. This should have been done a long, long time ago, and it shows an enormous need. On Friday, the Council of State said that the government's appropriations for the county councils of the new national transport plan will ensure that they stop the decline in the first few years. Then you're going to start resuming the maturity. It's going to be exciting to hear how and when the Council of State is going to take back the huge decay, when we know that only in the headquarters party leader Navarsette's home country, Sogn and Fjordane, it's 4 billion. kr. In the Nordic region, it's $7.8 billion due. kr. Only these two states alone have more in decline than all that the fallen government is going to grant money to and take back the next ten years. Then there are still 17 counties that haven't got one penny to reclaim their maturity. You don't have to be a mathematical genius to realize that it's going to take decades before you get rusted up the county road network to an acceptable standard. Governments should be disappointed to present a proposal for a national transport plan containing so little money in the coming years that the result will be poor county roads in the next few years. It is perhaps time for the Council of State to tell how long she thinks it is responsible to allow drivers, cyclists and pedestrians to wait before getting a good highway network to run on.
ParlaMint-NO_2013-04-17.ana.ud827e91	It is true that the government presented the national transport plan on Friday. I understand that the representative of Hoksrud is not sinfully impressed. It's up to the opposition to criticize the government, so that's enough. I get to deal with things like, among other things, The NHO and the LO have said, and they are very pleased. They talk about this as a historically strong rise in traffic, which makes it possible to achieve faster the realisation of important road and rail investments, and to keep the level of operational and maintenance very high. In the proposal submitted by the government, it is clear that we address investments in the national road network, which is what NTP is all about. Then we address operations and maintenance. In the case of operations and maintenance, it is at a level approximately the level requested by the establishment. This means that in the case of the expiration of the highways, it is going to be very long over the next decade. Then the representative Hoksrud is concerned with the county roads. They are strictly not part of the national transport plan, because the county is currently the owner of the county roads. They do that in a good way. They've done that in a good way since they took over the county roads in 2010. They have chosen to invest more in the roads, and they have turned out to be a good owner, who is very concerned about that theme. It is true that earlier this winter there was a report on the maintenance on the county roads, which showed that it was a great aftermath. That report has contributed to the provision of funds from the country through the national transport plan in order to contribute to exceptional maintenance. This means that the states are going to be able to get help from the state to reduce the maturity, as well as the job they themselves are going to have to do in that area.
ParlaMint-NO_2013-04-17.ana.ud827e102	I note that the Council of State would not answer the question of when the drivers can actually expect to get a county road network that has an acceptable standard. How many years have the Council of State and this government been going to spend on this? Now I hope they don't have that many months left in the government offices, and that we can get a government that will make sure that the drivers get a good and real road network to drive on much faster than the government adds. I posted on Facebook that it should be Question Time today. There were several enquiries, both on my Facebook page and via SMS. People said, "Can't you tell them to look to get that asphalt out?" It says something about what people think about what's happening in this country, and how bad it is, both on the county road network and on large sections of the national road network. When is the Council of State going to make sure to take this maturity back? With 10 bn. It will take decades for the county road network to be restored. And then it's worked out a new maturity. 10 B.C.E. kr is nothing to shout for. There will be at least decades of bad road networks and challenges for the drivers.
ParlaMint-NO_2013-04-17.ana.ud827e109	The representative Hoksrud knows that it's not just a 10 billion contribution. DKK, but a contribution of 17 billion. kr. This is because the government makes both a contribution that goes directly to the maintenance bit of the county roads and a contribution that goes to racial protection on county roads. This will lead to the improvement of a number of roads that need both maintenance and modernisation. So 17 billion. kr is what the State has set aside. It's going to be a significant contribution. But it is clear that the state is not going to assume the responsibilities of the states for roads owned by the states, but we are going to be able to make a contribution along with the efforts that the states had to make. Otherwise, Hoksrud is concerned that it will be better if the Progress Party comes to the government offices. I have to say that with excitement I am looking forward to what an overall opposition is going to offer of alternatives in transport policy, all the time Hoksrud and Right are diametrically disagreeing on some of the most fundamental issues in Norwegian road policy.
ParlaMint-NO_2013-04-17.ana.ud827e116	Four follow-up questions are raised – first Arne Sortevik.
ParlaMint-NO_2013-04-17.ana.ud827e119	For maintenance seats on highways, of 45 billion kr, sets the government of 10 billion. kr in the new NTP. It'll take almost 50 years at the government's pace to get away from it. The maintenance run on the county roads, which consists, to a substantial extent, of former state highways — up to two years ago — is 75 billion. kr. At the government's ten-billion-dollar pace. So in NTP it'll take almost 75 years to get rid of it. This last one is funds that are not even earmarked; it is included in the framework grant to county municipalities. In the case of this last grant to the county road network, it is allocated at least in the first part of the four-year period, where it is most urgent. Why does the government feel that it is no more urgent to provide consumers with well maintained roads? I remember that the last comment from Vegvesenet in the last fatal accident on the E16 was that there was a lack of money to secure the road.
ParlaMint-NO_2013-04-17.ana.ud827e128	With the appropriations now granted for the operation, maintenance and renewal of the national road network, the State Road Service has estimated that it can be stopped during the first years of the period and it will be possible to reduce the downturn gradually during the period. It has never been possible to do so in the past in relation to any national transport plan. This is the first national transport plan where you can say professionally that you will be able to reduce the decay of the national road network. It's important, and that's good. It is also important that it was at the bottom of all the floors to bet on the operation and maintenance first – in all the options they proposed in their professional recordings. We have followed up on that council from the courts. The operating and maintenance side is approximately at the level proposed by the seaports and considered that they needed to reduce the maturity. In the case of the county roads, it is correct that it was included in the framework grant. The centre party and the government are not particularly pleased that this should be earmarked, it should be included in the framework grant. [[President clubs]] The counties will take priority, and the counties have given priority to the county roads in a good way. [[The President Clubs Again]] [[The President Clubs Again]]
ParlaMint-NO_2013-04-17.ana.ud827e137	Trond Helleland – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e140	State councils should be allowed to continue their reasoning – then she can talk further afterwards. That's set by 10 billion. kr to the county roads. It is stated in the press release from Arnstad State Council: ‘We cannot assume that the county councils are able to re-engage in the maintenance of the county roads without an exceptional state funding.’ Therefore, the government proposes that 10 billion be spent in 2014-2023. Extra kroner. At the same time — a little further down the message — it says that the interest-rate compensation scheme will be removed. For Buskerud's sake, that means they're going to get 50 million. SEK and tape 92 million. kr. If you have 50 million. kr and a delay of 3,3 billion. in a state such as Buskerud, the county road network there will be repaired – if no further maturity occurs – in 2074. Is the state council satisfied with the violent effort it is put up to in the national transport plan to sort out the county roads – which the state left to the states in a terrible state?
ParlaMint-NO_2013-04-17.ana.ud827e155	I record that the opposition is asking questions about what is not primarily a theme of the national transport plan, it may be because the national transport plan has been received quite well. Then you choose to ask questions about something else instead, namely the county roads – that's fine. It is quite right, as the press release states, that the state makes a contribution to maintenance for the first time. That's because for the first time you've mapped the decay of the county roads. Then we make an extraordinary contribution that I think will be important. It's right that it's made up of 10 billion. kr in a pot, it's 7 billion. kr for racial protection on the county roads, which will repair a number of county roads, consisting of 2 to 3 billion. kr in continued interest compensation to meet the obligations in the plan so far. But the state doesn't take over the county roads again. The size has decided that the counties shall be owners of the county road network. They are in a good way, and they invest large resources in this, also in maintenance.
ParlaMint-NO_2013-04-17.ana.ud827e162	Ingunn E. Ulfsten – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e165	I agree with the Council when she says that the states are doing this in the best way they can. In terms of the county roads, we now see that the government gives with one hand and takes with the other. Prior to the Central Party's national meeting, the government said it would grant 10 billion. kr, that several people have been in here today, plus 7 billion. kr as mentioned by the Council of State, distributed over 10 years. What the government did not say was that the state should withdraw significant amounts by removing the interest compensation scheme for transport measures in the counties. Does the council understand that many feel tricked by the red-green government when you just tell half the truth?
ParlaMint-NO_2013-04-17.ana.ud827e174	No, it's hard to understand. The interest-rate compensation scheme – what remained on it between 2014 and 2019 – is 6 billion. kr. Three billion. Of these, SEK is still in the plan, and SEK 3 billion. kr has been transferred to maintenance. That means you have a total pot for maintenance of 10 billion. kr, which is a bag post, you have 7 billion. And then you have three billion dollars. kr remaining in the interest-rate compensation scheme. So you're going to have 20 billion. kr which the State makes in a contribution to the county councils to help with the county roads, of which the county councils are otherwise an excellent owner, where I fully agree with the representative.
ParlaMint-NO_2013-04-17.ana.ud827e179	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e182	The left believes that the counties, as they are organized today, are not in a position to take the follow-up – as this round has shown – on our country roads. The left considers that we need to start looking at the county with a critical look, and we believe that we need to merge into larger regions, so that we can see the road network in a wider context and according to its priority. Does the Minister for Transport of the Central Party agree that the state structure, and to the extent that the municipal structure, are not appropriate to meet today's and tomorrow's challenges in transport as well as in other areas?
ParlaMint-NO_2013-04-17.ana.ud827e191	I have to say that when I look at the experience from 2010 until today regarding the county's ability to take care of the county roads, they show that the counties are well able to do so with the structure you have today – both in counties and in municipalities. They have significantly increased the level of appropriations related to investments and maintenance on county roads. I mean, it's from 10 billion. NOK, when they took over, to SEK 14 billion. kr today. It's a considerable increase, and it's done with today's structure. It is difficult to see that one should somehow get several kilometers of repaired road by bringing together counties or municipalities. Having said that, I am not in principle opposed to merging municipalities, but I believe that this should happen on a voluntary basis. I believe that it should come as an initiative from the municipalities of the sea, and it should be done in such a way that they see themselves served by a merger, as one might say. have done in my county, where Mosvik and Indrey seas chose to join together. The central party, on the other hand, is strongly opposed by the state forcing municipalities and counties to join forces.
ParlaMint-NO_2013-04-17.ana.ud827e198	Then we go to the next main question, from the representative Øyvind Halleraker – much indicates that the Council of State will keep its position in the hall, at least through another main question.
ParlaMint-NO_2013-04-17.ana.ud827e201	Yes, the Council of State can stand still. A little comment on the debate that just happened: it was just to be lacking that the county councils were not given money now, after they had transferred so many bad roads to the county municipalities. I really have a question about something else in the NTP, which is going on project funding, that's something that has had a very unblemished destiny under this government. Once again, we're presented for some kind of quasi-design that's not the answer to the challenges. I have to admit that to the Right there was a question of whether the government made some new arrangements that could really give us solutions that are modern, in order to solve the big and important tasks we are facing, especially after the National Labour Party meeting in 2011, where they said they wanted to use project finance and their own project companies. So over the period we have received two-three projects with their own budget lines in the budget. These have now been proposed to be discontinued – it has obviously not worked. At the NTP press conference, we received a clear response: a prime minister from the Workers' Party talks this all the way down with faltering remarks that we are already financing projects, we are now running project funding. I guess the cat came out of the bag. The scheme we have received this year, a new scheme for specific priority projects, is also not this time project financing as we know it internationally. It is almost identical to the system we have today for toll projects, which this government is using very much. Then the question is – when Stolenberg says that we are already doing this today, and a Minister of Transport is making this quite new: what is the answer?
ParlaMint-NO_2013-04-17.ana.ud827e218	First of all, let me say that the Prime Minister is quite right that this government has financed and granted so much more to transport than before that we have the opportunity to have rational progress on the projects and to make a coherent expansion in a completely different way than any government before we have had the opportunity. The Prime Minister is absolutely right about that. Then I think the government is now proposing a sensible arrangement. We propose a scheme in which a separate project organisation is created for individual projects, where the projects receive a separate allocation, where a separate decision is made in the Stortinget with a date of completion and an annual amount used for the various projects, and where one is also authorised to enter into binding contracts with the contractors. Then I think it should be well-placed to get even more coherent and good implementation of projects. I may have suspected the representative to believe that as long as one is not willing to agree to proposals made by the Right on OPS, one is also not involved in project organisation and financing. It's not like that. Part of the benefits actually available at OPS in the case of organisation is possible to be taken out in public. There is just some of the government's plans, both up along Mjösa, where we now have joint projects, and probably on Helgeland in the future, where one could look at the possibility of the same builder being responsible for development and for later operations and maintenance. There are many opportunities to organise things well and efficiently, and I also believe that the government is making sensible proposals in the NTP that was presented.
ParlaMint-NO_2013-04-17.ana.ud827e227	I understand very well Arnstad's defense and enthusiasm for this. We've seen that throughout the period. The central party has opposed the Workers' Party, and we remember very well the Melting Party Kleppa versus Johnsen in these debates. It is said that it is a new order. If you read what is written in a small font, there are many ‘if’, ‘can’ and ‘possible’. And then we have the Labour Party resistance that wakes up in the background. This does not promise well, and all the organisations and trade unions that are calling for this will probably be disappointed this time as well. I want to go back to what is the difference between a toll-funded solution – where you set up your own project organisation, you have transparent funding, you have your own decision in Stortinget – and other solutions. We see that in the long list of projects in NTP – over 700 million. kr – only two projects do not have the toll financing element in themselves. That is, we actually have that arrangement today.
ParlaMint-NO_2013-04-17.ana.ud827e237	I'm actually not very concerned with comparing different arrangements with each other. I am concerned that one should have a rational progress on that one based on road here in the country. I am concerned that one should have the most continuous development possible. Basically, we know that the most important thing to get it in place is a good resource framework and sufficient resources. This government has contributed to this over the last few years, and we will contribute to this in the national transport plan in the future. Then we add up to a sensible system that might be wise to use in some projects. It can be done, among other things: to enable contractors to enter into binding contracts, to set an end date for the extension, and also to fix the annual amounts by means of a decision making decision. There is a reasonable framework around what is required for rational progress and continuous expansion, and that is the whole main point.
ParlaMint-NO_2013-04-17.ana.ud827e242	Four follow-up questions are raised – first Ingerd Schou.
ParlaMint-NO_2013-04-17.ana.ud827e245	When the transport committee met the colleagues in Sweden, we were met with laughter as we explained how we had a clumsy development of the road network in Norway. The Swedes said that it was no wonder that we did not get it, as we had planned both planning and development. My question to the Council of State is: Will the government leave more of the details of the trade union in terms of planning and construction, so that we get this complete, continuous development of the road network in Norway?
ParlaMint-NO_2013-04-17.ana.ud827e250	I believe that in Norwegian transport policy you can never deprive Stortinget of the opportunity to discuss and make decisions on important transport projects. This policy area is strongly anchored in Stortinget, and I notice, not least when I meet in question hours and debates, that there are very many in the Stortinget who are concerned about it. I expect them to be in the future, too. There is one important proposal in the transport plan that will lead to some smaller projects no longer coming to political attention: it concerns the threshold for projects mentioned in the budgets, which we raise from 50 million. kr today to 500 mill. kr on the railway, and up to 500 mill. kr also by road. This means that there will be more of the major projects discussed politically. But I think we have to recognise that in Norway the debate on transport policy is a very important political debate. The different parties on the Storting will want to give their way into that debate, and I think it is also right and important that they should do so. That's why I don't think a person can leave this to colleges alone.
ParlaMint-NO_2013-04-17.ana.ud827e257	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e260	Either one talks about public toll projects or private OPS financing, both are the two ways of building roads in a way to circumvent the rule of action. A borrower borrows money, primarily in the rest of the world, at an interest rate higher than that which the oil fund receives when it saves abroad, in order to build that path. It seems that the Progress Party is a poor solution. The focus of the national transport plan was precisely this with project funding. There the Minister of Transport says that the progress of the projects determines the appropriations, not the other way around, and that is very uplifting. This means that if a road company manages to build the road twice as quickly as one thought, the appropriations will also have to be twice as high each year. When you have a finance minister and a prime minister who says you should have an exact figure on annual government budget appropriations, and suddenly you should be able to double the appropriations for a road project, maybe from 2 to 4 billion. kr, will break the decision taken by the Storting because one does not receive an exact sum. We in the Progress Party are comfortable with that, if you get better funding going, but then the question is: Is the Minister of Finance doing that?
ParlaMint-NO_2013-04-17.ana.ud827e265	It does not help to ask the Minister for Transport what the Minister for Finance is satisfied with, and perhaps the Minister for Finance should have been here. But first let's think about this with OPS projects and toll projects, because I don't entirely share the view of Solvik-Olsen that it comes about in one place. The bonds to OPS projects on future government budgets last more than 30 years and reduce the freedom of action of future governments in a way that I believe is very unfortunate and devastating. In addition, the interest rates on the OPS projects we have so far carried out are twice as high as the average interest rate on toll projects in 2011, for which I think we have also previously provided information to Solvik-Olsen. With regard to the foreseeable funding proposed in the NTP, we are advised to provide the Stortinget with quality assured figures in such a way that a cost framework is carefully reviewed before it is submitted. We imagine that one then determines a commitment that one must stay within the entire period.
ParlaMint-NO_2013-04-17.ana.ud827e274	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e277	There is no doubt that road projects do not have the very best reputation in our country. I think it's a pleasure to hear the Council of State here talk about the need for rational progress and predictable funding, and that it's just about fulfilling the transport plan, that's all. When we look at the current transport plan, we see that two-thirds of all new road projects are delayed after four years, and three-quarters of new rail projects are delayed. This shows that it might not be the best way to finance, what the government has put its trust in. Now a concession is made in respect of the very largest projects, but with many ‘if’ and ‘may’ projects, as the representative Halleraker underlined. But the great concern of the Christian People's Party is: how can we manage to do it on every project – so that the money we actually grant us will make us go more – when the Council of State and the Government are so sceptical about getting a different form of funding on the small road projects?
ParlaMint-NO_2013-04-17.ana.ud827e282	Firstly, I think that we have proposed a sensible scheme for some projects in the category of priority projects. Then I am, and have always been, concerned about the question of getting the most back for the money. It is not just about more predictable funding, it is also about a number of other things, and we are also talking about it quite broadly in the NTP. These include: that one is able to improve efficiency through the coordination of development. The state road authority will provide some coordination sections, as we call it, where one has a joint call for tenders and project development management. It can be used for both larger and smaller distances. I think it is very important that we set efficiency requirements for the agencies in the future, so that they make the job as effective as possible and get the most for the money that has been given. So I also think – which we are concerned about in the NTP – that one of the steps we need to take is to reduce planning time. Not least, it is important for smaller projects that planning time is not so extensive.
ParlaMint-NO_2013-04-17.ana.ud827e289	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e293	I have to admit that I have still not fully understood how the arrangement of the government will lead to reduced costs, more predictability and faster progress. Governments mentioned priority projects. In the NTP, the government states that Oslo-Follo and the remaining intercity sections are to be considered as so-called priority sections, but that priority sections must be a limited part of the overall railway budget. My question is: why does the government not already clarify that intercity expansion is a priority project? And can we end up with the government dividing up the different sections of the different projects according to different priorities?
ParlaMint-NO_2013-04-17.ana.ud827e302	Intercity deployment is, to the most extent, a priority project. In this national transport plan, the government has set out a progress plan for the different parts of intercity development, where we also state quite clearly when we think about the different parts of this plan completed. Intercity development is already in full swing. Further appropriations for rapid implementation and rapid development of what is going on are also very important. The fact that intercity expansion should not be a priority, I believe is an incorrect claim. It is right that, in terms of the foreseeable funding, Oslo-Ski, that is, Folloban, is one of the candidates for such a scheme. And then we're going to evaluate in the future whether other parts of the intercity sections can be candidates for this. What has been important for the government is that in each part of the country you look at one project that is important for the country, starting from it. That means there could be sections on E39, it could be Follobanen, and there could be measures in Trøndelag and in North Norway that from the start are part of the scheme.
ParlaMint-NO_2013-04-17.ana.ud827e311	Let's go to the next main question.
ParlaMint-NO_2013-04-17.ana.ud827e314	I have a question for the minister of the church. The church meeting has just been held, and its theme has been ‘People’s Church – Church People’. In connection with the previous topic we talked about, transport and road projects, not having such a good reputation, we now see that the Church's reputation has been greatly strengthened. It is now more than half of the Norwegian people who respond to an investigation that they think the Church's reputation is good. That's why there was enough expectation in the Church Meeting to be recognized for the people they actually are. After seeing state councils on election tours around the country – with leaks, with promises, with money in the bag – I think there was an expectant crowd in the Church meeting. But they were probably relatively disappointed, because the councillor came, she spoke, and she went. Finally, it is said that it was due to poor communication solutions — but it belongs to another government council — in the case of South Africa. But it was enough in the Church Meeting a great disappointment that there were no promises in the bag about that in order to maintain a close relationship between people and church, the Norwegian Church needs an improved economy. Then is my simple question to the Council of State, which is now going to have a new chance to calm the Norwegian Church and the Church people: with the red-green in position even after the elections, what expectations can the Norwegian Church have in the economic field?
