Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u1	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u2	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u3	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u4	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u5	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u6	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	AntoSpajić	Spajić, Anto	U	-	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u7	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u8	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u9	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u10	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	BoškoŠiljeković	Šiljeković, Boško	U	-	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u11	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u12	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u13	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u14	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-01-31-0	ParlaMint-BA_2003-01-31-0.u15	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 01	2003-01-31	Unicameralism	4. mandat	-	Sjednica 01	2003-01-31	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	SpajićAnto	Spajić, Anto	M	1949	
