Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u800	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u801	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u802	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u803	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠiljegovićBoško	Šiljegović, Boško	M	1956	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u804	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u805	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	SpajićAnto	Spajić, Anto	M	1949	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u806	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u807	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SpasojevićZoran	Spasojević, Zoran	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u808	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u809	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2003-06-30-0	ParlaMint-BA_2003-06-30-0.u810	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 09	2003-06-30	Unicameralism	4. mandat	-	Sjednica 09	2003-06-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
