ParlaMint-PL_2020-09-11-senat-15-2.u1	I'm reopening the session. [[Mr. Marshal...]] Yes? Senator Mammoths.
ParlaMint-PL_2020-09-11-senat-15-2.u2	Mr. Marshal, I have a heartfelt request. There may be a few of us today, we should have done it yesterday, but a prominent social and political activist, Mr. Henryk Wujec, died on August 15th. I would like to ask you to honor Mr Henry Uncle's memory with a minute's silence. [[Everybody up.]] [[A moment of silence]] Give him eternal rest, Lord. [[The gathered answer, "Let eternal light shine upon him."]] May he rest in eternal peace. [[The assembled answer: Amen.]] Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u3	Thank you very much, senator, for remembering a great person. I would like to remind you that the proceedings take place both in a traditional manner and through means of distance communication. Ladies and gentlemen, located in the Senate building! Please check whether all of you have disabled applications for remote participation in the sitting, and your senators participating in the sitting remotely inform you that in 15 minutes we will block the possibility of joining the sitting. If you have any problems, please contact us at the number you have previously received. Dear Senators! We proceed with the vote, which aims to establish only the list of senators currently taking part in the sitting. Please surrender any vote to confirm your presence. There are no ballots in room 217. Oh, one moment, gentlemen. [[Voice from the Chamber: State of Informatics, supposedly in room 217 voting cards are not activated. Make it right.]] [[The voice from the room: And are you sure...]] They don't work because it shows me that no one votes. We'll probably do that vote again in a minute, but we just have to clear it up. Dismissed until 9:10 p.m. Keep me posted on what's going on because he's gonna be guilty again. [[Adjournment from 9 minutes 05 to 9 minutes 10]] I'm reopening the session. The communication with room 217 apparently exists, so please take your seats and proceed to the vote which, I remind you, is intended only to establish a list of senators attending the sitting. I'm asking you to give me any vote. Now I see it's working. To one person from the remote voter: please note whether the voice sending button has been pressed twice. Please state the results of the vote. 72 senators voted and so many are currently taking part in the meeting. [[Voting No 5]] I ask you to remember that immediately after the examination of the point that we are about to begin, there will be a vote on the laws and resolutions in question. We proceed with the examination of item 8 of the agenda: Information on the activities of the Ombudsman for the year 2019, together with Notes on the state of compliance with the rights of the child. The text of the information is provided in print No 100. He addressed the information received to the Committee on Family, Senior and Social Policy and to the Committee on Science, Education and Sport. The committees took note of the information at the meeting on 9 September and informed the Marshal of the Senate. I would like to welcome Mr. Nicholas Pawlak, who is present at the Senate hearing. We immediately proceed to the process of the point. I ask the Ombudsman to take the floor and present the information.
ParlaMint-PL_2020-09-11-senat-15-2.u4	Dear Marshal, High Izbo! Information on the activities of the Ombudsman in 2019 together with Notes on the state of compliance with the rights of the child in Poland. The year 2019 was the first full year for me to perform this honorable function and service for children. The Constitution and the first articles of the Act on the Ombudsman of the Rights of the Child are the basic tasks of the Ombudsman, which are to uphold the rights of the child as defined in the Constitution, the Conventions, in particular the Convention on the Rights of the Child, and other legal provisions. In this respect, as a spokesman, I am primarily guided by the welfare of the child and I take into account that his natural environment and the place of development are his family. The child is a person, a being from conception to 18 years of age. This aspect, how fundamental and important, unfortunately still raises doubts, and the reminder of this fundamental human right triggers attacks. As the spokesperson for the rights of the child, I have in particular As a result of this very open and wide catalog The child's right to life and health, to upbringing in the family, to decent social, living and learning conditions. The catalogue of children's rights is open, which means that it is shaped by our society, by our lives, by situations that happen, like now, in 2020, but also every year, at every time because of social, technical development, we shape, explain, often call them. As a spokesman, I take action to protect children from violence, cruelty, corruption, demoralization, exploitation, negligence and any other mistreatment. These words, these concepts, have their meanings known to us intuitively, but also ones that are regulated by law, and in each of these aspects as a spokesman, I am from standing by the rights of the child. I also pay particular attention to children with disabilities and to the promotion of children's rights. The Ombudsman's activities are clearly supported by the Ombudsman's Office. From technical and administrative information In 2019, I took steps to prepare a new seat for the Ombudsman's Office in line with current requirements and needs. In addition, in the field of business, I changed and adapted the statutes, regulations and all administrative activities of the office, since there were irregularities, for example in the field of public procurement, and it was necessary to prepare and adapt the internal rules to the applicable law. The activities of the Ombudsman and the structure of the office, the posting of workers to the various activities, are largely divided by the fundamental rights mentioned in the Act I was just talking about. Thus, family matters, matters of children and young people in court are dealt with in the office of the Family and Minor Affairs Team. These cases, new ones, were received in 2019 by the office of 1 thousand 956. From previous years there have been about 1 thousand 400, so there is a significant increase in the impact of cases. In the field of activity before family courts, because it is one of the most important powers of the Ombudsman in Poland, I have also changed the practice that has been applied so far in recent years. High Izbo, an estimated 80 to 100 cases per employee. The so-called cases. the Ombudsman's accession, i.e. the activity of the Ombudsman before the courts, was up to a maximum of 4,6. I have changed this practice because I know that the most difficult cases concerning children are those taking place before courts, and the Polish law system does not provide for a separate attorney, a child's lawyer, this lawyer protecting the rights of children is to be the Ombudsman of the rights of the child. The practice currently in force in the office is that it is the employee who must convince me that for some reason we do not approach the case and only monitor it. The principle is to approach cases, to participate actively in them. Therefore, there was a significant increase in the number of these cases by accession, several hundred of them. Another department of the Ombudsman's activities, very linked to every other department I'm going to talk about, concerns the Child's Phone of Trust. This activity continues and I consider it very important and necessary. The Children's Trust Phone is a team of employees of my office, psychologists, educators, lawyers who keep answering phones, often anonymous, and allow children, parents, carers who call on various matters. This often allows you to react in a very crisis situation. What are we talking about? We're talking about the most difficult family issues, situations that sometimes lead to suicide attempts. Reports to the Children's Trust Phone were over 23,000 last year, of which more than 19,000 were cases where advice was given. Children and young people could talk, talk, often anonymously. Of these cases, an intervention was made at the office in the case of 312 cases. The topics that most frequently appeared in these discussions concerned social conditions, the right to science, protection against violence and family upbringing. The Children's Trust Phone Team is a team, one can say, an interdisciplinary team, which in everyday work supports other teams, often also in such a way that, as part of urgent intervention in various offices, institutions are trying to obtain appropriate information. A large branch of the activity of the Ombudsman is the activity of education and education of children. The Education and Education Team... New cases in 2019 were 2,000 115 cases conducted from previous years In less than 1 000 cases, there is therefore a significant increase in the number of cases. With regard to the nature of education and education issues affecting the Ombudsman, these were matters relating to the functioning of kindergartens, schools of all types, educational institutions, individual interventions concerning the functioning of crèches, care and education centres, youth educational centres, correction centres. A large branch of the educational and upbringing team, which results from entrusting the Ombudsman with the rights of the child with additional competences in recent years, i.e. active participation in any disciplinary proceedings concerning the teacher, the educator... That's why it's the number of cases. This growth began in 2019 after the change of the Teacher's Charter. Now every disciplinary action the curator informs the Ombudsman of the rights of the child and these cases are verified by us. They were carried out, like previous years, and I continue this practice. Control regarding the state of compliance with the rights of the child in the education system. They were in a slightly modified form, adapted, simplified The effects we discussed during the committee's deliberations are set out in detail in the report, in the information. Another very important, important branch of the Ombudsman's activity includes cases in the social and administrative affairs team. There are also social matters in question, i.e. living, children. Such cases were reported in 2019 1 thousand 62 and cases from previous years were 1 thousand 306. These matters concern... One-quarter of these cases concerned health protection. Further types of cases, further notices and requests related to social benefits, in particular educational benefits 500+, with the specifics of these cases changing this year, as complaints, individual cases concerned situations from the period when the benefit was granted from the second child and in the summer of 2019 the programme was extended to all children. In this respect there were general speeches, it was suggested to speed up the examination of appeals by parents, guardians. Okay. 20 cases are social matters of a different kind, concerning social benefits, non-monetary benefits. There's also a percentage of housing and child safety. As I said, there are new challenges every year that bring us life. Last year, there were, and that's what I want to record, dangerous events in school grounds, very violent crimes. There have been at least 2 events worth mentioning: the murder of a student by a student in Warsaw and the terrorist attack in quotes, an attack not as large as attacks in the United States, but with weapons and explosives in Kujawy. Here measures have been taken to prepare a programme to secure schools and education for students' safe behaviour in schools. There were also trade, consumer, property, cases concerning the participation of the Ombudsman in appeals against the child's disability and administrative matters. Another part of the Ombudsman's activities are matters involving foreigners' children and with an international aspect. It is also about Polish children living in other countries. The Group of International and Constitutional Affairs adopted 617 new cases last year. There were 173 cases in previous years. This statistics show how many problems our countrymen are causing different legal systems during the age of significant migration. Family disputes are most common on an international basis, the solution of which requires cooperation with our diplomatic services and often, if possible, also with ombudsman's rights in other countries in order to support the resolution of a given situation, a given case. In the team of international affairs we work not only on family matters, but also on very important matters of foreigners in Poland. It is enough to add that in this respect, the employees of the Ombudsman's Office have great success in the presence of judicial and administrative proceedings, with judgments that often allow families who have settled in Poland or are in centres for foreigners, obtain citizenship or a permanent residence card and stay in Poland. These issues often relate to the situation of many years and at the same time to very large families. I'm going to refer to this case, for example, when the deportation of the Chechen family was stopped, it seems to be eight children, at such a stage that the whole family was already on the plane. We've managed to stop it. Children were born in Poland and are Poles. You have to take utmost care to solve these kinds of cases. In conclusion, High Izbo, with regard to the administrative part of the Ombudsman's office... In recent years, the statutory powers of the Ombudsman have been developed, including the introduction of children's rights. the possibility of an emergency complaint, a cassation complaint or a criminal cassation. I brought 47 such extraordinary appeals last year. Not all of them were effective, but it is important to take care to present our voice, to present a view of the rights of the child. Each of these cases that have been presented can be said to concern most aspects of social life in Poland in total. It is my practice that each individual case from one that concerns the placing of a telephone mast near the school to the most complicated cases, whether judicial or caring, whether in the field of education or the protection of children at school It goes through and through influence, and at the signature by my hands, that I am familiar with each of these matters. The scopes I was talking about here were the basis not only for taking concrete action on these issues, but also for drawing conclusions of a general nature. They became the basis for 39 general speeches last year, from each of these ranges. The general statements are presented to the High House in information. In part, these speeches have proved effective, insofar as they were the basis for legislative changes in some areas, such as educational benefits or changes in criminal law protecting the rights of the child. Allow me to draw the attention of the High House to the fact that the powers of the Ombudsman in Poland are the most extensive powers of attorneys in the world. Our Act on the Ombudsman of Children's Rights, which now, recently, on 6 January 2020 celebrated the 20th anniversary, the 20th anniversary of existence, is given as an example of the functioning of an ombudsman institution in other countries. In the countries where the spokespersons are, as well as in the countries where the spokespersons are not. A country that has no children's rights is Germany, for example. Ladies and gentlemen, High Izbo, the form of my activity in 2019 in the field of individual cases was different from the previous form, that very often myself, personally, I took part in such cases individually. I even took part in court proceedings concerning children, those most difficult cases, the most... I don't say media. 'Cause I've often tried to keep the media from knowing for the sake of peace. But the most important ones. And it is important to me that the power of the Ombudsman's defence in cases before judicial institutions is real. And I'd like to hear it. Also to the institutions of justice, to the courts, to the prosecutors, but also to the aid institutions, the ILOS, GOPS, assistants, and to my participation, to be aware of the activity of the spokesman, even personal. It helps, it shows good directions, it often supports the pace of the child's case, because the children's cases are not cases concerning a dispute about some things, objects, a ton of cement that can wait. Children's matters must be dealt with immediately, even in the enforcement of judgments. Allow me to refer now to the point concerning my actions as an ombudsman on the promotion of the rights of the child. The year 2019 was the year I visited 17 schools, 10 kindergartens, several high schools, children's homes. Over 150 meetings were held in total. I was also, in cooperation with NGOs, at various conferences. The biggest meeting with young people was the annual rally of the Association of Scouts of the Republic of Poland in Rybaków near Olsztyn, where there were several thousand scouts. About 14,000 children and young people attended meetings with me. There were competitions, meetings, promotion of children's rights. I consider it a very important part of the activities and powers of the Ombudsman to be an opportunity to award the Honorary Badge as a Merit for the Protection of the Rights of the Child. The badge shall be awarded by the Ombudsman on the basis of a regulation of the President of the Republic. Last year, I granted this badge to 15 people. I'm asking the High House to allow me to read the names of these people. They deserve this because of their attitude, their activities in various aspects, because they are foster parents or people who remind them of their right to life, artistic activities or educational activities. The badge was awarded: Ms Danuta Kuczyńska, Mr Krzysztof Górzycki, Mrs Virginia Coda Nunziante, father of Fortunato di Note, Mr Tadeusz Smyczyński, Mrs Tisie Żawrocka-Kwiatkowska, Mrs Józef Kielak, sister of Zygmuncie Bogusławie Sikacka, Mr Szymon Bolik, Mrs Maria Jabłońska, Mrs Maria Frączek, Mr Łukasz Golc and Paul Golc, Association for the Development of Children, Youth and Families, Helpful Hand and, in December 2019, Mrs Wanda Semitawska. Each of these persons deserves the highest appreciation for their activities, often carried out throughout their lives, activities quiet, secretive, individual. But let me specifically mention Professor Tadeusz Smyczyński on the 20th anniversary of the Ombudsman's institution. The award was granted on the 30th anniversary of the Convention on the Rights of the Child and on the 40th anniversary of the preparation by your professor of the Model Convention on the Rights of the Child. The Convention on the Rights of the Child last year celebrated 30 years, 40 years since the creation of the project, and Professor Tadeusz Smyczyński was one of its co-authors. Another very important element of the Ombudsman's activities in the field of the dissemination of children's rights is the granting of patronages and participation in various kinds of meetings and activities for children carried out by various organisations, institutions, schools or persons. Last year I gave 182 patrons to the Ombudsman. The Office of the Ombudsman must go with the spirit of time. This is why a new website has been created, which, I hope, clearly and at the same time, presents the activities of the Ombudsman. There are Twitter accounts on Facebook. This allows in many cases to communicate efficiently, but also to communicate with children and young people. In November 2019 as every year It's another good practice that I'm continuing to do, and there's been a celebration of the Polish Children's Rights Day, this time in Raciborz. This was the practice of my predecessors, and I continue to do so, that in the county cities, every year in another, there are celebrations organized. The celebrations were a few days old. Most schools, institutions from the Raciborza region and from the county took part in these celebrations. There were competitions, there were sports competitions. There was a summary and at the same time a joyful ending with the concert of Golec at the Orchestra. As part of my legislative work, if I may say so, I have put forward opinions on legislative proposals. The Ombudsman does not have a legislative initiative on his own, but participates in the opinion of various types of projects. Opinions concerned criminal law, administrative law, many institutions, as well as the law on public benefit activities. Last year, I was also actively involved, as the only body for the protection of rights, in the preparation of the law adopted also by the High House, probably unanimously, on the Committee on Clarification, in short, of paedophiles. I made comments at the time. And this was one of the most important and most difficult laws of last year, and at the same time not only expected and needed socially, but also indicating the existing shortcomings of the system of protection of rights in this very difficult and painful range of crimes against children. The representatives of my office also took part in the work of the Working Group on Children and Youth Safety on the Internet. The project on child safety, child protection against pornography on the Internet was presented at the end of 2019. It is subject to legislative work in the Ministry of Family Affairs and the Ministry of Digital Affairs. The project was widely commented and at the same time agreed with many actors, including the Ombudsman and many associations. I hope that this draft will soon be presented to the High House for adoption as a law. As for the typically technical part, which summarizes 2019, I will say that the letters coming to the Ombudsman's office were 37,000 411 and the outgoing letters This shows the scale of the office's operations. Despite the fact that the Ombudsman is based only in Warsaw, without field offices, however, any case which affects the office is very carefully analysed, very reliable responses are prepared for the parties. I would like to point out that my activities, as an Ombudsman of the rights of the child, are directed, on the one hand, at this daily tedious, antical work on a case-by-case basis, not only those reported directly to the office, but also those from media reports... Not everyone has the courage or willingness to turn, but at the same time the situation of a child requires activity. This is the ant job. And on the other hand... This is later translated into general speeches and activities to encourage, to make the law follow life as soon as possible. 'Cause that's how the law follows life. To counter events that are negative for children. For the activity of the Ombudsman is the activity of the one who speaks on behalf of those whose voice is not heard, those who are often considered not to have a voice. This is what the spokesperson does: speaking on behalf of someone. Notes about the state of compliance with the rights of the child in Poland in 2019. Office activity is one thing, and analysis and translation into general speeches and to verify how much we have done for children and what we have not done yet are these comments. The need to respect the rights of a child is our natural duty. There doesn't have to be a constitution, a convention. Just as people, as citizens experienced and sensitive... For example, the fact that the Convention on the Rights of the Child was established in Poland is an expression of our sensitivity, our, Poles, experienced by various events of the 20th century. It's an expression of skill. And the law... At the same time, however, the rights of the child are not fully codified in any of these rights. It can be said that the most important concept of children's rights, which is the child's well-being, is also not codified anywhere. There is no legal definition of the child's welfare. That's why I'm sometimes asked what the child's welfare is. I've been thinking about it for a long time, all the time. It is indicated in every court decision, in every case concerning social rights. Today there will probably be a few thousand court cases and every judge will be looking into the welfare of many children today. A total of thousands of children. Suffice it to say, there are about 0.5 million children cases in family courts every year. Therefore, in my comments on the state of compliance with the rights of the child, I would like to first remind and highlight the unresolved case, which is in conflicting Polish laws. On the one hand, it is reminded by me of the law on the right to life since conception, I do not say truism, I do not mock anyone, I just remind myself of the law in force in Poland and on the other hand there are laws that are in force, which are the right to life, that is, the more important law, they violate. I am talking about contradictions in the provisions of the 1993 Act on family planning and protection of the human foetus as regards at least the admissibility of abortion during the prenatal period. And in this respect, in 2019 I joined the Constitutional Tribunal as an amicus curiae to the request of some of the parliamentarians. In this respect, I support various legislative initiatives, including citizens' initiatives, and I do so also in 2020, and I keep reminding you. I note positive legislative changes in 2019 for children, such as this element that I have already mentioned, namely the extension of the 500+ programme, i.e. State support in raising children For all children. It is a good movement, indicating once again the sensitivity of the Polish state to the personal situation, the situation of decent social conditions of children. An important aspect of the summary of positive legislative decisions is the adoption of a law on the commission for paedophiles. And this may be a small element that is worth mentioning, because together with the High House we had a part in this... In the autumn of last year, exactly in August and September, when the projects of the new tax matrix were presented, and some parents raised comments and concerns about raising the tax burden on gluten-free products, as we know, now more and more children have these problems in our society and must adopt special types of milk or gluten-free products. One of the two amendments made by the High House to the matrix, concerning the fact that this tax was not increased, proved to be effective. It was accepted by the Sejm. However, so far there have been unresolved problems in the field of law and legislation. First of all, when it comes to education and education, I pay attention to the events of 2019 in which the teacher strike took place. However the catch of our democracy is the right to strike and that it is constitutional law, but in the form in which it existed last year, i.e. the closing of schools for 4 weeks, it was the moment of the complete exclusion of the education system for several million of our children. In my opinion, in this formula, constitutional law, which I absolutely agree with, but carried out in the same way as last year, is incompatible with another constitutional law which I have a duty to protect and which children have, that is, the right to learn. In this respect, I believe it would be important for the Constitutional Court to respond, which of these rights and in what form should take precedence. In addition, I point out that matters concerning the organisation of youth educational centres or those concerning children with decisions on the need for special education are still pending. In the area of juvenile law, current legislation should be introduced for the sake of our social development. The Juvenile Act is from 1982, it does not conform to current needs. There's a project ready. I hope that it will be adopted during this parliamentary term. It will help a great many children, perhaps not hundreds of thousands, not millions, but the most affected, lost, abandoned ones that the state deals with by virtue of its constitutional standard, among others. also to minor mothers who are in different centres and are often separated from their children. And my concern is that the bond of motherhood, the bond of parenthood, should also be in this situation. Another important aspect that I am calling for and pointing out as an unsolved one, where it is necessary to supplement it so that we can say that we are even better protecting the rights of the child, is the issue of improving the activities of family courts, and especially the introduction of the so-called. Alimony immediately or family mediation, informational proceedings. I refer to these tens of thousands, hundreds of thousands of family cases before the courts. Let us be aware, High Izbo, that every such thing concerns a child. Every kid like that knows about this case in court. Each child sees a dispute between parents and carers. And unfortunately, in such a spirit, it is raised and shaped. The less litigation, the more mediation, the more conclusively they will be settled, the better it is for the child's sake. Therefore, I trust that the draft law from the previous term of office, from Seym Printing No 3254, which, as in many cases, was supported by a broad political framework, will be implemented as soon as possible in this term. He will improve court proceedings, he will reduce the number of these most difficult cases, speed up these proceedings. The issue I mentioned earlier is very important about the participation of the Ombudsman's staff in the work of the team and the draft restricting pornographic content available to children on the Internet. I also made a legislative proposal to extend the powers of the Ombudsman. High Izbo, I can represent children in almost all cases, administrative, civil, family, inheritance, but in cases where there is the greatest crime, murder, rape, criminal cases, the Ombudsman of the rights of the child does not have such powers, and criminal proceedings do not provide for a lawyer for the child. The most vivid example of the fact that these powers would be needed to help the justice system, alongside the prosecutor, to remind the child of the welfare of the child, is, for example, a case from Łódź, appalling everyone, where the court reduced the sentence for brutal rape of a few years old and crushing his head from 25 to 15 years old. There was no child's voice in this case. I can only proceed at the stage of the cassation, and I'm filing this cassation, but for such a brutal crime and not remembering the harm of this child... Prevention, when it comes to other children, against whom, as we hear, a crime is being committed somewhere, must be spoken in the courtroom. It's supposed to be preventive for the future. That is why I am asking for provisions to extend the powers of criminal law to help the victims of minors and children. Additional, such very specific are my speeches concerning the proper hearing of children in courts, that this should be done not in the courtroom, but in the so-called. friendly rooms. We as Poles can be proud here, Poland can be proud because it introduces this standard in one of the best aspects and most of all in Europe, we are an example for others. But at the same time, we cannot rest on the laurels, because the laws formally concern criminal proceedings, and family courts use these rooms at once. I think it requires statutory regulation. Social, social and health issues. It could be said that developing and monitoring the activities of urban and municipal social assistance centres is one thing, but there are things that are only a few a year, but are very painful. About that. I spoke at the joint committee meeting, but let me remind you. Situations concerning the issue of child birth cards or the birth card of a dead child or the disposal of these documents are still not regulated. And these kazuses are the most painful. One quote, in this regard there was a general speech, I look forward to the response of resorts, health and administration, but also digitalisation. This is what the Ombudsman of the rights of the child meets with every day, these are matters that he analyses and implements immediately. A young girl writes a letter by hand. Friday, sometime this afternoon, I'm reading this letter. I think it was around 12:00. or 1 p.m., and often in the consciousness of state offices it's about to be a weekend or already is. And I'm reading from this letter that this girl had a baby, prematurely, somewhere in the city, in the store. Ambulance is here, one is here, they're resuscitating, they're taking them to the hospital, the baby's still alive. They're being taken over by the second team, but before they get to the hospital, the baby dies. And this mom writes to me after two weeks that she can't bury this baby because she has no paper on it, no birth certificate issued, no act issued at the civil status office, no documents handed over, no PESEL. And yet that little boy was alive, he was human, just human. On that day, although it was Friday, we managed to discipline, to put it mildly, the health care team and the civil status office, and supervising them to some extent the department of the voivodeship office, including that they kindly wait for this girl, who on Friday afternoon must travel the entire blocked city to obtain these documents. Because you can, you just have to want. And it was supposed to be that he was supposed to pick up the baby on Monday so he could bury them properly. There's no recipe, there's problems, or at some point there's a human anesthetic somewhere. And the health care that I thank for doing this, because it's their job, and I have the utmost respect for her... Only then he comes into the paperwork, and the paperwork in the collision with a man shouldn't matter, not even in the collision with such a small man. High Izbo, the question is, what should the Ombudsman do, what is the purpose of the Ombudsman's activity? Our goal, and mine as a representative of the children, should be to raise our children to be good and righteous people. Thank you very much. [[Applause]] [[The meeting is chaired by Deputy Marshal Bogdan Borusewicz]]
ParlaMint-PL_2020-09-11-senat-15-2.u5	Thank you, Mr. Spokesman. Would any of you senators like to ask the Ombudsman of the rights of the child, Mr. Nicholas Pawlak? [[Child Rights Ombudsman Mikołaj Pawlak: From the spot, right?]] Mr. Spokesman, if you don't mind, come back. Senator Alicia Chybick. There you go.
ParlaMint-PL_2020-09-11-senat-15-2.u6	Mr. Marshal! Dear Senators! Mr. Spokesman! I have the following question: in accordance with the Convention on the Rights of the Child, ratified in 1991, will you take care of, and take care of, every child, regardless of his religion, skin colour, sexual preference, origin? That's the first question. And question two, related to it. How many children of another faith The Catholic faith is common in Poland. In 2019 the Catholic faith came to your office with problems? Question three. What kind of experts do you use... I'm gonna need names. I'm gonna need a written answer to that question. There was always a council in front of the spokesperson for the rights of the child. What kind of advice is that at the moment? Does she even exist? And what kind of experts do you appoint in various cases? Well, of course, I'm most interested in medical matters. And another, last one, question. You said and wrote at the beginning, in the preamble of your summary, that the child has the right to be raised in the family, and the parents have the right to raise this child according to their own tastes, according to their own education. And my question. According to the Convention on the Rights of the Child, this child is a small man. You are the person who should defend him always and everywhere, also from parents who are of the margin, who are miscarriage to this child, who break his moral, mental and any other spine. Are you doing this? Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u7	Thank you, Senator. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u8	Thank you. Dear Marshal, High Izbo! Dear Senator, As far as the first issue is concerned, I do not differentiate between children, I do not ask children about the color of the skin, nor about religion, nor about origin, nor about nationality. Examples? I was in the case of a Russian who came from Sweden by transit, it should not be our Polish case at all, because he left Sweden and returned to Russia. I also defended a Swedish boy who flew from Sweden to Poland, I don't even know what religion he was, I didn't ask. I was also defending the Chechen family. They are Muslims who managed to take them from the plane and bring them back to the resort. They had jobs, they had centres, they had schools. The boys were wrestling representatives, they had medals, excellent accomplishments, and I don't think these trophies would fit on this table. I defend my children the same way when there's one march or another, and a parent with a baby on his hands is standing in front of a police cordon. I'm also defending this child, and I'm also taking part in an ongoing investigation into the protection of this child. I defend my children when someone eats on You Tuba or on some other channel... when they put something on the Internet, urges children to do something, solicites them and urges them to use vulgarity, spits on different people. I approach each of these matters regardless of my views. Not only do I not ask about opinions, but I also think that they don't matter at all here. It's important that the child is not demoralized, depraved. Children of another faith. That was also the answer to that question. I don't know, Mrs. Senator, how many children of faith have come to me. There's no paragraph, no point in asking children about religion. As I said, every aspect, every form of action, every action against children is analyzed by me, and in each of these cases I participate. I will answer the question of experts in writing. At the same time, I ask you kindly to accept such information that the Ombudsman of the rights of the child is a single institution in some way, a function entrusted by Parliament, by both chambers, by a constitutional body. The office itself, the office has the form, you can say, the authorship, which is why not everything that used to be, I will continue to lead. At the same time, good practices, which I have talked about a lot today, such as the Children's Phone of Trust, various kinds of meetings, activities, are being continued. The last part about the worldview. Here I'll refer basically to my general answer. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u9	Thank you. Senator Jolanta Hibner.
ParlaMint-PL_2020-09-11-senat-15-2.u10	Thank you very much. I would ask you to answer all my questions in writing. You mentioned in one of your meetings with the editors that children who are lost, emotionally unstable, are given drugs from school educators that are used to change sex. First of all, I'd like to know what these measures are. I would very much ask for that information. Has there been a report to the prosecutor's office on those school educators? How many cases were there? If there hasn't been a report like this, why? Have they reported to your parents whose children have changed their sexes? Was there an organization involved in this matter? This is very interesting. I have a granddaughter at school, and I'd like to know something about it, and I'd like to hear about these very interesting things. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u11	Thank you, Senator. There you go, Mr. Spokesman.
