Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u1	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u2	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MarekBorowski	Borowski, Marek	M	1946	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u3	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u4	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	-	-	-	-	KrzysztofKwiatkowski	Kwiatkowski, Krzysztof	M	1971	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u5	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u6	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	JacekBogucki	Bogucki, Jacek	M	1959	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u7	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u8	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	JózefŁyczak	Łyczak, Józef	M	1952	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u9	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u10	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u11	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u12	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u13	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u14	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	JerzyWcisła	Wcisła, Jerzy	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u15	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u16	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanZdrojewski	Zdrojewski, Bogdan	M	1957	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u17	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u18	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	KrzysztofSłoń	Słoń, Krzysztof	M	1964	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u19	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u20	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	Opposition	Centre-left to left	WojciechKonieczny	Konieczny, Wojciech	M	1970	
ParlaMint-PL-en_2020-10-14-senat-16-4	ParlaMint-PL_2020-10-14-senat-16-4.u21	Report of the session of the Senat of the Republic of Poland, Term 10, Session 16, Day 4 (2020-10-14)	2020-10-14	Upper house	10. kadencja Senatu	16. sesja Senatu	-	4. dzień sesji Senatu	-	COVID	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
