ParlaMint-PL_2020-01-22-sejm-04-1.u1	I promise. So help me God. Mr Jacek Kurzepa.
ParlaMint-PL_2020-01-22-sejm-04-1.u2	I promise. So help me God. Thank you very much. I state that Mr Andrzej Szlachta and Mr Jacek Kurzepa have taken a marriage vow. [[Applause]] Congratulations. After consulting the Seniors Convention, I decided to delete the following items from the agenda: - First reading of the civil draft law on conditions of employment in health care, print No 35, - First reading of the civil draft law amending the Law on healthcare services financed by public funds, print No 37. At the third meeting of the Sejm, he did not vote on the draft laws addressed to the citizens' committees: - amending the Law of 7 September 2007 on the functioning of hard coal mining, print No 31, - amending the Act on pensions from the Social Insurance Fund and certain other laws, print No 34. Therefore, after obtaining the uniform opinion of the Seniors Convention, I decided to supplement the agenda with items covering these votes. The Group of Members has submitted a draft law amending the Law on the departments of government administration and certain other laws, prints No 158 and No 158-A. Therefore, after obtaining the uniform opinion of the Seniors Convention, I decided to supplement the agenda by a point covering the first reading of this draft law. I propose that in the case of printing No 158-A the Sejm consent to the application of the article. Article 37 (1) (a) and (b) of Regulation (EU) No 1303/2013 4 Rules of Procedure of the Sejm. If I do not hear opposition, I will think that the Sejm has accepted the offer. I can't hear you objecting. The Health Commission submitted a report on the government draft law amending the State Sanitary Inspection Act, print No 110. Therefore, after obtaining the uniform opinion of the Seniors Convention, I decided to supplement the agenda by a point covering the examination of this report. The competent committees have submitted their views on: - the implementation of the National Programme against Family Violence for the period from 1 January to 31 December 2018, - the Road Safety Status document and the activities carried out in this respect in 2018. The Commission's posts are in prints Nos 123 and 124 respectively. Therefore, after obtaining the uniform opinion of the Seniors Convention, I decided to supplement the agenda with items covering the examination of these reports. The competent committees have submitted reports on draft laws: - the State Inspection of Plant Protection and Seed Protection, - for the protection of plants against pests. The reports shall be printed in No 126 and 125 respectively. Therefore, pursuant to Article. 95e of the Rules of Procedure of the Sejm, I have decided to supplement the agenda with points covering the examination of these reports. The competent committees have submitted reports on draft laws: - amending the Construction Law Act and certain other laws, - amending the Act on the commercial quality of agri-food products and certain other laws, - amending the Law on support for rural development with the contribution of the European Agricultural Fund for Rural Development under the Rural Development Programme for the period 2014 to 2020 and certain other laws, - on the amendment of the Act on the promotion of thermomodernization and renovations. The reports shall be printed in No 156, No 165, No 166 and No 168 respectively. Therefore, after obtaining the uniform opinion of the Seniors Convention, I decided to supplement the agenda with items covering the examination of these reports. In these cases, I propose that the Sejm consent to the application of the article. Article 44 (1) (b) and (c) of Regulation (EU) No 1303/2013 3. If I do not hear opposition, I will think that the Sejm has accepted the offer. I can't hear you objecting. The Sejm Bureau proposes that the Sejm should listen to the five-minute statements on behalf of the clubs and the circles in discussions on all items on the agenda. If I do not hear opposition, I will think that the Sejm has accepted the offer. I can't hear you objecting. I would like to inform you that the Seniors' Convention unanimously gave an opinion on the proposal to consider information on the Small ZUS Plus programme, the Law Friendly Package and other facilitations for entrepreneurs, which was proposed by the Parliamentary Club Law and Justice. The agenda items of this meeting will be dealt with in accordance with the order adopted by the Bureau of the Sejm and the Seniors' Convention. Information on this matter, as well as the list of laws that the Senate adopted without amendments, is available in the Sejm Information System. Before announcing messages - formal requests. Mr Marek Rząsa, Civic Coalition. Mr President, one minute. Two minutes, Marshal. Here you go, one minute.
ParlaMint-PL_2020-01-22-sejm-04-1.u3	Mrs. Marshal! High Izbo! On the basis of the article. Paragraph 184. 1 and 3 paragraph 1 of the Rules of Procedure of the Sejm I request a break and a call of the Seniors Convention in order to extend the agenda by informing the President of the Council of Ministers about the dramatic situation in Podkarpacie, and the case concerns the Podkarpackie Cooperative Bank in Sanok. Although this matter is included on the agenda, I believe that its importance requires that the Prime Minister present this information here. Okay. 90,000. individual customers, 8,5 thousands. companies and 34 local governments - from day to day these entities have lost their financial resources, they have been deprived of it. While individual funds are still secured - in addition to the shares and bonds that have been lost - local governments and large companies lose around 43% Your resources. The region of Przemysł loses 3 million, Sanok - 4 million, Zarszyn - 1300 thousand. Social, investment, education programs are at stake. We want to know what the government (the bell) will do to help local governments and large entrepreneurs in this difficult situation, so I ask you to extend the agenda. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u4	Thank you very much, sir. As you yourself have admitted, this is already included on the agenda, in questions on current issues. So... Yeah, but... Mr President, we also discussed this at the meeting of the Senior Convention and the Sejm Bureau. I suggest that you, however... Nevertheless, the motion is sustained. Thank you very much. Where's the Prime Minister? The formal proposal is made by Marcin Kierwiński, the Civic Coalition. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u5	Dear Marshal! High Izbo! I would like to ask for a break and call the Senior Convention to add to the agenda a point including information from the President of the Council of Ministers regarding the situation at the Central Anti-corruption Office. Information about theft, thefts at the Central Corruption Bureau that come to us, is shocking. Information about the fact that in a specialized special service to protect taxpayers' money is missing money, that money is being raised from there, is something that shows the scale of the state's distribution under the current government. [[Applause]] However, that is not what is most worrying about this matter. The most worrying is that there is no official information on this issue by the President of the Council of Ministers. This is a matter in which the Polish State should react immediately. What, on the other hand, do we hear from the ministers of the PiS government? We hear from the CBA spokesperson that everything is fine, and from Mr Ziobra we hear that the prosecution is underway. [[♪ The bell ♪]] It is time to cut these speculations so that Prime Minister Morawiecki can explain what happened at the CBA. Is it true that Minister Bejda resigned? Thank you, sir, thank you very much. Was the money actually stolen? Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u6	Thank you very much, sir. Mr President, this matter was discussed at the meeting of the Sejm Bureau and the Senior Convention. I would like to inform you that this issue is on the agenda of the Special Services Committee, because some of the information is confidential, and in current questions. Yes, thank you very much, sir. Stealing is classified? Everybody knows. The question will be... The formal proposal is made by Mrs Wanda Nowicka, Lewis. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u7	Mrs. Marshalkini! High Izbo! [[Joy in the Chamber]] I'm filing a formal motion for a break and a convocation of the Seniors Convention because of the scandalous GetBack scandal. The scandal, which our financial institutions had known about for almost two years, caused the loss of almost PLN 2 billion 500 by more than PLN 9,000. People. Over the years, nothing has been done, which is more than that, when the committee was doing this, people, society, citizens, those who suffered damage as a result of this scandal, were not allowed into the O.R. What's going on? How can you keep quiet about such a thing, not inform about it? If it wasn't for the NIK report, we wouldn't be dealing with this case at all. So, please, Miss Marshal, please include this item on the agenda. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u8	Madame, you should know the rules of procedure and know that this is a non-regulatory proposal. It was not submitted at the right time, which is why I cannot put it to the vote. Thank you. Mr Robert Winnicki from the Confederation is making a formal request. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u9	Mrs. Marshal! High Izbo! On 19 January, the judge of the Constitutional Tribunal, a law professor, a person of great authority in the legal community, Professor Grzegorz Jędrejek, died. I ask you to honor his memory. [[The Gathered Rise Up]] Give him eternal rest, Lord... ...and let eternal light shine upon him. Give him eternal rest, Lord... ...and let eternal light shine upon him. Give him eternal rest, Lord... ...and let eternal light shine upon him. May he rest in eternal peace. Amen. Thank you. Why don't you put some more clothes on?
ParlaMint-PL_2020-01-22-sejm-04-1.u10	Thank you, sir. The formal application is submitted by Mr Krzysztof Gawkowski, Left. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u11	Mrs. Marshal! High Izbo! I propose a formal proposal to convene the Senior Convention, to interrupt and include on the agenda the information of the Minister of Family, Labour and Social Policy on work on increasing pension and pension benefits. In recent weeks, meetings of the Social Policy Committee held between the Sejm meetings were examined by the Left project on increasing pension and pension benefits to a minimum of PLN 1600. It was rejected, despite the fact that representatives of Law and Justice in the election campaign repeatedly said that these matters would be regulated systematically. E.g. President Magdalena Beyat was called off as head of the Social Policy Committee. There is no consent for us not to help seniors and pensioners live a decent life, especially since such assistance concerned campaign announcements by the president of Jarosław Kaczyński and Prime Minister Mateusz Morawiecki. I therefore ask that this item be included on the agenda. Thank you very much. [[Applause]]
