Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U1	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U2	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U3	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U4	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_mälberg_19700426	Mälberg, Meelis	M	1970	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U5	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U6	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U7	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_mälberg_19700426	Mälberg, Meelis	M	1970	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U8	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U9	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	u_tiidus_19540606	Tiidus, Urve	F	1954	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U10	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U11	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_mälberg_19700426	Mälberg, Meelis	M	1970	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U12	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U13	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_mälberg_19700426	Mälberg, Meelis	M	1970	
ParlaMint-EE-en_2016-12-08	ParlaMint-EE_2016-12-08_U14	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 08.12.2016, 10:00	2016-12-08	Unicameralism	XIII Riigikogu	IV regular session	-	2016-12-08	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
