Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U1	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U2	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_talvik_19640613	Talvik, Artur	M	1964	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U3	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U4	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_ott_19760502	Ott, Anneli	F	1976	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U5	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U6	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U7	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U8	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U9	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_must_19510325	Must, Aadu	M	1951	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U10	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2016-10-13	ParlaMint-EE_2016-10-13_U11	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Thursday, 13.10.2016, 10:00	2016-10-13	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
