ParlaMint-HR_2018-12-05-0.u101849	Thank you, time. Mr. Marko Vučetić on behalf of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u101850	Dear colleagues and colleagues, from the debates we can certainly conclude that we are in a post-modern world. The postmodern world is a world where there is no one unique truth but there are many truths and everything is dispersed, everything is in a fragment. In order to explain how the fragment works and how we live in the story we carry and which we create in a fragment, I will try to adapt and tell two stories from the level of some kind of politics. Let's imagine the first story, imagine a country and call it the Republic of Croatia. It is a state in which the Constitution, in which the laws apply, is a state in which the laws and the Constitution are established in institutions, institutions serve as citizens, they protect their freedoms and protect their dignity because politics in the story of this fragment or in this narrative is the real power that ensures just the freedom and dignity of citizens and the functioning of the right. In this story, in this Republic there are institutions, there are functions that the administrations are all subordinated to this starting point. We also have a president of the Republic of Croatia who cares for the regular, orderly functioning of the state government. On the other hand, we have another story and let's imagine now a state, which we can call a pair of Croatians. It's a country where the president is not the one who cares and keeps the state order. This is not a state where there are institutions, but there are many affairs. These affairs, we can title here with one code name. Let's imagine calling these affairs a SMS affair. This affair is an affair that constructs innocence and constructs guilt. There is no institution, there is no law and there is no Constitution that will take care of real truth, real rights and real citizens. But there is a constructed reality, which corresponds to a constructed guilt and which corresponds to a constructed innocence. There are no citizens like those who are visible, but there is only a trace of the affair. If we now introduce a new syntagma, which is the syntagma of criminal proof of innocence, it is quite clear that in that first imaginary country, the state we call the Republic of Croatia, that the precedent of innocence refers exclusively to the citizens. The President-in-Office of Independence cannot, for example, refer to a president who cares and maintains the regular functioning of the state government, because if the president is in the context of this, it is necessary to activate the precedent of innocence, then it is clear that the affairs have also been affected by this important segment of what should safeguard the existence of this imagined world. So, the post modern world is a world of stories. Every story has a certain age, but every story has its own certain life, the life of the first world already told by the Republic of Croatia, is the life in which there is the safety of citizens, in which there is the reality of political power, in which there is protection. The insecurity of the second world, the imagined pair of Croatians, is the security in which there is no sign of an affair, but there is the legality of an affair and of an affair there is that horizon that peels the world of this story and which chokes the nausea of the development of civil society. But as I said at first, citizens have the ability to create their own stories, every 4 years they can choose the story that they will live but regardless of the chosen story, they can choose a fragment of their own life from which they will realize that the precedent of innocence applies to everyone except those who guarantee the orderly functioning of the state government. Thank you.
ParlaMint-HR_2018-12-05-0.u101851	Thank you, too.
ParlaMint-HR_2018-12-05-0.u101852	Representative Tomislav Zhagar also reported for a position on behalf of the Club.
ParlaMint-HR_2018-12-05-0.u101853	Thank you, Vice President of the Croatian Parliament, dear colleagues and colleagues, representatives of the government. At this address I was encouraged by a news story that appeared in the media the last days which was actually when I first saw her very encouraging, I was glad, the news read: “The great giant in the production of the car Hyundai not only cars, but it will open its own plant in Varazdin” and not only in the production of auto parts but in the production of complete cars. Very good news, I was happy. Yesterday, Minister Horvat made a statement to the public that the news is actually not known how it got into the media, the truth that some, according to his, some letters of intent were sent to him, he listed 5 gigants in the automotive industry and did not deny or confirm that contracts were being conducted with Hyundai. But why am I saying that? I'd like to point that out from another aspect. Namely, I come from Virovitica-Podravska County, if we take the centre, but not the administrative center of Virovitica, but the geometric center of my county then to the nearest highway we have 100 kilometers. In an amendment that MPs, the ruling representatives handed over to the government, it accepted the truth something is speeding up the construction of so-called. Subravan ipsilon, i.e. fast roads from Vrbovac II. According to Bjelovar and further towards Virovitica, the part to Ferkashevac was made. What I want to tell you to the Croatian public, the speed to which that road is built will not be enough. Namely, the pace that the population leaves the Virovitica-Podravska County is far higher than the pace that the road will be built. And that is why it is important to warn the Government of the Republic of Croatia that for this county, of course, I believe that many other counties have a problem doing everything to do. We in three cities, only three cities in three cities in our county, Virovitica, Slatini and Orahovici invested considerable resources to create industrial zones. And it occurred to me who will come to Slatina to invest if she has a chance in Varazdin, not diminishing the value that she should invest in Varazdin, and any such news is welcome. For the illustration, I will tell you this, in 2017 from Slatina moved abroad 260 citizens, 260, from Virovitica 265 and it speaks little of how the east of the county, how we go east more and more people are moving because Slatina by the number of inhabitants is almost twice as small as Virovitica. And do you know how many residents have gone? 70 of them, more than 10% of the population of a municipality. These are the serious things that we will have to face and, of course, the state must do everything by discharging entrepreneurship through attracting investment and then by the competent ministry, in this case the Ministry of Transport and the Croatian Roads, so that projects like this can be speeded up so that tomorrow this news will be for Slatin, to make me, the people happy and to keep our people here. Thank you.
ParlaMint-HR_2018-12-05-0.u101854	Mr Tomislav Žagar represents the position of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u101855	Thank you, Vice President of the Croatian Parliament. Dear colleagues and colleagues. So in this country everyone needs to do their jobs, workers should do their jobs, trade unions, their governments, and we MPs can do their jobs again, warn about what's wrong, and in this case we must warn ourselves to get back to those first, that workers and when they want to get their job back can't do it, not by their own fault, but by the guilt of those who led it and who are responsible for it. On this break I was invited yesterday's inscription on one portal, the title is the following, unheard of, the leaders of Brodosplit, were secretly involved in the fate of the Oily Group. As the Voice of Istria exclusively learns, the Shipyard of Brodosplit Tomislav Devljak, the internal affairs of the Oil Group were directly involved, thus jeopardising the business interests of the pulse company. Namely, the proposal for two excerpts of 3 May from the Group's Oil Group, which was reportedly composed by workers from Rijeka, was fully designed on Brodosplit. What we can almost safely conclude at this point, Croatian shipbuilding not that it sank, it seems to have hit the bottom. But I'm saying this from this fact, if you see n in this portal, it says one word here, yesterday said the president of the Parliament in the Croatian version, the word advent or arrival. In fact, at this point, 3,000 shipbuilding workers in the Oily Group work 12 months. without any guarantee, without any reason to get it paid. In 9, 10, and 11 months. they received minimum salaries there guaranteeing them, however, for the 12th month. There's no more. I won't go back much now, there was an opportunity and I won't interfere with the Minister's work and what the Government of the Republic of Croatia has to do with whether there's a strategic partner, so there's no strategic partner, so how did Uljanik Grupa help 3. May, so she sucked it in, so the internal loans were going from 500 to 600 million kn, let the other institutions deal with it. I just want to find out that the condition in which the shipbuilding workers are located is not good. Or break it up by the Minister, maybe a bankruptcy from a condition like this where they don't even know what's going to happen tomorrow. What are the facts? Let's go back to that loan, and we can find the data in the media, a 600 million-dollar loan, it's not back to 3. Maya. All the repromatter that could have been pulled out of the shipyard was dragged to the Ulnik, speaking from the shipyard from 3rd. The Maya of Rijeka. Only personnel work, workers leave daily, and be careful that they are qualified workers, workers who will not be on the Croatian market soon. The shipyard was rescheduled with state money, the new one was transferred to the Uljannik, and now it's a rescheduled shipyard. Ships, paints 733 514 in excess are almost 60% but have been standing for months, all the burden will fall on the back of the state and, of course, the advances will be paid to the boaters. What is most important is that of the 1.12 workers are coming to work, they are currently on strike, but there are no minimum wage payments for them anymore. Therefore, the Government of the Republic of Croatia must do everything it can or indeed have the restructuring programme launched, to enable workers to continue working or to end this agony in which they are currently working without any guarantee, that they will get paid for it. Here I am now mentioning at this point only shipbuilding workers, of course it is a multitude of related companies, cooperatives, who have also not received their claims. Thank you very much.
ParlaMint-HR_2018-12-05-0.u101856	Thank you, too.
ParlaMint-HR_2018-12-05-0.u101857	We move on to the next presentation of the position, dear colleague Marko Vučetić on behalf of the Club of Representatives of Independents.
ParlaMint-HR_2018-12-05-0.u101858	Dear colleagues and colleagues, this year we repeated the same data, which means that we have not implemented public policies or planned, which is that 20% of Croatian citizens remain at risk of poverty. This information should be the data that should be at the level of our other self, the one that constantly warns us and warns us that all the decisions we make and all the strategies we are considering and the laws we are discussing should be in the function of reducing and reducing this percentage and this number and the real number of citizens who are exposed to poverty. Let's not think that this is one piece of information that can be in the area of our insolence, this is a data that needs to be strongly involved in all of our forces that are capable of solidarity and root out the problem. Because the problem of poverty isn't just the problem of the economy, it's not just the problem of every particular person of our citizen in the social exclusion situation, it's the information in which this country, this country, is being taken away from democracy. The poor citizens and citizens who are exposed to an increased risk of poverty are those who are directly kidnapped by democracy because they are unable to participate in the processes because of poverty and social exclusion. What is called hope in the literature, mostly literature that belongs to the philosophical and theological fields of scientific discourse, is closely related to this population with these citizens. For what? Because the poor are poor because they have been made poor, what brings people out of poverty through solidarity is effective laws, they are strong social policies, strong social measures in which we will make sure that people have knowledge and environments that will enable them to overcome their poverty and thus lead to a stronger and stronger growth of democratic processes in the Republic. What we saw in today’s example when we discussed the Law on textbooks. The Law on textbooks, if observed from the level of poverty, we have seen a good initiative, and this initiative is that Croatian students and students in the Republic of Croatia are those who will follow the trends of the modern world, which are trends in digitisation. The reality of Croatia is that at least 20% of poverty went to schools, in structures, we have schools that do not meet the conditions of the 21st century, we have laws that want to meet the 21st century but also have one mental blockade and the inability to face what our policies are doing. In Croatia we have 555 municipalities and cities, we have 555 mayors and mayors and mayors and the mayors will have no problem saying they have poor schools, schools that do not meet standards, but will not question their own status. Here we now have the mental poverty of the mayors and mayors, we have mental poverty policies that are unable to understand that poor schools in Croatia and poor citizens are the direct consequences of poor mental intellectual Croatian policies that are unable to understand that what we are bringing today and what we are thinking about today and we are discussing will directly affect the quality of life of our citizens. And the quality of our decisions is that today 20% of our citizens live at risk of poverty, we produce them, we take democracy, we take democracy, and out of the total number of older populations, 28% is at risk of poverty. That's what the attorney general says, but we don't listen to it, which is why we live in intellectual and political poverty produced by real structural poverty in Croatian society.
ParlaMint-HR_2018-12-05-0.u101859	I thank my esteemed colleague, Vučetic.
