ParlaMint-HR_2018-03-02-0.u66330	Dear comrade Grmoya, here you go.
ParlaMint-HR_2018-03-02-0.u66331	Dear Vice President, I'm looking for a break on behalf of the MOST Club on the topic of the current political situation.
ParlaMint-HR_2018-03-02-0.u66332	Thank you very much. Dear colleague Ivan Pernar, please.
ParlaMint-HR_2018-03-02-0.u66333	I am looking for a break to warn you about the way the Croatian Parliament works and that we are actually discussing serious topics in the future of the Croatian Parliament behind midnight. Thank you.
ParlaMint-HR_2018-03-02-0.u66334	Thank you. Dear colleague Bauk.
ParlaMint-HR_2018-03-02-0.u66335	Mr. Vice President, the SDP club is looking for a half-hour break to rest a little after a full-day debate in which we actively participated to present our views on the current political situation.
ParlaMint-HR_2018-03-02-0.u66336	Thank you. Do we have anyone else? Thank you very much. I'm setting a break by 12:30. Thank you very much. It's 10:00, 20 o'clock. [[CONTINUATION AFTER THE MEETING AT 12:30 A.M.]] On behalf of the Club of Representatives of the Most Independent Lists will give an explanation to our colleague Ines Strenja-Linić. Here you go.
ParlaMint-HR_2018-03-02-0.u66338	I thank the chairman. In these late hours, I think it is still time to repeat what happened today by calling a thematic session on the inaccessibility of international protection for persons who must be able to seek asylum in our country. So today we witnessed a thematic session where Croatian police presented their data and showed in fact complete insensitivity to one subject that has been present for the past months and where we get real information only from NGOs and which are terrifying. This was also warned by the Ombudsman for human rights and the Ombudsman for children, and today there have been a whole series of those who care about refugees and who should be able to seek asylum. Information that we have driven 3258 people off the Croatian border without allowing them what is necessary legally and humanely, which is that they have the right to international laws, European and Croatian laws to seek asylum. Whether or not the competent authority will reject it, it is not up to a borderline officer to decide and only without access to the right to asylum chases them by shooting at the air, shooting at their feet and making it impossible for them to access. Civil society volunteers witnessed calls in the middle of the night of a family with two and three young children of a couple of years begging to come and be present at the moment when they submit an asylum application that was disabled. So what have we become as a society? The country's security is absolutely above all, our country's security, our national interest absolutely, but it doesn't necessarily have to be in cohesion with humanity. We were extremely human in 2015, 2016, it was slowly eroding. What has happened, and who has passed such regulations that make it impossible for police officers to push people off the border so that they can't seek asylum at all? We have driven more people away from our borders than the Hungarians and what we have become. Where's our humanity? I believe that Croatia is a human country, we have shown it many times. Suddenly, we come into a situation where we have cops who drive and make it impossible for families with small children without adult escorts, without control, to return and pretend that they are not some who have the right to seek asylum. Today we have witnessed the complete impunity of those who should implement these laws, practically calling the media is that the media is guilty because they are doing a problem where there are no civil associations, the female attorneys who taxively cite situations that should make us as a country of shame. So I think that Croatia has not lost its human face, someone in this country has decided that we will be xenophobic, that we will be afraid of those who should only be allowed a warm room, a warm meal, a shelter to approach to seek asylum and then our authorities decide whether they can get asylum or not. I don't think it's going to cost us too much, and I don't think I'm showing that we're more Europeans than we are showing that we're just listening to those who ordered us to close the borders. Today it was not media, but today it was necessary to listen to how the Croatian police defend themselves and declare those who are trying to give information to the media and point to this great humanitarian problem. Children without escorts, not to mention, I've already talked about them, about children we find in the Croatian area, we don't put them in special centres, we don't provide them with help, we don't cook them, we don't put them in foster homes without parental care, we put them in juvie homes where they're temporarily abused without being able to ask for help in their own language, or psychological help, or health care, and these children pass us by.
ParlaMint-HR_2018-03-02-0.u66339	Thank you.
ParlaMint-HR_2018-03-02-0.u66340	Thank you very much.
ParlaMint-HR_2018-03-02-0.u66341	I thank my esteemed colleague Ines Strenja-Linić. Your colleague Linic announced the current political situation, article 249 norms the reasons for not approving the break, and you spoke in your explanation of the break about the contents of the work of the working body of the Parliament. So I let you talk all the time, but please don't talk about the work of the Parliament's body in the future. It reads to you in the Rules of Procedure, Mr Bulj, so read more current Article 249 b. so you will see what are the reasons for disapproval of the break. Thank you very much. We're moving on to another explanation. On behalf of the Representatives of the Living Wall Club and SNAGA's esteemed colleague, Ivan Pernar. Here you go.
ParlaMint-HR_2018-03-02-0.u66342	Ladies and gentlemen, it's been half an hour, and the debate is still going on, and you'd even dare to say the debate hasn't even started, which would mean in translation that this debate could last long in the night, the more we're more persistent today than we've ever given up on fighting. We armed ourselves with candy, fruit and other props that we need to stay to the end. Which means that Parliament officials could earn, which they do, in overtime, and that for this kind of debate at this time of night, there's really no need. So I suggest a compromise solution that, if you're tired, maybe you're not, I don't know, if you are, to postpone by, say, tomorrow morning or next week. However, if you're ready for, if you're clean, as you say by 9.30 we can actually work without a break, constantly sit as revolutionary courts in France, if necessary. As necessary. There. There's no guillotine, but there's no debate at all. And I remember when a man suggested reforming the justice system in a way... Namely, how does the court function now? Let's say, there's a debate called, then another debate is scheduled. And he suggested, in fact, that the debate lasts indefinitely until a final verdict. And so you can put all the points of the agenda here simply in the procedure and discuss without delay, rotate five presidents, or vice president of the Parliament, and you can add five more. Simple, day and night. This could be like one big-brother. And the winner is the one who remains last or better said, only question of course who will remain at the end, who will be the winner, who will turn off the light. No, the light will always be on. We'll hold out, but how will the staff of the Parliament? These people have to be at work tomorrow. Imagine if the debate lasts until 3 a.m., he must be at 7-8 here. How? So I'm saying, my proposal is socially sensitive, my proposal has been taken into account. I was just told by a colleague of the Bunyan.. He told me, Ivan, I'm the morning guy, I wake up early, my biological clock is like that, I have to sleep. I'm the one who said, "Friend of the Bun, now or never." No sleep tonight, let's get it over with tonight. This is actually a conflict of will. Who has more will. Because some think that if the debate comes in small hours, speakers lose faith, not faith, but lose the will to argue, but this timing has simply strengthened us and strengthened us.
ParlaMint-HR_2018-03-02-0.u66343	Comrade Pernar, I'd just like to ask you a little I'd like to ask you a moment. [[Intruder Pernar: You can only stop time, excuse me.]] Mr. Bulj and other colleagues, please do not disturb your colleague Pernar while explaining a break about the current political situation in the Republic of Croatia. [[Pernar: I'm listening to you all, say it.]] Here you go, colleague Pernar.
ParlaMint-HR_2018-03-02-0.u66344	I suggest that the way the Parliament works, almost uninterrupted, that the same way the government does, until all the problems in the country are solved. And I think that actually the working time of the government should be extended, and Parliament should be shortened. Because basically, the government is running that policy, and so are those ministries that are responsible for sectors that may be working badly, so let them extend their working hours until the problems are resolved, or as we say, until the proposal is discussed. That's basically the solution and I say, as long as it takes, we'll stay here. Here, colleague Maras and Bauk, I believe they are also ready for a marathon session. My colleague Mrak-Taritash and Hrelja, it seems to me like they're waiting for someone to seal their guns to participate in the debate. There you go, every good. Cheers.
ParlaMint-HR_2018-03-02-0.u66345	I thank my colleague Pernar. I'd like to ask you, colleagues and colleagues... Comrade Maras, if I may ask, we still have a breach of the Rules of Procedure before you do. I would ask you to maintain the level of debate that is appropriate to this high house and not to interfere with the speaker as he speaks. We have a breach of the Rules of Procedure. Dear colleague Ivan Willibor Sincic. Here you go.
ParlaMint-HR_2018-03-02-0.u66346	Thank you, Vice President of the Croatian Parliament. He's been injured. 238, namely his colleague Pernar insulted the unintelligent management of the work of the Croatian Parliament. I also call on too much time to discuss this subject. Thank you.
ParlaMint-HR_2018-03-02-0.u66347	I thank my colleague, Sincic. I don't think the Rules of Procedure have been hurt. On behalf of the SDP Representatives Club, dear colleague Gordan Maras. Here you go.
