ParlaMint-HR_2018-01-18-0.u65678	I'm looking for a break on behalf of the Most about the current political situation.
ParlaMint-HR_2018-01-18-0.u65679	He's a friend of yours.
ParlaMint-HR_2018-01-18-0.u65680	Thank you very much, President-in-Office of the Parliament. We're still working on the old Rules of Procedure, so on that point, I'm asking for a break on behalf of the Live Wall Club and the SNAGA to talk about the situation in Brodosplit.
ParlaMint-HR_2018-01-18-0.u65681	A colleague of the Dark-Taritash.
ParlaMint-HR_2018-01-18-0.u65682	Thank you very much. Please pause on behalf of the club GLAS and HSU on the current political situation.
ParlaMint-HR_2018-01-18-0.u65683	Stanka by 9.45, thank you.
ParlaMint-HR_2018-01-18-0.u65684	Thank you, Mr. President. On behalf of the HDZ Representatives' Club, I demand a 10-minute break on the topic of the current political situation.
ParlaMint-HR_2018-01-18-0.u65685	Is there anyone else? No, 9.45. It's 9:00.35. [[CONTINUES AFTER 9:45 A.M.]] Here you go.
ParlaMint-HR_2018-01-18-0.u65687	Thank you very much, Mr. President, dear colleagues and colleagues. On many occasions from this pay phone, I was talking about the problem of Brodosplit and through the parliamentary question, i.e. yesterday, on the topical I set in the diameter, also in writing, a few weeks ago to warn about the state of the most important industrial branch in Dalmatia, which is shipbuilding and also in Croatia. This is a very serious issue, where we Assembly representatives are reviewing reports that are orderly and which point to numerous anomalies, the accidental spending of state aid, as well as lending, non-intentional ones that are not invested in the development of shipbuilding. That's why we have the most professional personnel going from welders to engineers, designers, going to Korea, Africa, we're simply losing that industrial branch, which should be developmental. We are for the support of shipbuilding, because of the non-compliance of the contract, which was signed in 2012, I don't know, nor did I get an answer from the diameter yesterday, which the held bodies took, after several of these state audits, which we are simply discussing. In fact, all the bodies have taken over and whether the Government intends by its silence or by pilot washing hands, from the state of the shipbuilding site of Split, essentially, to wash hands of this problem and to wait for a report by the European Commission, which will simply say that the conditions for support are not met. As I said about the Split shipyard according to the State Review report in continuity, for many years it points to organisational and human resources, that no organisational and personnel restructuring is carried out in accordance with the provisions of the privatisation contract. The financial report of the shipyard is not credible, the state audit told us, the parliamentary representatives here, it also told the DORH, however, the fact is that the Shipyard Split, as the owner of their non-respecting contracts, and we are now at the edge of that simple people and that end mainly Dalmatia, which depended on the shipyard for comparison from the Dalmatian mountain, was leaving 60 buses, the morning would light up, in the morning, 6 hours, which went to work, and today only 2 vans leave. Therefore, as a centuries-old tradition, Croatia that has shipbuilding, we have to ask ourselves why the competent institution is not doing anything, which is why money is given, unintendedly being spent, which we give as state support, that people must hear and of course that one company that employed, industry 7,000 to 10,000 people, today has fallen to 2,000 people and these people today are afraid. These workers are afraid for their future, because simply when there is no state support, they will have to leave, and we cannot provide state support unless they invest in shipbuilding. This needs to be seriously discussed, so we need to focus policy on the development of shipbuilding, not on purpose providing state support. Tax taxpayers' money, for shipbuilding, and it's not really about shipbuilding. The contract required 7.14 ships to be made, so I publicly ask the owner and, of course, the competent authorities, the crossing, the economy minister, how many so far the ships have been made. We need to know that the 8 prizes of the Split Square, the shipyard, the world's, have won for the best built ships. So, we had people, as a major resource, we lose these people, our workers from Croatia can't get a job, we import cheap labour, so these support while they last, this story will last. Credits from via HBOR are granted which are simply not spent on what the contract was signed for. Therefore, I call on the government, the diameter of Plenkovic and all institutions to protect the jobs in Dalmatia, because what it means is the square, Brodoplit, for Dalmatia, for the development of Dalmatia, for all of Croatia, to simply stand by and finally start the shipbuilding. Because if people, experts, go to other countries, and the fact that they've already dried up, which is worth it in Korea, Ireland, Africa, the shipyard, theirs, I don't see any reason why I can't work in Croatia with a century-old tradition. Once again, let's save Brodosplit. Thank you very much.
ParlaMint-HR_2018-01-18-0.u65688	Thanks, buddy Bull. The second is the esteemed colleague of Bunjac, on behalf of the Living Wall's Club of Representatives and the SNAGA. Here you go.
ParlaMint-HR_2018-01-18-0.u65689	Thank you very much, President-in-Office. Dear colleagues and colleagues, I would like to refer to the presentation of my colleagues, Bulja, who spoke about Brodosplit, so I would like to briefly recapitulate the privatisation process of Brodosplit, which lasted since 2010. from Samobor, who had a share capital of 20000 kuna. In view of this, the Privatisation Commission of Brodosplit rejected the offer, due to a proven financial inability of the buyer, to realize the construction of its own fleet, and to implement the restructuring worth all together of about 6 billion kuna. Despite the fact, the new government of the Republic of Croatia, the Government of Zoran Milanovic, in 2012, annuls the commission's decision and decides that Brodosplit will be privatised, a direct settlement with the same giant from Samobor. So a shipyard worth several billion kunas surrendered to a company that had 20,000 kuna. So, please note the fact that in Croatia someone with 20,000 kunas can become the owner of the shipyard. I would like to say that the person who allowed such a settlement and who signed that privatisation contract was HNS President Ivan Vrdoljak. In addition, it was agreed that the state of the company which has 20 000 kuna of fixed capital would provide state support of one billion and a half kuna and that, among other things, the state would participate in restructuring costs and that the state would pay compensations, which is truly incredible because all these costs were to be borne by the buyer. Since the new administration had no financial, therefore the basis, but no expertise to manage a shipyard such large it has failed in the last five years to make any of the 14 ships that were scheduled and also no ship from the restructuring programme. Among other things, Brodosplit failed to build ships that had already been ordered such as ships of Dutch partners or Russian partners. At the same time, production dropped by more than 90%. Total income fell by more than 40%, and the loss of Brodosplit is measured by new hundreds of millions of kunas. The state had to pay €220 million out of budget money for severances to the workers of Brodosplit, and even though some 1000 left Brodosplit paid for 3,000 severances, it is not clear how this disproportionate happened. Currently, only 1,500 workers work in Brodosplit, and that was once the pride of the whole of Dalmatia and the pride of all of Croatia, one of which has nothing to do at all and is practically coming to work only in order. In view of such poor conditions and the wages that are systematically reduced from Brodosplit, he went almost all middle management and the vast majority of qualified workers. All of these irregularities, illegalities and crime have long since been brought by the State Review, which, therefore, counted correctly, and among other things has been notified to the DORH, the President of the Republic, the Prime Minister, the Government, the CERP, even the European Commission and many other institutions. Unfortunately, to this day, there is no concrete movement regarding Brodosplit, and Brodosplit has completely disappeared from the world's shipbuilding market. In the privatisation process, therefore, there is a reasonable suspicion of committing serious crimes such as fraud, Article 236. Penal Code, Subsidy fraud Article 258. Penal Code, illegal bargaining Article 292. Penalty law and many others. In view of the difficult situation and the obvious failure that follows Brodosplit, if this situation continues, that is, company management we propose that an emergency termination of the privatisation contract be made under one. Two, that the government of the Republic of Croatia is protesting 50 million kuna guarantees. Three, to establish criminal responsibility for all actors before and after the privatisation of Brodosplit. And four, to develop the concept of the survival of Brodosplit in collaboration with other shipyards in Croatia. Unbelievable that Croatia as a maritime country so little to worry about the Adriatic orientation. [[The incursion president: Thank you.]] Thank you very much.
ParlaMint-HR_2018-01-18-0.u65690	We're going to a third debate, a respected colleague of Mrak Taritash on behalf of the GLAS and HSU Representatives Club.
ParlaMint-HR_2018-01-18-0.u65691	Mr. President of the Parliament, colleagues and colleagues, I will not be attached to my colleague Bulji and my colleague, Bunjec. I'll probably do it by my colleague Sanader, but I'll talk and talk to this pay phone about something else. 151 MPs were elected in this assembly. We're all different from 151 people, we're different backgrounds, we're different educations, we're different ideas. But we all have something in common, and it's common that when we're chosen, we're chosen with the idea, it's our job. We're talking, we have a chance to talk, we need to talk, and we need to talk about the topics that bother us whether from the scene or from this pay phone. In the context of this, we have opportunities in the newspapers to hear that something is going to change, so while we still have a chance to talk, I would talk about something that is extremely important to all of our citizens, and somehow in the context of other problems going under the radar. The other day on Vir, which is usually a symbol of illegal construction in Croats, and when we talk about illegal construction then we talk about the Vir, there was a dissection of real estate that, the people who bought it did not properly spend it in the catastrophe and grantovnica, and the grantovnica in that part was not even there. And all of a sudden it turns out that they're left without the real estate they bought neatly, because of the debt that their predecessor made. And I don't mean to scare our citizens or anyone else. I think just from this pay phone just to warn the fact that you're taking care of your real estate, make sure that it's adequate and that everything is carried out in the cataster, that everything is carried out in the garter, because otherwise this isn't going to be one unique case. So that's what our obligation as citizens is to do. However, there is a commitment of the state, and there is a obligation for us MPs when certain laws come into practice, that we either ask that some laws be rushed or that we warn or let us tell my people we have a problem. And we in Croatia have a problem. We have a problem that our properties aren't properly recorded, we have a problem with the unsettled cadastre, the garland and the dead are cold about it for years, we say it's messy. And what are we doing? Life goes on as far as cases like this. Unfortunately, this certainly won't be a case. But these cases warn of another fact. You know, they all say that we all remember from session to session and someone who deals more with both the PR and everyone else says that voters actually remember lately. I would remind you of the debate that was held in this assembly and it was about the real estate tax. That's when we warned about this fact. The question is, who would pay taxes on, say, that property? Would tax have gone into effect on the real estate that was the subject of the confiscation and that's why everything went up,... those who are the real owners or the one who owns it before. [[The speaker doesn't understand.]] Therefore, we are talking about reforms, while ruling talks on the reforms announced for 2018, we are talking about attracting investors. There won't be and won't be until the message we've given that we haven't been able to take care of our cadastre and our garter, that we haven't been able to arrange it. And actually when you're buying real estate, you don't know whose real estate you're buying. Similarly, what I want to say from this pay phone is, according to absolutely accurate data in Croatia, 5.7% of the construction area, in these building areas with them that work entrances and roads, so everything that has been changed on the ground. I don't see the problem, and I really think what needs to be of interest is that the 5.7% construction area is being settled because it's going to be a certain way of security for our citizens and in this debate is actually an introduction to the law we're going to discuss today and which is in the first reading, it's about the Law on State Property Management to make state property so that the state and its assets can manage to know what it has. Citizens know what it has and the message is take care of the papers and the message is to allow us all the laws to be both simpler and faster than it is today.
ParlaMint-HR_2018-01-18-0.u65692	Thank you. And we're going to the last club, it's HDZ and the esteemed Ante Sanader. Here you go.
ParlaMint-HR_2018-01-18-0.u65693	Thank you, Mr. President. Here, during the current clock yesterday, questions were asked to the prime minister and the issue of the Oilies and the problems of the Oilman was updated. And I'm sure it's good to talk today through this current part of us about the Split shipyard. Because the same problems that plague the Oilman tortures Split. Namely, the two models were different privatisations, one is this Split place where Split Shipyard was privatized, i.e. taken over by private, the other was in Ulanik where workers and management took over the shipbuilding site in Uljanik. And there were good indications that the Oilman was going in the right direction. However, here yesterday we heard here and the public problems of Uljanik, the same problems practically have a shipyard in Split. And this privatisation that was made in Split obviously failed. And the fact is that for the revisions, as it is said here, that the audits made observations, that I was informed by the trade union, our Splitian and that the DORH institutions are familiar with these problems, but the obvious state of the world shipbuilding market is too complicated or very difficult to break through. The number of ships that were built in both this and such competition towards the eastern Chinese shipyards was reduced, and our ships were hard to deal with, so that the smuggling in Split and Uljanik came into the same problems. Surely this moment is too important, the shipyard in Split was a symbol of the economic power of Split and the number of employees in the shipyard, and a particular number of professional workers, highly qualified professional labour force, meaning engineers, technicians and people who carried this shipyard and we boasted with the most successful ships in the world built by the Split Shipyard or our circus, popularly called for every pride. However, today we are in a situation where this shipyard is very difficult to break into the world market. And here, I think what happened with Agrokor, something similar is going to happen, and the sign goes to what happens to Uljanika, that is to say, in the square in Split. So here, it must be an appeal to try to do everything to save those shipyards because the power of the shipyard and the power of the economy is the power of a society. So this difficult state in which they are at the moment we need to see here what can be done, how much can be included in this House, that is, our working bodies to try to find a solution for smugglers, which is not easy and it won't be easy because I say competition on the world market is too big and this is an important problem for us. So here is some and this topical and this problem that we have opened here today is the introduction to looking for a solution for these two largest shipyards on the Adriatic, which I repeat will not be easy because the problems are big, the competition world is big and it is very difficult to find its place and role in that world-wide ship-building market. So here I am, on behalf of our club, certainly joining in solving this problem and looking for a solution and trying to try to help these smugglers through the most important institutions of society and systems, but certainly not allow all these incentives to be directed towards survival and not to develop shipbuilding, which is most important at this point.
ParlaMint-HR_2018-01-18-0.u65694	Thank you, too.
ParlaMint-HR_2018-01-18-0.u65695	Mr. Pernar, good afternoon. You raised your hand. Here you go.
ParlaMint-HR_2018-01-18-0.u65696	I'd like to request a recess on the late payment to the cooperatives at Third May Shipyard.
ParlaMint-HR_2018-01-18-0.u65697	And how much do you suggest there should be a break?
ParlaMint-HR_2018-01-18-0.u65698	It'll be five minutes as far as I'm concerned.
ParlaMint-HR_2018-01-18-0.u65699	How about now?
ParlaMint-HR_2018-01-18-0.u65700	I'll do it right now.
ParlaMint-HR_2018-01-18-0.u65701	Here you go.
ParlaMint-HR_2018-01-18-0.u65702	Thank you. Dear ladies and gentlemen, although it seems that the problem of non-payment of wages in Ulanik is a problem that came up yesterday, the truth is that the problem with non-payments of salaries in Ulnik began much earlier, and it began as soon as the cooperatives didn't start paying off, when the salaries were not paid by the cooperatives. Let me give you a picture of that. Since the 9th month, many cooperatives have not received salaries. And it's the same modus operandi. And now what's going on? In Third May Shipyard, too, so they started to be late for the payments of the cooperatives and now you're probably wondering, but what makes you see the crisis already here? Because for the past four years, the shipyard received a subsidy from the state and it was a transitional deadline. In that transitional period, the Third May Shipyard could function and could meet its obligations, but since the beginning of this year it means from 1.1.2018 the shipyard will no longer, or has no support from the state. And without this state support, the shipyard will not be able to function, i.e. we will find ourselves in the same situation as in Uljanik, i.e. we will find ourselves in a situation where delays towards cooperatives will grow and at some point will begin to delay salaries for the workers themselves, i.e. employees of the Third May Shipyard itself. And for this reason, I call on both the Government and the Prime Minister not to react only when wages are stopped to pay the workers, when the strike situation appears, but to start working today, to start looking for a solution for Third May Shipyard to avoid the situation we have today in Uljanik. And in Ulanik, we have a situation where workers are desperate, they come to pay their loans, they come to pay their bills, they pay their dues, they pay their dues. Of course, they don't have a place to deal with, and they don't know what's the worst when they can. There you go, ladies and gentlemen. Thank you for your attention.
ParlaMint-HR_2018-01-18-0.u65703	Thank you.
ParlaMint-HR_2018-01-18-0.u67353	Dear colleagues and colleagues, good morning. We continue to work, the first point today is: - Proposal for a law on state property management, first reading, P.Z.E. No. 256 The applicant is the Government of the Republic of Croatia pursuant to Article 85. The Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law, the Committee on Economic Affairs, the Committee on Local and Regional (regional) Self-Government. I would ask the proposer's representative to give us an additional explanation, with us the Minister of State Property is a respected Goran Maric, please. ... [[You can't hear it.]] And now we can go back to the agenda. I urge once again respected Goran Maric, Minister of State Property to give an additional explanation of the proposal for a law on state property management. Minister, here you go.
