ParlaMint-HR_2018-07-12-0.u78396	The following will be spoken by the respected representative Željko Glasnović, please.
ParlaMint-HR_2018-07-12-0.u78397	Dear colleagues I have repeatedly warned that the money of taxpayers is spent, there is no control, the prototype of this is the bus station Zagreb, if you come down, you will see 10 gates, which do not serve any purpose. Whoever built it, picked up the money, it's standing there like a mastodon frozen in the ice. You have a rotating toilet to show the west that we're an advanced state, those toilets, they've put bars on them now, they're not used at all, you've got bad work, you've got what kind of employer that bus station is, compared to private travel agencies? Not at all. ... People are hired inside, these are old cools, high prices, poor quality works, see City of Zagreb, how to spend that tax money. [[The speaker doesn't understand.]] The wheels are falling apart, new constructions, you've got tiles over there at the Esplanade Hotel, at the fountain, someone picked up the money, went, old south fore. Here's Split, Split looks, like the favela looks Split, right there in Brazil. That you came to Brazil and Mexico at the border crossing from Mexico down, an illegal construction. I've talked here more than once about the crime about the grant, there's nothing up there. I had documents here that prove they faked in Zadar, a catastra, you have from Italian to real from the '20s. Mr. last century, and you have today on Cyrillic the same grunt, how is that possible? What do these surveillance services and inspections do? Look at this Peter hospital, the children's department, I thought I was in... When I came up, the halls... [[The speaker doesn't understand.]] Almost, in what conditions these people work. [[The speaker doesn't understand.]] I almost saw Mike Teresa out there in the hall, watching them work. No toilet paper at all. What are the conditions in our hospitals, from here to Mostar, that's scary and what to say, when you have 89% of the staff said they were attacked by foreign terrorists coming in or bored. Here, build an object for no purpose and you all know about that facility Obrovac, the clinic or that dollar, nothing still stands there who... What about Blato Hospital, where the Zagrebers have been giving since '82--'92. contribution, most of Zagreb. [[The speaker doesn't understand.]] Here, the hospital cost about 580 million marks, they built it in the flood zone, and the basement didn't have any, and where 500 million went missing. 500 million marks are gone, is that known by Joseph Leko, the gentleman who today is the Constitutional Judge, whom Racan has earned, tasked with making a financial consolidation of the party there in the '90s. And according to some data from the SK, the SDP only transferred in the '90s. She transferred $8.7 billion to bank accounts outside. What about... Slame, was there Mr. Leko the secretary, she went to ruin, and what was done there was nothing, here. [[The speaker doesn't understand.]] Where retro-active laws for war profiting are. Where are the laws on the origin of the property, how is that possible? Here, we have here from the 2006 USKOK on the hospital in Blato where the heavy money was washed. We have antiquity of prosecution. What kind of message is that to our tax-paying people, who are watching this, and we're still living in a legal anarchy? Here. As far as the football team of Croatia is concerned, everyone has now risen there to praise Mr Dalic, which is Croatia's right. The real Croatia, and it is a total prototype of Southzomboids without ethics, without morals and those in a former system where the moral ethical code has been totally destroyed. It's real Croatia, here. We won't talk too much about it, thank God they stole those English, they owed us a long time. Come on, God.
ParlaMint-HR_2018-07-12-0.u78398	Thank you.
ParlaMint-HR_2018-07-12-0.u92049	Now I would suggest that we unify the two laws and I'll read the headlines and then I'll ask you if you don't mind. - Final draft law amending and supplementing the Electricity Market Act, second reading, P.Z.E. No. 341 - Final draft law amending and supplementing the Energy Regulation Act, second reading, P.Z.E. 343 Do you mind if we unite these two laws? Those two hearings, actually? No, then we'll unite them. And I'm going to read because it's the same text, and I'm going to read the proposal for both laws together. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. The provisions of the agenda relating to the second reading of the law apply, so this is most likely the final reading of the law. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs and the Committee on Economic Affairs. Does the proposaler's representative want to give an explanation? State Secretary Ivo Milatić, please. Of course, the Ministry of Environmental and Energy Protection.
ParlaMint-HR_2018-07-12-0.u92050	Mr. Vice President of the Croatian Parliament. Respected parliamentary representatives and parliamentary representatives. So there are two laws before you, the first Electricity Market Act adopted in 2013 and amended in 2015. This law has been a letter of formal notice from the European Commission since 14 July. The European Commission identified injury No. 2017/2091 concerning the irregular transposition of Directive 2009/72 EC and Directive 2009-73... , and inconsistency with certain provisions of Regulation No 715 2009. [[The speaker doesn't understand.]] So this kind of injury was also found in this Law to be another where the debate was united. So, the Law on Change and Completion of Energy Regulatory Activities. As regards the Law amending and supplementing the electricity market or the Law on Market Energy, Electricity, this, the European Commission has drawn attention to irregularities relating to the certification of transmission system operators in relation to third countries, irregularities relating to certain tasks of the transmission system operator, irregularities relating to the request for confidentiality of data for transmission system operators and their owners, as well as irregularities relating to the provisions concerning independence of the system operator which includes the right to object to the regulatory authority. These issues are therefore regulated by the Final Proposal for Amendments and the Completion of the Law in a way that removes observed irregularities, thus changing the concept of a third country in terms of certification of transmission system operators, and certifications must be passed by companies coming from the member states of the energy community that have so far been harmonised with EU members. The obligation to protect the data confidentiality clause shall be prescribed, the transmission system operator shall be obliged to draw up and publish rules for the management and suppression within the Croatian power system, with the Agency’s agreed consent. Among the additions there is also a provision which enables the electricity producer to obtain electricity on the wholesale market for the whole operation of the reversible hydroelectric power plant. It is a provision necessary for a competitive supply of services on the electricity market, and especially at intervals when... The system itself is relieving of sudden disturbances. [[The speaker doesn't understand.]] So, by adopting this law if this happens this week, HEP will achieve both additional results and savings which are good for the general economy of the Republic of Croatia. In terms of strengthening the market and administrative redundancies, it is prescribed that households must have only one account and that two invoices may be used in the economy in the light of the choice. Indeed, the household is protected from having only one electricity bill and must be issued by those who are obliged to issue an account. So, as regards the possible changes between the two readings themselves, the working bodies of the Croatian Parliament did not have any objections as the issue of the debate is resolved by other energy laws and sublegal acts, the Law on Renewable Energy Sources, the Regulation on Energy Consensus and laying down the conditions and deadlines of accession to the electricity network, the network rules,... the systems, and as such are not covered by this proposal. [[The speaker doesn't understand.]] Therefore, according to the above, there is no difference between the solutions which are attached to the Final Proposal for the Law in relation to the solution set out in the Proposal for a Law on Changes and Supplements to the electricity market. As far as this second law is concerned, the Energy Regulation Act, as I said before, we have the same infringement as the previous law. The Commission has put emphasis here on the need to regulate the independence of agencies in any political body. Thus, independence from political bodies involves full independence from any body which can be linked to the executive authority, but does not refer to judicial and parliamentary oversight in accordance with constitutional law. An independent body to which a party affected by a decision of the national regulator or agency has the right to appeal or the action is brought by the court. That question had been discussed before in the Law, and it is now more detailed. It is also arranged to provide an agency with objective and transparent exercise of powers through decision-making from the area of competence. The Agency shall clearly monitor the suppression of the electrical energy system, either electrically or gasically. The Agency’s decisions mean that what has been said before can only be joined before the court and also information, the Agency may seek information not only from energy subjects but from all those entities that have some contact with energy, or all energy users, so that the Agency can have more complete and complete information that is used to make better and better decisions. The Agency's acts are regulated. The rules adopted by the Agency’s administrative board shall determine the conditions to be met by professional leaders and their rights, responsibilities and responsibilities. The content of the statutes of the Agency is clearly prescribed, clearly prescribed time limits for the adoption of statutes and regulations. As regards the difference between the two readings, the difference between these two drafts of the law refers to a nomotechnical arrangement such as the rules adopted by the Agency, and in the part of the alignment of the statements that the applicant has accepted. It is not accepted that the Law Committee of the Croatian Parliament does not accept amendments to the Energy Act rules of this Act as prescribed in Article. 11. In fact, if we had accepted that, the very essence of this amendment and the additions would have come into question. The essence of this amendment and the addition is ultimately that the agency is independent of the executive authority. The Energy Act provides that the authorisations issued by the Agency may be made to the Ministry, the Resoring Ministry means, to the Ministry of Environment and Energy, if they were to allow such adoption of the new Act, we would get a new infringement from the European Commission, which, as a proposaler or Government of the Republic of Croatia, does not accept such an amendment and insists that this Law be adopted in the manner proposed. That's it, thank you. Thank you.
ParlaMint-HR_2018-07-12-0.u92051	Thank you very much. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate, Mr. Miro Totgergeli is first in front of the HDZ Representatives' Club.
ParlaMint-HR_2018-07-12-0.u92052	Thank you, Vice President of the Croatian Parliament. Dear Secretary of State with associates, colleagues and colleagues, we have two laws in front of us. energy law packages. First, I'm going to say a little bit about the Energy Regulation Act. So, in these past 17 years, since the first law was passed in 2001, we have practically developed the agency from the then Energy Regulatory Council, which was not actually able to function independently, but has helped in the work, the Hrvoje Pozar Institute, to a respectable agency that, once it adopts this law, will function independently from the government, from the ministry, so we practically ensure that it works independently from any political influence. In 2012, when the Energy Regulatory Act was adopted, it was thought that it had fully complied with Directives 72 and 73 of 2009 and Regulation 713 also from 2009. However, in 2017 we received a warning from the Commission, i.e., the Commission drew our attention to the irregular transposition into the Croatian legal order of that specific directive, which concerns the independence of the work of the Energy Agency. Accordingly, this amendment to the laws is proposed to amend the provisions and independence of the regulatory authority, i.e. HERA, in terms of decision-making independently of any political body. Although Article 22 of the existing law and in a similar form, this formulation also appears in the '94 law. The Agency shall define that the Agency is independent in the taking of all organisational and other measures necessary for the smooth performance of operations and the fulfilment of obligations under this law and of other energy laws referred to in Article 1(1). 8. which defines that the agency is the only one responsible for the work of the Croatian Parliament and these articles are not changed in the proposal for this law. Most of the doubts about the Agency's work on any political body in the government are challenging an existing Article 36 which says that the Agency's work surveillance is carried out by the ministry and there is an art. 7th paragraph 5 which devines that consent to... The agencies are being given by the government. [[The speaker doesn't understand.]] The proposed law, such a formulation, the supervision of the agency's work is deleted, and the agency is only obliged to submit once a year to the Croatian Assembly a report on its work, as so far, in terms of the existing article 33, which does not change in the draft law and suggests that consent... The Croatian Parliament gives the government instead. [[The speaker doesn't understand.]] This proposal also introduces a regulation laying down the conditions to be met by professional leaders and their rights, responsibilities and responsibilities. Between the first and second readings, the Proposer accepted the suggestion, and in the article. In addition to what is changed in paragraph 1, it has changed in paragraph 4 so that it has in some way equated natural and legal persons, which in any way, have an impact with energy in what their obligations to HERA are but also on what their rights to HERA are. This law also suggests that the court is a independent body affected by decisions of the national regulator, i.e. the Agency, to which each party is entitled to appeal or action. The ministry has decided on these cases so far. And what may also be of the same importance through the debate in the reading process, therefore, this fear, who will now oversee HERA, so HERA will be supervised by the Croatian Parliament, there are independent bodies, and as far as the choices of the people who run HERA are concerned, the directive offers to be between 5 and 7 years of the mandate people choose. For 7 years, it has been moving, so that different parliamentary majoritys in different years, choose the people who lead the HERA, and thus further strengthens this independence of HERA from the influence of politics. This second law relating to the electricity market. Therefore, the proposer has initiated these amendments, above all, based on the Commission's opinion that they have been incorrectly transferred to the Croatian legal order relating to the certification of transmission system operators in relation to third countries. Then those definitions, which relate to the data confidentiality requirement for transmission system operators, but also to their owners, are in this case for us HEP, in relation to HOPS and the specifics relating to... the system operator’s administrations which include the right to appeal to regulatory bodies. [[The speaker doesn't understand.]] So this is now further regulated by these amendments and additions, and I think these two high-quality bill proposals, which on the one hand will enable HERA to function independently, and on the other hand give the CAPS independence as an operator in the transmission of systems. And I think that when we bring them in that their functioning will be even better in the relationship that has been so far and therefore the HDZ Club will support these two draft laws. Thank you.
ParlaMint-HR_2018-07-12-0.u92053	Thank you very much. There's no one else registered by traffic lights. I'm closing the debate and we'll vote tomorrow. All right, I'll give you five minutes off, and we'll wait for the proposer. Let's make sure, 10:00 and 10:00. Break at 09.52 hours.
ParlaMint-HR_2018-07-12-0.u92054	Final proposal of the Act amending and supplementing the Law on the electricity market, second reading, P.Z.E. No. 341. Proposer of the Act Government of the Republic of Croatia, the debate is closed. I am voting on the final proposal of the Law amending and supplementing the Law on the electricity market. Please, let's vote. I find that most of the votes 113 for and 1 abstentions we have brought, and one against, I apologize. I therefore find that most of the votes 113 for and 1 abstentions and 1 against we passed the Law on Amendments and Supplements to the Law on the electricity market.
ParlaMint-HR_2018-07-12-0.u92055	Now I would suggest that we unify the two laws and I'll read the headlines and then I'll ask you if you don't mind. - Final draft law amending and supplementing the Electricity Market Act, second reading, P.Z.E. No. 341 - Final draft law amending and supplementing the Energy Regulation Act, second reading, P.Z.E. 343 Do you mind if we unite these two laws? Those two hearings, actually? No, then we'll unite them. And I'm going to read because it's the same text, and I'm going to read the proposal for both laws together. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. The provisions of the agenda relating to the second reading of the law apply, so this is most likely the final reading of the law. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs and the Committee on Economic Affairs. Does the proposaler's representative want to give an explanation? State Secretary Ivo Milatić, please. Of course, the Ministry of Environmental and Energy Protection.
ParlaMint-HR_2018-07-12-0.u92056	Mr. Vice President of the Croatian Parliament. Respected parliamentary representatives and parliamentary representatives. So there are two laws before you, the first Electricity Market Act adopted in 2013 and amended in 2015. This law has been a letter of formal notice from the European Commission since 14 July. The European Commission identified injury No. 2017/2091 concerning the irregular transposition of Directive 2009/72 EC and Directive 2009-73... , and inconsistency with certain provisions of Regulation No 715 2009. [[The speaker doesn't understand.]] So this kind of injury was also found in this Law to be another where the debate was united. So, the Law on Change and Completion of Energy Regulatory Activities. As regards the Law amending and supplementing the electricity market or the Law on Market Energy, Electricity, this, the European Commission has drawn attention to irregularities relating to the certification of transmission system operators in relation to third countries, irregularities relating to certain tasks of the transmission system operator, irregularities relating to the request for confidentiality of data for transmission system operators and their owners, as well as irregularities relating to the provisions concerning independence of the system operator which includes the right to object to the regulatory authority. These issues are therefore regulated by the Final Proposal for Amendments and the Completion of the Law in a way that removes observed irregularities, thus changing the concept of a third country in terms of certification of transmission system operators, and certifications must be passed by companies coming from the member states of the energy community that have so far been harmonised with EU members. The obligation to protect the data confidentiality clause shall be prescribed, the transmission system operator shall be obliged to draw up and publish rules for the management and suppression within the Croatian power system, with the Agency’s agreed consent. Among the additions there is also a provision which enables the electricity producer to obtain electricity on the wholesale market for the whole operation of the reversible hydroelectric power plant. It is a provision necessary for a competitive supply of services on the electricity market, and especially at intervals when... The system itself is relieving of sudden disturbances. [[The speaker doesn't understand.]] So, by adopting this law if this happens this week, HEP will achieve both additional results and savings which are good for the general economy of the Republic of Croatia. In terms of strengthening the market and administrative redundancies, it is prescribed that households must have only one account and that two invoices may be used in the economy in the light of the choice. Indeed, the household is protected from having only one electricity bill and must be issued by those who are obliged to issue an account. So, as regards the possible changes between the two readings themselves, the working bodies of the Croatian Parliament did not have any objections as the issue of the debate is resolved by other energy laws and sublegal acts, the Law on Renewable Energy Sources, the Regulation on Energy Consensus and laying down the conditions and deadlines of accession to the electricity network, the network rules,... the systems, and as such are not covered by this proposal. [[The speaker doesn't understand.]] Therefore, according to the above, there is no difference between the solutions which are attached to the Final Proposal for the Law in relation to the solution set out in the Proposal for a Law on Changes and Supplements to the electricity market. As far as this second law is concerned, the Energy Regulation Act, as I said before, we have the same infringement as the previous law. The Commission has put emphasis here on the need to regulate the independence of agencies in any political body. Thus, independence from political bodies involves full independence from any body which can be linked to the executive authority, but does not refer to judicial and parliamentary oversight in accordance with constitutional law. An independent body to which a party affected by a decision of the national regulator or agency has the right to appeal or the action is brought by the court. That question had been discussed before in the Law, and it is now more detailed. It is also arranged to provide an agency with objective and transparent exercise of powers through decision-making from the area of competence. The Agency shall clearly monitor the suppression of the electrical energy system, either electrically or gasically. The Agency’s decisions mean that what has been said before can only be joined before the court and also information, the Agency may seek information not only from energy subjects but from all those entities that have some contact with energy, or all energy users, so that the Agency can have more complete and complete information that is used to make better and better decisions. The Agency's acts are regulated. The rules adopted by the Agency’s administrative board shall determine the conditions to be met by professional leaders and their rights, responsibilities and responsibilities. The content of the statutes of the Agency is clearly prescribed, clearly prescribed time limits for the adoption of statutes and regulations. As regards the difference between the two readings, the difference between these two drafts of the law refers to a nomotechnical arrangement such as the rules adopted by the Agency, and in the part of the alignment of the statements that the applicant has accepted. It is not accepted that the Law Committee of the Croatian Parliament does not accept amendments to the Energy Act rules of this Act as prescribed in Article. 11. In fact, if we had accepted that, the very essence of this amendment and the additions would have come into question. The essence of this amendment and the addition is ultimately that the agency is independent of the executive authority. The Energy Act provides that the authorisations issued by the Agency may be made to the Ministry, the Resoring Ministry means, to the Ministry of Environment and Energy, if they were to allow such adoption of the new Act, we would get a new infringement from the European Commission, which, as a proposaler or Government of the Republic of Croatia, does not accept such an amendment and insists that this Law be adopted in the manner proposed. That's it, thank you. Thank you.
