ParlaMint-HR_2018-02-13-0.u66031	We're going to take a break. Here you go, Mr. Alexic.
ParlaMint-HR_2018-02-13-0.u66032	Thank you, dear Vice President. On behalf of the Living Wall and the SNAGA Club, I want to talk about the non-compliance with the executive law and the latest ruling in Romania regarding the CHF currency clause.
ParlaMint-HR_2018-02-13-0.u66033	I thank Mr. Alexic. Dear Mr. Zeljko Glasnović. Here you go.
ParlaMint-HR_2018-02-13-0.u66034	I'm looking for a break ten minutes for the education system would be a topic.
ParlaMint-HR_2018-02-13-0.u66035	I thank Mr. Glasnović. Is there anyone else? Here you go. Mr. Glavasevic.
ParlaMint-HR_2018-02-13-0.u66036	Thank you, Mr. Vice President. On behalf of the SDP MPs' club, I am looking for a break because of the current political situation.
ParlaMint-HR_2018-02-13-0.u66037	I thank Mr. Glavasevic. Here you go, Mr. Sagar.
ParlaMint-HR_2018-02-13-0.u66038	Dear Vice President, on behalf of the Most Club, I'm looking for a break regarding the current political situation.
ParlaMint-HR_2018-02-13-0.u66039	I thank Mr. Sagar. Mr. Bacic, please.
ParlaMint-HR_2018-02-13-0.u66040	Thank you, Mr. Vice President. On behalf of the HDZ Representatives' Club, I demand a ten-minute break on the topic of the current political situation.
ParlaMint-HR_2018-02-13-0.u66041	Thank you. Anyone else? I'm setting up a recess. We'll be back to work at 9.45 p.m. It's 9:00.35. [[CONTINUES AFTER 9:45 A.M.]] Before we take a break, we have a notice. Given the phonogram of the 7th session of the Croatian Parliament of 7 February 2018, it is visible that it is in accordance with the provisions of Article 236(1) of the Treaty on the Functioning of the European Union. The Rules of Procedure of the Croatian Parliament, a respected colleague, Nikola Grmoja, announced that the Committee on the Constitution, the Rules of Procedure and the political system would be asked to give an opinion on the violation of the Rules of Procedure of the Croatian Parliament. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The Rules of Procedure of the Croatian Parliament have been prescribed that the request must be submitted to the Committee on the Constitution, Rules of Procedure and the political system in writing and reasoned within 24 hours of the execution of the action subject to the request. In view of the fact that the representative of Nikola Grmoya did not submit the request in question within such a fixed period as was established by the examination of the phonogram of the 7th session of the Croatian Parliament of 7 February 2018, in accordance with the provisions of Article 236(3) of the Treaty on the Functioning of the European Union. The Rules of Procedure of the Croatian Parliament, he lost the right to speak about the violation of the Rules of Procedure of the Croatian Parliament by the end of the 7th session of the Croatian Parliament. We're going to take a break. In the name of the living wall and SNAGA's esteemed colleague Goran Aleksic, please.
