ParlaMint-HR_2019-10-31-0.u148232	Here's your colleague, Sagar.
ParlaMint-HR_2019-10-31-0.u148233	Thank you, Vice President of the Croatian Parliament. Dear colleagues and colleagues. Of course, in the description of the council's affairs is monitoring the news, tracking the news of what's going on. This morning when I was listening to the news on the radio after I went to the portals and I really, really, how to express it, shocked or whatever it is to say, something deeply shaken me. I'll read you some of the news. In an accident in Dalmatia, one person died last night, four injured. A black Wednesday on the roads in an hour killed five other people seven others injured. At Požega's on foot died in the car, he went with the dog for a walk. Međimurje wrapped in black, in a grave accident killed a young couple and an older woman. A girl, a young man and a woman died in a collision in Međimurje, two other women in the hospital. A man died landed off the road at Skradin. The car's been cut in half. In a serious accident in Dugopolje, one person died, the car ended up on the roof. These are the headlines from our portals. So, the heavy car accidents we see in have a large number of deaths in just one day. There is no doubt only one brief online review came across the work of Mr. Josip Medved and Ante Orlovic, an expert in the field of road safety in which the work is called "the safety of road traffic collection of data analysis for the purpose of predicting and preventing traffic accidents". I will point out once again when the final amendments to the Road Safety Act were held, I was a critic of the law, not in terms of its intensity, and I welcome really wanted to deal with the four biggest road murderers as they were called alcohol, speed, belt and cell phone. But something deeper isn't good in the whole system, it's not good that these things happen, the statistics might later show that the number of accidents is smaller than they were last year, maybe they'll show, I don't know. This doesn't encourage, but every lost life makes us wonder what to do. In this analysis, these traffic safety experts say that the key thing in our society, we don't have good digital tools to analyze what's happening to us. So they warn that the police do their job, enter data, manually enter data. Later on, these data are manually transmitted to the Excel table, but allow Excel tables are not enough tools to make a detailed analysis of all black points, so to call them in traffic relative to space and time. We can look at individual cases in isolation and see when they happen, that they're in the middle of the night, so we're making some sort of partial conclusion that they're young drivers, that we as a people don't have a driving culture, we can conclude anything. But until we have a clear analysis that will provide some kind of information system in which to deal with such serious accidents, we won't know the correct answer to this question. I'm gonna do it again, and it seems important to me that prevention is always better than repression. Prevention also changes behavioral patterns. I'll take two examples now. I suggested one when it came to road safety. So let the Ministry of Education do everything possible to bring more transport culture into the education system. Because we now have a transport culture only within a technical culture in one, I think fifth grade within one semester, one part of a transport culture. Another thing, if already in the Republic of Croatia as a tourist country travels, let's do something to make sure that in all the places that are on the road, all the catering facilities to free them from, say, the value added tax for non-alcoholic beverages to everyone who stops, or, say, preparing food is something to reduce this value added tax now, that people decide to stop multiple times, yes. We are true on the highway we reduced the number of vehicles passing through populated areas which is good but again on the other side we shortened that time travel. Is that one of the causes of the accident? We don't know, we can actually ask questions, we don't know the answers. At the end of the year, we'll put this all in statistics. People are going to become unfortunately statistics and then we're going to bring some sort of, at the end of the year, I mean this year since the law applies, now it's going to be more than two months or how many. So we need to systematically approach this problem, invest resources, make an information system, make good analysis to see what we do, this kind of data in the future can only continue to shock us. Thank you.
ParlaMint-HR_2019-10-31-0.u148234	Thank you.
ParlaMint-HR_2019-10-31-0.u148235	The next position of the Club of Representatives of HSU, Independent Representatives, SNAGE and New Politics, respected colleague Silvano Hrelja. Here you go.
ParlaMint-HR_2019-10-31-0.u148236	Dear Mr. Vice President, dear colleagues and colleagues, I will speak again today about the issue of additional health insurance. And first, to underline, all the laws, all the amendments and additions to the laws are passed whatever you think dear citizens in this House can look at empty benches, but without hands in this House there is no lawmaking and no movement, no movement for the better. It is therefore worth investing in Parliament's work. For at least 10 years, I have been talking about the need to increase the price for additional health insurance, and after last year's promise by Minister Pavic in September last year, I spoke about this speaker about the problem 15 times. No one is just listening, doing their job as if nothing is happening, and from 2012 to today, 250,000 of the poorest citizens of the Republic have lost the right to additional health insurance on the burden of the state budget and have very low, low incomes. So that's 250,000 of the poorest and oldest citizens of the Republic of Croatia. So 15 times five minutes here, saying nothing. You have in the procedure and I gave in the procedure exactly on this day 6 months ago 15 May 2019, excuse me 13 May 2019 PZ bill number 643 in the procedure in which we mourn the census correction from 1.516 to 1.830 per member of the family, i.e. from 1.939 kuna to 2,340 exactly 50% of the salary growth rate in the Republic of Croatia in the last 15 years. You know what they said? They responded that it was not in the plan, the government's financial plan did not provide for funding, that is, the government's response from 10 October this year after 4, almost 5 months, that is the government's response but that they appreciate every initiative and that they will continue to protect users with these lowest, minimum incomes in terms of minimum social benefits. So it will protect at level 800 and 920,00 kn respectively, if you can believe it, that is the reply of the Government of the Republic of Croatia, but it appreciates every initiative. Minister Kujundzic, as we discussed here, called this measure of populism, to worry about the fate of 250,000 citizens and the availability of health insurance for them is populism and says that some who do not belong to social categories use this, and then my ministers don't know that this is the best system in the health system where you have income censorship and when someone gets help from their work because of poverty, it falls out of supplementary health insurance, you have a strictly controlled process in your ministry, and you don't know about it, and you don't know about it, Mr. Minister. Therefore, due to this decision on this bill, the Croatian Party of Retired on Friday (November 15th) is moving to collect signatures throughout the territory of the Republic of Croatia, a kind of petition, so no referendum initiative but a petition in which we advocate an increase in censorship, the harmonisation of censorships with the growth of wages at the beginning of each year, we advocate solidarity between generations in order to preserve the low price of a policy and the preservation of a public non-profit insurance company, and against the purchases, we often announce, the supplemental health insurance policy from 150 to 350,00 kn, and just remember, we have already managed to prevent the purchase of an additional health insurance policy from 70 to 89,00 kn, if all is privatised, we will be able to pay the additional health insurance policy from 150 to 350,00 kn. Thank you very much. [[/Intruder: Thank you.]]
ParlaMint-HR_2019-10-31-0.u148237	The next Club of Representatives is that of HSU, SNAGA, independent representatives and New Politics in the name of the respected representative Goran Aleksic, please.
ParlaMint-HR_2019-10-31-0.u148238	I would like to thank the esteemed Vice President of the Croatian Parliament, dear colleagues and colleagues. Today it is on the IUS-INFO portal, a well-known legal portal on which there is a lot of useful information, so called. professional article, scientific article of the two trade law professors, Prof. Petrovic and Prof. Jaksic, who open his article to the benefit of banks and against 125, not 125 000 but against 55,000 families whose members converted CHF loans into euro loans. Their behaviour is incomprehensible, their completely anti-legal position is incomprehensible so that consumers who have converted their CHF loans into euro loans would be completely compensated, that is their claim, so I will say a few thesis that they present in that article and which are essentially nothing but lies. So they say in one part of that article that the consumers who contracted the annex have actually negotiated new contracts. The annexes that have made the conversion of CHF loans into euro loans are not new contracts. These are additions to basic contracts, the basic contract remains valid in those parts in which it has not been amended, so annexes are not new contracts as they claim. Furthermore, they argue that the Supreme Court of the Republic of Croatia found by its audit 2221/18 that consumers who converted their loans, CHF loans into euro loans, no longer have legal interest in determining their rights because they were compensated. That's simply not true because they're not compensated. The next claim is that they are equated with the euro debtors, debtors who had euro loans. That's kind of true, but it's irrelevant. Why irrelevant? Because at the moment of conversion, the currency clause CHF was useless, at the moment of conversion consumers did not know, if they knew, they would not convert the loans, however, this does not change the fact that the currency clause CHF at the moment of conversion is harmful. Since she's worthless, she can't make a conversion. These professors are completely disregarding Directive 93/13, completely neglecting the EU Court's ruling C-118/17, and it is clearly and unequivocally stated that if the legislator intervenes in some legal relationship, that the consumer still has the right to establish his rights in the national court and that he must be fully compensated. We're not compensated by conversion. In fact, at the moment of conversion, the remaining principal should be made in kunas at the starting rate because the currency clause CHF is zero. Since the remaining capital is expressed in kunas at the starting rate, it has already been converted in some way, and it is smaller than the one that is converted, which after the conversion amounts to a certain amount of euros, then the professors' claim that we too are equal to the euro debtors is completely irrelevant. Another thing they forget to say is that the euro loans also used unfair interest rates and those unfair interest rates were then converted through conversion into some kind of fair, that is impossible. Thus, law professors interpret the law contrary to the Law on Mandatory Relations, contrary to the Constitution of the Republic of Croatia and to EU law. Does this have anything to do with the fact that these professors are members of some supervisory boards, I don't know, but I have to say, and I have to find out that he's a professor. Petrovic member of Atlantic Group d.d. Supervisory Board whose president is the president of HUB, Mr. Adrovic. I must say that Tomislav Jaksic, a law professor, is also a member of the Zagreb Stock Exchange Supervisory Board d.d. At the same time, he is a member of this Supervisory Board and Mr. Centner, who is a member of the Erste Bank administration. Does it matter that professors are at the same time members of supervisory committees in which the chairman and member of the Supervisory Board are high-ranking bankers? I wonder if that's relevant. I think it might have something to do with that, thank you.
ParlaMint-HR_2019-10-31-0.u168130	We move to the next item of the agenda, which is: - Proposal for a decision not to give a credible interpretation of Article 29. The Law on Agricultural Land (National Journal), No. 20/18) is the proposer of the Legislative Committee on the basis of Article 210. Rules of Procedure of the Croatian Parliament. I would like to ask the representative of the motioned President-in-Office of the Committee on Legislatives, Maria Jelkovac gives us an additional explanation of the motion for a decision. Here you go.
ParlaMint-HR_2019-10-31-0.u168131	Thank you very much, dear Vice President of the Croatian Parliament, dear colleagues and colleagues. At its 109th session held on 2 October this year, the Legislative Committee discussed a proposal for a credible interpretation of Article 29. The Law on Agricultural Land, submitted to the President of the Croatian Parliament by Tomislav Žagar, our colleague. The Committee considered the opinion of the Government of the Republic of Croatia as of 11 July 2019, which is estimated to have no need to give a credible interpretation of Article 29. The Law on Agricultural Land, because it is clear that it is a matter of giving a preliminary opinion of the County and consent of the Ministry, delivers a programme that was adopted by the Municipal and City Council, i.e. for the City of Zagreb of the City of Zagreb. Furthermore, the Committee also considered the opinion of the home working body of the Committee on Agriculture of 4 July this year, which considers that the proposal to provide a credible interpretation of Article 20. The agricultural land law has not been established. After the debate was held, the Committee found by majority that the proposal for a credible interpretation was not established and proposed to the Croatian Parliament that it make a decision not to give a credible interpretation of Article 29. The Law on Agricultural Land, which is a contribution to this report, forms an integral part of it. Thank you.
ParlaMint-HR_2019-10-31-0.u168132	I thank my esteemed colleague, Maria Jelkovac. We have a replica of dear colleague Miro Bulj. Here you go.
ParlaMint-HR_2019-10-31-0.u168133	Thank you very much. About the availability of agricultural land and about the programme of determining what the local self-government of city councils and congregations bring to me, I think that when we talk about agricultural land, we need to know that 700 thousand square, hectares in the Republic of Croatia are unprocessed agricultural land. We must mention colleagues that in the coming year, foreign natural and legal persons who imposed this ministry must sell land because they did not accept our amendment, can buy foreign and natural persons in the Republic of Croatia agricultural land until Croatian citizens, natural and legal persons can, for example. in Hungary. We are dealing with things here and deliberately is clouding the public and reality here and basically agricultural land is the influence of foreign capital from Russian and on the whole of the Republic of Croatia will take over our resources and this is a agricultural land that is very important with our drinking water, forests, agricultural land and also on the target of foreign capital mainly of the Russians. Thank you.
