ParlaMint-HR_2019-01-23-0.u123900	Now it is the independent representative of Hrvoje Zekanovic's turn, please.
ParlaMint-HR_2019-01-23-0.u123901	Dear fellow MPs, today I'm going to talk about a topic that came into the public's focus last week, but here's slowly falling into oblivion. I've talked about this subject many times, and today I will. So it's about blocking Serbia's entry into the EU. For those who do not know Serbia started accession negotiations with the EU in 2015 to become a full member of the EU such as Croatia. We had a situation that we felt in our own skin six years ago when we were entering the EU when Slovenia blocked our entry into the EU because of the unresolved border problem in the Savudria Valley. With us neighbouring, and I can't say to the friendly state of Serbia we have much more problems, but the Croatian government, in this matter, does nothing, stands at hand, does absolutely nothing. So we have a historic opportunity that we will no longer have in 2 years when Serbia joins the EU. Here we have the opportunity to condition the Republic of Serbia its entry into the EU by blocking the opening and closing of chapters. When I talk about the EU here, I must point out, we are all aware that Croatia lost a large part of sovereignty when it entered the EU as a union of Christian peoples, so on the Christian continent Robert Schumann, Conrad Adenauer, Alcide De Gasperi, were just imagining such an EU. However, the EU, originally designed as an exclusively economic association, the first coal and steel community, and then 51 years later, the European Economic Community, is now becoming much more than that. Today, documents such as the Marrakek Agreement, the Istanbul Convention, are being imposed from the EU, which have nothing to do with anything but the economy. So, in this union, which is all but an economic community, because Croats are not prosperous in it better than they have prospered in the former community, Serbia is soon entering. We will have a similar association as the unfortunate Yugoslavia in which we will also be living with neighbouring Serbia and the neighbouring people of Serbs. I will also repeat that this unsuspecting behaviour of the Croatian government is inadmissible, where arms are being cut off as Serbia enters the EU and nothing is being done on this issue. Even more so, I must point out that just now Prime Minister Plenkovic is the most responsible why the Serbian Progressive Party of Aleksandra Vukic, you know about the man who has advocated the Greater Serbia in the Homeland War before Zagreb, has become a member of the European People's Party and the PPI, and today in the same clubs there are members of HDZ, members of the HDZ and members of the Serbian Progressive Party, Aleksandra Vukic. I believe that the Croatian government must be a little more sovereign, that our Prime Minister Plenkovic must think a little more as Croatian prime minister and less as a European because his legitimacy has been given to him by the Croatian people and he must represent Croatian interests. I must stress here that, relatively recently, the Poles have recently asked the German war damage for what time again, it was done by the Greeks, and the Croats are silent. So, from this point on, I announce that personally I will be in front of my party HRAST, but also in front of the Croatian conservative party with whom we are in the coalition demanding ultimate from the Croatian government every time I am given the opportunity to meet my requirements for Serbia to be conditional on joining the EU primarily by recognising aggression on the Republic of Croatia. These are not some conflict or conflict there as some like to call them, it was the aggression of the Republic in Croatia. The question of the missing, that we know where ours have disappeared, the issue of the border, and we have an unresolved issue of the border with the Republic of Serbia and finally the issue of war damage. I don't want politicians from Europe laughing at us for being incompetent, that the Croatian government is doing nothing, and it's in a position to do something. So, I demand and ask the Croatian government for Serbia to join the EU.
ParlaMint-HR_2019-01-23-0.u123902	The second debate, respected counterpart Hrvoje Zekanovic as an independent representative, please.
ParlaMint-HR_2019-01-23-0.u123903	So, the Croatian Parliament often forgets some dates, so fellow Djakic behind my back and President of the Assembly Mr. Jandrokovic forgot to mark the day of St. Josip, protector of the Croatian people, protector of the Croatian state. So, I congratulate all Croatians and Croats throughout the Croatian people from this place with one day of delay in the holiday of his patron, their patron of St. Joseph. This very home, meaning the Croatian Parliament in 1687 made a decision to St. Joseph is the protector of our Croatian people and our Croatian state, but we forgot it. Here I am, too, sorry about what happened, and I hope that the coming HS and the Croatian government will remember this important day. Here today I would say something about double standards, or I would say something about hate speech. Today we have some MPs in HS, one called Nenad, not here, one called Milorad, is also not in the assembly, who are very much expressing their criticism of crimes on one side. And even, I've pointed out that many times, especially my colleague, Nenad. It even exults on victims and crimes that took place over the Bleiburg field, on the crossroad, and on the other hand, their eyes are full of tears when it comes to marking the Jasenian victims. And they forget that in the same place after 45 years there was also a concentration camp in the same Jasenovac and that those they were glorifying, who wore the red star and were still killing and torturing in that exact place, and every crime should be condemned. And the one before 45 and the one after 45. Then I wonder if maybe the only reason this is happening is because Croatian victims have no equal value in their eyes, as victims of Serbs, Jews and others. Each victim is equally valuable and every crime and every criminal regime should be condemned. So is that Chetnic. Well, I haven't heard from our colleague Milorad yet, nor have I heard from fellow Stazic that he has condemned the communist regime, that he has made a clear and loud condemnation of gambling, that he has condemned Chettice. And even if he said the term, the name, the Homeland War. We've never heard that from him. And we've never heard an apology for those crimes that took place recently in the last Homeland War. So these days we are also served the news that the New Zealand maniac visited several times Croatia, and the news is that the genocide he made over the Muslims in the New Zealand mosque has been stimulated by Chetnik songs and then today we have a rehabilitation of Chetnoism in Serbia. We have a failure to react to the Croatian authorities on this issue, although I personally sent a letter to the Croatian government a year ago to proceed hastily, to send a diplomatic note to withdraw the ambassador properly, until the cops who celebrate the Chetnic criminals in Belgrade who are in front of the Croatian Embassy in Belgrade are removed. Nothing, though. I'll be back. On the one hand, we have the condemnation of all the heinous crimes that the Croats once committed, I'll say, every crime is for conviction. However, it is ignored and there is no evidence of a crime committed recently under the Chetnic Cocard and anything that has been killed since the 45th year under the red star. I'm gonna pull another interesting parallel here. Not far from Jasenovac is one settlement Zrin. Once a Croatian settlement that was completely burned by Partisans in 1943, all Croats were expelled and killed and later in 1946 Croatian property was handed over to Serbs. Today we have a Croatian settlement in Serbian property, and the Croatian state is doing nothing about Zrina.
ParlaMint-HR_2019-01-23-0.u123904	We have a breach of the Rules of Procedure. Dear colleague Ranko Ostojić, please.
ParlaMint-HR_2019-01-23-0.u123905	Your Honor. He's been injured. 238 in which one representative insults another. We know well who he was talking about, and therefore, I ask you that these things, especially when those representatives who are spoken of are not present, who are offended and who are trying to put themselves in the context of something absolutely, I believe, in this House would not accept. I must say that Mr. Zekanovic absolutely broke the rule, which is that MPs are free to speak, therefore, there is no right to speak to them in what way to perform. [[Intruder: Thank you.]]
ParlaMint-HR_2019-01-23-0.u123906	Thank you. I estimate that the Rules of Procedure have not been broken because there are often situations where MPs, even though there are no colleagues, speak of them in a very ugly and inappropriate manner. We have been making warnings and violations of the Rules of Procedure, but I would agree and invite you to take care of them, when you talk about others, that you do not bring them to their expense, especially if they are not there. Here's my colleague, Zekanovic.
ParlaMint-HR_2019-01-23-0.u123907	My colleague also violated the Rules of Procedure, since he referred me to a business injury that does not exist. It's not my fault my colleagues aren't in their workplace. It's not my fault. And it says that every word I've said, whether it's right for you or wrong.
ParlaMint-HR_2019-01-23-0.u123908	Well, it wasn't a breach of the Rules of Procedure either, let's not now, so now I'm going to give and I'm going to start giving warnings, so you're also getting a breach of the Rules of Procedure, and my assessment was that there were no injuries to the Rules of Procedure as well as in this case. So now, I don't know what you want. Here you go.
ParlaMint-HR_2019-01-23-0.u123909	Your Honor. I'm strictly sticking to the Rules of Procedure. I've got an article. In 238, it states that the other representative does not have the right to insult the president or other MPs. That's what I'm talking about. Therefore, it is not correct of colleagues, when they say that there was no injury, or that I had no right to talk about it.
ParlaMint-HR_2019-01-23-0.u123910	All right, fellow Ostojić. If warnings were to be shared, then almost every third or fourth debate would deserve reminders because people often touch other MPs, and now, which is an insult, it is difficult sometimes to assess. But I'm calling you, one more time. My colleague Zekanovic, you can't get for hurting the Rules of Procedure because I said what I had to say, there were no injuries to the Rules of Procedure and we won't go any further now. Okay, but we're not gonna fight now.
