ParlaMint-HR_2019-09-20-0.u148156	Sweared.
ParlaMint-HR_2019-09-20-0.u148157	Congratulations to the representative on his sworn oath. ... I wish him and my colleagues Goran Maric both success in carrying out an honorable and responsible representative's duties. [[Applause.]]
ParlaMint-HR_2019-09-20-0.u149056	Good day, everybody, do we agree on having small technical problems, do we agree to start without a display I will read the names, measure the time and I think we all agree on that we have confidence in measuring the time of our colleagues here. So the first item of the agenda is: - Proposal for a Law on genetically modified organisms, first reading, P.Z.E. No. 666 She is in the first reading of course, since it is the bill. The proposal is proposed by the Government of the Republic of Croatia pursuant to Article 85. Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on Health and Social Policy. Does the proposal's representative, Mr. Zeljko Plazonic, want the Secretary of State at the Ministry of Health to take the floor to give an additional explanation? Hello, there you are.
ParlaMint-HR_2019-09-20-0.u149057	Thank you very much, Mr. Vice President of the Croatian Parliament. Respected parliamentary representatives and MPs, the drafting of this new legislative proposal has been approached following an analysis of the provisions of the applicable Law on genetically modified organisms since it has been found not to constitute an appropriate regulatory framework for the implementation of European legislation in the field of the introduction of genetically modified organisms into the environment or for the placing on the market of GMO products containing or consisting of or stemming from genetically modified forms. On the basis of EU level, the Commission Directive was adopted on 8 March 2018, and then the amendment of the Directive of 2001. The European Parliament and the Council on the risk assessment of genetically modified organisms for the environment, as well as the amended Annexes 2, 3 and 4 to the Directive of 2001. The European Parliament and the Council of 12 March 2001 on deliberate introduction into the environment of genetically modified organisms and repealing the previous Council Directives in the field of environmental risk assessment. In order to improve the risk assessment of genetically modified plants in the environment and which were not legally binding and which were the basis for the implementation of the risk assessment, it was concluded by a long-term monitoring on the basis of updated data from the Council of the EU Council that existing legislation should be amended. The Commission Directive 2018 will update Annexes 2 to the Directive and include and upgrade stricter guidelines which will now apply to all genetically modified organisms, not only genetically modified plants. Based on technical progress and experience gained from the risk assessment of GMOs for the environment, and with the aim of simplifying the overall process for the authorisation of GMOs, it is necessary to coordinate to the greatest extent possible the collection of information among all stakeholders in the EU authorisation processes, and thus also in the Republic of Croatia. In view of the impact of GMOs and large applications in various areas of activity, I will list only some meanings in science, medicine, pharmacies, agronomy and the food industry with this legislative proposal will develop procedures in relation to the application and use of GMOs for scientific research in the light of the limited use of GMOs in closed so-called ‘closed’. the systems and procedures for the introduction of GMOs into the environment other than placing on the market, e.g. experimental experiments or so-called experimentation. the testing fields by approving the use of medicinal products, medicinal products clearly containing or consisting of GMOs or a combination of GMOs, and the procedures for placing those products on the market, restriction and prohibition of cultivation or cultivation, and of placing on the market GMOs and products containing or containing a combination of GMOs and their traceability, labelling, handling, transport, packaging and management of waste resulting from the use of GMOs and liability for damage caused by the illicit use of GMOs, and shall be determined at the end by the competent authorities and their powers and obligations as well as the administrative measures and infringement provisions for the implementation of this law. It will be harmonised in the course and provisions relating to the authorisation and obligations of official and national reference laboratories for GMOs with the Council of Europe Regulation of 2017 in such a way as to extend the period of authorisation from 2 to 4 years, and the competent authority of the public administration in charge of health services will be given the possibility to revise the work of those authorised laboratories. It will also develop criteria for the inclusion of closed systems of limited use of GMOs in levels of danger, standards for closed systems, prevention measures and other security measures, then handling methods and other conditions for working in closed systems of limited use of GMOs, and given the type of classification of genetically modified micro-organisms according to hazard levels. It will also improve the risk assessment system when introducing GMOs into the environment. In order to extend and strengthen the risk assessment provisions of GMOs when introducing the environment, an assessment mechanism will be created for both short-term and long-term intentional and unintended effects on the environment, human health, animals and plants. There will also be procedures for the application of the first GMO market, both in the EU and in the Republic of Croatia. A legal basis will also be created for the adoption of implementing acts necessary to limit and prohibit GMO cultivation or the combination of GMOs in the area of the Republic of Croatia. Provisions will also be made regarding the clinical trial of medicinal products, medical products of various kinds for so-called products. Advanced therapy consisting of or containing GMOs or a combination of GMOs according to which applicants for the implementation of such treatment will have to meet the requirements on the intentional introduction of GMOs into the environment or provisions on limited use of GMOs. It will also introduce the obligation to establish a written traceability procedure for GMOs and products consisting of or containing GMOs or combinations on the Croatian market, as well as the obligation to mark those products with identification codes of each GMO of the product to be placed on the market. In addition, provisions relating to the unique GMO register will be further developed, namely, the provisions relating to the reporting of GMO data by applicants and those applications. The responsibility of responsible inspection bodies for carrying out official controls or inspections in the area of GMOs on the market of the Republic of Croatia will be further developed. Provisions relating to the rights and obligations of persons authorised to carry out official controls or inspections will also be developed. In addition, infringement provisions will be further developed, both for legal and natural persons, in accordance with the nature of the offence, and with the aim of respecting the provisions of this law concerning the protection of human health, animal health and the conservation of the environment of the Republic of Croatia. The legislative proposal lays down the competent authorities, the tasks of the competent authorities, arrangements for the handling of GMOs, containing or consisting of GMOs in limited recovery, the approval of the use of medicinal products consisting of GMOs or combinations, the intentional introduction of GMOs into the environment for purposes other than the placing on the market, restriction or prohibition of breeding, the placing of products containing or consisting of GMOs on the market, handling, transport, packaging and management of waste resulting from the use of GMOs, as well as the liability for the damage caused by the illicit use of GMOs, and the competent authorities for the implementation of inspection and official controls and their tasks, regulations, administrations, measures and infringements of this law. Here, so much for first reading. Thank you for your attention.
ParlaMint-HR_2019-09-20-0.u149058	Thank you, too, Mr. Plasonic. You have several replicas, the first replica was sought by Mr. Jovanovic.
ParlaMint-HR_2019-09-20-0.u149059	Thank you very much, Vice President. Dear Secretary of State, one question for the start of this debate. Since we have been exposed to one hysteria following recent amendments to the law, we have assured these changes that Croatia will become a test rabbit for Monsanto and other large companies promoting GMOs. I wonder what happened? Has Croatia become a test rabbit? Are our shelves flooded with GMO products and have any GMOs appeared free of declared products?
ParlaMint-HR_2019-09-20-0.u149060	Mr. Plazonic, here's your answer.
ParlaMint-HR_2019-09-20-0.u149061	A very short answer, as far as I know, we did not become test rabbits because our introduction of the directive from the EU and the implementation of that directive into our then law does not allow in any way, so that this fear was practically, I would say absolutely unwarranted, as this law will not fear any abuse, but, in fact, one complete control of all those organisms that we can bear under the name of genetically modified organisms. Let's not just think about plants, think about what the patient is using today seriously ill, especially in the manufacture of medical and medical products based on genetic modification. Let us remember from vaccination to further, so it will be clear how many such organisms have saved millions of lives, hence, we should sometimes look at GMOs, not just consider what may be far the most risky to use in terms of agricultural or inland production.
ParlaMint-HR_2019-09-20-0.u149062	Mr. Bull.
ParlaMint-HR_2019-09-20-0.u149063	Thank you very much. Dear Secretary. It was written in the media, i.e. Experts said that in urine in Croatia 40% of citizens have glisophate in their blood, which means that the compound Monsanto made from means products, herbicides that are products that treat crops, such as A cidocor that destroys in Croatia weeds. In Croatia about 400 products already on the shelves of GMOs. It is not only the vaccination of fruit, GMOs are also the dangerous herbicides on which billions earn and the World Health Organization has said that glisophate is essentially harmful to human health. A potential cause of severe illness. We even have U.S. verdicts where Monsanto is paid for billions of dollars, and their products are in Croatia, and that's why I suggested it was a ban on GMOs, except for medical purposes. Big damage to people's health. [[Thank you, Mr. Bulj.]]
ParlaMint-HR_2019-09-20-0.u149064	Thank you. Thank you very much. Mr. Plazonic, come in.
