ParlaMint-HR_2019-06-28-0.u139161	... [[Speech is not enabled.]]
ParlaMint-HR_2019-06-28-0.u139162	Thank you very much. I wish you many successes in your work. This is what we came to the end of the vote. [[Applause]] The free debate is right after we leave, those who want an assembly. Good morning, colleagues and colleagues, before we move on to free speech and then the agenda with us is colleague Vinko Grgic who has to take the oath, so here we go with the procedure. Article 7 The Rules of Procedure have been established that the President shall read the text of the oath, and after that he shall call the representatives by name. A representative when called rises and pronounces the word, “I swear. ” So here I am now going to read the text of the oath. I swear by my honor that I will act consciously and responsibly and in my work I will stick to the Constitution and the law and respect the legal order and stand up for all progress of the Republic of Croatia. Representative Vinko Grgic.
ParlaMint-HR_2019-06-28-0.u139164	I swear.
ParlaMint-HR_2019-06-28-0.u139165	Thank you very much and congratulations and I wish you a great deal of success. [[Applause.]] Just a little co-worker of Schibol, for a second because he joined us and representative Damjan Vucelic, and then we'll do it after the oath. So, my colleague Vucelic's procedure is the following I will read the text of the oath, and you will then stand up and say the word "I swear." I swear by my honor that I will act consciously and responsibly in my work and that I will abide by the Constitution and the law and respect the legal order and that I will stand up for all progress of the Republic of Croatia. I'd like a representative of Damian Vucelic, please.
ParlaMint-HR_2019-06-28-0.u139167	I swear.
ParlaMint-HR_2019-06-28-0.u139168	Thank you very much and congratulations on your sworn oath and I want a lot of success in the work. Report on the work of the Council for Electronic Media and the Agency for Electronic Media for 2017 The holder shall be the Director of the Agency for Electronic Media and the Council for Electronic Media. This item of the agenda will be voted in accordance with Article 44(4). Rules of Procedure of the Croatian Parliament. In accordance with the proposal of the Assembly Working Body, I am voting on the following conclusion. The report on the work of the Council for Electronic Media and the Agency for Electronic Media for 2017 shall be adopted. Please, let's vote. I find that most of the 78 votes for and 15 abstentions have come to the conclusion that it was proposed by the parent constituency working body.
ParlaMint-HR_2019-06-28-0.u145897	We move to the agenda points that are planned for today: - Final proposal of the Act on the temporary measure in the area of compulsory health insurance, second reading, P.Z. No. The proposal is proposed by the Government of the Republic of Croatia pursuant to Article 85 of the Treaty on the Functioning of the European Union. This Decision shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law and the Committee on Health and Social Policy. I ask the State Secretary of the Ministry of Health, Mr Tomislav Dulibic, to give us an additional explanation of the final proposal for the law. Here you go.
ParlaMint-HR_2019-06-28-0.u145898	Thank you very much, Mr. Vice President. On the day of the United Kingdom of Great Britain and Northern Ireland's exit from the EU without an agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the EU, the same becomes the third country. From that date on, the EU legislation ceases to apply to citizens of the United Kingdom of Great Britain and Northern Ireland as well as to citizens of the Republic of Croatia who exercise the right to health insurance in accordance with European legal regulations on the burden of United Kingdom insurance holders who temporarily or continuously reside in or reside in the Republic of Croatia or who have established the status of insured persons in compulsory health insurance in the Republic of Croatia. By adopting this law, the Republic of Croatia will continue to apply the rules contained in European rules on the coordination of the social security system or those persons, without delay, for a period of up to one year from the date of exit of the United Kingdom from the European Union without an agreement on withdrawal under the condition of reciprocity. In the absence of reciprocity by the United Kingdom, the costs incurred under compulsory health insurance will be burdened by the State Budget of the Republic of Croatia from the position of the Ministry of Health and the Ministry of Health will request the collection of the costs incurred by the United Kingdom of Great Britain and Northern Ireland through the Ministry of Foreign and European Affairs. Thank you very much.
ParlaMint-HR_2019-06-28-0.u145899	Thank you. Do you think maybe the committee reporter would like to take his word for it? No, I don't. I'm opening a debate. On behalf of the HDZ Representatives Club, dear colleague Ivan Kirin. Here you go.
ParlaMint-HR_2019-06-28-0.u145900	The Honorable Vice President of the Parliament, the Honorable Secretary and the Honorable Representative. Here, this is a final proposal for a temporary measure law in the area of compulsory health insurance. At the 11th session of the Croatian Parliament on 5 April 2019, a conclusion was reached, adopting the proposal for a temporary measure in the area of compulsory health insurance. Today is the debate on the final draft law contained in the 4 articles. In fact, there are 4 articles of which are 1st and 2nd identical. However, it is interesting in all of this Article 3 which has the second paragraph of the proposal for a law was only one and in paragraph 1: ‘In the case of no reciprocity by the United Kingdom in the application of the procedures laid down in the regulations and other regulations in the area of coordination of the social security system, the costs of the rights incurred under Article 2 of this Act shall be paid to the holder of the health insurance of the Republic of Croatia from the State Budget of the Republic of Croatia from the position of the Ministry of Health.’. Article 3 ‘The Ministry of Health will ask the United Kingdom to charge the costs referred to in paragraph 1 of this Article through the Ministry of Foreign and European Affairs.’ This is the paragraph 2 of Article 3 which introduces an obligation to claim costs by the United Kingdom in the event of a lack of reciprocity which is paid to the burden of the State Budget of the Republic of Croatia in favour of the health insurance holder of the Republic of Croatia or for the benefit of the HZZO. And there is also a point number of Article 4 of this Act, which determines the date of entry into force of this Act and its application. This law will be published in the National Journal and enter into force on the date of the United Kingdom's exit from the European Union without an withdrawal agreement, and shall cease to be valid within the year following its entry into force. The assessment of the resources necessary for the implementation of this law does not require the provision of additional financial resources in the State budget of the Republic of Croatia, except in the case of a lack of reciprocity by the United Kingdom in which the costs incurred from compulsory health insurance are borne by the budget of the Republic of Croatia from the position of the Ministry of Health. The activities are the A793007 health care of foreigners under the total planned funding of 3 million kuna. In the debate at the 11th session of the Parliament on 5 April 2019, there was no objection and no proposal regarding the text of the legislative proposal which the applicant did not accept. So this law will fully accept the HDZ and thank you for your attention and may the Dear God protect you.
ParlaMint-HR_2019-06-28-0.u145901	I thank my colleague Kirina for reading the law to us and for this debate. I'm closing the debate. We'll vote on this point when the conditions are met.
ParlaMint-HR_2019-06-28-0.u145902	We are now going to the Final Proposal of the Act on a temporary measure in the area of compulsory health insurance, second reading, P.Z. No. 609. The proposer is the Government of the Republic of Croatia. The debate is closed. I am voting on the final proposal of that law. Please, let's vote. I find that it is unanimous, 104 votes for the adopted Act on the provisional measure in the area of compulsory health insurance.
