Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	BarboraUrbanova.1991	Urbanová, Barbora	F	1991	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-002-079	ParlaMint-CZ_2022-01-26-ps2021-006-06-002-079.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/079	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
