Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VladimirBalas.1959	Balaš, Vladimír	M	1959	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VladimirBalas.1959	Balaš, Vladimír	M	1959	
ParlaMint-CZ-en_2022-03-24-ps2021-016-03-009-076	ParlaMint-CZ_2022-03-24-ps2021-016-03-009-076.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-24	2022-03-24	Lower house	ps2021	-	ps2021/016	ps2021/016/03	ps2021/016/076	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
