Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Regular	MP	Minister	-	-	-	-	AnnaHubackova.1957	Hubáčková, Anna	F	1957	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Regular	MP	Minister	-	-	-	-	AnnaHubackova.1957	Hubáčková, Anna	F	1957	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	DavidPrazak.1979	Pražák, David	M	1979	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Regular	MP	Minister	-	-	-	-	AnnaHubackova.1957	Hubáčková, Anna	F	1957	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	OndrejBabka.1994	Babka, Ondřej	M	1994	
ParlaMint-CZ-en_2022-01-26-ps2021-006-06-003-037	ParlaMint-CZ_2022-01-26-ps2021-006-06-003-037.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-01-26	2022-01-26	Lower house	ps2021	-	ps2021/006	ps2021/006/06	ps2021/006/037	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
