Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	PetrLetocha.1984	Letocha, Petr	M	1984	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HubertLang.1969	Lang, Hubert	M	1969	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HubertLang.1969	Lang, Hubert	M	1969	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HubertLang.1969	Lang, Hubert	M	1969	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-002-005	ParlaMint-CZ_2022-12-16-ps2021-048-03-002-005.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
