Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	KarelSladecek.1963	Sládeček, Karel	M	1963	
ParlaMint-CZ-en_2022-04-27-ps2021-019-02-003-002	ParlaMint-CZ_2022-04-27-ps2021-019-02-003-002.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-27	2022-04-27	Lower house	ps2021	-	ps2021/019	ps2021/019/02	ps2021/019/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
