Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadovanVich.1964	Vích, Radovan	M	1964	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadovanVich.1964	Vích, Radovan	M	1964	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-12-16-ps2021-048-03-003-006	ParlaMint-CZ_2022-12-16-ps2021-048-03-003-006.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-16	2022-12-16	Lower house	ps2021	-	ps2021/048	ps2021/048/03	ps2021/048/006	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadovanVich.1964	Vích, Radovan	M	1964	
