Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MichalKucera.1968	Kučera, Michal	M	1968	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2022-07-13-ps2021-029-02-006-011	ParlaMint-CZ_2022-07-13-ps2021-029-02-006-011.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-13	2022-07-13	Lower house	ps2021	-	ps2021/029	ps2021/029/02	ps2021/029/011	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
