Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-11-30-ps2021-045-05-010-161	ParlaMint-CZ_2022-11-30-ps2021-045-05-010-161.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-30	2022-11-30	Lower house	ps2021	-	ps2021/045	ps2021/045/05	ps2021/045/161	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
