Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-10-ps2021-019-05-001-110	ParlaMint-CZ_2022-05-10-ps2021-019-05-001-110.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-10	2022-05-10	Lower house	ps2021	-	ps2021/019	ps2021/019/05	ps2021/019/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
