Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JozefSikela.1967	Síkela, Jozef	M	1967	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertKralicek.1977	Králíček, Robert	M	1977	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertKralicek.1977	Králíček, Robert	M	1977	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-11-18-ps2021-045-03-004-169	ParlaMint-CZ_2022-11-18-ps2021-045-03-004-169.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-18	2022-11-18	Lower house	ps2021	-	ps2021/045	ps2021/045/03	ps2021/045/169	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
