ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u1	Member's promise
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u2	Thank you, Madam President. Dear colleagues, dear colleagues, honourable members and members of the government, you know that yesterday at the opening of the plenary of the Chamber of Deputies, our former colleague, Mr Jan Farský, gave up his mandate. At that moment, his mandate expired in accordance with the Constitution. The first replacement is taking his place, I should say, the Pirate and Mayor coalition for the Liberec election region, Mrs. Jarmila Levko. The fact that Mrs Jarmila Levko became a Member was verified at the 6th meeting of our mandate and immunity committee, which had just ended, and we adopted resolution number 21. You have it - you should each have it - in front of you, but because I'm not sure if you've had enough - and I can see that it wasn't enough, so I'll read it. The resolution was very simple. Resolution 21, and it is a short, mandate and immunity committee of the 6th meeting held on 16 February 2022 on the creation of the mandate of the first deputy Member of the Chamber of Deputies of Parliament: The mandate and immunity committee of the Chamber of Deputies of the Parliament of the Czech Republic, after my introductory word, states first that on 15 February 2022 the mandate of the Member of the Chamber of Deputies of the Parliament of the Czech Republic was created by the first alternate - Pirate coalition and the Mayor for the election region 7 - Liberecký, Mrs . Jarmila Levko, born May 14, 1969. He's placing me in charge to introduce you to him. Thus, the operative part of the resolution, which was adopted unanimously by the mandate and immune committee a moment ago. Now I would ask you all in accordance with the tradition to rise. [[The present rise.]] She asked that the President of the Chamber of Deputies come here - she is here already, and our new colleague. I will read the promise we all know and have in the constitution, and I will ask our new colleague to make a clear decision, and we believe that she will say, I promise. The promise is as follows: I pledge my allegiance to the Czech Republic, I promise to uphold its constitution and laws. I promise on my honor that I will carry out my mandate for the sake of all the people and according to my best knowledge and conscience. [[The new Member shall make a vow and accept the congratulations of the President of the House.]] I'm sure congratulations for all of us.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u3	I'm gonna ask for peace. I will ask for peace and let me also welcome Mrs Jarmila Levka among us and wish her every success in her parliamentary work. We will now continue with the proposals for amending or supplementing the proposal for the 9th meeting of the Chamber of Deputies, as stated on the invitation. Before the end of the sitting day, Mr Vladimír Zlínský was interrupted with his speech, asking if he wishes to continue. Yes, it is. Mr. Ambassador, you have the floor.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u4	Madam President, thank you for the floor. I will continue my work, and I will continue to talk about the territorial defence of the state.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u5	I'll ask for some peace in the room, Mr. Ambassador. Please transfer the discussions to the foyer, thank you. Please.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u6	Okay, thank you. The costs of territorial defence members: Training costs would be quite similar to those of current active backups, where more frequent but shorter training of territorial defence would correspond costfully to several longer active backup trainings. Two uniforms and, where appropriate, other equipment components should be taken for granted. Modern ballistic protection of the individual should be part of the normal equipment of territorial defence members. At first, the ballistic protection of the individual could be addressed at least in such a way that the one that ended the expiration for training purposes would be issued. The Government and the political representation as a whole should open up the question of the possibility of financing members of active reserves of territorial defence and reserves in the form of a deductible item from the tax base or directly a tax discount. The benefits of the represented concept of territorial defence: The main benefits of the proposed concept of territorial defence certainly include a significant strengthening of the security of critical infrastructure in the event of a threat to the country while maintaining the capacity of combat units. At the cost of the same or even lower than the current active advances, the state would gain a number of people capable of immediate deployment even in emergencies such as floods, fires, industrial accidents, massive black outs, large terrorist attacks and so on. [[9.10 hours]] At the same time, the introduction of territorial defence would be a way to increase the number of citizens with basic military training. Moreover, the Army of the Czech Republic could acquire experts not only in case of mobilization, but also for the normal operation of the army. These would be IT experts, drivers, cooks, logistics, health professionals, whose advantages would be well known numbers and quality. The possibility of using civilian weapons held by members of territorial defence would lead to a further reduction in the financial requirements for the armed forces and, at the same time, in the event of a crisis, at least part of the territorial defence could immediately carry out tasks with the arms in hand. In the case of some serious crisis scenarios, the deployment of tens of thousands of members of territorial defence from various civil professions would release the labour market and this would be positively reflected in the reduction of social tensions in society, caused by the reduction of part of the labour market generated by the crisis. The army of the Czech Republic would gradually regain experience, equipment and facilities for possible mobilisation with the training of territorial defence. By creating an important link between citizens and the Czech Army, which would generally lead to greater motivation for citizens to recruit to the Army of the Czech Republic, our company would be much more robust and less vulnerable in terms of security. Perhaps the risks of limiting territorial defence: Of course, any such project brings risks, but it can be completely eliminated by quality legislation. Of the possible objections was often mentioned in the discussions the politicalization of territorial defence and the possibility of abuse, which prevents strict emphasis on the politicality of territorial defence, which would be guaranteed by the standards of the Army of the Czech Republic. Some might mind that military training will be given primarily the most patriotic part of the nation, but this cannot be a complication for a democratic state. To obtain a well-trained member of territorial defense, according to the concept, would take longer than the current active advances, which is the argument for starting reforms on time. If the service for active backups and for professional soldiers is more attractive in terms of finance, training and access for the highest quality and most prospective candidates than the implementation of territorial defence, then there is no risk that the concept will limit the number of interested professional soldiers or active advances. On the contrary, in time it would rather produce the opposite effect given by a more positive perception of the army by the public. There were also concerns that a large number of candidates for territorial defence could be absolving volunteers, for example, to voluntary firefighters. In order to avoid this, it is necessary to support these beneficial organisations conceptually, thereby making the most optimal use of available human resources. In addition, some of the roles of territorial defence and voluntary firefighters are intersecting and, at the same time, complementing them appropriately within the integrated rescue system. The limits on the use of territorial defence are laid down in the primary condition of the majority of those interested in territorial defence, which is the primary link to their region, where only a smaller part of the territorial defence members could be motivated to volunteer outside their region. Human resources: The concept presented is able by its focus to reach a much wider group of citizens than active backups, which should focus primarily on students and fresh graduates and motivate them to cooperate with the military for a long time. The territorial defence can primarily build only on the rifle community, which can handle weapons and whose membership base is large in the Czech Republic. It's over 300,000 weapons licenses. The concept of territorial defence is more optimal, however, to open for all citizens of the Czech Republic who will meet the required conditions in terms of criminal integrity, health and mental fitness. This extension brings the advantage of a larger number of potential volunteers and it is also a more civic approach. A certain disadvantage would be greater differentiation in quality, cost and motivation of volunteers from the ranks of the shooting and non-shooting community. The solution could be the creation of a national rifle association with the participation of the Army of the Czech Republic and possibly the Ministry of Interior, which would provide not only basic training with weapons for those interested in territorial defence from the ranks of non-shooters and examined the basic skills of shooters interested in entering territorial defence, especially regarding the safe handling of weapons. Furthermore, this shooting club could participate in the use and construction of military shooting galleries, organizing shooting competitions and public shooting days under the patronage of the Army of the Czech Republic. Perspectives of concept development: If the concept is appropriately grasped and supported legislatively and financially, it has the potential to bring in the army over the next decade at least by the order of more candidates, as is the case with active backups. This project needs to be primarily addressed as a dynamic system, which, with an increasing number of volunteers, can gradually fulfil all these roles after reaching at least 15 000 to 20,000 people. From the point of view of the real possibilities of our society, in the next decade, this situation may more than double and thus be a full alternative to restoring compulsory military service in terms of the mass involvement of citizens in the defence of the state. It can be assumed that territorial defense would fit into the lives of citizens as naturally as volunteer firefighters or once sharpshooting associations and would thus be a natural bridge between citizens and a professional army. Emphasis on development should be placed on the skills that are the primary purpose of territorial defence, and the motivation of citizens to participate in it. During the development of the concept of territorial defence, it is not possible to change significantly clearly defined conditions and risk losing the trust of its own people in the military and the state itself. It is in the military's interest to use the gradual development of territorial defence to acquire capabilities, equipment, training facilities, to develop the ability to mobilise as quickly and efficiently as possible. Conclusion: The key issue of the future of the army of the Czech Republic and the defence of the Czech Republic is the ability of citizens of this state to identify with their state and their willingness to participate in their defences. Today's form of the Czech Army and its planned full state, including active backups, cannot solve satisfactorily the protection of critical infrastructure and our borders. Therefore, it is necessary to seek new and, in particular, viable ways of fulfilling the main purpose of every army of a democratic state, and this must always be primarily the protection of its own territory and of its own people. In society we have a relatively large group of motivated citizens not only from among shooters who would be willing to participate in the defense of the state. For most of them, however, the existing concept of active advances is not suitable for a number of reasons such as time, family, guarantee territorial competence and so on. [[9.20 hours]] It is this concept of territorial defence that reflects these requirements and is so attractive that it brings a sufficient number of volunteers to the service in this folder of the Army of the Czech Republic, while being able to provide sufficient quality for these candidates for the given tasks. The concept of territorial defence can help significantly at relatively low costs to address current security risks, and it also has other beneficial effects for both the Army of the Czech Republic and for society. Thank you for your attention.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u7	Thank you, Mr. Ambassador. And now, first, I'm going to introduce the House to the apologies received, and then there's one priority right. So the Minister of Justice Pavel Blažek apologizes from nine to the end of the day for working reasons, then for yesterday from 22, 23 a.m. to the end of the day I apologize to the Minister of the Environment, Mrs Zdenka Němečková Crkvenjaš sends an apology from 16 to 18. 2. and finally, Mr Jan Volný sends an apology for illness by the end of the day. That would be an apology so far. And I will therefore ask Mr Marek Benda with priority rights. Please, you have the floor.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u8	Good morning, ladies and gentlemen. I would like to make two proposals, first a proposal for a new point in this meeting, in order to include a point in the Report, proposals and other points in the resolution of the Chamber of Deputies pursuant to Section 1 (1). 2 of the Rules of Procedure governing the internal circumstances of the Chamber of Deputies. I'm not suggesting a fixed period of time yet, but I feel that after what's been going on here for the last 18 hours, we may have to react in some way. The second proposal I would like to make is a procedural proposal, and I am giving it on behalf of the members of the government coalition, and that is, to act today and vote after 19, 21 and 24 hours, because I consider a situation in which we have not been able to reach the proposal for 18 clean hours of our negotiations, we are still acting outside the programme, for completely absurd, for a demonstration of how, in particular, part of the opposition is trying to destruct the work of the Chamber of Deputies at all costs, and I think it is not possible to proceed to this, and we will have to spend the night here to endure this endless marathon. Thank you for your attention.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u9	Thank you, I'm gonging. A procedural proposal has been made, so we will wait a little while for Members and Members to return to the hall. Yes, I'll check everyone out, please log in with your registration cards. To make it quite clear what we are voting on - we will proceed to the vote on voting after 19th, 21st and 24th hours. I'm gonna wait a little while longer before the math settles... So the numbers have settled. And then I'm opening the vote. Whoever is in favour of this proposal, press the button and raise your hand. Who's against it? In voting number 7, 158 of the Members present were in favour of 98, against proposal 59, and I note that this proposal has been approved. Thank you and we can therefore continue with the properly logged in. Mrs Vladimíra Lesenská is also on the agenda. Please, madam, you have the floor.
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u10	Hello, ladies and gentlemen, Madam President, representatives of the government, I...
ParlaMint-CZ_2022-02-16-ps2021-009-02-001-999.u11	I'll ask for peace of mind, Madame. Certainly, colleagues and colleagues will understand and transfer discussions to the foyer. Thank you very much for leaving the co-worker's room at peace. Please.
