Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlesJuchelka.1976	Juchelka, Aleš	M	1976	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	LucieSafrankova.1987	Šafránková, Lucie	F	1987	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	LucieSafrankova.1987	Šafránková, Lucie	F	1987	
ParlaMint-CZ-en_2022-09-29-ps2021-040-01-005-005	ParlaMint-CZ_2022-09-29-ps2021-040-01-005-005.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-29	2022-09-29	Lower house	ps2021	-	ps2021/040	ps2021/040/01	ps2021/040/005	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
