Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-02-18-ps2021-009-03-001-001	ParlaMint-CZ_2022-02-18-ps2021-009-03-001-001.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/009	ps2021/009/03	ps2021/009/001	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
