ParlaMint-NO_1999-12-07.ana.ud560e97	The representative of Terje Johansen, who has been on leave, has once again taken his seat.
ParlaMint-NO_1999-12-07.ana.ud560e105	The President will propose the election of two presidents for the Storting meeting today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1999-12-07.ana.ud560e110	I propose Aud Blattmann and Oddbjørg Ausdal Starrfelt.
ParlaMint-NO_1999-12-07.ana.ud560e115	Aud Blattmann and Oddbjørg Ausdal Starrfelt are proposed as chairpersons of today's meeting. – Other proposals are not available, and Aud Blattmann and Oddbjørg Ausdal Starrfelt are unanimously elected as chairmen. Before the proceedings are brought, the President will propose that the Storting should depart from the provision of the first paragraph of Section 43 of the Rules of Procedure and make a total vote after that date. 1 and 2 have been completed, and then total voting according to case No. 3-11 at the end of the day. No objection has been raised against the President's proposal. – It shall be deemed to have been adopted.
ParlaMint-NO_1999-12-07.ana.ud560e131	At the request of the Municipal Committee, the President will propose that the debate be limited to 1 hour and 45 minutes and that speaking time be allocated to the groups as follows: Working Party 35 minutes, Advance Party, Christian People's Party and Right 15 minutes each, Center Party 10 minutes, Socialist Left Party, Left and Representative Bastisen 5 minutes each. Furthermore, the President will propose to allow for the replacement of lines of up to three lines with replies after the contributions of the main speakers from each party group and five lines with replies after the contributions of members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_1999-12-07.ana.ud560e142	Today's budget debate is taking place at the same time as the municipalities put their last hand in their budgets for the next year. There are many municipal politicians who don't know how to find the money they need to offer their citizens good enough welfare services, and at a price that people can pay. The parent payment for e.g. kindergarten and school leisure are on the way up, which allows us in some municipalities to distinguish which children can and which children cannot avail themselves of these important offers. Many of our schools also need a promise, but because of the need for community economics, we see that schools are threatened instead by closure. The situation at our hospital is another example. This is worrying, and it comes at the same time that we are informed that last year was the worst year of ten years in terms of deficits in the municipalities. For various reasons, municipalities have accumulated a deficit of NOK 6.7 billion, and if we do not take this situation seriously, there will be fewer and more expensive welfare services for the population. Now we have to sit down together and find ways to solve this. I am glad that in the budgetary agreement with the central parties there has been a break-up of the Workers' Party's claim for NOK 1 billion more to the municipalities next year. The majority of this comes as free money and is absolutely necessary for municipalities to afford to pay their own debts and, among other things, to pay for them. to be able to invest more in school. But we have to move on that way, and I am therefore pleased that there is also a unanimous committee asking for the Government to review and evaluate the income system for the local government sector. This must include, inter alia: emphasis is placed on explaining the economic impact it has had on municipalities that parts of the Rattsø Committee's proposals have been implemented in relation to what was foreseen in 1997. This review should be presented during the spring of 2000, because, in addition to the fact that it is quite obvious that the local government sector needs more money, it is also important to look at how the money is distributed. A lot indicates that we have not received the distribution that was intended, and then we have to go through this in an open and prejudiced way. In this context, we are also asking for a review of the allocation of discretionary funds. I would also like to mention another proposal we are making, namely that we want a comprehensive review of the compensation scheme for particularly resource-intensive users, with a view to making the scheme even more predictable and accurate. We also ask that the Government investigate a state top finance scheme and come back to Stortinget with it in the spring. It is good that the government has proposed a scheme for next year, where municipalities with many resource-intensive users can get something extra from the state. But based on the signals we've received from a lot of municipalities, there's a lot of evidence that the system, as it's now set up, is not very accurate in terms of reaching those we really want to reach. We believe that the criteria are too clear and too unclear, and we believe that there is a need for clarification and a tightening. To be senilement should, for example, be not be a criterion for inclusion in this scheme. The goal must be that the users who need it most will get the help they need. Then there must be some extra assistance from the state, but it must be like a predictable system. That is why it is very interesting to investigate a state top-level funding scheme, precisely in order to meet those who need it the most. The majority has previously agreed to the trial where 20 municipalities would try to include several earmarked grants and use them as free resources. Signals we have received from several of the municipalities that are involved in this indicate that the municipalities have so far received less money to decide about than what was suggested to them when they applied to join the trial, and therefore it is underlined in the setting that the Storting expects the trial to be real, and that one expects the council to deal with this, so that it becomes a purpose of the experiment. Let me then move on to another important point, namely our integration policy. Many suggest that it is a good part of the policy that does not work well enough. Many recent events indicate that there is a need for more coordination and a better system. It is an unsustainable situation that almost 14 000 people are in reception. Too many remain there for too long, unfortunately some also under critical conditions. We have to make sure that our new countrymen come into activity and work instead of being in reception without having anything to do with the month after month and someone actually for years. The worst thing for them is to remain passive on an asylum reception, while also for society the worst and most expensive solution. That is why we in the Government Committee ask that we review all aspects of our asylum, immigration and integration policies and come back on a case-by-case basis, like a big message. There the government has to look at what's the bottlenecks in the system. Why does the procedure in many cases take as long as it actually does? Why do the settlements in the municipalities go so slowly? And is e.g. the compensation schemes existing for asylum-seekers, for residence in municipalities and for Norwegian training for adult asylum-seekers well enough? I don't think so, and here the state has a considerable responsibility. I think we can get the best solutions for our refugees, asylum seekers and immigrants in an interaction between the state, municipalities and others involved, not by one party forcing the other. We are also asking in particular for a review of the situation of lone minor asylum seekers and refugees, many of whom are now in our reception. There has recently been a great deal of difference. Is it e.g. Does it make sense to place as many minors together in one place, as is now the case in some of our municipalities? Is the competence of those who are set to follow up the lone minors always good enough? What are the offers they get? And what about those who disappear? Who is responsible for following them? There is reason to question the system when we can read that single minors have disappeared from asylum recipients, and that cases have been closed without one being sure of where the children have gone or if there has been any support for them. This isn't good enough, this has to be cleaned up. We have a responsibility to integrate our new countrymen properly, and we're not good enough at it today. We also need to use non-traditional instruments here. It has, among other things, show that if you receive language training at the same time as you are working, you will learn a language more quickly. This should be done in a nationwide arrangement as soon as possible. It would be a cheap investment for society. And if there's money on it, the government gets to the Storting and ask for more money. If there are other things, we'll be told. If we do not succeed in the process of integration, it will give rise to increased racism. We have to do everything we can to avoid that, because all people are equally worth it. And it would only be lacking if we, as one of the richest countries in the world, were to help people from other countries who need an outstretched hand. If the integration work doesn't work well enough, we're doing both those things, and society's a bear service. Therefore, it should be in everyone's interest that we get cleaned up in this. Let me then fix an error in the setting, as unfortunately it has become an error on page 21, column 2, last sentence. Here the majority shall be addressed to the Committee and the sentence shall be replaced by the following: ‘In this context, the Committee will make the following proposals:’ It is therefore an overall committee which supports the proposal at the top of page 22 on the review and evaluation of asylum, immigration and integration policies. Finally, I would like to address the proposal that has been distributed in the Chamber on behalf of the Workers' Party and the Centre Parties.
ParlaMint-NO_1999-12-07.ana.ud560e176	The representative Sylvia Brustad has taken up the suggestion she referred to. It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e181	The representative of Sylvia Brustad pointed out that it is an important objective of the Workers' Party to strengthen the local economy in all possible ways. And through the budgetary cooperation with the government parties, the Workers' Party had a good opportunity to do just that, but it all ended up with a symbol addition on notices of 0.3 pst. in the free resources. One might wonder if the Workers' Party believes that 0.3 pst. increase means strengthening the local economy, if it would not be much more useful to strengthen the local economy by improving the efficiency of municipalities. I would challenge the representative Sylvia Brustad to explain what is the best proposal of the Workers' Party to streamline Norwegian municipalities. Does she consider postponing competition to be a current strategy to streamline Norwegian municipalities? It's not just about spending more money, as the employee's representative gave the impression. It is possible to create financial resources for Norwegian municipalities in other ways. Reorganisation and restructuring, not least on the operational side. Then it's important to have good suggestions from the other parties as well. The Progress Party has its proposals for postponing competition, which we claim will significantly improve the efficiency of Norwegian municipalities, but other parties have not yet – they usually come after us – adhered to our proposals. Therefore, I ask the representative Sylvia Brustad to explain what is the best proposal of the Workers' Party to streamline Norwegian municipalities.
ParlaMint-NO_1999-12-07.ana.ud560e192	I think it is quite interesting that Andersen, a representative from the Progress Party, is standing here and calling 1 billion kroner plus to the municipalities for symbols. Torbjørn Andersen represents a party that has actually proposed cutting billions of dollars in the municipal sector, which will have to mean reductions in important welfare offers and increased self-payments for the population. That is the reality. I am aware that the Progress Party has a great deal of faith in the outsourcing of competition in the municipalities. The working party does not share the same belief in it. Of course, we are concerned that the public sector, also locally in the municipalities, needs to change and improve in some areas. There's a process we're going to continue. But it's something other than putting off competition in any case. I also believe that with the dramatic situation in which many of our municipalities are now in, with a deficit of almost NOK 7 billion, it is important to provide the municipalities with something more money, while, of course, we have to convert and get even better. The proposal behind a unanimous committee that we now need a review of the entire income system to see if the distribution between municipalities is good enough is also important. So we need more money, we need to see if the distribution is good enough, and we need to convert the public sector. However, the recommendation of the Progress Party, which is on the market at any price, which also means significant reductions in transfers to municipalities, will lead to nothing more than a poorer and more expensive welfare offer. It's the Workers' Party against it.
ParlaMint-NO_1999-12-07.ana.ud560e205	I am well-known through the mass media that Sylvia Brustad has taken the initiative in an investigation into the merger of units in Kommune-Norway. For North Norway, it seems completely meaningless. I wonder what is the purpose of this proposal. It seems pointless for the Christian People's Party to go to the conclusion before an investigation has been carried out. A aggregation of e.g. Nordland, Troms and Finnmark in one region require a common identity and culture. North Norway, as a geographical unit, accounts for about half of Norway. What is the Workers' Party want to achieve with such a merger?
ParlaMint-NO_1999-12-07.ana.ud560e212	In the Labour Party, we believe it is important to have an open and prejudiced debate on how best to organise our local government. We're in a process and we're going to conclude at the country meeting for next year. What I have said in the mass media and elsewhere is, of course, not a conclusion on the part of the Labour Party, but a proposal that is part of that debate. When I have said that I believe that the county councils in their present form have survived themselves, it is for several reasons. Developments across Europe are moving towards more regional thinking. Some of our counties, I think, are simply too small to be able to provide important services to the population. We have e.g. in the case of the hospital sector, regions which are now taking care of it. It works pretty well, and that's why I've said that there could also be other areas where you could think of organizing according to the model of the health regions. That doesn't necessarily mean that it needs to be five. It may be seven, it may be nine, but that's not the main point. The point is, how can we organize our municipalities and counties so that we can provide the best possible service to the people and local democracy? Then I think that one of those things that you should discuss openly and without prejudice is whether we have too many states, whether they're organized in a crazy way, if we have too much double administration – which I think we have. I think we need to cut down on administration and use more people, resources and energy in direct service provision to people. Then one way to do it is you get fewer counties. That doesn't mean the whole of North Norway needs to be one state. There might be two or three there, but that's not the point. We are going to have a debate on this in the Labour Party towards the national meeting, and we are going to conclude there.
ParlaMint-NO_1999-12-07.ana.ud560e223	The Labour Party and the Municipal Economy are an interesting study. First of all, we have now learned creative accounting, which allows the Right to boast that we have a budget of 600 million. kr better for the municipalities than the government has, if we add all of the earmarked grants that we increase, in the same way that the Labour Party always does when they mention that they have a billion. We think it would have been more neat that they had said that when they increase the grant to the kindergartens, it's because the parental payment is going down, not for municipalities to get better finances, and that therefore it shouldn't have been calculated that way. The second element that is interesting is that the Committee agrees on a proposal to carry out an evaluation of how far we have come in the income system for municipalities in relation to the proposals of the Rattsø Committee and how income development has been. On the other hand, the Labour Party is not in the process of pointing to the main element that makes the municipalities that thought they were going to win on Rattsø not winning, namely the loss compensation scheme. The loss compensation scheme, which today allows the municipalities that used the old system – but not based on objective criteria – to continue to win on the system even though they have not had a population structure basis to do so, is a genuine child of the Workers' Party's lack of willingness to cut through when the income system was involved in the treatment of the Council Sea Committee's suspension. Now that we have a new evaluation, will the compromise which the Labour Party made with regard to its comments that no one should lose on the introduction of the Rattsø be the guiding principle of the Workers' Party in the future? Because it's not the case with redistribution that it's possible to do better for someone without others getting a little bit worse. Is the principle of the Workers' Party that no one should lose, still at work? Then it's really no use getting a status for the evaluation.
ParlaMint-NO_1999-12-07.ana.ud560e232	Let me first say that when we talk about the transfers to the municipalities, it's right and fair that a person both takes into account what is called free means, and what is earmarked means, in order to get a proper picture of the situation. In that case, at least the agreement we have agreed with the center parties will mean approx. So let's add 1 billion. When it comes to the issue of the income system, I think it's clear from the setting what the Workers' Party thinks about it, and also from the committee proposal that we agree on, where we are asking for a review of this. When we do that, it's because, like other parties, we have a clear suspicion that those who were going to win after Rattsø have not been. Therefore, there is also a need to look closely at whether this has been the case when we implemented parts of the Rattsø Committee's setting. So we are asking the Government to investigate this, and therefore, of course, we will not conclude on the individual elements of this case until the Government has determined it, and come back with a review and a proposal for the Storting next spring. This is very important for the municipalities, and not least for the people who live in the municipalities we are talking about here. There is no doubt that when we agree with this proposal, we think that we probably do not have the distribution between the municipalities that were meant to, and that is why we also want to have a change. What that means by individual parts and suggestions, we have to come back after the government has done its job, and after we see what it's proposing, and then we see what the result is.
ParlaMint-NO_1999-12-07.ana.ud560e241	The cord shift is over.
ParlaMint-NO_1999-12-07.ana.ud560e245	In recent years, we have seen that the local economy has become weak, claiming representatives from both the government party and the Labour Party. In recent years, it has also been shown that the local government sector has been getting more and more money. We can go back to a budget settlement that I understood that I didn't like so much, but where today's government party got by strengthening the municipal economy with x billions of dollars. Nevertheless, we are still told that the local economy is poor, and that he is getting worse, and it will become increasingly worse if the Stortinget does not allow more money. As I see it, it turns out that the more money we allow, the worse it goes. Then we politicians might have to ask ourselves the question, do we do that wrong? Do we have a system that doesn't work? Can we turn the system around a little bit, think of new ways of distributing the funds and giving the municipalities incomes, so that they get growth? Because it's not that it makes sense to waste good money after bad money. This usually means that all the money is going to be bad. That's why I think we need to think about something new. That is also why the Progress Party agrees with the proposal to go through the income system again to see if there is a new way to go. And I dare say that the economic structure of the Progress Party will give the municipalities an economic free trade that can be significantly strengthened in relation to the free trade offered by the other parties. The Progress Party’s economic policy will contribute to increased employment, it will contribute to increased value creation and thus increase tax access to municipalities. This will extend the tax base, and one can continue to have a low tax level, rather than doing as some other party would like, simply narrow the tax base and then increase the tax level. The business must have access to fund provisions and to take care of its own values that it has created, instead of taxing the businesses as much as possible, drag the money into Oslo, and then distribute them again as mild gifts. I believe that if the enterprises and the individual are kept as much as possible by the value creation itself, these funds will increase and be put back into value creation, which means that the municipal sector will receive income. There is no doubt that there is a potential for savings in the municipal sector between 15 and 20 pst. The representative, Sylvia Brustad, said that we wanted to cut down so much on the public sector – the municipal sector. Yes, in nominal dollars, we suggest a reduction of approximately NOK 3 billion in the municipal sector. That's 1.75 pst. of the total income of the municipalities. We know that other countries have tried to streamline and rationalise municipal operations through competitive outsourcing and competitive stimulation, and when one has a saving potential of between 15 and 20 pst, these 3 billions are not so huge. By combining rationalisation, streamlining and price financing of the vital health, care and education tasks, with the financial responsibility of the State, we are also assured that everyone in this country will have a level playing field when it comes to health, care and education, without regard to the country we live in, and without regard to the municipal economy. What's kind of interesting is that we've gotten the Statistical Central Bureau to figure out what kind of impact our economic structure has on the local government economy. And then it turns out that our financial situation gives the municipalities an increase in income of $2 billion, after we actually cut down on the transfers from the state by $3 billion. It should make some other party think about whether maybe the Progress Party is also right this time in some of the things we're proposing. I can only note that the first party to talk about price financing in care and health was the Progress Party in 1985. Now, almost all of the parties here in the house are in agreement with that, it's maybe just the Socialist Left Party holding on to its conservative model, and that's okay enough. But everybody's talking about this right now. There will now even be input-driven funding in some other areas as well. We have to be clear that it might be wise not to reject everything, but to be willing to think about it new when it turns out that the drug that the plurality in this room has been using at least as long as I have been here in the house – I was just enough out for four years, but I have the impression by following in the media that it was the same medicine that was also used in the period 1993-97 – that a mere increase in transfers within a system that is probably wrong does not work. That's why it's so important that we evaluate the system, see if this is right, and we're willing to think again. There must be something of the most important thing we politicians can do, and that one tries to see if there are other ways to do things than the way we swear to today. That is why I think it is important that a person opens up to think about something new, then one might be willing to look at the bureaucracy too, which prevents efficiency, that one today has no ability and freedom of choice to create business, that one is hindering investment, etc. I'm also glad that the committee is willing to look at this with immigration, and that one sees that things start to accumulate in such a way that there are unworthy states in a country like Norway, and it shouldn't be. I hope that maybe even the plural here in the hall will see that it would be a good idea to think about whether we're taking in too many immigrants so that we can manage to pursue an integration policy that is of human dignity. Having an integration policy where we take care of individuals must be our goal. And then I think we might, in a society like Norway, take in too many. I just want to ask the state council to follow closely, as the committee writes in a comitology note, when this is the case with nursing homes and nursing homes, and that he evaluates the situation when it comes to nursing homes and nursing homes, so we don't get the biased distribution we're afraid we're going to get. Finally, I would like to address the suggestions in the setting that we have with the Right, and the suggestions that we have on our own.
ParlaMint-NO_1999-12-07.ana.ud560e266	Lodve Solholm has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e271	There was a lot of talk about the excellent municipal policy of the Progress Party and a lot about economics. What is the reality is that the Progress Party in this budget cuts gross at NOK 11.6 billion to the municipalities. It is in the budget of the Progress Party. They have a way of explaining this so that the net number is going to be NOK 4 billion, not NOK 3 billion that Lodve Solholm is trying to say all the time. The figure is closer to 4 billion than 3 billion dollars. They contribute in percent higher taxpayers, and it amounts to 4 billion kroner. There will be a division of disparities in Norway, this will benefit the rich municipalities, and the poor will get worse out. That's one way to think about it. Then the Progress Party is adding SEK 2.8 billion to effort-driven funding, and then they're going to get to this with the dynamic effect in the municipalities. They estimate that this scheme will provide lower price and cost increases. If we cut the price by half a percentage point, it's 100 to 200 million. kr, and if we cut the interest rate by 1 pst, that's approx. 450 million. kr. After all, we're missing 3.3 billion to get up to 4 billion, even though we've cut a little bit at the price level and a little bit at the interest rate. What he doesn't mention with a single word in his post is district policy. They want to cut SEK 1.3 billion to SND, cut off the government tool, cut down EUR 6 billion in agricultural transfers, cut off the freight balancing, cut off the shipbuilding sector – that is, all of what Lodve Solholm calls dynamic effects, I have a lot of problems. I would therefore like to hear from the representative Lodve Solholm about the Progress Party at all.
ParlaMint-NO_1999-12-07.ana.ud560e276	I have a lot of understanding that Leif Lund doesn't appreciate me talking about the Progress Party, but it's now time for me to talk about the Progress Party and the Party's forward from the features. Leif Lund is talking about $11.6 billion and our calculation method. I'd like to agree that it was about 3 1⁄2 billion kroner. But the point is: it's not the Progress Party that has calculated and found the dynamic impact of our policies, with lower wage and price costs, it's actually the Central Bureau that has calculated it. And if the Central Statistical Bureau had calculated some figures for the Labour Party, I think he would have used them, too, of your agency as important as this is, has a certain trust in the political environment. So these numbers show our dynamic policy. So to this with district policy. Yes, now we have from the political point of view, not least from what is the great majority in this room, listening to all the misery in the districts, about deportation, etc., and that business doesn't get money. Yet, the same number of millions/billion dollars have been poured into transfers, and in what way – they have taxed the businesses out in the districts, brought the funds into central struts in Oslo, into the government quarter, and then one has handed them out that after one has spent a pot of money in the administration to take the money into taxes and public intervention and to give them back to those who had to spend it. What we say in the Progress Party is: let the values stay where they've been created, simply out in the districts, out in the businesses, in the individual people. It'll be a district policy that will make people want to move back to the districts and get bent there.
ParlaMint-NO_1999-12-07.ana.ud560e287	Quite often, the Progress Party and the Right are on the same side of the policy, in order to understand that we are voting, not so rarely, on the same proposal. We have the same best wishes for Christmas and the new year in view of the competitive outsourcing of municipal services. But the Progress Party is extra fascinating many times, not so they can hold the storm, but they often define a new world tomorrow, as we heard in the previous line. And I'll keep going a little bit on the same theme. So this price and consumption effect of the Advance Party's budget proposal is going to turn this cut of NOK 3.6 billion, as it says, to NOK 2 billion, i.e. NOK 5-6 billion on an annual basis. This is fascinating in itself. But I wonder how much the wage and price fall will be towards the end of the year 2000 after these calculations from the Statistical Central Bureau, which is proof of truth here, precisely because we never get any special first day effect – we don't get any effect on 1 January of this proposal. So it has to be significant, visible figures on the paytable and on the price curve towards the end of the year if the effect is to be 5-6 billion kroner. Does the Central Statistical Office have any details that show this too?
