Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e26	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e100	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e105	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HBL	Blankenborg, Haakon	M	1955	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e120	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e133	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.EIS	Steensnæs, Einar	M	1942	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e152	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e169	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JJJ	Jakobsen, Johan J.	M	1937	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e184	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e201	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	notMP	notMinister	H	Høyre	-	Centre-right	person.HVH	Hove, Harald Victor	M	1983	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e222	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_1999-06-10-2	ParlaMint-NO_1999-06-10-2.ana.ud340e236	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
