ParlaMint-NO_1999-03-04-lower.ana.ud2401e37	The representative Sverre J. Hoddevik will present a private legislative proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e40	On behalf of Lars Arne Ryssdal, Bent Höie and myself, I would like to make proposals for a change in the municipality that opens the door to allow municipalities to choose that the spokesperson should have parliamentary responsibility towards the local government and be the head of administration.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e45	The legislative proposal will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e50	The President will propose the election of a President-in-Office of Odelstingen's meeting tonight – and see it as a deal. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e55	I suggest Jørgen Holte.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e60	Jørgen Holte is proposed as the chairman of the meeting tonight. – Other proposals are not in line, and Jørgen Holte is in agreement with the President-in-Office of the Council.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e72	No one has asked for the floor. [[See page 333]]
ParlaMint-NO_1999-03-04-lower.ana.ud2401e86	At the request of the Municipal Committee, the President will propose that the debate be limited to 1 hour and 50 minutes and that speaking time be allocated to the groups as follows: Working Party 35 minutes, Progress Party 15 minutes, Christian People's Party 15 minutes, Right 15 minutes, Center Party 10 minutes, Socialist Left Party 10 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that the opportunity be given for a sequence change of up to three lines with replies after the contributions of the main speakers from each party group and up to five lines with replies after contributions from members of the Government. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's seen as a confirmation.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e97	The Municipal Committee supports the Government's proposal to replace the current law of 1939, the rent law, and the 1967 law on rent regulations. Although the Norwegian rental market is limited and covers about 24 pst. of the total number of housekeepers, the Committee considers that there is a need for a law to provide a framework for rental and to clarify the rights and obligations of landlords and tenants. In its legislative proposal, the government has made proposals that both care for landlords’ interest in operating rentals, and ensures the lessee’s secure rental conditions that provide safety and prudent financial obligations. The majority in the committee believe that there is an imbalance in the market because the number of rentals has fallen. As a result, the rental price, especially in the press areas, is too high. Against this background, the majority believe that the state should help to build more rental properties in the press areas. The majority also believe that the bill meets the law’s purpose, that everyone should be protected from arbitrary and immoderate handling, regardless of whether one is the owner or the tenant. The majority believe it is important to stress that tenants should be sure that they cannot be cancelled for no reason, or that rents cannot be increased beyond what is considered reasonable. With the adjustments in the Committee's configuration, the majority believe that the law ensures that conflicts arise, the parties shall have first-time access to bodies capable of resolving the dispute without risking both temporal and financial taxes, which would result in a direct judgment. The bill applies both to the rental of the dwelling and to the locality. The Ministry proposes that current conditions which are less favourable to the less favourable to the lessor than those provided for by the law should not be agreed or made. The Committee's plurality supports this. The Committee also notes that the Government proposes that the general rule in the case of local leasing should be that the law may be waived by agreements. The majority of the committee also supports the need for complaints about the standard of the housing within a reasonable period of time. This is more flexible than the current system, which limits this right to only 14 days. The Committee also endorses the proposal in the new law to limit deposits and guarantees to a total of a maximum of six months’ rent. The Committee also supports proposals for the disbursement of housing against loans, as this is a scheme which has been used very little in recent years. In the fourth paragraph of Section 3-5 of the Committee, in consultation with the Ministry, it proposes that the bank should pay the deposit instead of being able to pay to the lessee at the end of the time limit for bringing proceedings if no action has been brought. The majority of the Committee will stress that the fear of being left standing for a longer period of time with financial obligations through loans, etc. and a lessee who has stopped paying rent will be one of the most important uncertainties for many lessors. Therefore, the majority of the Committee suggests that, after the lease term has ended, the financial institution may pay due rent from the account if the parties have agreed in writing that the lease should be credited to another account of the same financial institution, and the lessor has documented the time when the liability took effect and when it ended. The Committee also supports the proposal for the annual indexation of the original rentals and their adaptation to the rents every three years. The majority of the Committee concludes on the proposal to abolish the Housing Regulation within 10 years. The reason for this is that there is not a uniform group of poor economies that live in dwellings that are covered by this law, that is, dwellings built before the Second World War: approx. 12,000 dwellings in Oslo and 1 800 in Trondheim. This law is a little targeted instrument to help those who have the worst economy or the biggest problems in the housing market. The majority of the Committee agrees that annual rentals may be increased by up to 20 pst. of today's rent, excluding municipal taxes, every year for nine years to come. In the 10th year, the Committee accepts full market alignment. This gives those living in these dwellings a good transition to adapt to a new building cost situation. If some families get into trouble because of the loss of this law, the committee refers to the support as a targeted tool to deal with those who have financial problems. The Committee's plural opinion is positive with new rules aimed at giving tenants an impact on the management and operation of the property. On the one hand, it is clear that renting out own property and making all decisions about ownership. On the other hand, it is positive that the tenant has a greater influence over his own construction situation, among other things. it shall be possible to choose a trust option representing the lessor to the lessor. This will apply in houses where the owner has rented out more than four housing units. That representative shall have advisory authority. The Committee's plurality agrees that the new Housing Act proposes a protection against being cancelled by the lessor. The majority agree that an excessive level of deposit protection may lead to a reduction in the total number of rentals. At the same time, the majority feel that it is important to give the lessee protection so that he gets needed or desired safety. For this reason, the majority support the Ministry's proposal that temporary leases can only be terminated if there are particular grounds for cancellation. The majority also take a positive view of the fact that the new housing law mentions the reasons for the right of cancellation. The majority believe that most possible contracts should be timeless. But the majority also believe that it must be right to have the possibility to conclude fixed-term leases, and support the proposal that a minimum period of three years be set. To agree with an explicit need for a simple dispute resolution of my committee majority that it will be right to support initiatives taken by the Norwegian Housing Association, the Norwegian Housing Association, the Norwegian Housing Association, the Landsförbund and the Consumer Council to create a housing housing selection. Rents are often small, time-consuming and cost-consuming cases to run before the courts. In addition, there is often a long waiting time for a trial to be brought before the courts. For example, the majority suggest the creation of a housing selection in Oslo as a trial scheme for three years. This selection should have representatives of the tenant and rental side and be chaired by a neutral president with adominant opinion. The selection should have its own secretariat, which, in addition to preparing the case for the selection, brokers between the parties. One should consider linking the Secretariat to the Conciliation Council. A decision in this property lease selection will have the same effect as a judgment if it is not submitted to the general courts. The majority assume that the costs of the scheme should initially be borne by the parties in charge. Otherwise, the Committee agrees with the proposal for simplification so that the second sentence of the fifth paragraph of Section 5-8 is replaced by the following: ‘The provisions of the first, fourth, fifth and sixth paragraphs of Section 2-14 shall apply mutatis mutandis to the measurement of compensation. ‘... In addition, on behalf of the Committee, I would like to make a clarification that I have put on the presidency and that will be shared in the Chamber during the debate.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e144	It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e147	The Progress Party has some objections to the law that we are now dealing with here in Odelstinget. In the case of the protection against denunciation, there has been a significant strengthening. Now, without justifying their view, tenants can oppose the cancellation within one month. So the new thing is that the lessor has to go to the legal entity within a period of three months and require confirmation of the termination. It must be possible to assume that this will lead to far more dismissal cases in the judiciary than has been the case in the past, and it will be expensive for the losing party in any case, at the same time as it will put both parties in a very difficult and often unpleasant situation. Is it so that the representative Gedrem believes that the prospect of getting into such unpleasant and perhaps costly problems for homeowners will make him particularly eager to rent out, for example. in his own cellar? Wouldn't this weaken the interest in operating rentals, at least in your own private dwelling?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e156	As I said in my first post, this is a balanced piece of legislation that takes care of both landlords and tenants. In my opinion, the Ministry has had a lucky hand with a balanced list of requirements and rights for rents and rentals. Although I have to admit that in this statutory audit there are many plus scars on the rental side, it is right to strengthen the rental situation. But the law requires a factual justification in the event of cancellation, and there should be an affordable and acceptable reason for a landlord. I have a little problem understanding that it is supposed to be dampening the desire to rent a dwelling that one has to have a real reason to cancel a tenant. But in these circumstances, as in most others where there are several parties, one of the most important things is when it comes to agreements, that there are good, open and trusting relationships, and it will encourage us to develop in all these conditions, so that we can avoid conflicts as much as possible. In addition to this, we have named a simple selection of disputes here in Oslo as an appeal mechanism to see the effect, and, if necessary, to extend it to larger parts of the country, which can resolve simple disputes, so that a person should not be charged to the courts, and that it should not be so expensive for those who have a dispute in the past.
