Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e95	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e108	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e113	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e159	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KVO	Vollebæk, Knut	M	1946	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e204	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e217	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KVO	Vollebæk, Knut	M	1946	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e228	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e246	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AK	Kvakkestad, André	M	1971	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e264	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AAS	Sæle, Anita Apelthun	F	1951	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e281	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ANH	Høegh, Annelise	F	1948	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e292	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TNY	Nymo, Tor	M	1940	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e314	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e331	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KVO	Vollebæk, Knut	M	1946	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e344	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e362	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e370	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-28	ParlaMint-NO_1999-10-28.ana.ud838e393	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-28	1999-10-28	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
