Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e100	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e145	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e162	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e174	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e186	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e221	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e231	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e243	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e255	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e258	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.IM	Myrvoll, Inge	M	1948	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e263	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e271	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e281	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e295	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-06-10-upper	ParlaMint-NO_1999-06-10-upper.ana.ud1505e309	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-06-10	1999-06-10	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-06-10	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
