ParlaMint-NO_1999-03-02-lower.ana.ud164e44	Councillor Anne Enger Lahnstein released 2 kgl. propositions [[see under Unit]]
ParlaMint-NO_1999-03-02-lower.ana.ud164e58	Proposals provide for a separate regulation to lay down rules on the costs to be borne by municipalities for the calculation of investments, operation and maintenance in the water and sewerage sectors. It points out that an independent control function should be established and that the audit system should be improved. Furthermore, the proposers will allow consumers greater access to appeals against the fixing of fees. The proposers also believe that the individual municipality should be able to deviate from the law if it suffers effects which become unduly burdensome for subscribers. When the majority of the committee chooses to reject the proposal, it is because one believes that most of it has already been taken care of or is taken care of by the ongoing revision of the regulation. It is easy to find examples of unfortunate individual cases with existing regulations. However, the majority believe that it is the practice that is too poor in these cases. Municipalities could make greater use of the law in the case of complaints, exemptions from subscribers, etc. Large parts of the water supply network in Norwegian cities and agglomerations are very old. It originates largely from the beginning of the century and does not meet modern safety requirements to provide hygienically safe and adequate water. Over the next decade, large parts of the network will have to be transformed, with high costs as a consequence. In order to do so, municipalities must have the opportunity to charge fees to cover the costs. They also have to have a lot of freedom to solve these problems in different ways. The Committee does not wish to restrict municipal freedom on this issue. In a letter from the Ministry of the Environment to the Committee on Energy and the Environment dated 12 January of this year, the Ministry has indicated that work is being carried out on the revision of the existing regulation on municipal water and fees. Some of the changes in the proposals made by representatives Hedstrøm and Solholm have already been addressed in the revised regulation. A group of organisations, including the Consumer Council, the NHO and the Norwegian Water and Sewage Works Association, have jointly submitted amendments that could bring better consistency between the cost of the service and the user’s payment. A two-part fee model is part of this. With regard to the proposed amendment to Section 65 of the Planning and Building Act, where the proposal implies that in some cases the municipality may not require a connection with public facilities, the majority of the Committee refers to letters from the Ministry of Local and Regional Affairs, explaining these issues. Paragraph 65 already provides for discretionary access for municipalities to exempt buildings and properties from the obligation of connection. We don't see any reason to reinforce this. One for the acceptance of private installations may result in large expenditures for the construction of public installations for those associated with the installations.
ParlaMint-NO_1999-03-02-lower.ana.ud164e75	There are currently considerable differences between municipalities and municipalities in the setting of fees for water and sewerage charges. In many cases, this leads to discrimination and high levels of unfairness for individuals. It has its background in the fact that the law of municipal water and sewerage charges gives municipalities great freedom to set fees themselves in this area. Furthermore, the Planning and Building Act regulates § 65 requirements for connection to public water pipelines. This can also seem clearly unreasonable to many. We have seen examples of some who are associated with better water quality private waterworks than public waterworks being forced to connect to lower water quality public waterworks. This occurs especially in the case of transfers of property. Document No The 8 proposal under consideration today sets out the main principles behind the current rules, which aim to ensure that consumers of real estate continue to fully cover all the costs of public water and sewage treatment plants. The purpose of the amendments is to eliminate the unfairness of the provisions. Studies have shown that municipal fees have increased sharply in recent years, and the resulting conflicts have also been increasing. Water and sewerage services must be self-financing rather than a municipal source of income, as unfortunately in some municipalities today. The principle of self-sufficiency should prevent municipalities from over-pricing their services so as not to allow them to subsidise other parts of the operation of the municipality. Document No The 8 proposal also provides for the municipalities that wish to do so to eliminate the connection fee, so that municipalities can fully cover their costs over the annual fee. Furthermore, clear guidelines for the setting of charges should be set and the legislation should provide better protection for subscribers than at present, so that the differences between municipalities and municipalities can also be reduced. It is true, as the Ministry claims in its letter of 12 January, that parts of the bill are in force by being incorporated into the regulations of the law. It is also positive that the Ministry is currently reviewing the current regulation on the charge of municipal water and sewerage. However, I would like to point out that even with the changes to the regulations to which the Ministry refers, it will be important to make the proposed legislative changes so that we can achieve better and longer-term consumer protection in the future and that the legislative proposals will prevent the municipalities from forcing citizens to move from a private waterworks to a public waterworks by transferring property. However, I am both surprised and disappointed that the Progress Party was standing alone on the proposal in committee. This will be interesting, not least in view of the forthcoming municipal election campaign. I would like to mention proposal No. 1, on behalf of the Progress Party. The suggestion has been inserted on pages 4 and 5 of the option.
ParlaMint-NO_1999-03-02-lower.ana.ud164e98	Øyvind Vaksdal has taken up the proposal he referred to.
ParlaMint-NO_1999-03-02-lower.ana.ud164e101	Only a few brief comments from the Right side. We believe that the proposers raise both interesting and important issues. However, we believe that the proposal needs a more thorough investigation and should be the subject of a more extensive consultation round than the Committee has had occasion to do. We would therefore ask the Ministry to look at the intentions behind the proposal and submit the proposal to a larger consultation, where both municipalities and consumer representatives, i.e. the subscribers, they are represented. The Waksdal itself points to an important issue. He says the municipalities have great freedom in this area. For the Right, it is an important point that municipalities should have great freedom in general. This is about trust in municipal autonomy, and I fully agree with the representative, Mr Vaksdal, that there could be an important issue in the forthcoming election campaign. Otherwise, there is broad support for the principle that municipal charging should be at self-cost. However, there is no obligation for municipalities to operate effectively, so the Right wants the Ministry to also consider whether a mandatory charging obligation for municipal services should be imposed to ensure that citizens receive the service at the lowest possible price. Finally, there is a element in the proposal that we believe could be problematic, and that is the proposal to remove the connection fee and to pass the entire cost on to the annual fee. In that case, it would mean that those who have already paid the connection fee will receive a higher annual fee, and then a new injustice will be introduced into the system. Our summary is that we will ask the Ministry to take a closer look at this, and that is why we want the proposal to be annexed to the Minutes, and not rejected, as the majority says. I take up the proposal from the Right.
ParlaMint-NO_1999-03-02-lower.ana.ud164e116	The representative Jan Tore Sanner has drawn up the proposal he referred to. No more people have asked for the floor on case No. 1st@item: inlistbox [[Footing, see page 241]]
ParlaMint-NO_1999-03-02-lower.ana.ud164e132	At the request of the family, culture and the administrative committee, the president will propose that the debate be limited to 45 minutes and that the speaking time be allocated to the groups as follows: the working party 10 minutes and the other groups 5 minutes each. In addition, the President will suggest that there are no replications after the individual posts, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_1999-03-02-lower.ana.ud164e135	The odelsting process is currently dealing with changes in the copyright law. These changes are based on EU directives on the legal protection of databases. Let it be said immediately: this is a heavy and difficult matter. But with the emergence of the Internet and frontierless telecommunications, this is nevertheless a very important thing that has prospects for the future. The Committee agrees unanimously with the legislative amendments. These are mainly about modernising the law so that databases and computer programs are also covered by the copyright law. With regard to the comments on the matter, the members of the Committee have broadly similar opinions. It is established that rapid technological developments make it absolutely necessary to adapt the copyright to the reality of today, because databases can be very valuable products in today's information society. Technological developments in this area are so rapid that the Ministry must make an ongoing assessment of the need for legislative changes. The protection of databases must constantly be balanced against the obvious demands of society for access to information. Furthermore, the Committee has noted that the collecting societies have responded to the Ministry's interpretation of the applicable Norwegian law as regards the scope of the exclusive right under the copyright law § 2. The dispute concerns the conditions under which a copy of a work over which the author is entitled may be referred to. The Ministry talks about intermediate storage which constitutes a necessary, but parallel, phase in a transport of data for, for example: display, and that, in the opinion of the Department, this is normally of such a volatile nature that it will not always constitute a copy in the sense of copyright. This may mean that if you pick up a document on screen from the Internet, there is a so-called volatile fixation, or an ephemeral intermediate storage, as some people also call it. The collecting societies consider that the Ministry makes an unnecessary restriction to the exclusive right by saying that the fixation must have a certain duration and independence in order to be an exclusive act under Section 2. A comprehensive committee underlines the importance of maintaining a balance between the interests of rightholders and users even in a digital age. Laws must not be made in such a way as to make the user liable for copyright infringement in the case of temporary storage carried out during surfing on the Internet. However, if someone makes further use of a temporary copy, e.g. in a commercial sense, it will be different. In the comments, the right has chosen not to address the department's assessment of limitations on the exclusive right. We believe that this is too early and show in this regard the extensive work being done in the EU with a new directive on exclusive rights, or copyright, which it is called ‘nynorsk’. This work has recently been strongly updated through the rapid development of new Internet storage media, such as MP3 and the Norwegian-developed Fast Search & Transfer, which is a tool for downloading audio files from the Internet with an approximate CD sound quality. Of course, the record industry is concerned about this development. The Internet is clearly a threat to this industry, while there is an excellent medium for the provision of information and music. This picture includes work on the EU Copyright Directive. Right will wait for this before we decide on difficult questions about copyright, and we find it strange that the majority does not have the patience to wait. After all, we are behind the users' concerns, but it must be legitimate to try to clarify difficult issues relating to the concept of exclusive rights before concluding. This is a complicated law, with a complicated concept. However, it is a law that is important for the creators of copyrights, while the law is important for the users of databases and Internet information. We agree with the legislative changes, but at the same time will strongly stress that technological developments must always be closely followed in order for us as legislators to have the least opportunity to go along with them.
ParlaMint-NO_1999-03-02-lower.ana.ud164e157	The Breathwork Act is probably some of the most complicated legislation available. In addition, when we go into and regulate the Internet, it goes without saying that some people each have problems dealing with the complicated terms of the law, and when the lawyers who sit in the law court, at the top of it, can't agree between themselves, it goes without saying that the legal aspects of this are very complicated. What I think is a little strange in this matter is that the political constellation Right and Left is – contrary to the reality being tested otherwise – among the most regulatory, while the centre and the left want a little less regulation. I am going to focus on the one controversial point, whether we are going to decide today on the interpretations of the exclusive right by the Department, or whether we are going to wait for a decision in the European Union. Of course, it is that we are at risk of having this case re-examined in a few years. So we have different perceptions of when a sample is produced. The majority have ended up supporting the Government, while the minority chooses to await a position from the EU. One of the government’s arguments to allow temporary storage without this being a sample production has been a Nordic joint race to influence the EU. Let me make it clear that it has not been an important argument for the Workers' Party. On the other hand, consideration for users has weighed heavily: we both want to avoid being a criminal without being aware of it, and have a functional network where the speed is actually influenced by whether there are so-called proxy servers, or whether they need to be switched off. That being said, it is not the intention of the Workers' Party to render the rightholders unlawful in relation to what is happening online. Therefore, there is reason to stress that there is no fixed duration relative to when storage is volatile, or there is a copy that will trigger any kind of compensation obligation – with the possibilities of the Internet, it would also be reasonably absurd to do so. On the other hand, it is the use of temporary storage which determines when it is to be regarded as a production of copies and triggers compensation obligations, which the Workers' Party uses in this case. In this way, we believe that the interests of rightholders are taken care of, while avoiding harm to users. Finally, I would like to add that I am deeply concerned about the development of some cultural areas; especially in the field of music, there are major challenges if we aim to stick with our own artists – without necessarily being paid by the government. The solution is not – I am sure – in the proposal we are discussing today, but rather in a systematic effort on the part of the artists, both economically and legally.
ParlaMint-NO_1999-03-02-lower.ana.ud164e174	The Progress Party mainly supports the proposals for amendment on the basis that the Progress Party will make it very clear that the interests of rightholders must be taken into account. The party notes that the rapid development in this area requires that we be observant and work to get as much equal rules as possible within the EEA area as soon as possible – this, of course, because databases and data exchange do not stop at border borders. As a conclusion, the Progress Party is reasonably satisfied with Ot.prp. No 85, and will continue to work to ensure that the position of rightholders is not reduced but strengthened. On this basis, the Party will wait until the EU Directive on the exclusive right is available for consideration.
ParlaMint-NO_1999-03-02-lower.ana.ud164e181	The proposed changes to the copyright law currently under consideration are not extensive but nevertheless necessary and important updates as a result of technical progress. The proposal is a direct follow-up to the EU Directive on the legal protection of databases, aimed at harmonising the levels of protection of databases within the countries linked to the internal market. Norwegian legislation already has extensive intellectual property protection for databases. The Ministry has therefore found it satisfactory to propose only limited legislative changes to bring it into line with the corresponding provisions throughout the EEA territory. On the part of the centre parties, we note that there is a cross-political consensus on the proposed legislative changes in the proposal, and there should therefore be no further debate on this. I would like to pay close attention to a brief remark relating to the little disagreement that has occurred in the committee in connection with this proposition. The issue is whether the Storting should provide its support to the line followed by Norway in the negotiations on the copyright protection of so-called 'volatile' or 'temporary' specimens. As you know, this was an important theme of the 1996 Diplomatic Conference under the auspices of the World Copyright Organisation. The same issue is currently being discussed in Europe, within the EU. In this context, Norway, together with other Nordic countries, has opposed the proposal on the protection of copyright for so-called ‘volatile’ or ‘temporary’ copies. In particular, it has been concerned with maintaining an important balance between the interests of rightholders and users also in the digital field. Norway has been committed to ensuring the protection of rights of rightholders also in digital media, but without simultaneously making the conditions of risk to users. Copyright should not be legislated in such a way that users are held liable for copyright infringement by temporary storage, which occurs when, for example: surfing the Internet. A completely different question will be if the material is stored in addition to what is necessary for this type of use, or further use is made of temporarily stored specimens. The copyright could then be invoked immediately. The majority have given their support to the line that Norway has led in the negotiations on this point, and today we do not yet know what the result is. It would be very desirable to find a common position that not only serves the interests of rightholders but also takes reasonable and necessary account of the needs of users. At the same time, there is reason to favour the driving role of Norwegian authorities in this area as well. I also refer to the comments that we are included in the setting.
